Name,Difficulty,GiverLevel,GiverObjectType,TaskType,MissionGroup,RewardIngredient,RewardIngredientAmount
I5_DM2,Medium,Medea Harbor Square,Jefferson,eliminate,Daily,Power Cells,1
I5_DM3,Medium,Medea Harbor Square,Jefferson,eliminate,Daily,Power Cells,1
I5_DM4,Medium,Medea Harbor Square,Jefferson,eliminate,Daily,Power Cells,1
I5_DM5,Medium,Medea Harbor Square,Jefferson,loot,Daily,Power Cells,1
I5_DM6,Medium,Medea Harbor Square,Jefferson,eliminate,Daily,Power Cells,1
I5_DM7,Medium,Medea Harbor Square,Jefferson,eliminate,Daily,Power Cells,1
I5_DM8,Medium,Medea Harbor Square,Jefferson,loot,Daily,Power Cells,1
I5_DM9,Medium,Medea Harbor Square,Jefferson,eliminate,Daily,Power Cells,1
I5_DM10,Medium,Medea Harbor Square,Jefferson,loot,Daily,Power Cells,1
I6_DM1,Medium,Heracles Harbor Square,Browen,loot,Daily,Power Cells,1
I6_DM2,Medium,Heracles Harbor Square,Browen,eliminate,Daily,Power Cells,1
I6_DM3,Medium,Heracles Harbor Square,Browen,eliminate,Daily,Power Cells,1
I6_DM4,Medium,Heracles Harbor Square,Browen,eliminate,Daily,Power Cells,1
I6_DM5,Medium,Heracles Harbor Square,Browen,loot,Daily,Power Cells,1
I6_DM6,Medium,Heracles Harbor Square,Browen,loot,Daily,Power Cells,1
I6_DM7,Medium,Heracles Harbor Square,Browen,eliminate,Daily,Power Cells,1
I6_DM8,Medium,Heracles Harbor Square,Browen,eliminate,Daily,Power Cells,1
I6_DM9,Medium,Heracles Harbor Square,Browen,eliminate,Daily,Power Cells,1
I6_DM10,Medium,Heracles Harbor Square,Browen,loot,Daily,Power Cells,1
I7_DM1,Medium,Theseus Harbor Square,Armbruster,eliminate,Daily,Power Cells,1
I7_DM2,Medium,Theseus Harbor Square,Armbruster,eliminate,Daily,Power Cells,1
I7_DM3,Medium,Theseus Harbor Square,Armbruster,loot,Daily,Power Cells,1
I7_DM4,Medium,Theseus Harbor Square,Armbruster,eliminate,Daily,Power Cells,1
I7_DM5,Medium,Theseus Harbor Square,Armbruster,eliminate,Daily,Power Cells,1
I7_DM6,Medium,Theseus Harbor Square,Armbruster,eliminate,Daily,Power Cells,1
I7_DM7,Medium,Theseus Harbor Square,Armbruster,loot,Daily,Power Cells,1
I7_DM8,Medium,Theseus Harbor Square,Armbruster,eliminate,Daily,Power Cells,1
I7_DM9,Medium,Theseus Harbor Square,Armbruster,eliminate,Daily,Power Cells,1
I7_DM10,Medium,Theseus Harbor Square,Armbruster,loot,Daily,Power Cells,1
I8_DM1,Medium,Oileus Harbor Square,Jiminez,loot,Daily,Power Cells,1
I8_DM2,Medium,Oileus Harbor Square,Jiminez,loot,Daily,Power Cells,1
I8_DM3,Medium,Oileus Harbor Square,Jiminez,eliminate,Daily,Power Cells,1
I8_DM4,Medium,Oileus Harbor Square,Jiminez,eliminate,Daily,Power Cells,1
I8_DM5,Medium,Oileus Harbor Square,Jiminez,eliminate,Daily,Power Cells,1
I8_DM6,Medium,Oileus Harbor Square,Jiminez,eliminate,Daily,Power Cells,1
I8_DM7,Medium,Oileus Harbor Square,Jiminez,loot,Daily,Power Cells,1
I8_DM8,Medium,Oileus Harbor Square,Jiminez,loot,Daily,Power Cells,1
I8_DM9,Medium,Oileus Harbor Square,Jiminez,eliminate,Daily,Power Cells,1
I8_DM10,Medium,Oileus Harbor Square,Jiminez,eliminate,Daily,Power Cells,1
I9_DM1,Medium,Zetes Harbor Square,Kinder,loot,Daily,Power Cells,1
I9_DM2,Medium,Zetes Harbor Square,Kinder,eliminate,Daily,Power Cells,1
I9_DM3,Medium,Zetes Harbor Square,Kinder,eliminate,Daily,Power Cells,1
I9_DM4,Medium,Zetes Harbor Square,Kinder,eliminate,Daily,Power Cells,1
I9_DM5,Medium,Zetes Harbor Square,Kinder,loot,Daily,Power Cells,1
I9_DM6,Medium,Zetes Harbor Square,Kinder,eliminate,Daily,Power Cells,1
I9_DM7,Medium,Zetes Harbor Square,Kinder,loot,Daily,Power Cells,1
I9_DM8,Medium,Zetes Harbor Square,Kinder,loot,Daily,Power Cells,1
I9_DM9,Medium,Zetes Harbor Square,Kinder,eliminate,Daily,Power Cells,1
I9_DM10,Medium,Zetes Harbor Square,Kinder,eliminate,Daily,Power Cells,1
I10_DM1,Medium,Idmon Harbor Square,Dasher,eliminate,Daily,Power Cells,1
I10_DM2,Medium,Idmon Harbor Square,Dasher,loot,Daily,Power Cells,1
I10_DM3,Medium,Idmon Harbor Square,Dasher,eliminate,Daily,Power Cells,1
I10_DM4,Medium,Idmon Harbor Square,Dasher,loot,Daily,Power Cells,1
I10_DM5,Medium,Idmon Harbor Square,Dasher,eliminate,Daily,Power Cells,1
I10_DM6,Medium,Idmon Harbor Square,Dasher,eliminate,Daily,Power Cells,1
I10_DM7,Medium,Idmon Harbor Square,Dasher,loot,Daily,Power Cells,1
I10_DM8,Medium,Idmon Harbor Square,Dasher,eliminate,Daily,Power Cells,1
I10_DM9,Medium,Idmon Harbor Square,Dasher,loot,Daily,Power Cells,1
I10_DM10,Medium,Idmon Harbor Square,Dasher,eliminate,Daily,Power Cells,1
I11_DM1,Medium,Leitus Harbor Square,Maggott,eliminate,Daily,Power Cells,1
I11_DM2,Medium,Leitus Harbor Square,Maggott,eliminate,Daily,Power Cells,1
I11_DM3,Medium,Leitus Harbor Square,Maggott,loot,Daily,Power Cells,1
I11_DM4,Medium,Leitus Harbor Square,Maggott,eliminate,Daily,Power Cells,1
I11_DM5,Medium,Leitus Harbor Square,Maggott,eliminate,Daily,Power Cells,1
I11_DM6,Medium,Leitus Harbor Square,Maggott,loot,Daily,Power Cells,1
I11_DM7,Medium,Leitus Harbor Square,Maggott,eliminate,Daily,Power Cells,1
I11_DM8,Medium,Leitus Harbor Square,Maggott,eliminate,Daily,Power Cells,1
I11_DM9,Medium,Leitus Harbor Square,Maggott,eliminate,Daily,Power Cells,1
I11_DM10,Medium,Leitus Harbor Square,Maggott,loot,Daily,Power Cells,1
I12_DM1,Medium,Phlias Harbor Square,Pinkley,eliminate,Daily,Power Cells,1
I12_DM2,Medium,Phlias Harbor Square,Pinkley,eliminate,Daily,Power Cells,1
I12_DM3,Medium,Phlias Harbor Square,Pinkley,eliminate,Daily,Power Cells,1
I12_DM4,Medium,Phlias Harbor Square,Pinkley,eliminate,Daily,Power Cells,1
I12_DM5,Medium,Phlias Harbor Square,Pinkley,loot,Daily,Power Cells,1
I12_DM6,Medium,Phlias Harbor Square,Pinkley,loot,Daily,Power Cells,1
I12_DM7,Medium,Phlias Harbor Square,Pinkley,eliminate,Daily,Power Cells,1
I12_DM8,Medium,Phlias Harbor Square,Pinkley,loot,Daily,Power Cells,1
I12_DM9,Medium,Phlias Harbor Square,Pinkley,eliminate,Daily,Power Cells,1
I12_DM10,Medium,Phlias Harbor Square,Pinkley,loot,Daily,Power Cells,1
I13_DM1,Medium,Achilles,Flux,eliminate,Daily,Power Cells,1
I13_DM2,Medium,Achilles,Flux,loot,Daily,Power Cells,1
I13_DM3,Medium,Achilles,Flux,eliminate,Daily,Power Cells,1
I13_DM4,Medium,Achilles,Flux,loot,Daily,Power Cells,1
I13_DM5,Medium,Achilles,Flux,eliminate,Daily,Power Cells,1
I13_DM6,Medium,Achilles,Flux,eliminate,Daily,Power Cells,1
I13_DM7,Medium,Achilles,Flux,loot,Daily,Power Cells,1
I13_DM8,Medium,Achilles,Flux,eliminate,Daily,Power Cells,1
I13_DM9,Medium,Achilles,Flux,loot,Daily,Power Cells,1
I13_DM10,Medium,Achilles,Flux,eliminate,Daily,Power Cells,1
