Name,RequiredExpLevel,RecommendedExpLevel,Difficulty,TutorialFlow,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,Deprecated,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
This Means War!,4,6,Medium,,Dreamlab,Charley Malloy,Dreamlab,Dreamlab,Charley Malloy,,use,,3,,,,,,,TRUE,,,,,,,,,,Homegrown,,,
,,,,,,,,,,,eliminate,Mad Dog Gunner,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Fighter,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Brawler,3,,,,,,,,,,,,,,,,,,,,
"On the Waterfront, pt 2",2,4,Medium,,Dreamlab,Charley Malloy,Dreamlab,Dreamlab,Charley Malloy,This Means War!,use,table_touchscreen scanner,1,,,,,,,TRUE,,,,,,,,,,,,,
Once In A Lifetime Offer,4,6,Medium,,Dreamlab,Shaft AI,Dreamlab,Dreamlab,Communication Terminal,,talk,Communication Terminal,,,,,,,,,,,,,,,,,,Eureka!,,,
"Fire, Water, Burn",3,5,Medium,,Dreamlab,Charley Malloy,Dreamlab,Dreamlab,Charley Malloy,,use,,1,,,,,,,TRUE,,,,,,,,,,,,,
Blackbeard,13,15,Hard,,Oasis Health Station,Jarden Coggins,Blackbeard's Base,Oasis Health Station,Jarden Coggins,,eliminate,Captain Blackbeard,1,,,,,,,,,,,Thick Canvas Strap,,Canvas Strap,,Suede Belt,,High-Value Targets,,,
Red Terror,15,17,Medium,,Truck Dock,Milo Pardalos,Barracks,Truck Dock,Milo Pardalos,Getting Our Boys Out,eliminate,Headbanger Mutant,11,,,,,,,,,,,,,,,,,Death from below,,,
,,,,,,,,,,,eliminate,Madhouse Mutant,7,,,,,,,,,,,,,,,,,,,,
Authenticate,11,13,Medium,,Seawater Intake,AI,Messina Desert,Seawater Intake,AI,Check pumps,loot,Key Card,1,,,,,,,,,,,,,,,,,Island Paradise,,,
Go with the flow,11,13,Medium,,Seawater Intake,AI,Oasis Health Station,Oasis Health Station,Jarden Coggins,Authenticate,talk,Jarden Coggins,1,,,,,,,,,,,Plastic Shades,,Plastic Shades,,Plastic Shades,,Island Paradise,,,
Deliver Kindness,11,13,Medium,,Oasis Health Station,Jarden Coggins,Holiday Resort,Oasis Health Station,Jarden Coggins,,eliminate,Hired Guns Grenadier,1,,,,,,,,,,,,,Whittling Gloves,,Whittling Gloves,,Desert Rage,,,
,,,,,,,,,,,eliminate,Hired Guns Rocketeer,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Shooter,2,,,,,,,,,,,,,,,,,,,,
RTFM,11,13,Medium,,Oasis Health Station,Jarden Coggins,Holiday Resort,Holiday Resort,Serrano,,loot,Package,1,,,,,,,,,,,,,,,,,Island Paradise,,,
The Way of the Exploding Pig,13,15,Hard,,Alloy Plaza,Sammy Schomer,Camping Grounds,Alloy Plaza,Sammy Schomer,,eliminate,Piggy Bob,1,,,,,,,TRUE,,,,,,,,,,Molehills,,,
Reservoir dogs,11,13,Medium,,Fresh Water Reservoir,AI,Fresh Water Reservoir,Fresh Water Reservoir,Julio,Unlock reservoir,escort,Julio,1,,,,,,,,,,,,,,,,,Desert Rage,,,
The Tankinator,6,8,Hard,,Pirate Bay,Holden Shunk,Drug Field East,Pirate Bay,Holden Shunk,Report to Holden,eliminate,Tankinator,1,,,,,,,TRUE,,,,Thick Rope Strap,,Nylon Belt,,Rope Strap,,Homegrown,,,
Pimp Mother,18,20,Hard,,Market Square New Paris,Nea,Casino Royale,Market Square New Paris,Nea,,eliminate,Pimp Mother,1,,,,,,,,,,,Armored Pants,,All-weather Pants,,Scrub Pants,,Catfight,,,
I Am In Disguise,18,19,Easy,,Truck Dock,Xavier Chiarello,Ruins,Ruins,Larry Newandyke,,talk,Larry Newandyke,1,,,,,,,,,,,,,,,,,Power to the People,,,
To be the Champ,10,12,Medium,,Oasis Health Station,Jarden Coggins,Desert Storm,Oasis Health Station,Jarden Coggins,Comandante Jarden,eliminate,The Champ,1,,,,,,,,,,,,,,,,,High-Value Targets,,,
Photovolts,10,12,Medium,,Desert Highway,De La Vega,Paradise Power,Paradise Power,AI,Waylaid,talk,AI,1,,,,,,,,,,,Bin Kick'rs,,Brand New Trainers,,Brand New Hiking Shoes,,Desert Raiders,,,
Restart the Power,10,12,Medium,,Paradise Power,Hernan Kirbo,Desert Storm,Paradise Power,Hernan Kirbo,Photovolts,loot,Key Card,2,,,,,,,,,,,Thick Cloth Strap,,Felt Belt,,Cloth Strap,,Desert Raiders,,,
Secure the Helipad,15,18,Hard,,Wells Wharf,AI,Steel Heliport,Alloy Plaza,Jesse,Open Sesame,eliminate,ED-187,1,,,,,,,,Great Flame Thrower,,3,Casual Gloves,,Shooting Gloves,,Faux Leather Gloves,,Supply Lines,,,
Bulldozers Are Fragile Beings,12,14,Medium,,Ratched Lane,Reggie Westwood,Ratched Lane,Ratched Lane,Reggie Westwood,,use,destroyable_catepillar_front,2,,,,,,,TRUE,,,,,,,,,,,,,
Paving the Way,12,14,Medium,,Ratched Lane,De La Vega,Ratched Lane,Ratched Lane,De La Vega,,eliminate,Hired Guns Grenadier,5,,,,,,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Shooter,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Rocketeer,1,,,,,,,,,,,,,,,,,,,,
Net Hack,18,19,Medium,,Power Drive,Robert,Power Drive,Power Plant East,Bateman,Incy Wincy,eliminate,Spiderbot Patrol,1,,,,,,,,,,,Manhunter's Coat,,Worn Sweater,,Armored Jacket,,Power to the People,,,
,,,,,,,,,,,loot,Key Card,,Spiderbot Patrol,,,,,,,,,,,,,,,,,,,
Clear Out All Hostiles,12,14,Medium,,Bromden Park,Simon Hibbert,Bromden Park,Bromden Park,Simon Hibbert,,eliminate,Hired Guns Grenadier,7,,,,,,,TRUE,,,,Aggro Cap,,Robber Cap,,Dune Cap,,,,,
,,,,,,,,,,,eliminate,Hired Guns Shooter,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Rocketeer,2,,,,,,,,,,,,,,,,,,,,
"Extra Guns, Extra Fun",12,14,Medium,,Bromden Park,Simon Hibbert,Bromden Park,Bromden Park,Simon Hibbert,,loot,Gunbox,2,,,,,,,TRUE,,,,Heavy Metal Jacket,,Tan Jacket,,Sailing Jacket,,,,,
Red vs. Blue,16,17,Medium,,Alloy Plaza,Sammy Schomer,Mill Park,Alloy Plaza,Sammy Schomer,,talk,Tomahawk,,,,,,,,,,,,,,,,,,Death from below,,,
Clear The Hools,13,15,Medium,,McMurphy Asylum,Simon Hibbert,McMurphy Asylum,McMurphy Asylum,Simon Hibbert,,eliminate,Stoned Hooligan,3,,,,,,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Top Dog Hooligan,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Triggerhappy Hooligan,2,,,,,,,,,,,,,,,,,,,,
Take Out Their Wheels,13,15,Medium,,McMurphy Asylum,Simon Hibbert,McMurphy Asylum,McMurphy Asylum,Simon Hibbert,Clear The Hools,use,Useable_labycorecar,1,,,,,,,TRUE,,,,,,,,,,,,,
Weakest Link,13,15,Medium,,McMurphy Asylum,Simon Hibbert,McMurphy Asylum,McMurphy Asylum,Simon Hibbert,Take Out Their Wheels,loot,Package,2,,,,,,,TRUE,,,,,,,,,,,,,
Onward!,16,18,Medium,,Alloy Plaza,Sammy Schomer,Mill Park,Alloy Plaza,Sammy Schomer,,use,propane_tank_2,1,,,,,,,TRUE,,,,,,,,,,,,,
Asylum Awaits,16,17,Medium,,Ratched Lane,Reggie Westwood,Ratched Lane,Ratched Lane,Reggie Westwood,Raid The Nuthouse,escort,Reggie Westwood,1,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Kill Kill Kill,13,15,Medium,,McMurphy Asylum,Simon Hibbert,McMurphy Asylum,McMurphy Asylum,Simon Hibbert,Clear The Hools,eliminate,Security Trooper,8,,,,,,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Security Officer,4,,,,,,,,,,,,,,,,,,,,
Last Wave,13,15,Medium,,McMurphy Asylum,Reggie Westwood,McMurphy Asylum,McMurphy Asylum,Reggie Westwood,,eliminate,Hired Guns Shooter,2,,,,,,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Grenadier,3,,,,,,,,,,,,,,,,,,,,
Taking Down Labycore,13,15,Medium,,McMurphy Asylum,Reggie Westwood,McMurphy Asylum,McMurphy Asylum,Reggie Westwood,Last Wave,use,Useable_labycorecar,1,,,,,,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Security Trooper,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Security Officer,2,,,,,,,,,,,,,,,,,,,,
Our Friendly Neighbour,13,15,Medium,,McMurphy Asylum,Reggie Westwood,McMurphy Asylum,McMurphy Asylum,Mac the Janitor,Taking Down Labycore,escort,Reggie Westwood,1,,,,,,,TRUE,,,,,,,,,,,,,
Bad Company,13,15,Medium,,McMurphy Asylum,Mac the Janitor,McMurphy Asylum,McMurphy Asylum,Mac the Janitor,Our Friendly Neighbour,eliminate,Heavy Security Trooper,4,,,,,,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,loot,Data disc,1,Heavy Security Trooper,,,,,,,,,,,,,,,,,,,
Take The Gears,13,15,Medium,,McMurphy Asylum,Mac the Janitor,McMurphy Asylum,McMurphy Asylum,Mac the Janitor,Bad Company,loot,Package,2,,,,,,,TRUE,,,,,,,,,,,,,
Doctor Dead,13,15,Medium,,McMurphy Asylum,Mac the Janitor,McMurphy Asylum,McMurphy Asylum,Mac the Janitor,Take The Gears,eliminate,Doctor Seiter,1,,,,,,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,loot,Data disc,1,Doctor Seiter,,,,,,,,,,,,,,,,,,,
What Is It All About,13,15,Medium,,McMurphy Asylum,Mac the Janitor,McMurphy Asylum,McMurphy Asylum,Mac the Janitor,Doctor Dead,use,Useable_computer_front,1,,,,,,,TRUE,,,,,,,,,,,,,
Macs Retribution,13,15,Medium,,McMurphy Asylum,Mac the Janitor,McMurphy Asylum,McMurphy Asylum,Reggie Westwood,What Is It All About,talk,Reggie Westwood,1,,,,,,,TRUE,,,,,,,,,,,,,
Get Certified,16,17,Medium,,Ratched Lane,Reggie Westwood,McMurphy Asylum,McMurphy Asylum,Simon Hibbert,Asylum Awaits,talk,Simon Hibbert,1,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Clean Sweep,16,17,Medium,,McMurphy Asylum,Simon Hibbert,McMurphy Asylum,McMurphy Asylum,Mac the Janitor,Get Certified,talk,Mac the Janitor,1,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Inmate 6733,16,17,Medium,,McMurphy Asylum,Mac the Janitor,McMurphy Asylum,McMurphy Asylum,AI,Clean Sweep,talk,AI,1,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Papillon,16,17,Medium,,McMurphy Asylum,AI,McMurphy Asylum,McMurphy Asylum,Jimbo,Inmate 6733,talk,Jimbo,1,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Drugs Don't Work,16,18,Hard,,McMurphy Asylum,Jimbo,McMurphy Asylum,McMurphy Asylum,Simon Hibbert,Papillon,eliminate,Doctor Seiter,1,,,,,,,,,,,Thick Leather Strap,,Elastic Belt,,Leather Strap,,"Sick, Sick, Sick",,,
Raid The Nuthouse,16,17,Easy,,Truck Dock,Xavier Chiarello,Ratched Lane,Ratched Lane,Reggie Westwood,,talk,Reggie Westwood,1,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Last drops,10,12,Medium,,Desert Highway,De La Vega,Camping Grounds,Desert Highway,De La Vega,Stare at the sun,use,electric_booth,3,,,,,,,,,,,,,,,,,Desert Raiders,,,
Burn the Buggies,10,12,Medium,,Oasis Health Station,Jarden Coggins,Desert Storm,Oasis Health Station,Jarden Coggins,Comandante Jarden,use,Useable Hooligan Jeep,2,,,,,,,,,,,,,,,,,Desert Rage,,,
,,,,,,,,,,,use,Useable Hooligan Jeep 2,1,,,,,,,,,,,,,,,,,,,,
Truck down,10,12,Medium,,Desert Highway,De La Vega,Desert Highway,Desert Highway,De La Vega,Raiders!,loot,Shipment,3,,,,,,,,,,,,,,,,,Desert Raiders,,,
,,,,,,,,,,,escort,Jorge the Driver,1,,,,,,,,,,,,,,,,,,,,
Main course,10,12,Medium,,Evolution Gate,Mango,Lemon Desert,Evolution Gate,Gatekeeper,Grand Culinaire,loot,Ant Egg,6,,,,,,,,,,,,,,,,,New Breed,,,
With sugar on top,10,12,Hard,,Evolution Gate,Gatekeeper,Rio Desert,Evolution Gate,Gatekeeper,Main course,loot,Ant Head,,Queen Ant,,,,,,,,,,,,,,,,New Breed,,,
Where Does It Lead,28,30,Hard,,Lovens Park South,Lola,Lovens Park West,Lovens Park South,Lola,,eliminate,Lava Ant,1,,,,,,,,,,,,,,,,,Turf Wars,,,
Take the lobby,30,28,Hard,,New Naples Street,Resistance Informant,New Naples Street,New Naples Street,Howlin' Wolfe,,eliminate,Steve the Custodian,1,,,,,,,,,,,,,,,,,Labycore R&D,,,
The flesh is weak,30,28,Hard,,New Naples Street,Howlin' Wolfe,New Naples Street,New Naples Street,Howlin' Wolfe,Take the lobby,eliminate,Dr. Bauhoff,1,,,,,,,,,,,,,,,,,Labycore R&D,,,
Placebo effect,30,28,Hard,,New Naples Street,Howlin' Wolfe,New Naples Street,New Naples Street,Howlin' Wolfe,Take the lobby,eliminate,Doctor Catherine,1,,,,,,,,,,,,,,,,,Labycore R&D,,,
Root of all evil,30,28,Hard,,New Naples Street,Howlin' Wolfe,New Naples Street,New Naples Street,Resistance Informant,Placebo effect,eliminate,Labycore VIP,5,,,,,,,,,,,,,,,,,Labycore R&D,,,
,,,,,,,,,,,eliminate,Security Captain,1,,,,,,,,,,,,,,,,,,,,
Corporate Johns,30,30,Hard,,Venice Hospital,Natalie,Venice Canal East,Venice Hospital,Natalie,,eliminate,Labycore VIP,5,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
Blood Sport,30,30,Hard,,Venice Hospital,Natalie,Venice Canal East,Venice Hospital,Natalie,,eliminate,Mr. Arms,1,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
,,,,,,,,,,,eliminate,Jimmy 'The Cage',1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Bob 'Six Shooter' Katt,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Charlotte,1,,,,,,,,,,,,,,,,,,,,
Free our sister,30,30,Hard,,Venice Hospital,Natalie,Venice Canal East,Venice Canal East,Valkyrie Elite,,talk,Valkyrie Elite,1,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
Regicide,30,30,Hard,,Venice Canal East,Valkyrie Elite,Venice Canal East,Venice Hospital,Natalie,Free our sister,eliminate,Queen Mary,1,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
,,,,,,,,,,,eliminate,Rockhead,1,,,,,,,,,,,,,,,,,,,,
New Breed Expansion,30,30,Hard,,Lemon Desert,Gatekeeper,Lemon Desert,Lemon Desert,Gatekeeper,,eliminate,Raider Colossus,,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
,,,,,,,,,,,eliminate,Raider Shaman,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Raider Chieftain,,,,,,,,,,,,,,,,,,,,,
Investigate the Mutation,18,20,Hard,,Alloy Plaza,Duke,Foundry Way,Alloy Plaza,Duke,,eliminate,Incomplete Mutant,10,,,,,,,,,,,Brawny Shoes,,Soft-soled Sneakers,,Glitter Shoes,,Inhuman Genome Project,,,
End the Breeding,18,20,Hard,,Alloy Plaza,Duke,Foundry Way,Alloy Plaza,Duke,,eliminate,Breeding Mutant,1,,,,,,,,,,,,,,,,,Inhuman Genome Project,,,
,,,,,,,,,,,eliminate,Heated Mutant,10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Fireheart,1,,,,,,,,,,,,,,,,,,,,
Terror From the Deep,28,30,Hard,,Truck Dock,De La Vega,Power Drive,Truck Dock,De La Vega,,eliminate,Mature Dragon,3,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
,,,,,,,,,,,eliminate,Devourer Dragon,1,,,,,,,,,,,,,,,,,,,,
Riot Rescue,30,30,Hard,,Market Square New Paris,Nea,New Peking Street,New Peking Street,Doctor Smythe,,eliminate,Hooligan Bruiser,1,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
Escape Plan,30,30,Hard,,New Peking Street,Doctor Smythe,New Peking Street,Market Square New Paris,Nea,Riot Rescue,eliminate,Supersoldier Officer,1,,,,,,,,,,,,,,,,,"Gear Up, Beat Em Up",,,
Keep Digging,14,15,Medium,,Oasis Health Station,Davey Knutsen,Messina Desert,Oasis Health Station,Davey Knutsen,,loot,Package,4,,,,,,true,,,,,,,,,,,Daily,Heavy Metal,10,
,,,,,,,,,,,loot,Package,2,Headbanger Mutant,,,,,,,,,,,,,,,,,,,
Salvage,22,23,Medium,,Alloy Plaza,Sammy Schomer,Mill Park,Alloy Plaza,Sammy Schomer,,loot,Package,2,Berserk Mutant,,,,,true,,,,,,,,,,,Daily,Armor Plates,10,
,,,,,,,,,,,loot,Package,2,Madhouse Mutant,,,,,,,,,,,,,,,,,,,
Supply Run,26,27,Medium,,Supply Depot,Kaylee,New Dublin Street,Supply Depot,Kaylee,,loot,Shipment,2,Security Trooper,,,,,true,,,,,,,,,,,Daily,Nanobots,10,
,,,,,,,,,,,loot,Goods,2,Eastern Queen,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,loot,Package,2,Turret Gun,,,,,,,,,,,,,,,,,,,
Reloading!,1,1,Medium,,Lovens Road,Fireman Dave,Lovens Road,Lovens Road,Fireman Dave,,loot,Box of Ammo,6,,,,,,,,,,,Haft Order (8h),,Bullet Order (8h),,Bullet Order (8h),,Lovens Road,,,
Rest in Pieces,2,3,Medium,,Lovens Road,Billie Biker,Lovens Road,Lovens Road,Billie Biker,Reloading!,eliminate,Gang Member Zombie,8,,,true,20,,,,,,,Favorite Pants,,Ordinary Pants,,Ordinary Pants,,Lovens Road,,,
Bitter Taste,2,,Medium,,Lovens Road,Plumber Joe,Lovens Road,Lovens Road,Plumber Joe,Reloading!,loot,Metal Shard,8,,,true,10,10,,,,,,,,,,,,Lovens Road,Bolts,30,
Voice Out There,2,2,Easy,,Lovens Road,Fireman Dave,Lovens Road,Lovens Road,IzaK,Rest in Pieces,talk,IzaK,1,,,,,,,,,,,,,,,,,Lovens Road,,,
Zap!,2,3,Medium,,Lovens Road,IzaK,Lovens Road,Lovens Road,IzaK,Clear Skies,loot,Battery Shelf,6,,,,,,,,,,,Used Cool Hat,of the Beast,Used Cool Cap,of the Hunter,Used Cool Cap,of Health,Lovens Road,,,graphics/mission/item_hint_01.png
Static,2,4,Medium,,Lovens Road,IzaK,Lovens Road,Lovens Road,IzaK,Zap!,loot,trash wire,5,,,true,10,30,,,,,,Casual Black Gloves,,Casual Dark Gloves,,Casual Dark Gloves,,Lovens Road,,,
