Name,InitialReputation,LoadingScreenImage,MaleDamageSound,FemaleDamageSound,MaleDeathSound,FemaleDeathSound,MaleGreetingsSound,FemaleGreetingsSound,MaleGoodbyeSound,FemaleGoodbyeSound,MapColorPassable,MapColorNonPassable,MapColorDeco,MapColorShadow,TimelineImage
Dockers,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Hooligans,-1,graphics/hud/loading_screens/hooligans.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/hooligans.png
Mad Dogs,-1,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/mad_dogs.png
Mercenary,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
DAPD,,graphics/hud/loading_screens/general.jpg,VoBloodpitsMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
13 Diablos,,graphics/hud/loading_screens/diablos.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Player,,graphics/hud/loading_screens/general.jpg,VoPlayerMaleDamage,VoPlayerFemaleDamage,VoPlayerMaleDeath,VoPlayerFemaleDeath,,,,,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Labycore,-1,graphics/hud/loading_screens/labycore.jpg,VoPlayerMaleDamage,VoPlayerFemaleDamage,VoPlayerMaleDeath,VoPlayerFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/labycore.png
Eastern Queens,,graphics/hud/loading_screens/eastern_queens.jpg,,VoGenericFemaleDamage,,VoGenericFemaleDeath,,VoGenericFemaleGreetings,,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/eastern_queens.png
Hired Guns,,graphics/hud/loading_screens/mercenaries.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/mercenaries.png
Junkie,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Sewer Voodoo,-1,graphics/hud/loading_screens/voodoos.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/voodoo.png
Club Flesh,-1,graphics/hud/loading_screens/club_flesh.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/club_flesh.png
Disrupters,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Prison Warder,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/labycore.png
Inmate,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Knocked down,,graphics/hud/loading_screens/general.jpg,,,,,,,,,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Resistance,,graphics/hud/loading_screens/resistance.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Dawnbreak City,,graphics/hud/loading_screens/general_fancy.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Raiders,,graphics/hud/loading_screens/raiders.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/hooligans.png
Crafting Bot,,graphics/hud/loading_screens/resistance.jpg,,,,,,,,,,,,,graphics/timeline_icons/RIP.png
Mutants,,graphics/hud/loading_screens/mutants.jpg,,,VoMutantDeath,VoMutantDeath,VoMutantGreetings,VoMutantGreetings,VoMutantBye,VoMutantBye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/mutants.png
Ants,,graphics/hud/loading_screens/general.jpg,,,VoGiantAntDeath,VoGiantAntDeath,,,,,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Dead,,graphics/hud/loading_screens/general.jpg,,,,,,,,,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Refugee,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Lizard,,graphics/hud/loading_screens/general.jpg,,,VoLizardDeath,VoLizardDeath,,,,,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Refugee Girls,,graphics/hud/loading_screens/general.jpg,,,,,,,,,,,,,graphics/timeline_icons/RIP.png
Welcome!,,graphics/hud/loading_screens/general_fancy.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Locked Up,,graphics/hud/loading_screens/loading_screen_surgery.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Hunted!,,graphics/hud/loading_screens/grim_gonzales.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Heavy Metal,,graphics/hud/loading_screens/defoe_mech.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
PVP,,graphics/hud/loading_screens/pvp.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Undead,,graphics/hud/loading_screens/loadingscreen_zombie04.png,VoZombieLowQuick,VoZombieLowQuick,VoZombieDeath,VoZombieFemaleDeath,,,,,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
