Name,RequiredWeaponClass,RequiredLevel,Rarity,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,CraftCost,DiamondsOnly,DiamondCost,EnergyCost,CoolDown,Cast,Threat,HealthCost,Projectile,TargetFilter,Range,AoeRadius,AoeFilter,MinDamage,MaxDamage,MinEnergy,MaxEnergy,PushBack,Animation,WeaponClassAnimation,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffExperience,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffEnergy,BuffDamage,BuffEffect,SpecialWeapon
Hurricane,Melee Weapon,6,Common,,1,,100,,1,20,20000,600,130,,,self,,30,enemy,2,3,,,TRUE,Twirler,,20,TID_TOOLTIP_SKILL_Hurricane,,WhirlWind,Skill_FX_Twirler_Hit,,,,,,Trail,,,,,,,,,,,,,,,,,,,,
,,8,,,5,,200,,1,22,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,20,,300,,1,24,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,1,,,400,,1,26,,,,,,,,,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,2,,,500,,1,28,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,4,,,600,,1,30,,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,,6,,,700,,1,32,,,,,,,,,,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,,8,,,800,,1,34,,,,,,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,,10,,,900,,1,36,,,,,,,,,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,18,,,1000,,1,38,,,,,,,,,,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggro Smash,Melee Weapon,15,Rare,12,,,1000,,1,30,30000,600,320,,,self,,50,enemy,,,,,,Slammer,,79,TID_TOOLTIP_SKILL_AggroSmash,,Skill_FX_Rude_Smash,Skill_FX_Twirler_Hit,Skill_Skull_Crush,,,,,Trail,,,4000,,,TRUE,,,,,,,,,,,,,,
,,19,,16,,,1500,,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,,20,,,2000,,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,,24,,,2500,,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,32,,,3000,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berserk Rage,,16,Rare,12,,,1000,,1,60,350000,0,100,,,self,,,,,,,,,Rage,,80,TID_TOOLTIP_SKILL_BerserkStrike,,SupporterEffect01,,Skill_Heavy_Armor,,,,,,,,15000,,,,,30,,,,,,,50,,,,,
,,22,,16,,,1500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,30,,,,,,,80,,,,,
,,26,,20,,,2000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,,,30,,,,,,,95,,,,,
,,29,,24,,,2500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,,30,,,,,,,105,,,,,
,,30,,32,,,3000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,,30,,,,,,,111,,,,,
Crippling Shot,Ranged Weapon,3,Common,,1,,100,,1,15,5000,500,50,,,enemy,,,,4,5,,,,,SkillAnimation_AutoAttack,73,TID_TOOLTIP_SKILL_CripplingShot,,Skill_FX_BulletRain,Skill_FX_Twirler_Hit,,,CrippleShot,CrippleShot,,,,,7000,,,,-50,,,,,,,,,,,,,
,,5,,,5,,200,,1,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,20,,300,,1,,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,1,,,400,,1,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,2,,,500,,1,,,,,,,,,,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,4,,,600,,1,,,,,,,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,6,,,700,,1,,,,,,,,,,,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,8,,,800,,1,,,,,,,,,,,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,,10,,,900,,1,,,,,,,,,,,34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,18,,,1000,,1,,,,,,,,,,,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repel,Ranged Weapon,4,Common,,30,,500,,1,40,15000,200,70,,,enemy,,50,enemy,,,,,TRUE,,SkillAnimation_AutoAttack,72,TID_TOOLTIP_SKILL_Repel,Skill_FX_Leg_Breaker,,Skill_FX_Rude_Smash,,,,,,,,,4000,,,TRUE,,,,,,,,,,,,,,
Ripping Shot,Ranged Weapon,6,Common,,1,,100,,1,30,35000,500,40,,,enemy,,,,2,3,,,,,SkillAnimation_AimedShot,59,TID_TOOLTIP_SKILL_RippingShot,,,Skill_FX_Obnoxious_Shot,,,WoundShot,WoundShot,,,,,2500,,,,,,,,,,,,,,-6,8,,
,,8,,,5,,200,,1,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8,12,,
,,10,,,20,,300,,1,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,24,,
,,13,,1,,,400,,1,,,,,,,,,,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,36,,
,,16,,2,,,500,,1,,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,57,,
,,19,,4,,,600,,1,,,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,83,,
,,23,,6,,,700,,1,,,,,,,,,,,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110,90,,
,,26,,8,,,800,,1,,,,,,,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-140,110,,
,,28,,10,,,900,,1,,,,,,,,,,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-170,130,,
,,30,,18,,,1000,,1,,,,,,,,,,,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,150,,
Energy Spike,,8,Common,,1,,100,,1,20,120000,0,80,,,self+friendly,80,,,,,40,40,,Cheer1,,7,TID_TOOLTIP_SKILL_EnergySpike,Skill_FX_Supporter,,Skill_FX_Supporter_Target,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,5,,200,,1,,120000,,,,,,,,,,,60,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,20,,300,,1,,110000,,,,,,,,,,,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,,1,,,400,,1,,100000,,,,,,,,,,,100,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,2,,,500,,1,,90000,,,,,,,,,,,120,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,,4,,,600,,1,,80000,,,,,,,,,,,140,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,,6,,,700,,1,,70000,,,,,,,,,,,160,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,,8,,,800,,1,,68000,,,,,,,,,,,180,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,,10,,,900,,1,,65000,,,,,,,,,,,200,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,18,,,1000,,1,,60000,,,,,,,,,,,220,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocket Rocket,Ranged Weapon,15,Rare,12,,,1000,,1,60,50000,1200,60,,,enemy,,50,enemy,28,34,,,,,SkillAnimation_AutoAttack,17,TID_TOOLTIP_SKILL_PocketRocket,,Skill_FX_Twirler_Hit,MightyExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,16,,,1500,,1,,,,,,,,,,,36,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,,20,,,2000,,1,,,,,,,,,,,78,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,,24,,,2500,,1,,,,,,,,,,,90,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,32,,,3000,,1,,,,,,,,,,,96,102,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
Smooth Moves,,16,Rare,12,,,1000,,1,30,120000,500,70,,,self,,80,self+friendly,,,,,,,,60,TID_TOOLTIP_SKILL_SmoothMoves,Skill_FX_Supporter,,Skill_FX_Supporter_Target,,,,,,,,,8000,,,,20,10,,,,,,,,,,,,
,,22,,16,,,1500,,1,,,,,,,,,,,,,,,,,,,TID_TOOLTIP_SKILL_SmoothMoves,,,,,,,,,,,,12000,,,,20,15,,,,,,,,,,,,
,,26,,20,,,2000,,1,,,,,,,,,,,,,,,,,,,TID_TOOLTIP_SKILL_SmoothMoves,,,,,,,,,,,,16000,,,,20,20,,,,,,,,,,,,
,,29,,24,,,2500,,1,,,,,,,,,,,,,,,,,,,TID_TOOLTIP_SKILL_SmoothMoves,,,,,,,,,,,,20000,,,,20,25,,,,,,,,,,,,
,,30,,32,,,3000,,1,,,,,,,,,,,,,,,,,,,TID_TOOLTIP_SKILL_SmoothMoves2,,,,,,,,,,,,30000,,,,20,30,,,,,,,,,,,,
Knocker,Ranged Weapon,3,Common,,1,,100,,1,15,8000,800,50,,,enemy,,,,4,5,,,TRUE,,SkillAnimation_AutoAttack,75,TID_TOOLTIP_SKILL_Knocker,,,Skill_FX_Arms_Eater,,,CrippleShot,CrippleShot,,,,,,,,,,,,,,,,,,,,,,
,,5,,,5,,200,,1,18,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,20,,300,,1,21,,,,,,,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,1,,,400,,1,24,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,2,,,500,,1,27,,,,,,,,,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,4,,,600,,1,30,,,,,,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,6,,,700,,1,33,,,,,,,,,,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,8,,,800,,1,36,,,,,,,,,,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,,10,,,900,,1,39,,,,,,,,,,34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,18,,,1000,,1,42,,,,,,,,,,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Heal,,4,Common,,1,,100,,1,18,6000,400,25,,,self+friendly,120,,,-100,-125,,,,,SkillAnimation_AutoAttack,48,TID_TOOLTIP_SKILL_QuickHeal,,,HealingEffect,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,5,,200,,1,21,6000,,30,,,,,,,-150,-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,20,,300,,1,23,6000,,35,,,,,,,-200,-225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,1,,,400,,1,26,5000,,40,,,,,,,-280,-310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,,2,,,500,,1,29,5000,,45,,,,,,,-340,-390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,4,,,600,,1,31,5000,,50,,,,,,,-400,-425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,,6,,,700,,1,33,4000,,55,,,,,,,-480,-525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,,8,,,800,,1,36,4000,,60,,,,,,,-600,-640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,,10,,,900,,1,39,4000,,65,,,,,,,-650,-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,18,,,1000,,1,41,3000,,70,,,,,,,-798,-853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mend,,6,Common,,1,,100,,1,14,20000,500,25,,,self+friendly,120,,,,,,,,,SkillAnimation_AutoAttack,51,TID_TOOLTIP_SKILL_Mend,,,HealingEffect,,,,,,,,,10000,,,,,,,,,,,,,,,-350,,
,,8,,,5,,200,,1,16,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-530,,
,,10,,,20,,300,,1,18,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-720,,
,,13,,1,,,400,,1,20,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-910,,
,,16,,2,,,500,,1,22,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1180,,
,,19,,4,,,600,,1,24,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1500,,
,,23,,6,,,700,,1,26,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2200,,
,,26,,8,,,800,,1,28,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2380,,
,,28,,10,,,900,,1,30,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2500,,
,,30,,18,,,1000,,1,32,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2620,,
Doctor's Shield,,8,Common,2,,,500,,1,30,120000,0,20,,,self,120,,,,,,,,Cheer1,,16,TID_TOOLTIP_SKILL_DoctorsShield,Skill_FX_Supporter,Skill_FX_Supporter_Target,,,,,,,,,,25000,,,,,,,,,400,,,,,,,,
Group Heal,,15,Rare,12,,,1000,,1,50,40000,600,100,,,self,,70,self+friendly,-1500,-1700,,,,,SkillAnimation_AutoAttack,77,TID_TOOLTIP_SKILL_GroupHeal,Skill_FX_Supporter,Skill_FX_Doctors_Appointment,HealingEffect,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,16,,,1500,,1,52,,,150,,,,,,,-1700,-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,,20,,,2000,,1,54,,,200,,,,,,,-2000,-2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,,24,,,2500,,1,56,,,225,,,,,,,-2500,-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,,32,,,3000,,1,58,,,250,,,,,,,-3000,-4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonic Boom,,16,Rare,12,,,1000,,1,15,150000,200,60,,,enemy,100,50,enemy,,,,,,,SkillAnimation_AutoAttack,78,TID_TOOLTIP_SKILL_SonicBoom,Stun,,Skill_FX_Leg_Shot,,,,,,,,,2000,,,TRUE,,,,,,,,,,,,,,
,,22,,16,,,1500,,1,20,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,TRUE,,,,,,,,,,,,,,
,,26,,20,,,2000,,1,25,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,TRUE,,,,,,,,,,,,,,
,,29,,24,,,2500,,1,30,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,TRUE,,,,,,,,,,,,,,
,,30,,32,,,3000,,1,35,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,TRUE,,,,,,,,,,,,,,
Taunt,,8,Common,2,,,500,,1,10,8000,0,750,,,enemy,100,,,,,,,,Taunt,,6,TID_TOOLTIP_SKILL_Taunt,Stun,,,,,,,,Trail,,,,,,,,,,,,,,,,,,,,
