Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Holo Necklace,Necklace,,24,Uncommon,,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Mega Power Bandana,Bandana,,26,Uncommon,,TRUE,of Determination,,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Hyper Power Bandana,Bandana,,30,Uncommon,,TRUE,of Determination,,,,,,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Celestial Power Bandana,Bandana,,30,Uncommon,,TRUE,of Determination,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Piecemeal Necklace,Necklace,,6,Rare,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Manufactured Necklace,Necklace,,9,Rare,TRUE,TRUE,of the Legend,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Handmade Necklace,Necklace,,12,Rare,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Unique Necklace,Necklace,,15,Rare,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Steel Chain,Necklace,,18,Rare,TRUE,TRUE,of the Legend,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Barbed Chain,Necklace,,21,Rare,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Gilded Chain,Necklace,,24,Rare,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Good Luck Charm,Necklace,,27,Rare,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Crazy Ivan's Necklace,Necklace,,30,Rare,TRUE,TRUE,of the Legend,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Feelgood Bandana,Bandana,,5,Epic,TRUE,TRUE,of the Legend,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Comforting Bandana,Bandana,,6,Epic,,TRUE,of the Legend,,,,,,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Motivational Bandana,Bandana,,7,Epic,TRUE,TRUE,of Determination,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Inspirational Bandana,Bandana,,9,Epic,TRUE,TRUE,of Determination,,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Crazy Necklace,Necklace,,11,Epic,TRUE,TRUE,of the Legend,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Lucky's Necklace,Necklace,,13,Epic,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Rat Pack's Necklace,Necklace,,15,Epic,TRUE,TRUE,of Determination,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Top Dog's Necklace,Necklace,,17,Epic,TRUE,TRUE,of the Legend,,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Gunfighter's Bandana,Bandana,,19,Epic,TRUE,TRUE,of Determination,,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Infiltrator's Bandana,Bandana,,20,Epic,,TRUE,of Determination,,,,,,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Expert's Bandana,Bandana,,21,Epic,TRUE,TRUE,of the Legend,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Mentor's Bandana,Bandana,,23,Epic,TRUE,TRUE,of Determination,,,,,,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Guru's Bandana,Bandana,,25,Epic,TRUE,TRUE,of Determination,,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Attitude Wrap,Scarf,,27,Epic,TRUE,TRUE,of the Legend,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Neck Wrap,Scarf,,29,Epic,TRUE,TRUE,of Determination,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Neck Hugger,Scarf,,30,Epic,TRUE,TRUE,of Determination,2,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Voodoo Headwear,Scarf,,30,Epic,,TRUE,of the Legend,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Street Breather,Bandana,,30,Epic,TRUE,TRUE,of the Legend,3,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Attitute Wrapper,Scarf,,30,Epic,TRUE,TRUE,of Determination,4,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Master's Scarf,Scarf,,4,Common,,TRUE,,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Zombie Scarf,Scarf,,30,Epic,,TRUE,of the Legend,3,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Gangsta's Scarf,Scarf,,30,Epic,TRUE,TRUE,of the Legend,3,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Good Wrap,Scarf,,30,Uncommon,,TRUE,of the Hunter,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Fine Wrap,Scarf,,30,Uncommon,,TRUE,of the Troublemaker,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_coral.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Credible Wrap,Scarf,,30,Uncommon,,TRUE,of the Assassin,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_cyan.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Bandit's Bandana,Bandana,,30,Uncommon,,TRUE,of Capacity,1,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Excellent Wrap,Scarf,,30,Rare,,TRUE,of Rationality,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Marvelous Wrap,Scarf,,30,Rare,,TRUE,of the Painmaker,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Bandit's Headscarf,Bandana,,30,Rare,,TRUE,of the Predator,1,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_yellow.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Street Wise Wrap,Scarf,,30,Uncommon,,TRUE,of Health,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Worthy Wrap,Scarf,,30,Uncommon,,TRUE,of Brightness,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_coral.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Boosted Wrap,Scarf,,30,Uncommon,,TRUE,of Rationality,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_cyan.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Trooper's Bandana,Bandana,,30,Uncommon,,TRUE,of Intuition,1,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Awesome Wrap,Scarf,,30,Rare,,TRUE,of the Legend,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Greater Wrap,Scarf,,30,Rare,,TRUE,of Brightness,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,23,graphics/loot/loot_box1.swf,LootNecklace,,
Trooper's Headscarf,Bandana,,30,Rare,,TRUE,of the Scientist,1,,,graphics/3d/hats/on_skin_textures/bandana_purple_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_yellow.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Acute Wrap,Scarf,,30,Uncommon,,TRUE,of the Beast,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,12,graphics/loot/loot_box1.swf,LootNecklace,,
Genuine Wrap,Scarf,,30,Uncommon,,TRUE,of Stamina,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_coral.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Special Wrap,Scarf,,30,Uncommon,,TRUE,of the Thug,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_cyan.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Bodyguard's Bandana,Bandana,,30,Uncommon,,TRUE,of the Judgment,1,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,7,graphics/loot/loot_box1.swf,LootNecklace,,
Singular Wrap,Scarf,,30,Rare,,TRUE,of the Predator,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_grey.png,,14,graphics/loot/loot_box1.swf,LootNecklace,,
Exquisite Wrap,Scarf,,30,Rare,,TRUE,of the Thug,,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_red.png,,22,graphics/loot/loot_box1.swf,LootNecklace,,
Bodyguard's Headscarf,Bandana,,30,Rare,,TRUE,of Determination,1,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_yellow.png,,22,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Power Plant,Keycard,,28,Uncommon,,TRUE,,,,,,,,,,,,,26,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Dr. Bauhoff,Keycard,,28,Uncommon,,TRUE,,,,,,,,,,,,,36,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Seven Deadly Sins,Keycard,,28,Epic,,TRUE,,,,,,,,,,,,,56,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Queen of Diamonds,Keycard,,28,Rare,,TRUE,,,,,,,,,,,,,51,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Riot Town,Keycard,,28,Rare,,TRUE,,,,,,,,,,,,,31,graphics/loot/loot_box1.swf,LootNecklace,,
Key to the Slavemaster,Keycard,,28,Uncommon,,TRUE,,,,,,,,,,,,,46,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Raider Valley,Keycard,,28,Rare,,TRUE,,,,,,,,,,,,,61,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Devourer Dragon,Keycard,,28,Rare,,TRUE,,,,,,,,,,,,,41,graphics/loot/loot_box1.swf,LootNecklace,,
Gastrowire,Necklace,,30,Epic,,TRUE,of Health,1,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Life Cell Necklace,Necklace,,30,Epic,,TRUE,of the Hunter,1,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Technowire,Necklace,,30,Epic,,TRUE,of Stamina,1,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Gyrocontigation Necklace,Necklace,,30,Epic,,TRUE,of the Thug,2,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Key to Raider Village,Keycard,,28,Rare,,TRUE,,,,,,,,,,,,,66,graphics/loot/loot_box1.swf,LootNecklace,,
Labycore Health Bandana,Bandana,,30,Epic,,TRUE,of the Legend,2,,,graphics/3d/hats/on_skin_textures/bandana_blackred_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_yellow.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Labycore Power Scarf,Scarf,,30,Epic,,TRUE,of the Ambusher,2,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_blue.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Labycore Strength Scarf,Scarf,,30,Epic,,TRUE,of the Destroyer,2,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_coral.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Deadguys Melee Scarf,Scarf,,30,Epic,,TRUE,of the Hunter,2,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_coral.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Deadguys Ranged Lace,Necklace,,30,Epic,,TRUE,of the Beast,2,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Deadguys Multibandana,Bandana,,30,Epic,,TRUE,of the Troublemaker,2,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,7,graphics/loot/loot_box1.swf,LootNecklace,,
Deadguys Scarf,Scarf,,30,Rare,,TRUE,of the Hunter,0,,,,,graphics/3d/scarf/male_scarf.SUP,scarf_black,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_coral.png,,,graphics/loot/loot_box1.swf,LootNecklace,,
Deadguys Necklace,Necklace,,30,Rare,,TRUE,of the Beast,0,,,,,,,,,,,,graphics/loot/loot_box1.swf,LootNecklace,,
Deadguys Bandana,Bandana,,30,Rare,,TRUE,of the Troublemaker,0,,,graphics/3d/hats/on_skin_textures/bandana_green_face.png,graphics/3d/scarf/textures/female_bandana_texture.png,,,graphics/3d/scarf/female_scarf.SUP,scarf,graphics/3d/scarf/textures/scarf_green.png,,7,graphics/loot/loot_box1.swf,LootNecklace,,
