Name,NPCItem,EquipmentClass,ClothClass,RequiredLevel,Rarity,Tier,Enhancement,Texture,FemaleTexture,LootDisabled,PostToSocialNetworks
First-Class White Sneakers,,White Sneakers,Large,30,Rare,,of the Predator,graphics/3d/character/shoes/sneakers_03_m.png,graphics/3d/character/shoes/sneakers_03_f.png,TRUE,TRUE
Excellent Brown Shoes,,Brown Shoes,Small,19,Rare,,of the Legend,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Outstanding White Sneakers,,White Sneakers,Small,28,Rare,,of the Ambusher,graphics/3d/character/shoes/sneakers_03_m.png,graphics/3d/character/shoes/sneakers_03_f.png,TRUE,TRUE
Superfine White Sneakers,,White Sneakers,Small,29,Rare,,of the Crymaker,graphics/3d/character/shoes/sneakers_03_m.png,graphics/3d/character/shoes/sneakers_03_f.png,TRUE,TRUE
Excellent White Sneakers,,White Sneakers,Small,30,Rare,,of 6th Sense,graphics/3d/character/shoes/sneakers_03_m.png,graphics/3d/character/shoes/sneakers_03_f.png,TRUE,TRUE
Worthy Boots,,Boots,Large,28,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,TRUE,TRUE
Boosted Boots,,Boots,Large,30,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,TRUE,TRUE
Worthy Black Boots,,Black Boots,Large,20,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Boosted Black Boots,,Black Boots,Large,23,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Acute Black Boots,,Black Boots,Large,25,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Great Black Shoes,,Black Shoes,Large,9,Uncommon,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Cool Black Shoes,,Black Shoes,Large,14,Uncommon,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Good Black Shoes,,Black Shoes,Large,25,Uncommon,,,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Cool Brown Shoes,,Brown Shoes,Large,15,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Good Brown Shoes,,Brown Shoes,Large,16,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Good Sneakers,,Sneakers,Large,12,Uncommon,,,graphics/3d/character/shoes/sneakers_01_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Fine Sneakers,,Sneakers,Large,15,Uncommon,,,graphics/3d/character/shoes/sneakers_01_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Credible Sneakers,,Sneakers,Large,16,Uncommon,,,graphics/3d/character/shoes/sneakers_02_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Street Wise Sneakers,,Sneakers,Large,19,Uncommon,,,graphics/3d/character/shoes/sneakers_02_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Worthy Sneakers,,Sneakers,Large,20,Uncommon,,,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Boosted Sneakers,,Sneakers,Large,22,Uncommon,,,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Acute Sneakers,,Sneakers,Large,24,Uncommon,,,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Acute Dark Sneakers,,Dark Sneakers,Large,14,Uncommon,,,graphics/3d/character/shoes/sneakers_06_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Genuine Dark Sneakers,,Dark Sneakers,Large,17,Uncommon,,,graphics/3d/character/shoes/sneakers_06_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Acute Boots,,Boots,Small,28,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,TRUE,TRUE
Genuine Boots,,Boots,Small,30,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_02_f.png,TRUE,TRUE
Street Wise Black Boots,,Black Boots,Small,20,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Genuine Black Boots,,Black Boots,Small,23,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Special Black Boots,,Black Boots,Small,25,Uncommon,,,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Fine Black Shoes,,Black Shoes,Small,9,Uncommon,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Credible Black Shoes,,Black Shoes,Small,14,Uncommon,,,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Street Wise Black Shoes,,Black Shoes,Small,19,Uncommon,,,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Worthy Black Shoes,,Black Shoes,Small,25,Uncommon,,,graphics/3d/character/shoes/shoes_black_03_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Fine Brown Shoes,,Brown Shoes,Small,15,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Credible Brown Shoes,,Brown Shoes,Small,16,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Genuine Sneakers,,Sneakers,Small,12,Uncommon,,,graphics/3d/character/shoes/sneakers_01_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Special Sneakers,,Sneakers,Small,15,Uncommon,,,graphics/3d/character/shoes/sneakers_01_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Elegant Sneakers,,Sneakers,Small,16,Uncommon,,,graphics/3d/character/shoes/sneakers_02_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Great Sneakers,,Sneakers,Small,19,Uncommon,,,graphics/3d/character/shoes/sneakers_02_m.png,graphics/3d/character/shoes/sneakers_02_f.png,TRUE,TRUE
Cool Sneakers,,Sneakers,Small,20,Uncommon,,,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Special Dark Sneakers,,Dark Sneakers,Small,14,Uncommon,,,graphics/3d/character/shoes/sneakers_06_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Elegant Dark Sneakers,,Dark Sneakers,Small,17,Uncommon,,,graphics/3d/character/shoes/sneakers_06_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Great Dark Sneakers,,Dark Sneakers,Small,19,Uncommon,,,graphics/3d/character/shoes/sneakers_06_m.png,graphics/3d/character/shoes/sneakers_06_f.png,TRUE,TRUE
Special Madman's Shoes,,Brown Shoes,Small,11,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Great Madman's Shoes,,Brown Shoes,Large,11,Uncommon,,,graphics/3d/character/shoes/shoes_brown_01_m.png,graphics/3d/character/shoes/shoes_brown_01_f.png,TRUE,TRUE
Credible Killmaster's Shoes,,Black Shoes,Small,25,Uncommon,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Fine Killmaster's Shoes,,Black Shoes,Large,25,Uncommon,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
NPC MALE Prison Warder Shoes,true,Boots,Large,1,Uncommon,,,graphics/3d/character/labycorp_textures/npc_security_guard_boots.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Boots of Normal,,Shoes,Large,1,Poor,,,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Diagnostic's Clogs of Mundane,,Shoes,Small,1,Poor,,,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Fluffy Shoes of Ordinary,,Shoes,Small,1,Poor,,,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,TRUE,
Greater Boots,,Shoes,Large,3,Rare,,of the Judgment,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Awesome Boots,,Shoes,Large,10,Rare,,of the Judgment,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Marvelous Boots,,Shoes,Large,17,Rare,,of the Judgment,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Mighty Boots,,Shoes,Large,21,Rare,,of the Judgment,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Righteuous Boots,,Shoes,Large,30,Rare,3,of the Judgment,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Singular Boots,,Shoes,Small,3,Rare,,of the Ambusher,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Exquisite Boots,,Shoes,Small,10,Rare,,of the Ambusher,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Wacky Boots,,Shoes,Small,17,Rare,,of the Ambusher,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Extreme Boots,,Shoes,Small,21,Rare,,of the Ambusher,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Superior Boots,,Shoes,Small,30,Rare,4,of the Ambusher,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Singular Shoes,,Sneakers,Small,7,Rare,,of 6th Sense,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Exquisite Shoes,,Sneakers,Small,13,Rare,,of 6th Sense,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Wacky Shoes,,Sneakers,Small,19,Rare,,of 6th Sense,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Extreme Shoes,,Sneakers,Small,24,Rare,,of 6th Sense,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Superior Shoes,,Sneakers,Small,28,Rare,4,of 6th Sense,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Singular Sneakers,,Sneakers,Large,7,Rare,,of the Painmaker,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Exquisite Sneakers,,Sneakers,Large,13,Rare,,of the Painmaker,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Wacky Sneakers,,Sneakers,Large,19,Rare,,of the Painmaker,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Extreme Sneakers,,Sneakers,Large,24,Rare,,of the Painmaker,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Superior Sneakers,,Sneakers,Large,28,Rare,3,of the Painmaker,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
NPC Mutant Shoes,true,Boots,Large,1,Uncommon,,,graphics/3d/character/labycorp_textures/mutant_shoes_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
NPC Mutant Shoes 2,true,Boots,Large,1,Uncommon,,,graphics/3d/character/labycorp_textures/mutant_shoes2_m.png,graphics/3d/character/shoes/boots_black_01_f.png,TRUE,
Hermit Shoes,,Shoes,Large,15,Rare,,,graphics/3d/character/shoes/bodyguard_shoes_m.png,graphics/3d/character/shoes/bodyguard_shoes_f.png,TRUE,
Hermit Boots,,Shoes,Small,15,Rare,,,graphics/3d/character/shoes/hunter_shoes_m.png,graphics/3d/character/shoes/hunter_shoes_f.png,TRUE,
Surgeon's Shoes,,Black Shoes,Small,30,Epic,,of the Crymaker,graphics/3d/character/shoes/shoes_black_02_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,TRUE
Manhunter's Boots,,Black Boots,Small,30,Epic,,of the Ambusher,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Bodybreaker's Boots,,Black Boots,Large,30,Epic,,of the Judgment,graphics/3d/character/shoes/boots_black_01_m.png,graphics/3d/character/shoes/boots_black_03_f.png,TRUE,TRUE
Waterlogged Shoes,,Black Shoes,Large,4,Common,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Refugee's Shoes,,Black Shoes,Small,4,Common,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Rebellious Shoes,,Black Shoes,Small,4,Common,,,graphics/3d/character/shoes/shoes_black_01_m.png,graphics/3d/character/shoes/shoes_black_03_f.png,TRUE,
Drug-Stained Shoes,,Sneakers,Large,10,Uncommon,,,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Psychedelic Shoes,,Sneakers,Small,10,Uncommon,,,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
Stoned Shoes,,Sneakers,Small,10,Uncommon,,,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,TRUE,
