Name,WeaponClass,RequiredLevel,Rarity,Tier,DiamondsOnly,Enhancement,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,DiamondCostExact
Respectable Battle Rifle,Battle Rifle,10,Rare,,,of the Ambusher,,,,,,,,,,,,,TRUE,,TRUE,
Crazy Battle Rifle,Battle Rifle,14,Rare,,,of the Crymaker,,,,,,,,,,,,,TRUE,,TRUE,
Extreme Battle Rifle,Battle Rifle,19,Rare,,,of 6th Sense,,7,,,,,,,,,,,TRUE,,TRUE,
Wacky Battle Rifle,Battle Rifle,26,Rare,,,of the Ambusher,,7,,,,,,,,,,,TRUE,,TRUE,
High Power Battle Rifle,Battle Rifle,30,Rare,,,of the Crymaker,,7,,,,,,,,,,,TRUE,,TRUE,
Extreme Assault Rifle,Assault Rifle,8,Rare,,,of 6th Sense,TRUE,15,,,,,,,,,,,TRUE,,TRUE,
Crazy Assault Rifle,Assault Rifle,13,Rare,,,of the Ambusher,,19,,,,,,,,,,,TRUE,,TRUE,
High Power Assault Rifle,Assault Rifle,30,Rare,2,,of the Crymaker,,22,,,,,,,,,,,TRUE,,TRUE,
Troublemaker's Assault Rifle,Assault Rifle,3,Epic,,,of the Ambusher,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Hustla's Assault Rifle,Assault Rifle,6,Epic,,,of the Crymaker,,25,,,,,,,,,,,TRUE,,TRUE,
Madcap's Assault Rifle,Assault Rifle,9,Epic,,,of 6th Sense,,25,,,,,,,,,,,TRUE,,TRUE,
Hothead's Assault Rifle,Assault Rifle,14,Epic,,,of the Ambusher,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Daredevil's Assault Rifle,Assault Rifle,17,Epic,,,of the Crymaker,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Crymaker's Assault Rifle,Assault Rifle,22,Epic,,,of 6th Sense,,25,,,,,,,,,,,TRUE,,TRUE,
Anguisher's Assault Rifle,Assault Rifle,26,Epic,,,of the Ambusher,,25,,,,,,,,,,,TRUE,,TRUE,
Painmaker's Assault Rifle,Assault Rifle,30,Epic,,,of the Crymaker,,25,,,,,,,,,,,TRUE,,TRUE,
First Class Assault Rifle,Assault Rifle,18,Rare,,,,,,,,,,,,,,,,TRUE,,TRUE,
Criminal's Next Gen Assault Rifle,Assault Rifle,1,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Ruffian's Next Gen Assault Rifle,Assault Rifle,4,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Thug's Next Gen Assault Rifle,Assault Rifle,5,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Lawbreaker's Next Gen Assault Rifle,Assault Rifle,7,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Offender's Next Gen Assault Rifle,Assault Rifle,10,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Hitman's Next Gen Assault Rifle,Assault Rifle,12,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Lunatic's Next Gen Assault Rifle,Assault Rifle,16,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Cleaner's Next Gen Assault Rifle,Assault Rifle,18,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Devastator's Next Gen Assault Rifle,Assault Rifle,20,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Interrogator's Next Gen Assault Rifle,Assault Rifle,23,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Torture's Next Gen Assault Rifle,Assault Rifle,24,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Troublemaker's Next Gen Assault Rifle,Assault Rifle,25,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Hustla's Next Gen Assault Rifle,Assault Rifle,27,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
Madcap's Next Gen Assault Rifle,Assault Rifle,29,Epic,2,,,TRUE,25,,,,,,,,,,,TRUE,,TRUE,
