Name,WeaponClass,RequiredLevel,Rarity,Tier,Enhancement,DiamondsOnly,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,PlaceableInEditor
Lame .40 Pistol,.40 Pistol,17,Poor,,,,,,,,,,,,,,,,TRUE,,,
Old .32 Pistol,.32 Pistol,21,Poor,,,,,,,,,,,,,,,,TRUE,,,
Lame .32 Pistol,.32 Pistol,25,Poor,,,,,,,,,,,,,,,,TRUE,,,
Battered .32 Pistol,.32 Pistol,28,Poor,,,,,,,,,,,,,,,,TRUE,,,
Brittle .32 Pistol,.32 Pistol,28,Poor,,,,,,,,,,,,,,,,TRUE,,,
Well Worn .32 Pistol,.32 Pistol,30,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crappy Revolver,Revolver,1,Poor,,,,,,,,,,,,,,,,TRUE,,TRUE,
Antiquated Revolver,Revolver,2,Poor,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap Revolver,Revolver,10,Poor,,,,,,,,,,,,,,,,TRUE,,,
Battered Revolver,Revolver,17,Poor,,,,,,,,,,,,,,,,TRUE,,,
Brittle Revolver,Revolver,27,Poor,,,,,,,,,,,,,,,,TRUE,,,
Lousy Revolver,Revolver,28,Poor,,,,,,,,,,,,,,,,TRUE,,,
Well Worn Revolver,Revolver,29,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crappy .40 Pistol,.40 Pistol,4,Poor,,,,,,,,,,,,,,,,TRUE,,,
Brittle .40 Pistol,.40 Pistol,8,Poor,,,,,,,,,,,,,,,,TRUE,,,
Lousy .40 Pistol,.40 Pistol,9,Poor,,,,,,,,,,,,,,,,TRUE,,,
Antiquated .40 Pistol,.40 Pistol,11,Poor,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap .40 Pistol,.40 Pistol,19,Poor,,,,,,,,,,,,,,,,TRUE,,,
Well Worn .40 Pistol,.40 Pistol,24,Poor,,,,,,,,,,,,,,,,TRUE,,,
Poor .40 Pistol,.40 Pistol,26,Poor,,,,,,,,,,,,,,,,TRUE,,,
Shoddy .40 Pistol,.40 Pistol,29,Poor,,,,,,,,,,,,,,,,TRUE,,,
Inferior .40 Pistol,.40 Pistol,30,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crappy 9mm Pistol,9mm Pistol,1,Poor,,,,,,,,,,,,,,,,TRUE,,,
Antiquated 9mm Pistol,9mm Pistol,3,Poor,,,,,,,,,,,,,,,,TRUE,,,
Lame 9mm Pistol,9mm Pistol,4,Poor,,,,,,,,,,,,,,,,TRUE,,,
Brittle 9mm Pistol,9mm Pistol,10,Poor,,,,,,,,,,,,,,,,TRUE,,,
Lousy 9mm Pistol,9mm Pistol,12,Poor,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap 9mm Pistol,9mm Pistol,16,Poor,,,,,,,,,,,,,,,,TRUE,,,
Well Worn 9mm Pistol,9mm Pistol,19,Poor,,,,,,,,,,,,,,,,TRUE,,,
Poor 9mm Pistol,9mm Pistol,20,Poor,,,,,,,,,,,,,,,,TRUE,,,
Battered 9mm Pistol,9mm Pistol,26,Poor,,,,,,,,,,,,,,,,TRUE,,,
Shoddy 9mm Pistol,9mm Pistol,28,Poor,,,,,,,,,,,,,,,,TRUE,,,
Inferior 9mm Pistol,9mm Pistol,30,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crappy Six-shooter,Six-shooter,5,Poor,,,,,,,,,,,,,,,,TRUE,,,
Lousy Six-shooter,Six-shooter,10,Poor,,,,,,,,,,,,,,,,TRUE,,,
Well Worn Six-shooter,Six-shooter,12,Poor,,,,,,,,,,,,,,,,TRUE,,,
Poor Six-shooter,Six-shooter,16,Poor,,,,,,,,,,,,,,,,TRUE,,,
Shoddy Six-shooter,Six-shooter,17,Poor,,,,,,,,,,,,,,,,TRUE,,,
Inferior Six-shooter,Six-shooter,22,Poor,,,,,,,,,,,,,,,,TRUE,,,
Rural Six-shooter,Six-shooter,24,Poor,,,,,,,,,,,,,,,,TRUE,,,
Barebones Six-shooter,Six-shooter,28,Poor,,,,,,,,,,,,,,,,TRUE,,,
Antiquated Six-shooter,Six-shooter,29,Poor,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap Six-shooter,Six-shooter,30,Poor,,,,,,,,,,,,,,,,TRUE,,,
Greater .32 Pistol,.32 Pistol,7,Rare,,of the Ambusher,,,5,,,,,,,,,,,TRUE,,TRUE,
Awesome .32 Pistol,.32 Pistol,8,Rare,,of the Ambusher,,,2,,,,,,,,,,,TRUE,,TRUE,
Brutal .32 Pistol,.32 Pistol,14,Rare,,of the Ambusher,,,5,,,,,,,,,,,TRUE,,TRUE,
Marvelous .32 Pistol,.32 Pistol,15,Rare,,of the Ambusher,,,7,,,,,,,,,,,TRUE,,TRUE,
Mighty .32 Pistol,.32 Pistol,20,Rare,,of the Crymaker,,,4,,,,,,,,,,,TRUE,,TRUE,
Righteuous .32 Pistol,.32 Pistol,21,Rare,,of the Crymaker,,,9,,,,,,,,,,,TRUE,,TRUE,
Victorious .32 Pistol,.32 Pistol,22,Rare,,of the Crymaker,,,2,,,,,,,,,,,TRUE,,TRUE,
First-Class .32 Pistol,.32 Pistol,23,Rare,,of the Crymaker,,TRUE,11,,,,,,,,,,,TRUE,,TRUE,
Singular .32 Pistol,.32 Pistol,24,Rare,,of the Crymaker,,,5,,,,,,,,,,,TRUE,,TRUE,
Excellent .32 Pistol,.32 Pistol,25,Rare,,of the Crymaker,,,3,,,,,,,,,,,TRUE,,TRUE,
Outstanding .32 Pistol,.32 Pistol,29,Rare,,of the Painmaker,,,2,,,,,,,,,,,TRUE,,TRUE,
Superfine .32 Pistol,.32 Pistol,29,Rare,,of the Painmaker,,,1,,,,,,,,,,,TRUE,,TRUE,
Exquisite .32 Pistol,.32 Pistol,27,Rare,,of the Painmaker,,,8,,,,,,,,,,,TRUE,,TRUE,
Respectable .32 Pistol,.32 Pistol,28,Rare,,of 6th Sense,,TRUE,4,,,,,,,,,,,TRUE,,TRUE,
Crazy .32 Pistol,.32 Pistol,29,Rare,,of 6th Sense,,,2,,,,,,,,,,,TRUE,,TRUE,
Extreme .32 Pistol,.32 Pistol,30,Rare,,of 6th Sense,,,9,,,,,,,,,,,TRUE,,TRUE,
Mighty Revolver,Revolver,6,Rare,,of the Crymaker,,,8,,,,,,,,,,,TRUE,,TRUE,
Greater Revolver,Revolver,10,Rare,,of the Legend,,,4,,,,,,,,,,,TRUE,,TRUE,
Righteous Revolver,Revolver,15,Rare,,of 6th Sense,,,,,,,,,,,,,,TRUE,,TRUE,
Jagged Revolver,Revolver,21,Rare,,of the Predator,,,9,,,,,,,,,,,TRUE,,TRUE,
Brutal Revolver,Revolver,24,Rare,,of the Judgment,,,7,,,,,,,,,,,TRUE,,TRUE,
Victorious Revolver,Revolver,27,Rare,,of 6th Sense,,,4,,,,,,,,,,,TRUE,,TRUE,
First-Class Revolver,Revolver,28,Rare,,of the Crymaker,,,1,,,,,,,,,,,TRUE,,TRUE,
Singular Revolver,Revolver,30,Rare,2,of the Crymaker,,,,,,,,,,,,,,TRUE,,TRUE,
Excellent Revolver,Revolver,30,Rare,,of the Judgment,,,11,,,,,,,,,,,TRUE,,TRUE,
Wacky .32 Pistol,.32 Pistol,7,Rare,,of 6th Sense,,,,,,,,,,,,,,TRUE,,TRUE,
Mighty .40 Pistol,.40 Pistol,13,Rare,,of the Crymaker,,,3,,,,,,,,,,,TRUE,,TRUE,
Greater .40 Pistol,.40 Pistol,16,Rare,,of the Predator,,TRUE,,,,,,,,,,,,TRUE,,TRUE,
Righteous .40 Pistol,.40 Pistol,18,Rare,,of the Crymaker,,,10,,,,,,,,,,,TRUE,,TRUE,
Brutal .40 Pistol,.40 Pistol,22,Rare,,of 6th Sense,,,7,,,,,,,,,,,TRUE,,TRUE,
Victorious .40 Pistol,.40 Pistol,28,Rare,,of the Crymaker,,,8,,,,,,,,,,,TRUE,,TRUE,
First-Class .40 Pistol,.40 Pistol,30,Rare,,of the Crymaker,,,,,,,,,,,,,,TRUE,,TRUE,
Singular .40 Pistol,.40 Pistol,30,Rare,3,of 6th Sense,,,11,,,,,,,,,,,TRUE,,TRUE,
Brutal 9mm Pistol,9mm Pistol,2,Rare,,of the Crymaker,,,,,,,,,,,,,,TRUE,,TRUE,
Marvelous 9mm Pistol,9mm Pistol,5,Rare,,of the Legend,,,3,,,,,,,,,,,TRUE,,TRUE,
Greater 9mm Pistol,9mm Pistol,8,Rare,,of the Predator,,,3,,,,,,,,,,,TRUE,,TRUE,
Mighty 9mm Pistol,9mm Pistol,10,Rare,,of 6th Sense,,,2,,,,,,,,,,,TRUE,,TRUE,
Gruesome 9mm Pistol,9mm Pistol,11,Rare,,of the Predator,,,1,,,,,,,,,,,TRUE,,TRUE,
Righteous 9mm Pistol,9mm Pistol,15,Rare,,of the Crymaker,,,2,,,,,,,,,,,TRUE,,TRUE,
Victorious 9mm Pistol,9mm Pistol,20,Rare,,of the Judgment,,,4,,,,,,,,,,,TRUE,,TRUE,
First-Class 9mm Pistol,9mm Pistol,22,Rare,,of the Crymaker,,,,,,,,,,,,,,TRUE,,TRUE,
Singular 9mm Pistol,9mm Pistol,23,Rare,,of 6th Sense,,,9,,,,,,,,,,,TRUE,,TRUE,
Excellent 9mm Pistol,9mm Pistol,28,Rare,,of the Legend,,,7,,,,,,,,,,,TRUE,,TRUE,
Outstanding 9mm Pistol,9mm Pistol,30,Rare,,of the Judgment,,,1,,,,,,,,,,,TRUE,,TRUE,
Righteous Six-shooter,Six-shooter,7,Rare,,of the Crymaker,,,3,,,,,,,,,,,TRUE,,TRUE,
Greater Six-shooter,Six-shooter,10,Rare,,of 6th Sense,,TRUE,1,,,,,,,,,,,TRUE,,TRUE,
Victorious Six-shooter,Six-shooter,15,Rare,,of the Crymaker,,,15,,,,,,,,,,,TRUE,,TRUE,
Brutal Six-shooter,Six-shooter,21,Rare,,of the Judgment,,,2,,,,,,,,,,,TRUE,,TRUE,
First-Class Six-shooter,Six-shooter,25,Rare,,of the Legend,,,1,,,,,,,,,,,TRUE,,TRUE,
Singular Six-shooter,Six-shooter,27,Rare,,of 6th Sense,,TRUE,6,,,,,,,,,,,TRUE,,TRUE,
Excellent Six-shooter,Six-shooter,30,Rare,2,of the Predator,,,,,,,,,,,,,,TRUE,,TRUE,
Outstanding Six-shooter,Six-shooter,30,Rare,,of 6th Sense,,,4,,,,,,,,,,,TRUE,,TRUE,
Superfine Six-shooter,Six-shooter,5,Rare,,of the Legend,,,3,,,,,,Muzzle,Glow,QuickShot,,,TRUE,,TRUE,
Okayish .32 Pistol,.32 Pistol,1,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Nifty .32 Pistol,.32 Pistol,4,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Great .32 Pistol,.32 Pistol,5,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Ideal .32 Pistol,.32 Pistol,6,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Elegant .32 Pistol,.32 Pistol,7,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Illegal .32 Pistol,.32 Pistol,9,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Cool .32 Pistol,.32 Pistol,10,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Boosted .32 Pistol,.32 Pistol,12,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Good .32 Pistol,.32 Pistol,15,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine .32 Pistol,.32 Pistol,16,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Advanced .32 Pistol,.32 Pistol,18,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Credible .32 Pistol,.32 Pistol,20,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Credible .32 Pistol,.32 Pistol,22,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Massive .32 Pistol,.32 Pistol,23,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise .32 Pistol,.32 Pistol,26,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Elegant Revolver,Revolver,5,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Great Revolver,Revolver,6,Uncommon,,,,,6,,,,,,,,,,,TRUE,,TRUE,
Boosted Revolver,Revolver,8,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Illegal Revolver,Revolver,9,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Cool Revolver,Revolver,10,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Acute Revolver,Revolver,13,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Advanced Revolver,Revolver,15,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Good Revolver,Revolver,16,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine Revolver,Revolver,19,Uncommon,,,,,5,,,,,,,,,,,TRUE,,TRUE,
Street Credible Revolver,Revolver,20,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Credible Revolver,Revolver,22,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Massive Revolver,Revolver,23,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise Revolver,Revolver,26,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Boosted Six-shooter,Six-shooter,27,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy Revolver,Revolver,28,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Nifty Revolver,Revolver,30,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Okayish .40 Pistol,.40 Pistol,6,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Ideal .40 Pistol,.40 Pistol,10,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Illegal .40 Pistol,.40 Pistol,12,Uncommon,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Cool .40 Pistol,.40 Pistol,15,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Good .40 Pistol,.40 Pistol,17,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Elegant .40 Pistol,.40 Pistol,20,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Boosted .40 Pistol,.40 Pistol,21,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Credible .40 Pistol,.40 Pistol,25,Uncommon,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Acute .40 Pistol,.40 Pistol,27,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Advanced .40 Pistol,.40 Pistol,29,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Credible .40 Pistol,.40 Pistol,30,Uncommon,,,,,5,,,,,,,,,,,TRUE,,TRUE,
Okayish 9mm Pistol,9mm Pistol,2,Uncommon,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Great 9mm Pistol,9mm Pistol,3,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Illegal 9mm Pistol,9mm Pistol,6,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Nifty 9mm Pistol,9mm Pistol,7,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Ideal 9mm Pistol,9mm Pistol,10,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Elegant 9mm Pistol,9mm Pistol,10,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Boosted 9mm Pistol,9mm Pistol,13,Uncommon,,,,,4,,,,,,,,,,,TRUE,,TRUE,
Good 9mm Pistol,9mm Pistol,14,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine 9mm Pistol,9mm Pistol,18,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Acute 9mm Pistol,9mm Pistol,21,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise 9mm Pistol,9mm Pistol,24,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Advanced 9mm Pistol,9mm Pistol,25,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy 9mm Pistol,9mm Pistol,27,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Credible 9mm Pistol,9mm Pistol,29,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Massive 9mm Pistol,9mm Pistol,30,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Okayish Six-shooter,Six-shooter,6,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Great Six-shooter,Six-shooter,9,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Acute Six-shooter,Six-shooter,10,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Advanced Six-shooter,Six-shooter,11,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Credible Six-shooter,Six-shooter,13,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Massive Six-shooter,Six-shooter,14,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Illegal Six-shooter,Six-shooter,18,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Cool Six-shooter,Six-shooter,20,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Good Six-shooter,Six-shooter,23,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine Six-shooter,Six-shooter,26,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Credible Six-shooter,Six-shooter,29,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise Six-shooter,Six-shooter,29,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy Six-shooter,Six-shooter,30,Uncommon,,,,,,,,,,,,,,,,TRUE,,TRUE,
Toxine-Heal Gun,Healing Gun,1,Common,,,,,,,,,,,,,,,,TRUE,,,
"Wasteland Crow, LT-04",Wasteland Pistol,4,Rare,,of the Judgment,,,7,,,,,,,,,,,TRUE,,TRUE,
"Wasteland Crow, LT-10",Wasteland Pistol,10,Rare,,of the Judgment,,,7,,,,,,,,,,,TRUE,,TRUE,
"Wasteland Crow, LT-30",Wasteland Pistol,30,Rare,2,of the Crymaker,,,20,,,,,,,,,,,TRUE,,TRUE,
"Labytech Pistol, LBTP-02",9mm Pistol,3,Rare,,of the Ambusher,,,1,,,,,,,,,,,TRUE,,TRUE,
"Labytech Pistol, LBTP-03",Labytech Pistol,25,Rare,,of the Crymaker,,,1,,,,,,,,,,,TRUE,,TRUE,
"Labytech Pistol, LBTP-04",Labytech Pistol,27,Rare,,of 6th Sense,,,1,,,,,,,,,,,TRUE,,TRUE,
"Labytech Pistol, LBTP-05",Labytech Pistol,30,Rare,3,of the Judgment,,,1,,,,,,,,,,,TRUE,,TRUE,
"Wasteland Crow, LT-01",Wasteland Pistol,1,Rare,,of the Ambusher,,TRUE,15,,,,,,,,,,,TRUE,,TRUE,
"Wasteland Crow, LT-24",Wasteland Pistol,24,Rare,,of the Judgment,,,15,,,,,,,,,,,TRUE,,TRUE,
"Wasteland Crow, L-10",Wasteland Pistol,10,Rare,,of 6th Sense,,,7,,,,,,,,,,,TRUE,,TRUE,
"Wasteland Crow, L-30",Wasteland Pistol,30,Rare,,of the Ambusher,,,7,,,,,,,,,,,TRUE,,TRUE,
"Wasteland Crow, L-20",Wasteland Pistol,20,Rare,,of 6th Sense,,,7,,,,,,,,,,,TRUE,,TRUE,
Kingpin's Pistol,.32 Pistol,9,Uncommon,,,,,,,,,,,,,,,,TRUE,,,true
Diabolic Revolver,Revolver,13,Uncommon,,,,,,,,,,,,,,,,TRUE,,,
Champ's Training Gun,Revolver,12,Uncommon,,,,,,,,,,,,,,,,TRUE,,,
Pimped Out Six-shooter,Six-shooter,20,Rare,,,,,,,,,,,,,,,,TRUE,,TRUE,
Tooth Shooter,.32 Pistol,7,Uncommon,,,,,,,,,,,,,,,,TRUE,,,true
Mental Pistol,.32 Pistol,18,Rare,,,,,,,,,,,,,,,,TRUE,,,true
