Name,WeaponClass,RequiredLevel,Rarity,Tier,DiamondsOnly,DiamondCostExact,Enhancement,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,PlaceableInEditor
Piece of Crap 20G Shotgun,20ga Shotgun,12,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Battered 20G Shotgun,20ga Shotgun,18,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Barebones 20G Shotgun,20ga Shotgun,24,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Cracked 20G Shotgun,20ga Shotgun,28,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Broken 20G Shotgun,20ga Shotgun,30,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Crappy 12G Double,12ga Double Barrel,1,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Antiquated 12G Double,12ga Double Barrel,8,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap 12G Double,12ga Double Barrel,16,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Battered 12G Double,12ga Double Barrel,25,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Cracked 12G Double,12ga Double Barrel,30,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Crappy 12G Sawed-off,12ga Sawed-off,1,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Antiquated 12G Sawed-off,12ga Sawed-off,4,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap 12G Sawed-off,12ga Sawed-off,13,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Cracked 12G Sawed-off,12ga Sawed-off,15,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Broken 12G Sawed-off,12ga Sawed-off,21,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Corroded 12G Sawed-off,12ga Sawed-off,27,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Crude 12G Sawed-off,12ga Sawed-off,30,Poor,,,,,,,,,,,,,,,,,TRUE,,,
Wacky 12G Shotgun,12ga Shotgun,2,Rare,,,,of the Painmaker,TRUE,8,,,,,,,,,,,TRUE,,TRUE,
High-Power 12G Shotgun,12ga Shotgun,7,Rare,,,,of the Predator,,5,,,,,,,,,,,TRUE,,TRUE,
Tough 12G Shotgun,12ga Shotgun,11,Rare,,,,of the Legend,,4,,,,,,,,,,,TRUE,,TRUE,
Superior 12G Shotgun,12ga Shotgun,12,Rare,,,,of the Ambusher,,,,,,,,,,,,,TRUE,,TRUE,
Gruesome 12G Shotgun,12ga Shotgun,18,Rare,,,,of the Crymaker,,12,,,,,,,,,,,TRUE,,TRUE,
Assault 12G Shotgun,12ga Shotgun,23,Rare,,,,of 6th Sense,,6,,,,,,,,,,,TRUE,,TRUE,
Brutal 12G Shotgun,12ga Shotgun,26,Rare,,,,of the Painmaker,,8,,,,,,,,,,,TRUE,,TRUE,
Jagged 12G Shotgun,12ga Shotgun,28,Rare,,,,of the Predator,,10,,,,,,,,,,,TRUE,,TRUE,
Radical 12G Shotgun,12ga Shotgun,30,Rare,,,,of the Legend,,15,,,,,,,,,,,TRUE,,TRUE,
Mighty 20G Shotgun,20ga Shotgun,7,Rare,,,,of the Ambusher,,,,,,,,,,,,,TRUE,,TRUE,
High-Power 20G Shotgun,20ga Shotgun,10,Rare,,,,of the Crymaker,,,,,,,,,,,,,TRUE,,TRUE,
Righteous 20G Shotgun,20ga Shotgun,11,Rare,,,,of 6th Sense,,15,,,,,,,,,,,TRUE,,TRUE,
Tough 20G Shotgun,20ga Shotgun,16,Rare,,,,of the Painmaker,,1,,,,,,,,,,,TRUE,,TRUE,
Superior 20G Shotgun,20ga Shotgun,22,Rare,,,,of the Predator,TRUE,12,,,,,,,,,,,TRUE,,TRUE,
Gruesome 20G Shotgun,20ga Shotgun,25,Rare,,,,of the Legend,,1,,,,,,,,,,,TRUE,,TRUE,
Assault 20G Shotgun,20ga Shotgun,29,Rare,,,,of the Ambusher,,,,,,,,,,,,,TRUE,,TRUE,
Jagged 20G Shotgun,20ga Shotgun,30,Rare,3,,,of the Crymaker,,20,,,,,,,,,,,TRUE,,TRUE,
Radical 20G Shotgun,20ga Shotgun,30,Rare,,,,of 6th Sense,,18,,,,,,,,,,,TRUE,,TRUE,
Tough 12G Double,12ga Double Barrel,4,Rare,,,,of the Painmaker,,4,,,,,,,,,,,TRUE,,TRUE,
Greater 12G Double,12ga Double Barrel,10,Rare,,,,of the Predator,,7,,,,,,,,,,,TRUE,,TRUE,
Righteous 12G Double,12ga Double Barrel,13,Rare,,,,of the Legend,,13,,,,,,,,,,,TRUE,,TRUE,
Superior 12G Double,12ga Double Barrel,14,Rare,,,,of the Ambusher,,,,,,,,,,,,,TRUE,,TRUE,
Brutal 12G Double,12ga Double Barrel,15,Rare,,,,of the Crymaker,,14,,,,,,,,,,,TRUE,,TRUE,
Marvelous 12G Double,12ga Double Barrel,19,Rare,,,,of 6th Sense,,1,,,,,,,,,,,TRUE,,TRUE,
Gruesome 12G Double,12ga Double Barrel,23,Rare,,,,of the Painmaker,,5,,,,,,,,,,,TRUE,,TRUE,
Assault 12G Double,12ga Double Barrel,26,Rare,,,,of the Predator,TRUE,6,,,,,,,,,,,TRUE,,TRUE,
Mighty 12G Double,12ga Double Barrel,29,Rare,,,,of the Legend,,4,,,,,,,,,,,TRUE,,TRUE,
Jagged 12G Double,12ga Double Barrel,30,Rare,2,,,of the Ambusher,,8,,,,,,,,,,,TRUE,,TRUE,
Superior 12G Sawed-off,12ga Sawed-off,7,Rare,,,,of the Crymaker,,5,,,,,,,,,,,TRUE,,TRUE,
Greater 12G Sawed-off,12ga Sawed-off,9,Rare,,,,of 6th Sense,,5,,,,,,,,,,,TRUE,,TRUE,
First-Class 12G Sawed-off,12ga Sawed-off,12,Rare,,,,of the Painmaker,,2,,,,,,,,,,,TRUE,,TRUE,
Gruesome 12G Sawed-off,12ga Sawed-off,16,Rare,,,,of the Predator,,3,,,,,,,,,,,TRUE,,TRUE,
Assault 12G Sawed-off,12ga Sawed-off,18,Rare,,,,of the Legend,,4,,,,,,,,,,,TRUE,,TRUE,
Brutal 12G Sawed-off,12ga Sawed-off,22,Rare,,,,of the Ambusher,,5,,,,,,,,,,,TRUE,,TRUE,
Jagged 12G Sawed-off,12ga Sawed-off,24,Rare,,,,of the Crymaker,,11,,,,,,,,,,,TRUE,,TRUE,
Singular 12G Sawed-off,12ga Sawed-off,29,Rare,,,,of 6th Sense,TRUE,8,,,,,,,,,,,TRUE,,TRUE,
Excellent 12G Sawed-off,12ga Sawed-off,30,Rare,2,,,of the Painmaker,,,,,,,,,,,,,TRUE,,TRUE,
Okayish 12G Shotgun,12ga Shotgun,3,Uncommon,,,,of the Crymaker,,2,,,,,,,,,,,TRUE,,TRUE,
Massive 12G Shotgun,12ga Shotgun,8,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Great 12G Shotgun,12ga Shotgun,9,Uncommon,,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Illegal 12G Shotgun,12ga Shotgun,13,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Good 12G Shotgun,12ga Shotgun,14,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine 12G Shotgun,12ga Shotgun,19,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Cool 12G Shotgun,12ga Shotgun,22,Uncommon,,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Credible 12G Shotgun,12ga Shotgun,24,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise 12G Shotgun,12ga Shotgun,27,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy 12G Shotgun,12ga Shotgun,30,Uncommon,,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Okayish 20G Shotgun,20ga Shotgun,4,Uncommon,,,,,,13,,,,,,,,,,,TRUE,,TRUE,
Okayish 20G Shotgun of Hurt,20ga Shotgun,5,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Illegal 20G Shotgun,20ga Shotgun,6,Uncommon,,,,,,5,,,,,,,,,,,TRUE,,TRUE,
Cool 20G Shotgun,20ga Shotgun,9,Uncommon,,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Good 20G Shotgun,20ga Shotgun,10,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Great 20G Shotgun,20ga Shotgun,14,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Credible 20G Shotgun,20ga Shotgun,15,Uncommon,,,,,,4,,,,,,,,,,,TRUE,,TRUE,
Street Wise 20G Shotgun,20ga Shotgun,17,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy 20G Shotgun,20ga Shotgun,20,Uncommon,,,,,,8,,,,,,,,,,,TRUE,,TRUE,
Nifty 20G Shotgun,20ga Shotgun,21,Uncommon,,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Ideal 20G Shotgun,20ga Shotgun,23,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Elegant 20G Shotgun,20ga Shotgun,27,Uncommon,,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Boosted 20G Shotgun,20ga Shotgun,30,Uncommon,,,,,,6,,,,,,,,,,,TRUE,,TRUE,
Okayish 12G Double,12ga Double Barrel,3,Uncommon,,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Great 12G Double,12ga Double Barrel,7,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Illegal 12G Double,12ga Double Barrel,9,Uncommon,,,,,,2,,,,,,,,,,,TRUE,,TRUE,
Cool 12G Double,12ga Double Barrel,12,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Good 12G Double,12ga Double Barrel,17,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine 12G Double,12ga Double Barrel,21,Uncommon,,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Credible 12G Double,12ga Double Barrel,24,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise 12G Double,12ga Double Barrel,27,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy 12G Double,12ga Double Barrel,28,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Nifty 12G Double,12ga Double Barrel,30,Uncommon,,,,,,6,,,,,,,,,,,TRUE,,TRUE,
Okayish 12G Sawed-off,12ga Sawed-off,6,Uncommon,,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Nifty 12G Shotgun,12ga Shotgun,8,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Great 12G Sawed-off,12ga Sawed-off,10,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Illegal 12G Sawed-off,12ga Sawed-off,11,Uncommon,,,,,,1,,,,,,,,,,,TRUE,,TRUE,
Cool 12G Sawed-off,12ga Sawed-off,17,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Fine 12G Sawed-off,12ga Sawed-off,19,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Credible 12G Sawed-off,12ga Sawed-off,20,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Street Wise 12G Sawed-off,12ga Sawed-off,26,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Worthy 12G Sawed-off,12ga Sawed-off,28,Uncommon,,,,,,3,,,,,,,,,,,TRUE,,TRUE,
Nifty 12G Sawed-off,12ga Sawed-off,30,Uncommon,,,,,,3,,,,,,,,,,,TRUE,,TRUE,
SWAT Shotgun HO-30,SWAT Shotgun,30,Rare,4,,,of the Crymaker,,20,,,,,,,,,,,TRUE,,TRUE,
SWAT Shotgun HO-26,SWAT Shotgun,26,Rare,,,,of 6th Sense,,20,,,,,,,,,,,TRUE,,TRUE,
SWAT Shotgun HO-20,SWAT Shotgun,20,Rare,,,,of 6th Sense,TRUE,20,,,,,,,,,,,TRUE,,TRUE,
SWAT Shotgun HO-14,SWAT Shotgun,14,Rare,,,,of 6th Sense,,20,,,,,,,,,,,TRUE,,TRUE,
SWAT Shotgun HO-08,SWAT Shotgun,8,Rare,,,,of 6th Sense,,20,,,,,,,,,,,TRUE,,TRUE,
Sawed-off X-7,12ga Sawed-off,7,Epic,,,,of the Painmaker,TRUE,5,,,,,,,,,,,TRUE,,TRUE,
Sawed-off X-12,12ga Sawed-off,12,Epic,,,,of the Painmaker,TRUE,5,,,,,,,,,,,TRUE,,TRUE,
Sawed-off X-16,12ga Sawed-off,16,Epic,,,,of the Painmaker,,5,,,,,,,,,,,TRUE,,TRUE,
Sawed-off X-21,12ga Sawed-off,21,Epic,,,,of the Painmaker,,5,,,,,,,,,,,TRUE,,TRUE,
Sawed-off X-27,12ga Sawed-off,27,Epic,,,,of the Painmaker,,5,,,,,,,,,,,TRUE,,TRUE,
Sawed-off X-30,12ga Sawed-off,30,Epic,6,,,of the Painmaker,,5,,,,,,,,,,,TRUE,,TRUE,
Sawed-off XX-30,12ga Sawed-off,30,Epic,5,,,,,10,,,,,,,,,,,TRUE,,TRUE,
Diabolic 12G Double,12ga Double Barrel,13,Uncommon,,,,,,,,,,,,,,,,,TRUE,,,
Cut-down Sentrybot Gun,12ga Sawed-off,18,Uncommon,,,,,,,,,,,,,,,,,TRUE,,TRUE,
Mafioso_shotgun_sawnoff,Mafioso,9,Rare,,,,of 6th Sense,,5,,,,,,,,,,,TRUE,,FALSE,
,,,,,,,,,,,,,,,,,,,,TRUE,,,
