Name,NPCItem,EquipmentClass,ClothClass,Enhancement,Tier,RequiredLevel,Rarity,LootDisabled,Texture,FemaleTexture,PostToSocialNetworks
Jagged Belt with Golden Buckle,,Belt with Golden Buckle,Large,of Guts,,27,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Radical Belt with Golden Buckle,,Belt with Golden Buckle,Large,of Awareness,,30,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Exquisite Belt with Silver Buckle,,Belt with Silver Buckle,Large,of Determination,,20,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
High-Power Belt with Silver Buckle,,Belt with Silver Buckle,Large,of Intuition,,21,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Jagged Belt with Silver Buckle,,Belt with Silver Buckle,Large,of the Hunter,,26,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Radical Belt with Silver Buckle,,Belt with Silver Buckle,Large,of the Beast,,30,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Jagged Vented Leather Belt,,Vented Leather Belt,Large,of Health,,23,Rare,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Radical Vented Leather Belt,,Vented Leather Belt,Large,of Brightness,,25,Rare,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
First-Class Studded Bold Belt,,Studded Bold Belt,Large,of the Troublemaker,,30,Rare,TRUE,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,TRUE
Outstanding Studded Belt,,Studded Belt,Large,of the Assassin,,24,Rare,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Excellent Utility Belt,,Utility Belt,Large,of Capacity,,5,Rare,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Marvelous Utility Belt,,Utility Belt,Large,of the Hunter,,28,Rare,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Awesome Belt,,Belt,Small,of the Hunter,,3,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Greater Belt,,Belt,Small,of the Beast,,7,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High-Power Black Belt,,Black Belt,Small,of Health,,5,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Jagged Black Belt,,Black Belt,Small,of Brightness,,10,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Radical Black Belt,,Black Belt,Small,of the Troublemaker,,15,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First-Class Black Belt,,Black Belt,Small,of the Assassin,,20,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Outstanding Black Belt,,Black Belt,Small,of Capacity,,25,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Jagged Dark Leather Belt,,Dark Leather Belt,Small,of Rationality,,26,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Radical Dark Leather Belt,,Dark Leather Belt,Small,of the Thug,,27,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First-Class Dark Leather Belt,,Dark Leather Belt,Small,of Guts,,28,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Outstanding Dark Leather Belt,,Dark Leather Belt,Small,of Awareness,,29,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Superfine Dark Leather Belt,,Dark Leather Belt,Small,of Determination,,30,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First-Class Belt with Golden Buckle,,Belt with Golden Buckle,Small,of Intuition,,21,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Outstanding Belt with Golden Buckle,,Belt with Golden Buckle,Small,of the Scientist,,23,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Superfine Belt with Golden Buckle,,Belt with Golden Buckle,Small,of the Thug,,25,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Excellent Belt with Golden Buckle,,Belt with Golden Buckle,Small,of Guts,,27,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Marvelous Belt with Golden Buckle,,Belt with Golden Buckle,Small,of Awareness,,30,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
First-Class Belt with Silver Buckle,,Belt with Silver Buckle,Small,of Determination,,20,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Outstanding Belt with Silver Buckle,,Belt with Silver Buckle,Small,of Intuition,,21,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Superfine Belt with Silver Buckle,,Belt with Silver Buckle,Small,of the Hunter,,26,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Excellent Belt with Silver Buckle,,Belt with Silver Buckle,Small,of the Beast,,30,Rare,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
First-Class Vented Leather Belt,,Vented Leather Belt,Small,of Health,,23,Rare,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Outstanding Vented Leather Belt,,Vented Leather Belt,Small,of Brightness,,25,Rare,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Outstanding Studded Bold Belt,,Studded Bold Belt,Small,of the Troublemaker,,30,Rare,TRUE,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,TRUE
Superfine Studded Belt,,Studded Belt,Small,of the Assassin,,24,Rare,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Awesome Utility Belt,,Utility Belt,Small,of Capacity,,5,Rare,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Greater Utility Belt,,Utility Belt,Small,of the Hunter,,28,Rare,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Good Belt,,Belt,Large,,,5,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Fine Belt,,Belt,Large,,,10,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Credible Belt,,Belt,Large,,,15,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Street Wise Belt,,Belt,Large,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Worthy Belt,,Belt,Large,,,25,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Boosted Belt,,Belt,Large,,,30,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Fine Black Belt,,Black Belt,Large,,,12,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Credible Black Belt,,Black Belt,Large,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Street Wise Black Belt,,Black Belt,Large,,,22,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Worthy Black Belt,,Black Belt,Large,,,27,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Credible Dark Leather Belt,,Dark Leather Belt,Large,,,3,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Street Wise Dark Leather Belt,,Dark Leather Belt,Large,,,4,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Worthy Dark Leather Belt,,Dark Leather Belt,Large,,,5,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Boosted Dark Leather Belt,,Dark Leather Belt,Large,,,6,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Worthy Belt with Golden Buckle,,Belt with Golden Buckle,Large,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Boosted Belt with Golden Buckle,,Belt with Golden Buckle,Large,,,22,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Acute Belt with Golden Buckle,,Belt with Golden Buckle,Large,,,24,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Genuine Belt with Golden Buckle,,Belt with Golden Buckle,Large,,,27,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Special Belt with Golden Buckle,,Belt with Golden Buckle,Large,,,30,Uncommon,TRUE,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,TRUE
Boosted Belt with Silver Buckle,,Belt with Silver Buckle,Large,,,6,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Acute Belt with Silver Buckle,,Belt with Silver Buckle,Large,,,9,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Genuine Belt with Silver Buckle,,Belt with Silver Buckle,Large,,,13,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Special Belt with Silver Buckle,,Belt with Silver Buckle,Large,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Elegant Belt with Silver Buckle,,Belt with Silver Buckle,Large,,,21,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Great Belt with Silver Buckle,,Belt with Silver Buckle,Large,,,28,Uncommon,TRUE,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,TRUE
Genuine Vented Leather Belt,,Vented Leather Belt,Large,,,18,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Special Vented Leather Belt,,Vented Leather Belt,Large,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Elegant Vented Leather Belt,,Vented Leather Belt,Large,,,12,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Great Vented Leather Belt,,Vented Leather Belt,Large,,,14,Uncommon,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,TRUE
Elegant Studded Bold Belt,,Studded Bold Belt,Large,,,26,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,TRUE
Great Studded Bold Belt,,Studded Bold Belt,Large,,,29,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_01_m.png,graphics/3d/character/belt/belt_studded_01_f.png,TRUE
Great Studded Belt,,Studded Belt,Large,,,20,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Cool Studded Belt,,Studded Belt,Large,,,22,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,TRUE
Cool Design Belt,,Design Belt,Large,,,7,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Good Design Belt,,Design Belt,Large,,,11,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Fine Design Belt,,Design Belt,Large,,,14,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Credible Design Belt,,Design Belt,Large,,,17,Uncommon,TRUE,graphics/3d/character/belt/belt_studded_03_m.png,graphics/3d/character/belt/belt_studded_03_f.png,TRUE
Good Utility Belt,,Utility Belt,Large,,,15,Uncommon,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Fine Utility Belt,,Utility Belt,Large,,,21,Uncommon,TRUE,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,TRUE
Snakeskin Belt,,Belt,Small,,,5,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Credible Snakeskin Belt,,Belt,Small,,,30,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Special Belt,,Belt,Small,,,5,Uncommon,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
