Name,LevelUpUnlock,UnlockedByMission,Item,Ingredient,IngredientCount,IngredientsAdditional,DiamondCost,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,LootDisabled,DiamondsOnly,TreasureBoxLoot,DropSound,LootResource,LootExportName
Plans: Cap,TRUE,TRUE,Sat-on Cap,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Extra Large Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Apocalypse Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Caput,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Mob Cap,,,Mob Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Fake Cap,,,Fake Cap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Riot Cap,,,Riot Cap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Doomsday Cap,,,Doomsday Cap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Holo Cap,,,Holo Cap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Steel Helmet,,,Steel Helmet,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Can Can Cans,,,Can Can Cans,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Sneakers,TRUE,TRUE,Worn Trainers,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Black Trainers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Brand New Trainers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Pump Trainers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Soft-soled Sneakers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Parkour Sneakers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Gyroscopic Sneakers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Used Moccasins,,,Used Moccasins,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Quality Shoes,TRUE,TRUE,Squeaky Moccasins,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Brand New Moccasins,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Bowhunter's Moccasins,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Swift Walkers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Sleep Walkers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Fire Walkers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Comfortable Moccasins,,,Comfortable Moccasins,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Smooth Walkers,,,Smooth Walkers,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Moon Walkers,,,Moon Walkers,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Fake Buckles,,,Fake Buckles,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hunter's Steel Tips,,,Hunter's Steel Tips,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Boots-of-the-Puss,,,Boots-of-the-Puss,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Shoes,TRUE,TRUE,Worn Hiking Shoes,,,,,,,3,TRUE,,,,graphics/loot/loot_drops.swf,blueprint
,,,Squeaky Hiking Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Brand New Hiking Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Comfortable Hiking Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Glitter Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Glamour Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Extreme Glitter Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Rubber Boots,,,Rubber Boots,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Armored Boots,TRUE,TRUE,Para Boots,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Sailing Boots,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Well-heeled Boots,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Smooth Heels,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Pro Heels,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Salaryman Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Worn-heeled Boots,,,Worn-heeled Boots,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: No-Heels,,,No-Heels,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Max Heels,,,Max Heels,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Stylish Suede Shoes,,,Stylish Suede Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Synth Skins,,,Synth Skins,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Heel Plz,,,Heel Plz,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Kickers,TRUE,TRUE,Cotton Kick'rs,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Can Kick'rs,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Bin Kick'rs,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Shin Kick'rs,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Brawny Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Grounded Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Strongman Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Wooden Heelers,,,Wooden Heelers,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Durable Boots,TRUE,TRUE,Rubber Heelers,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Spring Heelers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Teamster Shoes,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Wicker Kick'rs,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Titanium Kick'rs,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Mountain Kick'rs,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Steel Heelers,,,Steel Heelers,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Steel Kick'rs,,,Steel Kick'rs,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Meteor Kick'rs,,,Meteor Kick'rs,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Swamp Tramplers,,,Swamp Tramplers,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Dominator Boots,,,Dominator Boots,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Kickabout,,,Kickabout,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Shutter Shades,TRUE,TRUE,Duct-taped Shades,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Plastic Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Venetian Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Polarization Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Blind Science Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Aviators,TRUE,TRUE,Plywood Shades,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Desert Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Aviator Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Lucky Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Titanium Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Pilot Goggles,,,Pilot Goggles,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hot Rod Goggles,,,Hot Rod Goggles,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: UV-Protected Shades,,,UV-Protected Shades,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Combat Shades,TRUE,TRUE,HUD Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Lunar Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Bulletproof Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Blaster Shades,,,Blaster Shades,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Digiplayer Shades,,,Digiplayer Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Solar Shades,,,Eclipse Shades,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Holo Shades,,,Holo Shades,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Infiltrator's Shades,,,Infiltrator's Shades,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Pyrox's Shades,,,Plasma Vision,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bionic Ocular,,,Bionic Ocular,Dragon Scales,30,TRUE,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Green Scarf,TRUE,TRUE,Plain Green Scarf,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Green Fan Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Knitted Green Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Exquisite Green Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Red Scarf,TRUE,TRUE,Plain Red Scarf,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Red Fan Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Knitted Red Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Exquisite Red Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Blue Scarf,TRUE,TRUE,Plain Blue Scarf,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Blue Fan Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Knitted Blue Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Exquisite Blue Scarf,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Mood Necklace,,,Mood Necklace,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Power Bandana,,,Power Bandana,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Polished Necklace,,,Polished Necklace,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Bandana,TRUE,TRUE,Extra Power Bandana,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Holo Necklace,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Celestial Power Bandana,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Blaster Necklace,,,Blaster Necklace,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Dramatic Power Bandana,,,Dramatic Power Bandana,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Mega Power Bandana,,,Mega Power Bandana,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hyper Power Bandana,,,Hyper Power Bandana,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Comforting Bandana,,,Comforting Bandana,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Infiltrator's Bandana,,,Infiltrator's Bandana,Flaming Heart,8,TRUE,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,,,,,,,,3,,,,,,
Plans: Voodoo Headwear,,,Voodoo Headwear,Dragon Scales,30,TRUE,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hunter's Strap,TRUE,TRUE,Rope Strap,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Cloth Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Canvas Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Leather Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Reinforced Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Synth Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Embossed Belt,,,Embossed Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Suspect Strap,,,Suspect Strap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Tight Strap,,,Tight Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Armored Strap,TRUE,TRUE,Loose Strap,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Crow Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Eagle Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Fitting Strap,,,Fitting Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Cardinal Strap,,,Cardinal Strap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Crane Strap,,,Crane Strap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Hawk Strap,,,Hawk Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Meteor Strap,,,Meteor Strap,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Light Metal Belt,,,Light Metal Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Chimneysweep's Wonder Harness,,,Chimneysweep's Wonder Harness,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Doctor's Belt,TRUE,TRUE,Nylon Belt,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Felt Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Suede Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Elastic Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Scrub Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Golf Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Worn Belt,,,Worn Belt,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Washed Out Belt,,,Washed Out Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Doc's Leather Belt,TRUE,TRUE,Bleached Belt,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Tooth Buckle,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Kneecap Buckle,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Dust-covered Belt,,,Dust-covered Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bent Buckle,,,Bent Buckle,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Nail Buckle,,,Nail Buckle,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Bone Buckle,,,Bone Buckle,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Shiny Buckle,,,Shiny Buckle,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: One-Size-Fits-All Belt,,,One-Size-Fits-All Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Waistland,,,Waistland,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bodyguard's Strap,TRUE,TRUE,Thick Rope Strap,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Thick Cloth Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Thick Canvas Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Thick Leather Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Thick Reinforced Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Thick Synth Strap,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Dark Brown Leather Belt,,,Dark Brown Leather Belt,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Dark Grey Leather Belt,,,Dark Grey Leather Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bodyguard's Belt,TRUE,TRUE,Navy Leather Belt,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Lizard Skin Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Weight-lifting Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Black Leather Belt,,,Black Leather Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Midnight Leather Belt,,,Midnight Leather Belt,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Snake Skin Belt,,,Snake Skin Belt,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Croc Skin Belt,,,Croc Skin Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Welted Buckle,,,Welted Buckle,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Dominator Belt,,,Dominator Belt,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Extraordinary Belle T,,,Extraordinary Belle T,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hunter's Gloves,TRUE,TRUE,Woodsman Gloves,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Whittling Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Shooting Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Camo Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Safari Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: All-weather Gloves,,,All-weather Gloves,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Hunter's Armored Gloves,TRUE,TRUE,Poacher's Gloves,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Special Purpose Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Burnproof Gloves,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Cat's Paws,,,Cat's Paws,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Goose Down Gloves,,,Goose Down Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Rock Climbing Gloves,,,Rock Climbing Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Gun Gloves,,,Gun Gloves,,,,,,,3,,,TRUE,,graphics/loot/loot_drops.swf,blueprint
Plans: Utility Gloves,,,Utility Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Aviator Gloves,,,Aviator Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Steady Hands,,,Steady Hands,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bearskin Gloves,,,Bearskin Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Regular Gloves,TRUE,TRUE,Disposable Gloves,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Examination Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Faux Leather Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Driving Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Leather Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Fine Leather Gloves,,,Fine Leather Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Doc's Armored Gloves,TRUE,TRUE,Waterproof Gloves,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Ergonomic Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Quality Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Ski Gloves,,,Ski Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Golf Gloves,,,Golf Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Plaid Gloves,,,Plaid Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Yachting Gloves,,,Yachting Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Hi-Friction Gloves,,,Hi-Friction Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Suede Gloves,,,Suede Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Cybernetic Gloves,,,Cybernetic Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Regenerative Gloves,,,Regenerative Gloves,Dragon Scales,30,TRUE,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
Plans: Bodyguard's Gloves,TRUE,TRUE,Bouncer Gloves,,,,,,,3,,TRUE,,,graphics/loot/loot_drops.swf,blueprint
,,,Brawny Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
,,,Casual Gloves,,,,,,,3,,,,,graphics/loot/loot_drops.swf,blueprint
