Name,DropOnlyTo,LevelUpUnlock,UnlockedByMission,Item,StackSize,Ingredient,IngredientCount,CraftTimeHours,CraftTimeMinutes,CraftTimeSeconds,DiamondCost,Rarity,LootDisabled,DiamondsOnly,DropSound,LootResource,LootExportName
Plans: Force Field,,TRUE,,Force Field,3,Armor Plates,10,,,2,1000,Uncommon,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,,,,,,,,
,,,,Strong Force Field,3,Armor Plates,10,,,2,1000,,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,,,,,,,,
Plans: Air Strike,,TRUE,,Air Strike,,Heavy Metal,50,,,2,100000,Epic,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,10,,,,,,,,,,
Plans: 10 x Medikit,,,TRUE,Medikit,10,Fabric,20,,,2,1000,Common,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,Great Medikit,10,Fabric,25,,,2,1000,,TRUE,,,,
,,,,Superior Medikit,10,Fabric,30,,,2,1000,,TRUE,,,,
Plans: 8 x Energy Drink,,TRUE,,Energy Drink,8,Bolts,60,,,2,1000,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,Great Energy Drink,8,Bolts,80,,,2,1000,,,,,,
,,,,Superior Energy Drink,8,Bolts,100,,,2,1000,,,,,,
Plans: 50 x Super Bullet,Doctor,TRUE,TRUE,Super Bullet,50,Bolts,75,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,Hunter,,,,,,,,,,,,,,,,
Plans: 50 x Exploding Bullet,Doctor,TRUE,TRUE,Exploding Bullet,50,Bolts,75,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,Hunter,,,,,,,,,,,,,,,,
Plans: 50 x Piercing Bullet,Doctor,TRUE,TRUE,Piercing Bullet,50,Bolts,75,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,Hunter,,,,,,,,,,,,,,,,
Plans: 50 x Modified Haft,Bodyguard,TRUE,TRUE,Modified Haft,50,Bolts,75,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 50 x Exploding Add-on,Bodyguard,TRUE,TRUE,Exploding Add-on,50,Bolts,75,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 50 x Cyanide Surprise,Bodyguard,TRUE,TRUE,Cyanide Surprise,50,Bolts,75,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 8 x Bandage,,TRUE,,"Bandage, rank 1",8,Fabric,20,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,"Bandage, rank 2",8,Fabric,30,,,2,300,,,,,,
,,,,"Bandage, rank 3",8,Fabric,40,,,2,300,,,,,,
,,,,"Bandage, rank 4",8,Fabric,45,,,2,300,,,,,,
,,,,"Bandage, rank 5",8,Fabric,50,,,2,300,,,,,,
Bullet Order (8h),,,TRUE,Dave's Special Bullets,50,Bolts,1,8,,,300,Uncommon,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Haft Order (8h),,,TRUE,Dave's Special Hafts,50,Bolts,1,8,,,300,Uncommon,TRUE,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 10 x Blink,Bodyguard,TRUE,TRUE,Blink,10,Bolts,200,,,2,300,Common,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Quick Help,Doctor,,TRUE,Quick Help,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Sacrifier,Doctor,,TRUE,Sacrifier,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Emergency Treatment,Doctor,,TRUE,Emergency Treatment,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Healing Rays,Doctor,,TRUE,Healing Rays,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Friendly Enemy,Doctor,,TRUE,Friendly Enemy,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Heal Wave,Doctor,,TRUE,Heal Wave,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Medicine Shot,Doctor,,TRUE,Medicine Shot,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Renew,Doctor,,TRUE,Renew,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Smart Minds,Doctor,,TRUE,Smart Minds,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Nerve Gas,Hunter,,TRUE,Nerve Gas,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Toxic Avenger,Hunter,,TRUE,Toxic Avenger,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Wounding Shot,Hunter,,TRUE,Wounding Shot,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Trauma Shot,Hunter,,TRUE,Trauma Shot,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Sinister Shot,Hunter,,TRUE,Sinister Shot,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Head Shot,Hunter,,TRUE,Head Shot,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Dum-Dum,Hunter,,TRUE,Dum-Dum,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Shooting Madness,Hunter,,TRUE,Shooting Madness,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Bouncing Bullet,Hunter,,TRUE,Bouncing Bullet,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Flesh Eater,Bodyguard,,TRUE,Flesh Eater,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Bone Cracker,Bodyguard,,TRUE,Bone Cracker,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Skull Crusher,Bodyguard,,TRUE,Skull Crusher,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Thruster,Bodyguard,,TRUE,Thruster,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Deception,Bodyguard,,TRUE,Deception,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Leg Breaker,Bodyguard,,TRUE,Leg Breaker,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Mass Damage,Bodyguard,,TRUE,Mass Damage,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Wounds For All,Bodyguard,,TRUE,Wounds For All,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
Plans: 25 x Jaws Breaker,Bodyguard,,TRUE,Jaws Breaker,25,Bolts,250,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
,,,,,,Power Cells,1,,,2,300,Uncommon,,,LootDefault,graphics/loot/loot_drops.swf,blueprint
