Name,NPCItem,PropClass,Texture,Skin,HairStyleName,Model,Mesh,ModelTexture,Gender
,,,graphics/3d/character/faces/male_skin2_face10.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face10.png,Skin6,,,,,
Male_Face11,,Face,graphics/3d/character/faces/male_skin1_face11.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face11.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face11.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face11.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face11.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face11.png,Skin6,,,,,
Male_Face12,,Face,graphics/3d/character/faces/male_skin1_face12.png,Skin1,,,,,male
,,,graphics/3d/character/faces/male_skin2_face12.png,Skin2,,,,,
,,,graphics/3d/character/faces/male_skin3_face12.png,Skin3,,,,,
,,,graphics/3d/character/faces/male_skin1_face12.png,Skin4,,,,,
,,,graphics/3d/character/faces/male_skin2_face12.png,Skin5,,,,,
,,,graphics/3d/character/faces/male_skin3_face12.png,Skin6,,,,,
Female_Face1,,Face,graphics/3d/character/female_face1.png,female_skin1,,,,,female
,,,graphics/3d/character/female_faces/female_skin2_face1.png,female_skin2,,,,,
,,,graphics/3d/character/female_faces/female_skin3_face1.png,female_skin3,,,,,
Female_Face2,,Face,graphics/3d/character/female_face2.png,female_skin1,,,,,female
,,,graphics/3d/character/female_faces/female_skin2_face2.png,female_skin2,,,,,
,,,graphics/3d/character/female_faces/female_skin3_face2.png,female_skin3,,,,,
Female_Face3,,Face,graphics/3d/character/female_face3.png,female_skin1,,,,,female
,,,graphics/3d/character/female_faces/female_skin2_face3.png,female_skin2,,,,,
,,,graphics/3d/character/female_faces/female_skin3_face3.png,female_skin3,,,,,
Male_Hair_1,,Hair,graphics/3d/hair/on_skin_textures/afro_brown_m.png,,1,graphics/3d/hair/men.SUP,afro,graphics/3d/hair/textures/common_afro.png,male
Male_Hair_1_blonde,,Hair,graphics/3d/hair/on_skin_textures/afro_blonde_m.png,,1,graphics/3d/hair/men.SUP,afro,graphics/3d/hair/textures/common_afro_blonde.png,male
Male_Hair_1_black,,Hair,graphics/3d/hair/on_skin_textures/afro_black_m.png,,1,graphics/3d/hair/men.SUP,afro,graphics/3d/hair/textures/common_afro_black.png,male
Male_Hair_2,,Hair,graphics/3d/hair/on_skin_textures/cleancut_m.png,,2,graphics/3d/hair/men.SUP,cleancut,graphics/3d/hair/textures/common_cleancut.png,male
Male_Hair_2_blonde,,Hair,graphics/3d/hair/on_skin_textures/cleancut_blonde_m.png,,2,graphics/3d/hair/men.SUP,cleancut,graphics/3d/hair/textures/common_cleancut_blonde.png,male
Male_Hair_2_black,,Hair,graphics/3d/hair/on_skin_textures/cleancut_black_m.png,,2,graphics/3d/hair/men.SUP,cleancut,graphics/3d/hair/textures/common_cleancut_black.png,male
Male_Hair_3,,Hair,graphics/3d/hair/on_skin_textures/fine_m.png,,3,graphics/3d/hair/men.SUP,fine,graphics/3d/hair/textures/common_fine.png,male
Male_Hair_3_blonde,,Hair,graphics/3d/hair/on_skin_textures/fine_blonde_m.png,,3,graphics/3d/hair/men.SUP,fine,graphics/3d/hair/textures/common_fine_blonde.png,male
Male_Hair_3_black,,Hair,graphics/3d/hair/on_skin_textures/fine_black_m.png,,3,graphics/3d/hair/men.SUP,fine,graphics/3d/hair/textures/common_fine_black.png,male
Male_Hair_4,,Hair,graphics/3d/hair/on_skin_textures/flattop_m.png,,4,graphics/3d/hair/men.SUP,flattop,graphics/3d/hair/textures/common_flattop.png,male
Male_Hair_4_blonde,,Hair,graphics/3d/hair/on_skin_textures/flattop_blonde_m.png,,4,graphics/3d/hair/men.SUP,flattop,graphics/3d/hair/textures/common_flattop_blonde.png,male
Male_Hair_4_black,,Hair,graphics/3d/hair/on_skin_textures/flattop_black_m.png,,4,graphics/3d/hair/men.SUP,flattop,graphics/3d/hair/textures/common_flattop_black.png,male
Male_Hair_5,,Hair,graphics/3d/hair/on_skin_textures/messed_m.png,,5,graphics/3d/hair/men.SUP,messed,graphics/3d/hair/textures/common_messed.png,male
Male_Hair_5_blonde,,Hair,graphics/3d/hair/on_skin_textures/messed_blonde_m.png,,5,graphics/3d/hair/men.SUP,messed,graphics/3d/hair/textures/common_messed_blonde.png,male
Male_Hair_5_black,,Hair,graphics/3d/hair/on_skin_textures/messed_black_m.png,,5,graphics/3d/hair/men.SUP,messed,graphics/3d/hair/textures/common_messed_black.png,male
Male_Hair_6,,Hair,graphics/3d/hair/on_skin_textures/mixed_m.png,,6,graphics/3d/hair/men.SUP,mixed,graphics/3d/hair/textures/common_mixed.png,male
Male_Hair_6_blonde,,Hair,graphics/3d/hair/on_skin_textures/mixed_blonde_m.png,,6,graphics/3d/hair/men.SUP,mixed,graphics/3d/hair/textures/common_mixed_blonde.png,male
Male_Hair_6_black,,Hair,graphics/3d/hair/on_skin_textures/mixed_black_m.png,,6,graphics/3d/hair/men.SUP,mixed,graphics/3d/hair/textures/common_mixed_black.png,male
Male_Hair_7,,Hair,graphics/3d/hair/on_skin_textures/wild_m.png,,7,graphics/3d/hair/men.SUP,wild,graphics/3d/hair/textures/common_wild.png,male
Male_Hair_7_blonde,,Hair,graphics/3d/hair/on_skin_textures/wild_blonde_m.png,,7,graphics/3d/hair/men.SUP,wild,graphics/3d/hair/textures/common_wild_blonde.png,male
Male_Hair_7_black,,Hair,graphics/3d/hair/on_skin_textures/wild_black_m.png,,7,graphics/3d/hair/men.SUP,wild,graphics/3d/hair/textures/common_wild_black.png,male
Male_Hair_8,,Hair,graphics/3d/hair/textures/common_bald.png,,8,,,,male
Male_Hair_8_blonde,,Hair,graphics/3d/hair/textures/common_bald_blonde.png,,8,,,,male
Male_Hair_8_black,,Hair,graphics/3d/hair/textures/common_bald_black.png,,8,,,,male
Female_Hair_1,,Hair,graphics/3d/hair/on_skin_textures/short_f.png,,1,graphics/3d/hair/female.SUP,short,graphics/3d/hair/textures/common_f_short.png,female
Female_Hair_1_blonde,,Hair,graphics/3d/hair/on_skin_textures/short_blonde_f.png,,1,graphics/3d/hair/female.SUP,short,graphics/3d/hair/textures/common_f_short_blonde.png,female
Female_Hair_1_black,,Hair,graphics/3d/hair/on_skin_textures/short_black_f.png,,1,graphics/3d/hair/female.SUP,short,graphics/3d/hair/textures/common_f_short_black.png,female
Female_Hair_2,,Hair,graphics/3d/hair/on_skin_textures/huge_fine_f.png,,2,graphics/3d/hair/female.SUP,huge_fine,graphics/3d/hair/textures/common_f_huge_fine.png,female
Female_Hair_2_blonde,,Hair,graphics/3d/hair/on_skin_textures/huge_fine_blonde_f.png,,2,graphics/3d/hair/female.SUP,huge_fine,graphics/3d/hair/textures/common_f_huge_fine_blonde.png,female
Female_Hair_2_black,,Hair,graphics/3d/hair/on_skin_textures/huge_fine_black_f.png,,2,graphics/3d/hair/female.SUP,huge_fine,graphics/3d/hair/textures/common_f_huge_fine_black.png,female
Female_Hair_3,,Hair,graphics/3d/hair/on_skin_textures/long_straight_f.png,,3,graphics/3d/hair/female.SUP,long_straight,graphics/3d/hair/textures/common_f_long_straight.png,female
Female_Hair_3_blonde,,Hair,graphics/3d/hair/on_skin_textures/long_straight_blonde_f.png,,3,graphics/3d/hair/female.SUP,long_straight,graphics/3d/hair/textures/common_f_long_straight_blonde.png,female
Female_Hair_3_black,,Hair,graphics/3d/hair/on_skin_textures/long_straight_black_f.png,,3,graphics/3d/hair/female.SUP,long_straight,graphics/3d/hair/textures/common_f_long_straight_black.png,female
Female_Hair_4,,Hair,graphics/3d/hair/on_skin_textures/ponytail_short_f.png,,4,graphics/3d/hair/female.SUP,ponytail_short,graphics/3d/hair/textures/common_f_ponytail_short.png,female
Female_Hair_4_blonde,,Hair,graphics/3d/hair/on_skin_textures/ponytail_short_blonde_f.png,,4,graphics/3d/hair/female.SUP,ponytail_short,graphics/3d/hair/textures/common_f_ponytail_short_blonde.png,female
Female_Hair_4_black,,Hair,graphics/3d/hair/on_skin_textures/ponytail_short_black_f.png,,4,graphics/3d/hair/female.SUP,ponytail_short,graphics/3d/hair/textures/common_f_ponytail_short_black.png,female
Female_Hair_5,,Hair,graphics/3d/hair/on_skin_textures/ponytail_long_f.png,,5,graphics/3d/hair/female.SUP,ponytail_long,graphics/3d/hair/textures/common_f_ponytail_long.png,female
Female_Hair_5_blonde,,Hair,graphics/3d/hair/on_skin_textures/ponytail_long_blonde_f.png,,5,graphics/3d/hair/female.SUP,ponytail_long,graphics/3d/hair/textures/common_f_ponytail_long_blonde.png,female
Female_Hair_5_black,,Hair,graphics/3d/hair/on_skin_textures/ponytail_long_black_f.png,,5,graphics/3d/hair/female.SUP,ponytail_long,graphics/3d/hair/textures/common_f_ponytail_long_black.png,female
Female_Hair_6,,Hair,graphics/3d/hair/on_skin_textures/huge_mess_f.png,,6,graphics/3d/hair/female.SUP,huge_mess,graphics/3d/hair/textures/common_f_huge_mess.png,female
Female_Hair_6_blonde,,Hair,graphics/3d/hair/on_skin_textures/huge_mess_blonde_f.png,,6,graphics/3d/hair/female.SUP,huge_mess,graphics/3d/hair/textures/common_f_huge_mess_blonde.png,female
Female_Hair_6_black,,Hair,graphics/3d/hair/on_skin_textures/huge_mess_black_f.png,,6,graphics/3d/hair/female.SUP,huge_mess,graphics/3d/hair/textures/common_f_huge_mess_black.png,female
Female_Hair_7,,Hair,graphics/3d/hair/on_skin_textures/short_fine_f.png,,7,graphics/3d/hair/female.SUP,short_fine,graphics/3d/hair/textures/common_f_short_fine.png,female
Female_Hair_7_blonde,,Hair,graphics/3d/hair/on_skin_textures/short_fine_blonde_f.png,,7,graphics/3d/hair/female.SUP,short_fine,graphics/3d/hair/textures/common_f_short_fine_blonde.png,female
Female_Hair_7_black,,Hair,graphics/3d/hair/on_skin_textures/short_fine_black_f.png,,7,graphics/3d/hair/female.SUP,short_fine,graphics/3d/hair/textures/common_f_short_fine_black.png,female
Female_Hair_8,,Hair,graphics/3d/hair/on_skin_textures/punk_blue_f.png,,8,graphics/3d/hair/female.SUP,punk,graphics/3d/hair/textures/punk_blue.png,female
Female_Hair_8_blonde,,Hair,graphics/3d/hair/on_skin_textures/punk_blonde_f.png,,8,graphics/3d/hair/female.SUP,punk,graphics/3d/hair/textures/punk_blonde.png,female
Female_Hair_8_black,,Hair,graphics/3d/hair/on_skin_textures/punk_black_f.png,,8,graphics/3d/hair/female.SUP,punk,graphics/3d/hair/textures/punk_black.png,female
Don's Toupee,,Hair,graphics/3d/hair/textures/don_hair_blonde.png,,9,,,,male
Don's Toupee_red,,Hair,graphics/3d/hair/textures/don_hair.png,,9,,,,male
Don's Toupee_black,,Hair,graphics/3d/hair/textures/don_hair_black.png,,9,,,,male
Beard_Long,,FacialHair,,,1,graphics/3d/hair/facial_hair.SUP,beard_long,graphics/3d/hair/textures/beard_long_black.png,male
Beard_Long_Blonde,,FacialHair,,,1,graphics/3d/hair/facial_hair.SUP,beard_long,graphics/3d/hair/textures/beard_long_blonde.png,male
Beard_Long_Red,,FacialHair,,,1,graphics/3d/hair/facial_hair.SUP,beard_long,graphics/3d/hair/textures/beard_long_red.png,male
Burt_Mustache,,FacialHair,,,2,graphics/3d/hair/facial_hair.SUP,burt_mustache,graphics/3d/hair/textures/burt_mustache_black.png,male
Burt_Mustache_Blonde,,FacialHair,,,2,graphics/3d/hair/facial_hair.SUP,burt_mustache,graphics/3d/hair/textures/burt_mustache_blonde.png,male
Burt_Mustache_Red,,FacialHair,,,2,graphics/3d/hair/facial_hair.SUP,burt_mustache,graphics/3d/hair/textures/burt_mustache_red.png,male
Fancy_Mustache,,FacialHair,graphics/3d/hair/textures/facial_hair_beard2_black.png,,3,,,,male
Fancy_Mustache_blonde,,FacialHair,graphics/3d/hair/textures/facial_hair_beard2_blonde.png,,3,,,,male
Fancy_Mustache_red,,FacialHair,graphics/3d/hair/textures/facial_hair_beard2_red.png,,3,,,,male
Chin_Beard,,FacialHair,graphics/3d/hair/textures/facial_hair_beard1_black.png,,4,,,,male
Chin_Beard_blonde,,FacialHair,graphics/3d/hair/textures/facial_hair_beard1_blonde.png,,4,,,,male
Chin_Beard_red,,FacialHair,graphics/3d/hair/textures/facial_hair_beard1_red.png,,4,,,,male
beard_yellow_full,,FacialHair,graphics/3d/hair/textures/yellow_full_beard.png,,5,,,,male
beard_red_full,,FacialHair,graphics/3d/hair/textures/red_full_beard.png,,5,,,,male
beard_black_full,,FacialHair,graphics/3d/hair/textures/black_full_beard.png,,5,,,,male
Thin_Mustache,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache1_black.png,,6,,,,male
Thin_Mustache_blonde,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache1_blonde.png,,6,,,,male
Thin_Mustache_red,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache1_brown.png,,6,,,,male
Basic_Mustache,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache2_black.png,,7,,,,male
Basic_Mustache_blonde,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache2_blonde.png,,7,,,,male
Basic_Mustache_red,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache2_red.png,,7,,,,male
Long_Mustache,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache3_black.png,,8,,,,male
Long_Mustache_blonde,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache3_blonde.png,,8,,,,male
Long_Mustache_red,,FacialHair,graphics/3d/hair/textures/facial_hair_mustache3_red.png,,8,,,,male
Lemmy_Sideburners,,FacialHair,graphics/3d/hair/textures/facial_hair_beard3_black.png,,9,,,,male
Lemmy_Sideburners_blonde,,FacialHair,graphics/3d/hair/textures/facial_hair_beard3_blonde.png,,9,,,,male
Lemmy_Sideburners_red,,FacialHair,graphics/3d/hair/textures/facial_hair_beard3_red.png,,9,,,,male
Stub1,,FacialHair,graphics/3d/hair/textures/facial_hair_stub1.png,,10,,,,male
Stub2,,FacialHair,graphics/3d/hair/textures/facial_hair_stub2.png,,10,,,,male
Stub3,,FacialHair,graphics/3d/hair/textures/facial_hair_stub3.png,,10,,,,male
Labycorp_AntiRiot_Suit,true,Skin,graphics/3d/character/labycorp_textures/anti_riot_cop_texture.png,,,,,,
Sentrybot,true,Skin,graphics/3d/character/labycorp_textures/sentry_bot_texture_orange.png,,,,,,
Sentrybot_Resistance,true,Skin,graphics/3d/character/labycorp_textures/sentry_bot_texture_resistance.png,,,,,,
Turret,true,Skin,graphics/3d/character/labycorp_textures/turret_gun_texture.png,,,,,,
Spiderbot,true,Skin,graphics/3d/character/labycorp_textures/spider_bot_texture.png,,,,,,
Weldingb,true,Skin,graphics/3d/character/labycorp_textures/welding_bot_texture.png,,,,,,
Spiderbot_red,true,Skin,graphics/3d/character/labycorp_textures/spider_bot_texture_red.png,,,,,,
Spiderbot_yellow,true,Skin,graphics/3d/character/labycorp_textures/spider_bot_texture_yellow.png,,,,,,
Suicide_Pig,true,Skin,graphics/3d/character/animals/pig_texture.png,,,,,,
Dog,true,Skin,graphics/3d/character/animals/dog_texture.png,,,,,,
Sentrybot_white,true,Skin,graphics/3d/character/labycorp_textures/sentry_bot_texture.png,,,,,,
Robotank,true,Skin,graphics/3d/character/labycorp_textures/robo_tank_texture.png,,,,,,
CyberGirl_skin,true,Skin,graphics/3d/character/labycorp_textures/female_boss_martial_arts.png,,,,,,
Warehousebot,true,Skin,graphics/3d/character/labycorp_textures/warehouse_bot_texture.png,,,,,,
AI,true,Skin,graphics/3d/character/labycorp_textures/ai_texture.png,,,,,,
Labycorp_AntiRiot_Elite_Suit,true,Skin,graphics/3d/character/labycorp_textures/anti_riot_elite_cop_texture.png,,,,,,
Hologram_dancer,true,Skin,graphics/3d/character/female_skins/female_skin4.png,,,,,,female
Hologram_dancer_face,true,Face,graphics/3d/character/female_faces/female_hologram_face1.png,Hologram_dancer,,,,,female
Hologram_dancer_hair,true,Hair,graphics/3d/hair/on_skin_textures/punk_hologram_f.png,,8,graphics/3d/hair/female.SUP,punk,graphics/3d/hair/textures/punk_hologram.png,female
NPC_Male_Hair_Mohawk,true,Hair,,,8,graphics/3d/hair/men.SUP,mohawk,graphics/3d/hair/textures/npc_mohawk_m.png,male
NPC Desert Hooligan skin1,true,Skin,graphics/3d/character/labycorp_textures/desert_hooligan_skin1_m.png,,,,,,male
NPC Desert Hooligan skin2,true,Skin,graphics/3d/character/labycorp_textures/desert_hooligan_skin2_m.png,,,,,,male
NPC Desert Hooligan mask1,true,FacialHair,graphics/3d/hair/textures/desert_hooligan_face_mask_m.png,,9,,,,male
NPC Mutant skin1,true,Skin,graphics/3d/character/labycorp_textures/mutant_skin1_m.png,,,,,,male
NPC Mutant skin2,true,Skin,graphics/3d/character/labycorp_textures/mutant_skin2_m.png,,,,,,male
NPC Mutant skin3,true,Skin,graphics/3d/character/labycorp_textures/mutant_skin3_m.png,,,,,,male
Crafting Bot 1,true,Skin,graphics/3d/character/crafting_robot_textures/crafting_robot_texture_cyan.png,,,,,,
Crafting Bot 2,true,Skin,graphics/3d/character/crafting_robot_textures/crafting_robot_texture.png,,,,,,
Crafting Bot 3,true,Skin,graphics/3d/character/crafting_robot_textures/crafting_robot_texture_black.png,,,,,,
NPC Ant skin,true,Skin,graphics/3d/character/labycorp_textures/ant_texture.png,,,,,,
NPC Ant skin 2,true,Skin,graphics/3d/character/labycorp_textures/ant_texture2.png,,,,,,
Male_Hair_9,,Hair,graphics/3d/hair/on_skin_textures/hair_1_m_brown.png,,10,graphics/3d/hair/men.SUP,hair_1,graphics/3d/hair/textures/hair_1_m_brown.png,male
Male_Hair_10,,Hair,graphics/3d/hair/on_skin_textures/hair_2_m_brown.png,,11,graphics/3d/hair/men.SUP,hair_2,graphics/3d/hair/textures/hair_2_m_brown.png,male
Male_Hair_11,,Hair,graphics/3d/hair/on_skin_textures/hair_3_m_brown.png,,12,graphics/3d/hair/men.SUP,hair_3,graphics/3d/hair/textures/hair_3_m_brown.png,male
Male_Hair_12,,Hair,graphics/3d/hair/on_skin_textures/hair_4_m.png,,13,graphics/3d/hair/men.SUP,hair_4,graphics/3d/hair/textures/hair_4_m_brown.png,male
Male_Hair_13,,Hair,graphics/3d/hair/on_skin_textures/hair_5_m_brown.png,,14,graphics/3d/hair/men.SUP,hair_5,graphics/3d/hair/textures/hair_5_m_brown.png,male
Male_Hair_14,,Hair,graphics/3d/hair/on_skin_textures/hair_6_m_brown.png,,15,graphics/3d/hair/men.SUP,hair_6,graphics/3d/hair/textures/hair_6_m_brown.png,male
Android01_Skin,true,Skin,graphics/3d/character/female_skins/female_skin_android.png,,,,,,female
Android01_Face,true,Face,graphics/3d/character/female_faces/female_android_face1.png,Android01_Skin,,,,,female
Female_Hair_9,,Hair,graphics/3d/hair/on_skin_textures/f_hair_1.png,,9,graphics/3d/hair/female.SUP,f_hair_1,graphics/3d/hair/textures/f_hair_1.png,female
Female_Hair_9_blonde,,Hair,graphics/3d/hair/on_skin_textures/f_hair_1_blonde.png,,9,graphics/3d/hair/female.SUP,f_hair_1,graphics/3d/hair/textures/f_hair_1_blonde.png,female
Female_Hair_9_black,,Hair,graphics/3d/hair/on_skin_textures/f_hair_1_black.png,,9,graphics/3d/hair/female.SUP,f_hair_1,graphics/3d/hair/textures/f_hair_1_black.png,female
Female_Hair_10,,Hair,graphics/3d/hair/on_skin_textures/f_hair_2.png,,10,graphics/3d/hair/female.SUP,f_hair_2,graphics/3d/hair/textures/f_hair_2.png,female
Female_Hair_10_blonde,,Hair,graphics/3d/hair/on_skin_textures/f_hair_2_blonde.png,,10,graphics/3d/hair/female.SUP,f_hair_2,graphics/3d/hair/textures/f_hair_2_blonde.png,female
Female_Hair_10_black,,Hair,graphics/3d/hair/on_skin_textures/f_hair_2_black.png,,10,graphics/3d/hair/female.SUP,f_hair_2,graphics/3d/hair/textures/f_hair_2_black.png,female
Male_Hair_9_blonde,,Hair,graphics/3d/hair/on_skin_textures/hair_1_m_blonde.png,,10,graphics/3d/hair/men.SUP,hair_1,graphics/3d/hair/textures/hair_1_m_blonde.png,male
Male_Hair_9_black,,Hair,graphics/3d/hair/on_skin_textures/hair_1_m_black.png,,10,graphics/3d/hair/men.SUP,hair_1,graphics/3d/hair/textures/hair_1_m_black.png,male
Male_Hair_10_blonde,,Hair,graphics/3d/hair/on_skin_textures/hair_2_m_blonde.png,,11,graphics/3d/hair/men.SUP,hair_2,graphics/3d/hair/textures/hair_2_m_blonde.png,male
Male_Hair_10_black,,Hair,graphics/3d/hair/on_skin_textures/hair_2_m_black.png,,11,graphics/3d/hair/men.SUP,hair_2,graphics/3d/hair/textures/hair_2_m_black.png,male
Male_Hair_11_blonde,,Hair,graphics/3d/hair/on_skin_textures/hair_3_m_blonde.png,,12,graphics/3d/hair/men.SUP,hair_3,graphics/3d/hair/textures/hair_3_m_blonde.png,male
Male_Hair_11_black,,Hair,graphics/3d/hair/on_skin_textures/hair_3_m_black.png,,12,graphics/3d/hair/men.SUP,hair_3,graphics/3d/hair/textures/hair_3_m_black.png,male
Male_Hair_12_blonde,,Hair,graphics/3d/hair/on_skin_textures/hair_4_m.png,,13,graphics/3d/hair/men.SUP,hair_4,graphics/3d/hair/textures/hair_4_m_blonde.png,male
Male_Hair_12_black,,Hair,graphics/3d/hair/on_skin_textures/hair_4_m.png,,13,graphics/3d/hair/men.SUP,hair_4,graphics/3d/hair/textures/hair_4_m_black.png,male
Male_Hair_13_blonde,,Hair,graphics/3d/hair/on_skin_textures/hair_5_m_blonde.png,,14,graphics/3d/hair/men.SUP,hair_5,graphics/3d/hair/textures/hair_5_m_blonde.png,male
Male_Hair_13_black,,Hair,graphics/3d/hair/on_skin_textures/hair_5_m_black.png,,14,graphics/3d/hair/men.SUP,hair_5,graphics/3d/hair/textures/hair_5_m_black.png,male
Male_Hair_14_blonde,,Hair,graphics/3d/hair/on_skin_textures/hair_6_m_blonde.png,,15,graphics/3d/hair/men.SUP,hair_6,graphics/3d/hair/textures/hair_6_m_blonde.png,male
Male_Hair_14_black,,Hair,graphics/3d/hair/on_skin_textures/hair_6_m_black.png,,15,graphics/3d/hair/men.SUP,hair_6,graphics/3d/hair/textures/hair_6_m_black.png,male
Sentrybot_red,true,Skin,graphics/3d/character/labycorp_textures/sentry_bot_texture_red.png,,,,,,
Sentrybot_black,true,Skin,graphics/3d/character/labycorp_textures/sentry_bot_texture_black.png,,,,,,
NPC Mutant skin4,true,Skin,graphics/3d/character/labycorp_textures/mutant_skin4_m.png,,,,,,male
NPC Ant skin 3,true,Skin,graphics/3d/character/labycorp_textures/ant_texture3.png,,,,,,
