Name,ArmorClassBonus,WeaponClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,EpicMeleeWeaponConstantTrail,Tier,Enhancement,DropOnlyTo,Model,Mesh,ModelTexture,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,Icon,PostToSocialNetworks,DiamondCostExact,ShopRangeMin,ShopRangeMax,PlaceableInEditor
Jungle Knife,Unarmored,Jungle Knife,12,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,blades_jungleKnife,graphics/3d/weapons/textures/jungle_knife_new.png,,,,,,,,,,,,,,,,,,
Wrench,Armored,Monkey Wrench,15,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,monkey_wrench,graphics/3d/weapons/textures/monkeywrench.png,,,,,,,,,,,,,,,,,,
Broadsword,Unarmored,Sword,17,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,extended_cleaver,graphics/3d/weapons/textures/extended_cleaver.png,,,,,,,,,,,,,,,,,,
Shovel,Armored,Shovel,18,Uncommon,,TRUE,,,of the Troublemaker,,graphics/3d/weapons/weapons.SUP,tools_shovel,graphics/3d/weapons/textures/shovel.png,,1,,,,,,,,,,,,,,,,
Massive Hammer,Armored,Sledge Hammer,19,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer.png,,,,,,,,,,,,,,,,,,
Hedge Trimmer,Mechanical,Reciprocating Saw,20,Uncommon,,TRUE,,,of the Troublemaker,,graphics/3d/weapons/weapons.SUP,Reciprocating Saw,graphics/3d/weapons/textures/reciprocating_saw.png,,,,,,,,,,,,,,,,,,
Power Sword,Unarmored,Sword,21,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,extended_cleaver,graphics/3d/weapons/textures/extended_cleaver_02.png,,1,,,,,,,,,,,,,,,,
Hydraulic Hammer,Armored,Sledge Hammer,22,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer.png,,,,,,,,,,,,,,,,,,
Street Bread Trimmer,Mechanical,Reciprocating Saw,24,Uncommon,,TRUE,,,of the Troublemaker,,graphics/3d/weapons/weapons.SUP,Reciprocating Saw,graphics/3d/weapons/textures/reciprocating_saw.png,,,,,,,,,,,,,,,,,,
Charged Sword,Unarmored,Sword,25,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons_rare.SUP,laser_sword,graphics/3d/weapons/textures/laser_sword_rare_01.png,,2,,,,,,,,,,,,,,,,
Chainsaw,Mechanical,Chainsaw,26,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse.png,,,,,,,,,,,,,,,,,,
Fangsaw,Mechanical,Chainsaw,27,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse.png,,1,,,,,,,,,,,,,,,,
Booming Hammer,Armored,Sledge Hammer,28,Uncommon,,TRUE,,,of the Troublemaker,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer.png,,1,,,,,,,,,,,,,,,,
Steel Cutter,Unarmored,Sword,30,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons_rare.SUP,laser_sword,graphics/3d/weapons/textures/laser_sword_rare_01.png,,1,,,,,,,,,,,,,,,,
Pavement Crusher,Armored,Sledge Hammer,30,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer.png,,1,,,,,,,,,,,,,,,,
Blood Sputterer,Mechanical,Chainsaw,30,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse.png,,2,,,,,,,,,,,,,,,,
Brain Surgeon,Armored,Sledge Hammer,30,Uncommon,,TRUE,,,of the Troublemaker,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer.png,,3,,,,,,,,,,,,,,,,
Gut Surgeon,Unarmored,Sword,30,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons_rare.SUP,laser_sword,graphics/3d/weapons/textures/laser_sword_rare_01_new.png,,2,,,,,,,,,,,,,,,,
Cosmetic Surgeon,Mechanical,Chainsaw,30,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse.png,,1,,,,,,,,,,,,,,,,
Vibroblade,Unarmored,Scimitar,3,Rare,,TRUE,,,of Health,,graphics/3d/weapons/weapons.SUP,scimitar,graphics/3d/weapons/textures/scimitar.png,TRUE,3,,,,,,,,,,,8,,,,,
Tooth Pick,Unarmored,Scimitar,5,Rare,,TRUE,,,of the Beast,,graphics/3d/weapons/weapons.SUP,scimitar,graphics/3d/weapons/textures/scimitar_02.png,TRUE,1,,,,,,,,,,,9,,,,,
Battle Blade,Unarmored,Jungle Knife,7,Rare,,TRUE,,,of Awareness,,graphics/3d/weapons/weapons.SUP,blades_jungleKnife02,graphics/3d/weapons/textures/badass_jungleknife_03.png,TRUE,1,,,,,,,,,,,,,,,,
The Punisher,Unarmored,Golf Club,9,Rare,,TRUE,,,of the Destroyer,,graphics/3d/weapons/weapons_rare.SUP,edge_club,graphics/3d/weapons/textures/edge_club_rare_01.png,TRUE,2,,,,,,,,,,,181,,,,,
Voodoo Stick,Unarmored,Jungle Knife,11,Rare,,TRUE,,,of the Judgment,,graphics/3d/weapons/weapons.SUP,skull_club,graphics/3d/weapons/textures/skull_club.png,TRUE,3,,,,,,,,,,,191,,,,,
Jungle Sweep,Unarmored,Jigsaw,13,Rare,,TRUE,,,of Health,,graphics/3d/weapons/weapons.SUP,tools_chainsawsword,graphics/3d/weapons/textures/chainsaw_sword.png,TRUE,3,,,,,,,,,,,,,,,,
Muddy Shovel,Armored,Shovel,15,Rare,,TRUE,,,of the Judgment,,graphics/3d/weapons/weapons.SUP,tool_supershovel,graphics/3d/weapons/textures/supershovel.png,TRUE,4,,,,,,,,,,,,,,,,
Revenger's Knife,Unarmored,Knife,17,Rare,,TRUE,,,of Awareness,,graphics/3d/weapons/weapons.SUP,big_knife,graphics/3d/weapons/textures/big_knife_02.png,TRUE,3,,,,,,,,,,,,,,,,
Cleaver Deluxe,Mechanical,Cleaver,19,Rare,,TRUE,,,of the Destroyer,,graphics/3d/weapons/weapons.SUP,blades_Cleaver,graphics/3d/weapons/textures/cleaver_02.png,TRUE,5,,,,,,,,,,,,,,,,
Electrocutter,Armored,Jigsaw,21,Rare,,TRUE,,,of Health,,graphics/3d/weapons/weapons.SUP,tools_chainsawsword,graphics/3d/weapons/textures/chainsaw_sword_03.png,TRUE,6,,,,,,,,,,,,,,,,
Jade Handle,Unarmored,Sword,23,Rare,,TRUE,,,of the Beast,,graphics/3d/weapons/weapons.SUP,katana_spiked,graphics/3d/weapons/textures/katana_spiked_03.png,TRUE,5,,,,,,,,,,,,,,,,
Decapitator,Mechanical,Chainsaw,25,Rare,,TRUE,,,of Awareness,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse.png,TRUE,4,,,,,,,,,,,,,,,,
Wall Crusher,Armored,Sledge Hammer,27,Rare,,TRUE,,,of the Judgment,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer_02.png,TRUE,4,,,,,,,,,,,,,,,,
LabyBlade X-29,Unarmored,Tech Sword,29,Rare,,TRUE,,,of the Destroyer,,graphics/3d/weapons/weapons.SUP,scythe_dagger,graphics/3d/weapons/textures/scythe_dagger_03.png,TRUE,15,,,,,,,,,,,,,,,,
Nano Scythe,Unarmored,Hi-Tech Scythe,30,Rare,,TRUE,,,of Awareness,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe.png,,6,,,,,,,,,,,,,,,,
MC Hammer,Armored,Sledge Hammer,30,Rare,,TRUE,,,of the Beast,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer_02.png,,6,,,,,,,,,,,,,,,,
Lucky Lumberjack,Mechanical,Chainsaw,30,Rare,,TRUE,,,of Health,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_02.png,,8,,,,,,,,,,,,,,,,
Crowbar,Unarmored,Crowbar,2,Epic,,TRUE,Trail,,of the Painmaker,,graphics/3d/weapons/weapons.SUP,crowbar,graphics/3d/weapons/textures/crowbar.png,,5,,,,,,,,,,,,,,,,
Trailblade,Unarmored,Scimitar,4,Rare,TRUE,TRUE,Trail,,of the Beast,,graphics/3d/weapons/weapons.SUP,scimitar,graphics/3d/weapons/textures/scimitar_03.png,TRUE,3,,,,,,,,,,,7,,,,,
Giant Blade,Unarmored,Sword,6,Epic,TRUE,TRUE,Trail,,of Awareness,,graphics/3d/weapons/weapons_rare.SUP,carbon_cleaver,graphics/3d/weapons/textures/carbon_cleaver_rare_01.png,TRUE,3,,,,,,,,,,,,,,,,
Zweihander,Unarmored,Chainsaw,8,Epic,TRUE,TRUE,Trail,,of the Judgment,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_02.png,TRUE,5,,,,,,,,,,,,,,,,
The Choppa,Unarmored,Long Blade,10,Epic,TRUE,TRUE,Trail,,of the Destroyer,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer_02.png,TRUE,4,,,,,,,,,,,191,,,,,
Pirate Blade,Unarmored,Long Blade,12,Epic,TRUE,TRUE,Trail,,of Awareness,,graphics/3d/weapons/weapons_rare.SUP,rhino_sword,graphics/3d/weapons/textures/rhino_sword_rare_01.png,TRUE,4,,,,,,,,,,,7,,,,,
Privateer Blade,Unarmored,Long Blade,14,Epic,TRUE,TRUE,Trail,,of the Painmaker,,graphics/3d/weapons/weapons_rare.SUP,rhino_sword,graphics/3d/weapons/textures/rhino_sword_rare_01.png,TRUE,5,,,,,,,,,,,7,,,,,
Trailcutter,Armored,Tech Sword,16,Epic,TRUE,TRUE,Trail,,of Health,,graphics/3d/weapons/weapons.SUP,scythe_dagger,graphics/3d/weapons/textures/scythe_dagger.png,TRUE,8,,,,,,,,,,,,,,,,
Claymore,Unarmored,Sword,18,Epic,TRUE,TRUE,Trail,,of the Painmaker,,graphics/3d/weapons/weapons.SUP,extended_cleaver,graphics/3d/weapons/textures/extended_cleaver.png,TRUE,6,,,,,,,,,,,,,,,,
Laser Blade,Mechanical,Power Cutter,20,Epic,TRUE,TRUE,Trail,,of the Beast,,graphics/3d/weapons/weapons_rare.SUP,laser_sword,graphics/3d/weapons/textures/laser_sword_rare_01.png,TRUE,6,,,,,,,,,,,10,,,,,
Pneumatic Digger,Armored,Shovel,22,Epic,TRUE,TRUE,Trail,,of the Beast,,graphics/3d/weapons/weapons.SUP,tool_supershovel,graphics/3d/weapons/textures/supershovel.png,TRUE,6,,,,,,,,,,,,,,,,
Razor Chain,Mechanical,Chainsaw,24,Epic,TRUE,TRUE,Trail,,of Awareness,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_02.png,TRUE,8,,,,,,,,,,,,,,,,
Street Sensei,Unarmored,Hi-Tech Scythe,26,Epic,TRUE,TRUE,Trail,,of the Beast,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe.png,TRUE,10,,,,,,,,,,,,,,,,
Steel Skull,Armored,2-handed Basher,28,Epic,,TRUE,Trail,,of the Destroyer,,graphics/3d/weapons/weapons.SUP,skull_club,graphics/3d/weapons/textures/skull_club_02.png,TRUE,14,,,,,,,,,,,194,,,,,
Brutal Headmaster,Unarmored,Hi-Tech Scythe,30,Epic,,TRUE,Trail,6,of the Destroyer,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe_02.png,,12,,,,,,,,,,,,,,,,
Club Inferno,Armored,2-handed Basher,30,Epic,,TRUE,Trail,5,of the Painmaker,,graphics/3d/weapons/weapons.SUP,skull_club,graphics/3d/weapons/textures/skull_club_03.png,,12,,,,,,,,,,,,,,,,
Manly Toothbrush,Mechanical,Chainsaw,30,Epic,,TRUE,Trail,4,of the Judgment,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_03.png,,,,,,,,,,,,,,,,,,
Mutant Thigh Bone,Unarmored,Police Baton,20,Rare,,TRUE,Trail,,of Awareness,,graphics/3d/weapons/weapons.SUP,tools_bat,graphics/3d/weapons/textures/bat_02.png,,13,,,,,,,,,,,,,,,,
Rock Head,Armored,2-handed Basher,30,Rare,,TRUE,,,of the Destroyer,,graphics/3d/weapons/weapons_rare.SUP,edge_club,graphics/3d/weapons/textures/edge_club_rare_01.png,,5,,,,,,,,,,,,,,,,
Chieftain Blade,Unarmored,Hi-Tech Scythe,30,Epic,,TRUE,Trail,,of the Beast,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe_03.png,,12,,,,,,,,,,,,,,,,
Thunderclap,Armored,Sledge Hammer,30,Epic,,TRUE,Trail,5,of the Thug,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer_03.png,,18,,,,,,,,,,,,,,,,
The Lumberjack,Mechanical,Chainsaw,30,Epic,,TRUE,Trail,6,of the Beast,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_03.png,,20,,,,,,,,,,,,,,,,
Atomic Wrench,Unarmored,Monkey Wrench,1,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,monkey_wrench,graphics/3d/weapons/textures/monkeywrench.png,,,,,,,,,,,,,,,,,,
Sharpened Katana,Unarmored,Sword,6,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,blades_katana,graphics/3d/weapons/textures/katana.png,,1,,,,,,,,,,,,,,,,
Ace of Spades,Armored,Shovel,11,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,tools_shovel,graphics/3d/weapons/textures/shovel.png,,1,,,,,,,,,,,,,,,,
The Sledge,Armored,Sledge Hammer,15,Uncommon,,TRUE,,,of the Thug,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer.png,,1,,,,,,,,,,,,,,,,
Hermana,Unarmored,Axe,3,Uncommon,,TRUE,,,of the Troublemaker,Bodyguard,graphics/3d/weapons/weapons.SUP,combat_axe,graphics/3d/weapons/textures/combat_axe.png,,,,,,,,,,,,,,,,,,
Beta Key of Awesomeness,Unarmored,Key,1,Epic,TRUE,TRUE,Trail,,of Awareness,,graphics/3d/weapons/weapons.SUP,staff_beta,graphics/3d/weapons/textures/betastaff.png,TRUE,3,,,,,,,,,,,,,5000,1,30,
Wrath of God,Armored,2-handed Basher,30,Epic,,TRUE,Trail,4,of the Beast,,graphics/3d/weapons/weapons.SUP,skull_club,graphics/3d/weapons/textures/skull_club_03.png,TRUE,18,,,,,,,,,,,,,,,,
Grim Reaper,Unarmored,Hi-Tech Scythe,30,Epic,,TRUE,Trail,4,of the Judgment,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe_02.png,,2,,,,,,,,,,,,,,,,
Sushi Chef,Unarmored,Hi-Tech Scythe,30,Epic,,TRUE,Trail,6,of the Judgment,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe_03.png,TRUE,2,,,,,,,,,,,,,,,,
The Ash,Armored,Chainsaw,30,Epic,,TRUE,Trail,4,of the Judgment,,graphics/3d/weapons/weapons.SUP,tools_chainsaw,graphics/3d/weapons/textures/chainsaw_diffuse_02.png,TRUE,8,,,,,,,,,,,,,,,,
Zombieboss Head,Armored,Crowbar,30,Epic,,TRUE,,4,,,graphics/3d/weapons/special_weapons.SUP,zombieboss_head,graphics/3d/character/bosses/zombieboss_texture1.png,,8,,,,,,,,,,,,,,,,
Zombie Fire,Armored,Unarmed_Burn,30,Epic,,TRUE,,4,,,,,,,,,,,,,,,,,,,,,,,
Fire Axe,Armored,Axe,1,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,combat_axe,graphics/3d/weapons/textures/fire_axe.png,,,,,,,,,,,,,,,,,,
Rusty Iron Pipe,Unarmored,Pipe,1,Uncommon,,,,,,,graphics/3d/weapons/weapons.SUP,regularpipe,graphics/3d/weapons/textures/regularpipe.png,,,1,2,,,,,,,,,,,,,,TRUE
Migraine,Armored,Unarmed_Burn,30,Rare,,TRUE,,,of the Destroyer,,graphics/3d/weapons/special_weapons.SUP,zombieboss_head,graphics/3d/character/bosses/zombieboss_texture1.png,,,,,,,,,,,,,,true,,,,
Csejte,Armored,Knife,30,Epic,,TRUE,,,of the Judgment,,graphics/3d/weapons/weapons.SUP,scythe_dagger,graphics/3d/weapons/textures/scythe_dagger_02.png,,,,,,,,,,,,,,,,,,
Armageddon,Unarmored,Special Scythe,30,Epic,TRUE,TRUE,Trail,5,of the Beast,,graphics/3d/weapons/weapons.SUP,two_handed_scythe,graphics/3d/weapons/textures/two_handed_scythe_04.png,TRUE,1,25,30,,,,,,,,,197,,50000,30,30,
Angelspinner,Unarmored,Knife,12,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,big_knife,graphics/3d/weapons/textures/big_knife_03.png,,,,,,,,,,,,,,,,,,
Chaostwister,Unarmored,Knife,15,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,big_knife,graphics/3d/weapons/textures/big_knife_04.png,,,,,,,,,,,,,,,,,,
The Edge [Hurricane],Armored,Special Weapon: Hurricane,30,Epic,,TRUE,,1,of Awareness,Bodyguard,graphics/3d/weapons/weapons_rare.SUP,carbon_cleaver,graphics/3d/weapons/textures/carbon_cleaver_rare_01_new.png,,,,,,,,,,,,,7,,,,,
Cloudholder,Mechanical,Reciprocating Saw,10,Rare,,TRUE,,,of the Judgment,,graphics/3d/weapons/weapons.SUP,tools_chainsawsword,graphics/3d/weapons/textures/chainsaw_sword_02.png,,,,,,,,,,,,,,,,,,
Aerohacker,Mechanical,Reciprocating Saw,20,Rare,TRUE,TRUE,,,of the Beast,,graphics/3d/weapons/weapons.SUP,tools_chainsawsword,graphics/3d/weapons/textures/chainsaw_sword_04.png,,,,,,,,,,,,,,,,,,
Demonspinner,Armored,Circular Saw,30,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,circularsaw,graphics/3d/weapons/textures/circularsaw_02.png,,,,,,,,,,,,,169,,,,,
Cutspinner,Armored,Circular Saw,30,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,circularsaw,graphics/3d/weapons/textures/circularsaw_03.png,,,,,,,,,,,,,168,,,,,
Cyclocutter,Armored,Cleaver,30,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_cleaver,graphics/3d/weapons/textures/cleaver_03.png,,,,,,,,,,,,,,,,,,
Spaceaxe [Hurricane],Armored,Special Weapon: Hurricane,30,Rare,,TRUE,,,of the Destroyer,Bodyguard,graphics/3d/weapons/weapons.SUP,combat_axe,graphics/3d/weapons/textures/combat_axe_02.png,,1,,,,,,,,,,,188,,,,,
Baneaxe [Hurricane],Armored,Special Weapon: Hurricane,30,Epic,TRUE,TRUE,,3,of the Beast,Bodyguard,graphics/3d/weapons/weapons.SUP,combat_axe,graphics/3d/weapons/textures/combat_axe_03.png,,2,,,,,,,,,,,188,,,,,
Gyroclub,Armored,Cleaver,20,Rare,,TRUE,,,of the Destroyer,,graphics/3d/weapons/weapons.SUP,extended_cleaver,graphics/3d/weapons/textures/extended_cleaver_03.png,,3,,,,,,,,,,,6,,,,,
Used Iron Nine,Unarmored,Golf Club,6,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,golf_club,graphics/3d/weapons/textures/golfclub.png,,,,,,,,,,,,,,,,,,
Darkgrind,Armored,Circular Saw,12,Uncommon,TRUE,TRUE,,,,,graphics/3d/weapons/weapons.SUP,grinder,graphics/3d/weapons/textures/grinder.png,,,,,,,,,,,,,,,,,,
Devilpick,Unarmored,Hockey Stick,7,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,hockey_stick,graphics/3d/weapons/textures/hockeystick.png,,,,,,,,,,,,,,,,,,
Octasword,Unarmored,Sword,15,Uncommon,TRUE,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_katana,graphics/3d/weapons/textures/katana_02.png,,,,,,,,,,,,,101,,,,,
Dirklance,Unarmored,Sword,20,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_katana,graphics/3d/weapons/textures/katana_03.png,,,,,,,,,,,,,,,,,,
Shinesword,Unarmored,Sword,25,Uncommon,TRUE,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_katana,graphics/3d/weapons/textures/katana_04.png,,,,,,,,,,,,,,,,,,
Shockpiercer,Unarmored,Sword,30,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,katana_spiked,graphics/3d/weapons/textures/katana_spiked_02.png,,,,,,,,,,,,,,,,,,
Speedsword,Unarmored,Sword,5,Rare,,TRUE,,,of the Destroyer,,graphics/3d/weapons/weapons.SUP,katana_spiked,graphics/3d/weapons/textures/katana_spiked_04.png,,3,,,,,,,,,,,,,,,,
Whirlknife,Unarmored,Knife,20,Rare,,TRUE,,,of the Beast,,graphics/3d/weapons/weapons.SUP,blades_knife,graphics/3d/weapons/textures/knife_02.png,,5,,,,,,,,,,,,,,,,
Triknife,Unarmored,Knife,15,Uncommon,TRUE,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_knife,graphics/3d/weapons/textures/knife_03.png,,,,,,,,,,,,,,,,,,
Helioknife,Unarmored,Knife,8,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_knife,graphics/3d/weapons/textures/knife_04.png,,,,,,,,,,,,,,,,,,
Smokecrusher,Mechanical,Hydraulic Hammer,30,Epic,TRUE,TRUE,,,of the Beast,,graphics/3d/weapons/weapons.SUP,pneumatic_hammer,graphics/3d/weapons/textures/pneumatic_hammer_02_new.png,,8,,,,,,,,,,,,,,,,
Hexaspinner,Armored,Circular Saw,7,Uncommon,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,Power Cutter,graphics/3d/weapons/textures/powercutter_new.png,,,,,,,,,,,,,177,,,,,
Wishbreaker,Unarmored,Sword,6,Epic,,TRUE,,,of the Judgment,,graphics/3d/weapons/weapons_rare.SUP,rhino_sword,graphics/3d/weapons/textures/rhino_sword_rare_01_new.png,,5,,,,,,,,,,,,,,,,
Old Saw,Unarmored,Saw,4,Poor,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,rusty_saw,graphics/3d/weapons/textures/rusty_saw.png,,,,,,,,,,,,,,,,,,
