Name,NPCItem,EquipmentClass,ClothClass,RequiredLevel,Rarity,PlaceableInEditor,Tier,Enhancement,PostToSocialNetworks,Texture,FemaleTexture,ModelTexture,FemaleModelTexture,LootDisabled,Icon
Poor Blue Sport Coat,,Blue Sport Coat,Large,11,Poor,,,,,graphics/3d/character/jacket/sportcoat_blue_02_m.png,graphics/3d/character/jacket/sportcoat_blue_02_f.png,,,TRUE,41
Shabby Blue Sport Coat,,Blue Sport Coat,Large,14,Poor,,,,,graphics/3d/character/jacket/sportcoat_blue_02_m.png,graphics/3d/character/jacket/sportcoat_blue_02_f.png,,,TRUE,41
Inferior Blue Sport Coat,,Blue Sport Coat,Large,17,Poor,,,,,graphics/3d/character/jacket/sportcoat_blue_02_m.png,graphics/3d/character/jacket/sportcoat_blue_02_f.png,,,TRUE,41
Universal Blue Sport Coat,,Blue Sport Coat,Large,10,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Average Blue Sport Coat,,Blue Sport Coat,Large,12,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Basic Blue Sport Coat,,Blue Sport Coat,Large,15,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Everyday Blue Sport Coat,,Blue Sport Coat,Large,18,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Regular Blue Sport Coat,,Blue Sport Coat,Large,19,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Average Blue Striped Jacket,,Blue Striped Jacket,Large,6,Common,,,,,graphics/3d/character/jacket/suit_jacket_blue_03_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Basic Blue Striped Jacket,,Blue Striped Jacket,Large,8,Common,,,,,graphics/3d/character/jacket/suit_jacket_blue_03_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Everyday Blue Striped Jacket,,Blue Striped Jacket,Large,10,Common,,,,,graphics/3d/character/jacket/suit_jacket_blue_03_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Regular Blue Striped Jacket,,Blue Striped Jacket,Large,12,Common,,,,,graphics/3d/character/jacket/suit_jacket_blue_03_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Popular Blue Striped Jacket,,Blue Striped Jacket,Large,14,Common,,,,,graphics/3d/character/jacket/suit_jacket_blue_03_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Worthless Blue Sweater,,Blue Sweater,Large,15,Poor,,,,,graphics/3d/character/jacket/sweater_blue_01_m.png,graphics/3d/character/jacket/sweater_blue_01_f.png,,,TRUE,41
Poor Blue Sweater,,Blue Sweater,Large,18,Poor,,,,,graphics/3d/character/jacket/sweater_blue_01_m.png,graphics/3d/character/jacket/sweater_blue_01_f.png,,,TRUE,41
Shabby Blue Sweater,,Blue Sweater,Large,19,Poor,,,,,graphics/3d/character/jacket/sweater_blue_01_m.png,graphics/3d/character/jacket/sweater_blue_01_f.png,,,TRUE,41
Inferior Blue Sweater,,Blue Sweater,Large,21,Poor,,,,,graphics/3d/character/jacket/sweater_blue_01_m.png,graphics/3d/character/jacket/sweater_blue_01_f.png,,,TRUE,41
Rural Blue Sweater,,Blue Sweater,Large,23,Poor,,,,,graphics/3d/character/jacket/sweater_blue_01_m.png,graphics/3d/character/jacket/sweater_blue_01_f.png,,,TRUE,41
Barebones Blue Sweater,,Blue Sweater,Large,25,Poor,,,,,graphics/3d/character/jacket/sweater_blue_01_m.png,graphics/3d/character/jacket/sweater_blue_01_f.png,,,TRUE,41
Basic Blue Sweater,,Blue Sweater,Large,4,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Everyday Blue Sweater,,Blue Sweater,Large,5,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Regular Blue Sweater,,Blue Sweater,Large,6,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Popular Blue Sweater,,Blue Sweater,Large,7,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Common Blue Sweater,,Blue Sweater,Large,8,Common,,,,,graphics/3d/character/jacket/sportcoat_blue_01_m.png,graphics/3d/character/jacket/sportcoat_blue_01_f.png,,,TRUE,41
Outstanding Braided Leather Jacket,,Braided Leather Jacket,Large,15,Rare,,,of the Judgment,TRUE,graphics/3d/character/jacket/braided_jacket_black_01_m.png,graphics/3d/character/jacket/braided_jacket_black_01_f.png,,,TRUE,21
Superfine Braided Leather Jacket,,Braided Leather Jacket,Large,17,Rare,,,of the Destroyer,TRUE,graphics/3d/character/jacket/braided_jacket_black_01_m.png,graphics/3d/character/jacket/braided_jacket_black_01_f.png,,,TRUE,21
Excellent Braided Leather Jacket,,Braided Leather Jacket,Large,19,Rare,,,of the Painmaker,TRUE,graphics/3d/character/jacket/braided_jacket_black_01_m.png,graphics/3d/character/jacket/braided_jacket_black_01_f.png,,,TRUE,21
Cool Brown Armor Vest,,Brown Armor Vest,Large,30,Uncommon,,,,TRUE,graphics/3d/character/jacket/brown_armor_vestoutfit_01_m.png,graphics/3d/character/jacket/brown_armor_vestoutfit_01_f.png,,,TRUE,66
Good Brown Leather Jacket,,Brown Leather Jacket,Large,20,Uncommon,,,,TRUE,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,TRUE,66
Fine Brown Leather Jacket,,Brown Leather Jacket,Large,22,Uncommon,,,,TRUE,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,TRUE,66
Credible Brown Leather Jacket,,Brown Leather Jacket,Large,24,Uncommon,,,,TRUE,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,TRUE,66
Street Wise Brown Leather Jacket,,Brown Leather Jacket,Large,26,Uncommon,,,,TRUE,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,TRUE,66
Common Brown Sweater,,Brown Sweater,Large,1,Common,,,,,graphics/3d/character/jacket/sweater_brown_01_m.png,graphics/3d/character/jacket/sweater_brown_01_f.png,,,TRUE,11
Simple Brown Sweater,,Brown Sweater,Large,2,Common,,,,,graphics/3d/character/jacket/sweater_brown_01_m.png,graphics/3d/character/jacket/sweater_brown_01_f.png,,,TRUE,11
Typical Brown Sweater,,Brown Sweater,Large,3,Common,,,,,graphics/3d/character/jacket/sweater_brown_01_m.png,graphics/3d/character/jacket/sweater_brown_01_f.png,,,TRUE,11
Usual Brown Sweater,,Brown Sweater,Large,4,Common,,,,,graphics/3d/character/jacket/sweater_brown_01_m.png,graphics/3d/character/jacket/sweater_brown_01_f.png,,,TRUE,11
Plain Brown Sweater,,Brown Sweater,Large,5,Common,,,,,graphics/3d/character/jacket/sweater_brown_01_m.png,graphics/3d/character/jacket/sweater_brown_01_f.png,,,TRUE,11
Simple Butcher's Jacket,,Butcher's Jacket,Large,2,Common,,,,,graphics/3d/character/jacket/butcher_shirt_01_m.png,graphics/3d/character/jacket/butcher_shirt_01_f.png,,,TRUE,46
Typical Butcher's Jacket,,Butcher's Jacket,Large,3,Common,,,,,graphics/3d/character/jacket/butcher_shirt_01_m.png,graphics/3d/character/jacket/butcher_shirt_01_f.png,,,TRUE,46
Usual Butcher's Jacket,,Butcher's Jacket,Large,6,Common,,,,,graphics/3d/character/jacket/butcher_shirt_01_m.png,graphics/3d/character/jacket/butcher_shirt_01_f.png,,,TRUE,46
Plain Butcher's Jacket,,Butcher's Jacket,Large,7,Common,,,,,graphics/3d/character/jacket/butcher_shirt_01_m.png,graphics/3d/character/jacket/butcher_shirt_01_f.png,,,TRUE,46
Standard Butcher's Jacket,,Butcher's Jacket,Large,9,Common,,,,TRUE,graphics/3d/character/jacket/butcher_shirt_01_m.png,graphics/3d/character/jacket/butcher_shirt_01_f.png,,,TRUE,46
Greater Buttoned Leather Jacket,,Buttoned Leather Jacket,Large,4,Rare,,,of the Judgment,TRUE,graphics/3d/character/jacket/buttoned_leather_jacket_01_m.png,graphics/3d/character/jacket/buttoned_leather_jacket_01_f.png,,,TRUE,21
Singular Buttoned Leather Jacket,,Buttoned Leather Jacket,Large,8,Rare,,,of the Destroyer,TRUE,graphics/3d/character/jacket/buttoned_leather_jacket_01_m.png,graphics/3d/character/jacket/buttoned_leather_jacket_01_f.png,,,TRUE,21
Exquisite Buttoned Leather Jacket,,Buttoned Leather Jacket,Large,12,Rare,,,of the Painmaker,TRUE,graphics/3d/character/jacket/buttoned_leather_jacket_01_m.png,graphics/3d/character/jacket/buttoned_leather_jacket_01_f.png,,,TRUE,21
Singular Camo Shirt,,Camo Shirt,Large,3,Rare,,,of the Predator,TRUE,graphics/3d/character/jacket/tshirt_green_01_m.png,graphics/3d/character/jacket/tshirt_green_01_f.png,,,TRUE,6
Exquisite Camo Shirt,,Camo Shirt,Large,5,Rare,,,of the Legend,TRUE,graphics/3d/character/jacket/tshirt_green_01_m.png,graphics/3d/character/jacket/tshirt_green_01_f.png,,,TRUE,6
High-Power Camo Shirt,,Camo Shirt,Large,11,Rare,,,of the Ambusher,TRUE,graphics/3d/character/jacket/tshirt_green_01_m.png,graphics/3d/character/jacket/tshirt_green_01_f.png,,,TRUE,6
Plain Casual Vest,,Casual Vest,Large,10,Common,,,,,graphics/3d/character/jacket/vest_black_04_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,66
Standard Casual Vest,,Casual Vest,Large,11,Common,,,,,graphics/3d/character/jacket/vest_black_04_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,66
Universal Casual Vest,,Casual Vest,Large,13,Common,,,,,graphics/3d/character/jacket/vest_black_04_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,66
Average Casual Vest,,Casual Vest,Large,16,Common,,,,,graphics/3d/character/jacket/vest_black_04_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,66
Basic Casual Vest,,Casual Vest,Large,19,Common,,,,,graphics/3d/character/jacket/vest_black_04_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,66
Acute Cowhide Jacket,,Cowhide Jacket,Large,10,Uncommon,,,,TRUE,graphics/3d/character/jacket/cowhide_jacket_01_m.png,graphics/3d/character/jacket/cowhide_jacket_01_f.png,,,TRUE,21
Genuine Cowhide Jacket,,Cowhide Jacket,Large,12,Uncommon,,,,TRUE,graphics/3d/character/jacket/cowhide_jacket_01_m.png,graphics/3d/character/jacket/cowhide_jacket_01_f.png,,,TRUE,21
Special Cowhide Jacket,,Cowhide Jacket,Large,14,Uncommon,,,,TRUE,graphics/3d/character/jacket/cowhide_jacket_01_m.png,graphics/3d/character/jacket/cowhide_jacket_01_f.png,,,TRUE,21
Elegant Cowhide Jacket,,Cowhide Jacket,Large,16,Uncommon,,,,TRUE,graphics/3d/character/jacket/cowhide_jacket_01_m.png,graphics/3d/character/jacket/cowhide_jacket_01_f.png,,,TRUE,21
Universal Dark Red Sport Coat,,Dark Red Sport Coat,Large,20,Common,,,,,graphics/3d/character/jacket/sportcoat_red_02_m.png,graphics/3d/character/jacket/sportcoat_red_02_f.png,,,TRUE,56
Average Dark Red Sport Coat,,Dark Red Sport Coat,Large,21,Common,,,,,graphics/3d/character/jacket/sportcoat_red_02_m.png,graphics/3d/character/jacket/sportcoat_red_02_f.png,,,TRUE,56
Basic Dark Red Sport Coat,,Dark Red Sport Coat,Large,22,Common,,,,,graphics/3d/character/jacket/sportcoat_red_02_m.png,graphics/3d/character/jacket/sportcoat_red_02_f.png,,,TRUE,56
Everyday Dark Red Sport Coat,,Dark Red Sport Coat,Large,24,Common,,,,,graphics/3d/character/jacket/sportcoat_red_02_m.png,graphics/3d/character/jacket/sportcoat_red_02_f.png,,,TRUE,56
Regular Dark Red Sport Coat,,Dark Red Sport Coat,Large,26,Common,,,,,graphics/3d/character/jacket/sportcoat_red_02_m.png,graphics/3d/character/jacket/sportcoat_red_02_f.png,,,TRUE,56
Radical Dark Trench Coat,,Dark Trench Coat,Large,30,Rare,,4,of the Judgment,TRUE,graphics/3d/character/jacket/long_jacket_outfit_03_m.png,graphics/3d/character/jacket/long_jacket_outfit_03_f.png,graphics/3d/character/jacket/long_jacket_outfit_03_add_m.png,graphics/3d/character/jacket/long_jacket_outfit_03_add_f.png,TRUE,21
Ragged Denim Vest,,Denim Vest,Large,20,Poor,,,,,graphics/3d/character/jacket/vest_blue_02_m.png,graphics/3d/character/jacket/vest_blue_02_f.png,,,TRUE,76
Worn Denim Vest,,Denim Vest,Large,22,Poor,,,,,graphics/3d/character/jacket/vest_blue_02_m.png,graphics/3d/character/jacket/vest_blue_02_f.png,,,TRUE,76
Old Denim Vest,,Denim Vest,Large,26,Poor,,,,,graphics/3d/character/jacket/vest_blue_02_m.png,graphics/3d/character/jacket/vest_blue_02_f.png,,,TRUE,76
Lame Denim Vest,,Denim Vest,Large,27,Poor,,,,,graphics/3d/character/jacket/vest_blue_02_m.png,graphics/3d/character/jacket/vest_blue_02_f.png,,,TRUE,76
Warped Denim Vest,,Denim Vest,Large,28,Poor,,,,,graphics/3d/character/jacket/vest_blue_02_m.png,graphics/3d/character/jacket/vest_blue_02_f.png,,,TRUE,76
Lousy Denim Vest,,Denim Vest,Large,30,Poor,,,,,graphics/3d/character/jacket/vest_blue_02_m.png,graphics/3d/character/jacket/vest_blue_02_f.png,,,TRUE,76
Elegant Denim Vest,,Denim Vest,Large,2,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,TRUE,76
Great Denim Vest,,Denim Vest,Large,4,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,TRUE,76
Cool Denim Vest,,Denim Vest,Large,6,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,TRUE,76
Good Denim Vest,,Denim Vest,Large,8,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,TRUE,76
Great Distressed Jacket,,Distressed Jacket,Large,15,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_jacket_black_01_m.png,graphics/3d/character/jacket/distressed_jacket_black_01_f.png,,,TRUE,1
Cool Distressed Jacket,,Distressed Jacket,Large,16,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_jacket_black_01_m.png,graphics/3d/character/jacket/distressed_jacket_black_01_f.png,,,TRUE,1
Good Distressed Jacket,,Distressed Jacket,Large,17,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_jacket_black_01_m.png,graphics/3d/character/jacket/distressed_jacket_black_01_f.png,,,TRUE,1
Fine Distressed Jacket,,Distressed Jacket,Large,19,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_jacket_black_01_m.png,graphics/3d/character/jacket/distressed_jacket_black_01_f.png,,,TRUE,1
Regular Drum Dyed Jacket,,Drum Dyed Jacket,Large,19,Common,,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,TRUE,21
Popular Drum Dyed Jacket,,Drum Dyed Jacket,Large,23,Common,,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,TRUE,21
Common Drum Dyed Jacket,,Drum Dyed Jacket,Large,25,Common,,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,TRUE,21
Simple Drum Dyed Jacket,,Drum Dyed Jacket,Large,27,Common,,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,TRUE,21
Typical Drum Dyed Jacket,,Drum Dyed Jacket,Large,30,Common,,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,TRUE,21
Cool Drum Dyed Jacket,,Drum Dyed Jacket,Large,20,Uncommon,,,,TRUE,graphics/3d/character/jacket/drumdyed_jacket_02_m.png,graphics/3d/character/jacket/drumdyed_jacket_02_f.png,,,TRUE,1
Good Drum Dyed Jacket,,Drum Dyed Jacket,Large,22,Uncommon,,,,TRUE,graphics/3d/character/jacket/drumdyed_jacket_02_m.png,graphics/3d/character/jacket/drumdyed_jacket_02_f.png,,,TRUE,1
Fine Drum Dyed Jacket,,Drum Dyed Jacket,Large,23,Uncommon,,,,TRUE,graphics/3d/character/jacket/drumdyed_jacket_02_m.png,graphics/3d/character/jacket/drumdyed_jacket_02_f.png,,,TRUE,1
Credible Drum Dyed Jacket,,Drum Dyed Jacket,Large,25,Uncommon,,,,TRUE,graphics/3d/character/jacket/drumdyed_jacket_02_m.png,graphics/3d/character/jacket/drumdyed_jacket_02_f.png,,,TRUE,1
Good Faux Leather Jacket,,Faux Leather Jacket,Large,2,Uncommon,,,,TRUE,graphics/3d/character/jacket/faux_jacket_black_01_m.png,graphics/3d/character/jacket/faux_jacket_black_01_f.png,,,TRUE,21
Fine Faux Leather Jacket,,Faux Leather Jacket,Large,4,Uncommon,,,,TRUE,graphics/3d/character/jacket/faux_jacket_black_01_m.png,graphics/3d/character/jacket/faux_jacket_black_01_f.png,,,TRUE,21
Credible Faux Leather Jacket,,Faux Leather Jacket,Large,5,Uncommon,,,,TRUE,graphics/3d/character/jacket/faux_jacket_black_01_m.png,graphics/3d/character/jacket/faux_jacket_black_01_f.png,,,TRUE,21
Street Wise Faux Leather Jacket,,Faux Leather Jacket,Large,6,Uncommon,,,,TRUE,graphics/3d/character/jacket/faux_jacket_black_01_m.png,graphics/3d/character/jacket/faux_jacket_black_01_f.png,,,TRUE,21
Fine Gang Vest,,Gang Vest,Large,4,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_black_06_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,21
Credible Gang Vest,,Gang Vest,Large,6,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_black_06_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,21
Street Wise Gang Vest,,Gang Vest,Large,8,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_black_06_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,21
Worthy Gang Vest,,Gang Vest,Large,9,Uncommon,,,,TRUE,graphics/3d/character/jacket/vest_black_06_m.png,graphics/3d/character/jacket/vest_black_02_f.png,,,TRUE,21
Credible Gray Fit Shirt,,Gray Fit Shirt,Large,3,Uncommon,,,,TRUE,graphics/3d/character/jacket/patterned_jacket_01_m.png,graphics/3d/character/jacket/patterned_jacket_01_f.png,,,TRUE,36
Street Wise Gray Fit Shirt,,Gray Fit Shirt,Large,5,Uncommon,,,,TRUE,graphics/3d/character/jacket/patterned_jacket_01_m.png,graphics/3d/character/jacket/patterned_jacket_01_f.png,,,TRUE,36
Worthy Gray Fit Shirt,,Gray Fit Shirt,Large,7,Uncommon,,,,TRUE,graphics/3d/character/jacket/patterned_jacket_01_m.png,graphics/3d/character/jacket/patterned_jacket_01_f.png,,,TRUE,36
Boosted Gray Fit Shirt,,Gray Fit Shirt,Large,10,Uncommon,,,,TRUE,graphics/3d/character/jacket/patterned_jacket_01_m.png,graphics/3d/character/jacket/patterned_jacket_01_f.png,,,TRUE,36
Typical Gray Sweater,,Gray Sweater,Large,6,Common,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_01_f.png,,,TRUE,36
Usual Gray Sweater,,Gray Sweater,Large,9,Common,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_01_f.png,,,TRUE,36
Plain Gray Sweater,,Gray Sweater,Large,11,Common,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_01_f.png,,,TRUE,36
Standard Gray Sweater,,Gray Sweater,Large,1,Common,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_02_f.png,,,TRUE,36
Universal Gray Sweater,,Gray Sweater,Large,3,Common,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_02_f.png,,,TRUE,36
Average Gray Sweater,,Gray Sweater,Large,4,Common,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_02_f.png,,,TRUE,36
Usual Green Sport Coat,,Green Sport Coat,Large,5,Common,,,,,graphics/3d/character/jacket/sportcoat_green_01_m.png,graphics/3d/character/jacket/sportcoat_green_01_f.png,,,TRUE,6
Plain Green Sport Coat,,Green Sport Coat,Large,8,Common,,,,,graphics/3d/character/jacket/sportcoat_green_01_m.png,graphics/3d/character/jacket/sportcoat_green_01_f.png,,,TRUE,6
Standard Green Sport Coat,,Green Sport Coat,Large,11,Common,,,,,graphics/3d/character/jacket/sportcoat_green_01_m.png,graphics/3d/character/jacket/sportcoat_green_01_f.png,,,TRUE,6
Universal Green Sport Coat,,Green Sport Coat,Large,12,Common,,,,,graphics/3d/character/jacket/sportcoat_green_01_m.png,graphics/3d/character/jacket/sportcoat_green_01_f.png,,,TRUE,6
Average Green Sport Coat,,Green Sport Coat,Large,14,Common,,,,,graphics/3d/character/jacket/sportcoat_green_01_m.png,graphics/3d/character/jacket/sportcoat_green_01_f.png,,,TRUE,6
Plain Green Sweater,,Green Sweater,Large,8,Common,,,,,graphics/3d/character/jacket/sweater_green_01_m.png,graphics/3d/character/jacket/sweater_green_01_f.png,,,TRUE,6
Standard Green Sweater,,Green Sweater,Large,9,Common,,,,,graphics/3d/character/jacket/sweater_green_01_m.png,graphics/3d/character/jacket/sweater_green_01_f.png,,,TRUE,6
Universal Green Sweater,,Green Sweater,Large,10,Common,,,,,graphics/3d/character/jacket/sweater_green_01_m.png,graphics/3d/character/jacket/sweater_green_01_f.png,,,TRUE,6
Average Green Sweater,,Green Sweater,Large,11,Common,,,,,graphics/3d/character/jacket/sweater_green_01_m.png,graphics/3d/character/jacket/sweater_green_01_f.png,,,TRUE,6
Basic Green Sweater,,Green Sweater,Large,14,Common,,,,,graphics/3d/character/jacket/sweater_green_01_m.png,graphics/3d/character/jacket/sweater_green_01_f.png,,,TRUE,6
Acute Hooded Jacket,,Hooded Jacket,Large,8,Uncommon,,,,TRUE,graphics/3d/character/jacket/hooded_jacket_01_m.png,graphics/3d/character/jacket/hooded_jacket_01_f.png,,,TRUE,1
Genuine Hooded Jacket,,Hooded Jacket,Large,9,Uncommon,,,,TRUE,graphics/3d/character/jacket/hooded_jacket_01_m.png,graphics/3d/character/jacket/hooded_jacket_01_f.png,,,TRUE,1
Special Hooded Jacket,,Hooded Jacket,Large,11,Uncommon,,,,TRUE,graphics/3d/character/jacket/hooded_jacket_01_m.png,graphics/3d/character/jacket/hooded_jacket_01_f.png,,,TRUE,1
Elegant Hooded Jacket,,Hooded Jacket,Large,12,Uncommon,,,,TRUE,graphics/3d/character/jacket/hooded_jacket_01_m.png,graphics/3d/character/jacket/hooded_jacket_01_f.png,,,TRUE,1
Jagged Leather Uniform,,Leather Uniform,Large,30,Rare,,2,of the Judgment,TRUE,graphics/3d/character/jacket/leather_uniform_black_02_m.png,graphics/3d/character/jacket/leather_uniform_outfit_black_02_f.png,,,TRUE,21
Radical Leather Vest,,Leather Vest,Large,8,Rare,,,of the Destroyer,TRUE,graphics/3d/character/jacket/vest_brown_01_m.png,graphics/3d/character/jacket/vest_brown_01_f.png,,,TRUE,66
First-Class Leather Vest,,Leather Vest,Large,11,Rare,,,of the Painmaker,TRUE,graphics/3d/character/jacket/vest_brown_01_m.png,graphics/3d/character/jacket/vest_brown_01_f.png,,,TRUE,66
Outstanding Leather Vest,,Leather Vest,Large,13,Rare,,,of the Predator,TRUE,graphics/3d/character/jacket/vest_brown_01_m.png,graphics/3d/character/jacket/vest_brown_01_f.png,,,TRUE,66
