Name,Rarity,Lvl,LootProbability,LootMin,LootMax,TreasureBoxProbability,TreasureBoxMin,TreasureBoxMax,DailyRewardCount,CanBeRequested,LootDisabled,DiamondCostExact,DiamondPackageSize,DropSound,AlwaysOnVendor,LootResource,LootExportName,Icon,FBIcon,PlaceableInEditor
,,11,20,14,26,25,175,277,25,,,,,,,,,,,
,,12,20,15,28,25,200,315,30,,,,,,,,,,,
,,13,20,16,30,25,200,315,30,,,,,,,,,,,
,,14,20,17,32,25,225,360,35,,,,,,,,,,,
,,15,20,18,34,25,225,375,35,,,,,,,,,,,
,,16,20,19,36,25,250,412,40,,,,,,,,,,,
,,17,20,20,38,25,275,450,40,,,,,,,,,,,
,,18,20,21,40,25,275,450,45,,,,,,,,,,,
,,19,20,22,42,25,300,495,45,,,,,,,,,,,
,,20,20,23,44,25,300,495,50,,,5,500,,,,,,,
,,21,20,24,46,25,325,540,55,,,,,,,,,,,
,,22,20,25,48,25,325,540,60,,,,,,,,,,,
,,23,20,26,50,25,350,570,65,,,,,,,,,,,
,,24,20,27,52,25,350,570,70,,,,,,,,,,,
,,25,20,28,54,25,375,615,75,,,,,,,,,,,
,,26,20,29,56,25,400,660,80,,,,,,,,,,,
,,27,20,30,58,25,400,660,85,,,,,,,,,,,
,,28,18,31,60,25,425,705,90,,,,,,,,,,,
,,29,15,32,62,25,575,937,95,,,,,,,,,,,
,,30,5,25,62,25,1000,1250,100,,,5,2000,,,,,,,
Armor Plates,Uncommon,1,,1,1,15,,,1,TRUE,,5,30,LootDefault,,graphics/loot/loot_drops.swf,drop_armor_plates,52,newitem-10.png,
,,2,,1,1,15,,,1,,,,,,,,,,,
,,3,,1,1,15,,,1,,,,,,,,,,,
,,4,,1,1,15,,,1,,,,,,,,,,,
,,5,,1,1,15,,,1,,,,,,,,,,,
,,6,,1,1,15,,,2,,,,,,,,,,,
,,7,,1,1,15,,,2,,,,,,,,,,,
,,8,,1,1,15,,,2,,,,,,,,,,,
,,9,,1,1,15,,,2,,,,,,,,,,,
,,10,,1,1,15,,,3,,,,,,,,,,,
,,11,,1,1,15,,,3,,,,,,,,,,,
,,12,,1,1,15,,,3,,,,,,,,,,,
,,13,,1,1,15,,,3,,,,,,,,,,,
,,14,,1,1,15,,,3,,,,,,,,,,,
,,15,5,4,4,15,36,40,5,,,,,,,,,,,
,,16,5,4,4,15,40,44,5,,,,,,,,,,,
,,17,5,4,4,15,44,48,5,,,,,,,,,,,
,,18,5,4,4,15,44,48,5,,,,,,,,,,,
,,19,5,4,4,15,48,52,5,,,,,,,,,,,
,,20,5,4,5,15,48,52,6,,,,,,,,,,,
,,21,5,4,5,15,52,56,6,,,,,,,,,,,
,,22,5,4,5,15,52,56,6,,,,,,,,,,,
,,23,4,5,5,15,56,60,6,,,,,,,,,,,
,,24,4,5,5,15,56,60,6,,,,,,,,,,,
,,25,4,5,5,15,60,65,6,,,,,,,,,,,
,,26,4,5,6,15,64,70,7,,,,,,,,,,,
,,27,4,5,6,15,64,70,7,,,,,,,,,,,
,,28,4,5,6,15,68,72,7,,,,,,,,,,,
,,29,4,5,6,15,92,99,7,,,,,,,,,,,
,,30,4,6,6,15,100,150,7,,,5,70,,,,,,,
Heavy Metal,Uncommon,1,,1,1,15,,,1,TRUE,,5,20,LootDefault,,graphics/loot/loot_drops.swf,drop_arms_alloy,49,newitem-10.png,
,,2,,1,2,15,,,1,,,,,,,,,,,
,,3,,1,2,15,,,1,,,,,,,,,,,
,,4,,1,2,15,,,1,,,,,,,,,,,
,,5,,1,2,15,,,1,,,,,,,,,,,
,,6,,1,2,15,,,2,,,,,,,,,,,
,,7,,1,3,15,,,2,,,,,,,,,,,
,,8,,1,3,15,,,2,,,,,,,,,,,
,,9,,1,3,15,,,2,,,,,,,,,,,
,,10,5,1,3,15,,,3,,,,,,,,,,,
,,11,5,1,3,15,,,3,,,,,,,,,,,
,,12,5,1,3,15,,,3,,,,,,,,,,,
,,13,5,2,3,15,,,3,,,,,,,,,,,
,,14,5,2,3,15,,,3,,,,,,,,,,,
,,15,5,4,4,15,36,40,5,,,,,,,,,,,
,,16,5,4,4,15,40,44,6,,,,,,,,,,,
,,17,5,4,4,15,44,48,7,,,,,,,,,,,
,,18,5,4,4,15,44,48,8,,,,,,,,,,,
,,19,5,4,4,15,48,52,9,,,,,,,,,,,
,,20,5,4,5,15,48,52,10,,,,,,,,,,,
,,21,4,5,5,15,52,56,10,,,,,,,,,,,
,,22,4,5,5,15,52,56,10,,,,,,,,,,,
,,23,4,5,5,15,56,60,10,,,,,,,,,,,
,,24,4,5,5,15,56,60,10,,,,,,,,,,,
,,25,4,5,5,15,60,65,10,,,,,,,,,,,
,,26,4,6,6,15,64,70,10,,,,,,,,,,,
,,27,4,6,6,15,64,70,10,,,,,,,,,,,
,,28,4,7,7,15,68,72,10,,,,,,,,,,,
,,29,4,7,7,15,92,99,10,,,,,,,,,,,
,,30,4,4,7,15,104,112,10,,,10,50,,,,,,,
Power Cells,Rare,1,,1,1,5,,,1,TRUE,,10,30,LootDefault,,graphics/loot/loot_drops.swf,drop_power_cells,50,FB_hitech_parts.png,
,,2,,1,1,5,,,1,,,,,,,,,,,
,,3,,1,1,5,,,1,,,,,,,,,,,
,,4,,1,1,5,,,1,,,,,,,,,,,
,,5,,1,1,5,2,2,1,,,,,,,,,,,
,,6,,1,1,5,3,3,1,,,,,,,,,,,
,,7,,1,1,5,3,3,1,,,,,,,,,,,
,,8,,1,1,5,3,3,1,,,,,,,,,,,
,,9,,1,1,5,3,3,1,,,,,,,,,,,
,,10,,1,1,5,4,4,1,,,,,,,,,,,
,,11,,1,1,5,4,4,1,,,,,,,,,,,
,,12,,1,1,5,4,4,1,,,,,,,,,,,
,,13,,1,1,5,4,4,1,,,,,,,,,,,
,,14,,1,1,5,5,5,1,,,,,,,,,,,
,,15,,1,1,5,5,5,1,,,,,,,,,,,
,,16,,1,1,5,5,5,1,,,,,,,,,,,
,,17,,1,1,5,6,6,1,,,,,,,,,,,
,,18,,1,1,5,6,6,1,,,,,,,,,,,
,,19,,1,1,5,6,6,1,,,,,,,,,,,
,,20,,1,1,5,6,6,1,,,,,,,,,,,
,,21,,1,1,5,7,7,1,,,,,,,,,,,
,,22,,1,1,5,7,7,1,,,,,,,,,,,
,,23,,1,1,5,7,7,1,,,,,,,,,,,
,,24,,1,1,5,7,7,1,,,,,,,,,,,
,,25,,1,1,5,8,8,1,,,,,,,,,,,
,,26,,1,1,5,8,8,1,,,,,,,,,,,
,,27,,1,1,5,8,8,1,,,,,,,,,,,
,,28,,1,1,5,9,9,1,,,,,,,,,,,
,,29,,1,1,5,9,9,1,,,,,,,,,,,
,,30,,1,1,5,12,12,1,,,10,20,,,,,,,
Nanobots,Rare,1,,1,1,3,,,1,TRUE,,10,20,LootDefault,,graphics/loot/loot_drops.swf,drop_chips,53,FB_microchips.png,
,,2,,1,1,3,,,1,,,,,,,,,,,
,,3,,1,1,3,,,1,,,,,,,,,,,
,,4,,1,1,3,,,1,,,,,,,,,,,
,,5,,1,1,3,,,1,,,,,,,,,,,
,,6,,1,1,3,,,1,,,,,,,,,,,
,,7,,1,1,3,,,1,,,,,,,,,,,
,,8,,1,1,3,,,1,,,,,,,,,,,
,,9,,1,1,3,,,1,,,,,,,,,,,
,,10,,1,1,3,,,1,,,,,,,,,,,
,,11,,1,1,3,,,1,,,,,,,,,,,
,,12,,1,1,3,,,1,,,,,,,,,,,
,,13,,1,1,3,,,1,,,,,,,,,,,
,,14,,1,1,3,,,1,,,,,,,,,,,
,,15,,1,1,3,,,1,,,,,,,,,,,
,,16,,1,1,3,,,1,,,,,,,,,,,
,,17,,1,1,3,,,1,,,,,,,,,,,
,,18,,1,1,3,,,1,,,,,,,,,,,
,,19,,1,1,3,,,1,,,,,,,,,,,
,,20,,1,1,3,,,1,,,,,,,,,,,
,,21,,1,1,3,,,1,,,,,,,,,,,
,,22,,1,1,3,,,1,,,,,,,,,,,
,,23,,1,1,3,,,1,,,,,,,,,,,
,,24,,1,1,3,,,1,,,,,,,,,,,
,,25,,1,1,3,,,1,,,,,,,,,,,
,,26,4,4,4,3,16,17,1,,,,,,,,,,,
,,27,4,4,4,3,16,17,1,,,,,,,,,,,
,,28,4,4,5,3,17,18,2,,,,,,,,,,,
,,29,3,4,6,3,23,25,2,,,,,,,,,,,
,,30,3,4,6,3,26,28,3,,,10,5,,,,,,,
Flaming Heart,Epic,1,0,,,,,,1,,TRUE,15,5,LootDefault,,graphics/loot/loot_drops.swf,drop_flaming_heart,37,90x90_firebomb.png,
,,2,0,,,,,,1,,,,,,,,,,,
,,3,0,,,,,,1,,,,,,,,,,,
,,4,0,,,,,,1,,,,,,,,,,,
,,5,0,,,,,,1,,,,,,,,,,,
,,6,0,,,,,,1,,,,,,,,,,,
,,7,0,,,,,,1,,,,,,,,,,,
,,8,0,,,,,,1,,,,,,,,,,,
,,9,0,,,,,,1,,,,,,,,,,,
,,10,0,,,,,,1,,,,,,,,,,,
,,11,0,,,,,,1,,,,,,,,,,,
,,12,0,,,,,,1,,,,,,,,,,,
,,13,0,,,,,,1,,,,,,,,,,,
,,14,0,,,,,,1,,,,,,,,,,,
,,15,0,,,,,,1,,,,,,,,,,,
,,16,0,,,,,,1,,,,,,,,,,,
,,17,0,1,1,2,3,5,1,,,,,,,,,,,
,,18,0,1,1,2,3,5,1,,,,,,,,,,,
,,19,0,1,1,2,3,5,1,,,,,,,,,,,
,,20,0,1,1,2,3,5,1,,,,,,,,,,,
,,21,0,1,1,2,3,5,1,,,,,,,,,,,
,,22,0,1,1,2,3,5,1,,,,,,,,,,,
,,23,0,1,1,2,3,5,1,,,,,,,,,,,
,,24,0,1,1,2,3,5,1,,,,,,,,,,,
,,25,0,1,1,2,3,5,1,,,,,,,,,,,
,,26,0,1,1,2,3,5,1,,,,,,,,,,,
,,27,0,1,1,2,3,5,1,,,,,,,,,,,
,,28,0,1,1,2,3,5,1,,,,,,,,,,,
,,29,0,1,1,2,3,5,1,,,,,,,,,,,
,,30,0,1,1,2,3,5,1,,,,,,,,,,,
Cyber Chips,Epic,1,0,1,1,2,3,5,1,,TRUE,15,50,LootDefault,,graphics/loot/loot_drops.swf,drop_cyberchips,40,FB_labycore_money.png,
,,2,0,,,,,,1,,,,,,,,,,,
,,3,0,,,,,,1,,,,,,,,,,,
,,4,0,,,,,,1,,,,,,,,,,,
,,5,0,,,,,,1,,,,,,,,,,,
,,6,0,,,,,,1,,,,,,,,,,,
,,7,0,,,,,,1,,,,,,,,,,,
,,8,0,,,,,,1,,,,,,,,,,,
,,9,0,,,,,,1,,,,,,,,,,,
,,10,0,,,,,,1,,,,,,,,,,,
,,11,0,,,,,,1,,,,,,,,,,,
,,12,0,,,,,,1,,,,,,,,,,,
,,13,0,,,,,,1,,,,,,,,,,,
,,14,0,,,,,,1,,,,,,,,,,,
,,15,0,,,,,,1,,,,,,,,,,,
,,16,0,,,,,,1,,,,,,,,,,,
,,17,0,1,1,2,3,5,1,,,,,,,,,,,
,,18,0,1,1,2,3,5,1,,,,,,,,,,,
,,19,0,1,1,2,3,5,1,,,,,,,,,,,
,,20,0,1,1,2,3,5,1,,,,,,,,,,,
,,21,0,1,1,2,3,5,1,,,,,,,,,,,
,,22,0,1,1,2,3,5,1,,,,,,,,,,,
,,23,0,1,1,2,3,5,1,,,,,,,,,,,
,,24,0,1,1,2,3,5,1,,,,,,,,,,,
,,25,0,1,1,2,3,5,1,,,,,,,,,,,
,,26,0,1,1,2,3,5,1,,,,,,,,,,,
,,27,0,1,1,2,3,5,1,,,,,,,,,,,
,,28,0,1,1,2,3,5,1,,,,,,,,,,,
,,29,0,1,1,2,3,5,1,,,,,,,,,,,
,,30,0,1,1,2,3,5,1,,,,,,,,,,,
Dragon Scales,Epic,1,0,,,,,,1,,TRUE,15,50,LootDefault,,graphics/loot/loot_drops.swf,drop_dragon_scales,38,newitem-10.png,
,,2,0,,,,,,1,,,,,,,,,,,
,,3,0,,,,,,1,,,,,,,,,,,
,,4,0,,,,,,1,,,,,,,,,,,
,,5,0,,,,,,1,,,,,,,,,,,
,,6,0,,,,,,1,,,,,,,,,,,
,,7,0,,,,,,1,,,,,,,,,,,
,,8,0,,,,,,1,,,,,,,,,,,
,,9,0,,,,,,1,,,,,,,,,,,
,,10,0,,,,,,1,,,,,,,,,,,
,,11,0,,,,,,1,,,,,,,,,,,
,,12,0,,,,,,1,,,,,,,,,,,
,,13,0,,,,,,1,,,,,,,,,,,
,,14,0,,,,,,1,,,,,,,,,,,
,,15,0,,,,,,1,,,,,,,,,,,
,,16,0,,,,,,1,,,,,,,,,,,
,,17,0,,,,,,1,,,,,,,,,,,
,,18,0,,,,,,1,,,,,,,,,,,
,,19,0,,,,,,1,,,,,,,,,,,
,,20,0,,,,,,1,,,,,,,,,,,
,,21,0,,,,,,1,,,,,,,,,,,
,,22,0,,,,,,1,,,,,,,,,,,
,,23,0,,,,,,1,,,,,,,,,,,
,,24,0,1,1,2,3,5,1,,,,,,,,,,,
,,25,0,1,1,2,3,5,1,,,,,,,,,,,
,,26,0,1,1,2,3,5,1,,,,,,,,,,,
,,27,0,1,1,2,3,5,1,,,,,,,,,,,
,,28,0,1,1,2,3,5,1,,,,,,,,,,,
,,29,0,1,1,2,3,5,1,,,,,,,,,,,
,,30,0,1,1,2,3,5,1,,,,,,,,,,,
Riot Plates,Epic,1,0,,,,,,1,,TRUE,15,50,LootDefault,,graphics/loot/loot_drops.swf,drop_riot_plates,39,newitem-10.png,
,,2,0,,,,,,1,,,,,,,,,,,
,,3,0,,,,,,1,,,,,,,,,,,
,,4,0,,,,,,1,,,,,,,,,,,
,,5,0,,,,,,1,,,,,,,,,,,
,,6,0,,,,,,1,,,,,,,,,,,
,,7,0,,,,,,1,,,,,,,,,,,
,,8,0,,,,,,1,,,,,,,,,,,
,,9,0,,,,,,1,,,,,,,,,,,
,,10,0,,,,,,1,,,,,,,,,,,
,,11,0,,,,,,1,,,,,,,,,,,
,,12,0,,,,,,1,,,,,,,,,,,
,,13,0,,,,,,1,,,,,,,,,,,
,,14,0,,,,,,1,,,,,,,,,,,
,,15,0,,,,,,1,,,,,,,,,,,
,,16,0,,,,,,1,,,,,,,,,,,
,,17,0,,,,,,1,,,,,,,,,,,
,,18,0,,,,,,1,,,,,,,,,,,
,,19,0,,,,,,1,,,,,,,,,,,
,,20,0,,,,,,1,,,,,,,,,,,
,,21,0,,,,,,1,,,,,,,,,,,
,,22,0,,,,,,1,,,,,,,,,,,
,,23,0,,,,,,1,,,,,,,,,,,
,,24,0,1,1,2,3,5,1,,,,,,,,,,,
,,25,0,1,1,2,3,5,1,,,,,,,,,,,
,,26,0,1,1,2,3,5,1,,,,,,,,,,,
,,27,0,1,1,2,3,5,1,,,,,,,,,,,
,,28,0,1,1,2,3,5,1,,,,,,,,,,,
,,29,0,1,1,2,3,5,1,,,,,,,,,,,
,,30,0,1,1,2,3,5,1,,,,,,,,,,,
Raider Tech,Epic,1,0,,,,,,1,,TRUE,15,20,LootDefault,,graphics/loot/loot_drops.swf,drop_raider_tech,41,FB_assorted_parts.png,
,,2,0,,,,,,1,,,,,,,,,,,
,,3,0,,,,,,1,,,,,,,,,,,
,,4,0,,,,,,1,,,,,,,,,,,
,,5,0,,,,,,1,,,,,,,,,,,
,,6,0,,,,,,1,,,,,,,,,,,
,,7,0,,,,,,1,,,,,,,,,,,
,,8,0,,,,,,1,,,,,,,,,,,
,,9,0,,,,,,1,,,,,,,,,,,
,,10,0,,,,,,1,,,,,,,,,,,
,,11,0,,,,,,1,,,,,,,,,,,
,,12,0,,,,,,1,,,,,,,,,,,
,,13,0,,,,,,1,,,,,,,,,,,
,,14,0,,,,,,1,,,,,,,,,,,
,,15,0,,,,,,1,,,,,,,,,,,
,,16,0,,,,,,1,,,,,,,,,,,
,,17,0,,,,,,1,,,,,,,,,,,
,,18,0,,,,,,1,,,,,,,,,,,
,,19,0,,,,,,1,,,,,,,,,,,
,,20,0,,,,,,1,,,,,,,,,,,
,,21,0,,,,,,1,,,,,,,,,,,
,,22,0,,,,,,1,,,,,,,,,,,
,,23,0,,,,,,1,,,,,,,,,,,
,,24,0,1,1,2,3,5,1,,,,,,,,,,,
,,25,0,1,1,2,3,5,1,,,,,,,,,,,
,,26,0,1,1,2,3,5,1,,,,,,,,,,,
,,27,0,1,1,2,3,5,1,,,,,,,,,,,
,,28,0,1,1,2,3,5,1,,,,,,,,,,,
,,29,0,1,1,2,3,5,1,,,,,,,,,,,
,,30,0,1,1,2,3,5,1,,,,,,,,,,,
