Name,Looping,FollowParent,ShakeScreen,Time,Type,SWF,ExportName,ParticleEmitterName,Layer,Sound,FlashColor,FlashDuration
HealingEffect,,TRUE,,,ParticleEmitter,,,Healing,Object,Skill_Mend,,
,,,,,SWF,graphics/effects/hit_effects.swf,HealHitGlow,,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Object,,,
SmokeTrail,,TRUE,,,ParticleEmitter,,,SmokeTrail,Object,,,
Burner,TRUE,,,,ParticleEmitter,,,FlameEmitter,Object,,,
Nuke,,,1000,750,ParticleEmitter,,,MushroomHat,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionGroundGlow,,Ground,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionBlast,,Above object,,,
,,,,,ParticleEmitter,,,SmokeEmitter,Object,,,
,,,,,ScreenFlash,,,,Ground,,1694485504,400
,,,,720,SWF,graphics/effects/explosion.swf,ExplosionHigh,,Object,,,
,,,,,ParticleEmitter,,,FireRingEmitter,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,Explosion,,Object,,,
SupporterEffect01,,,,,ParticleEmitter,,,SupporterEffect,Above object,,,
BigFire,TRUE,,,,ParticleEmitter,,,FireStorm,Object,,,
,,,,,ParticleEmitter,,,FireBall,Object,,,
Skill_FX_Rude_Smash,,,,,SWF,graphics/effects/explosion.swf,HitSplashRing1,,Above object,Skill_Rude_Smash,,
,,,,20,ScreenFlash,,,,Ground,,-1426076570,150
,,,,80,ParticleEmitter,,,HitEffectParticles,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ShockBowl,,Above object,,,
Skill_FX_Leg_Breaker,,,,,SWF,graphics/effects/explosion.swf,FirePilar,,Above object,Skill_Leg_Breaker,,
,,,,100,ParticleEmitter,,,HitEffectParticles2,Object,,,
,,,,,ScreenFlash,,,,Ground,,-1258317415,250
,,,,190,SWF,graphics/effects/explosion.swf,ExplosionGroundGlow,,Ground,,,
,,,,80,SWF,graphics/effects/explosion.swf,HitSplash3,,Above object,,,
Skill_FX_Eunuch_Maker,,,,50,SWF,graphics/effects/explosion.swf,HitSplash6,,Above object,Skill_Leg_Breaker,,
,,,,20,ParticleEmitter,,,HitEffectParticles,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,HitSplash3,,Above object,,,
,,,,,ScreenFlash,,,,Ground,,-922759988,350
Skill_FX_Twirler_Hit,,,,,SWF,graphics/effects/explosion.swf,HitSplash6_2,,Object,,,
Skill_FX_Toxic,,,,150,SWF,graphics/effects/explosion.swf,HitSplash7_green,,Object,Skill_Poison_Shot,,
,,,,100,SWF,graphics/effects/explosion.swf,GlowGreen,,Above object,,,
,,,,50,SWF,graphics/effects/explosion.swf,ShatteredRingGreen,,Object,,,
,,,,90,ParticleEmitter,,,toxic_burst,Object,,,
,,,,,ScreenFlash,,,,Ground,,-932773991,400
Skill_FX_Toxic_Avenge,,,,80,SWF,graphics/effects/explosion.swf,HitSplash7_green,,Above object,Skill_Toxic_Avenge,,
,,,,50,ParticleEmitter,,,toxic_emitter,Object,,,
,,,,90,SWF,graphics/effects/explosion.swf,ToxicTwirl,,Above object,,,
,,,,,ScreenFlash,,,,Ground,,-939458714,200
,,,,260,ScreenFlash,,,,Ground,,-1771648000,500
Skill_FX_Supporter,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Above object,Skill_Supporter,,
,,,,150,SWF,graphics/effects/explosion.swf,GlowCircleBlurredGround,,Ground,,,
,,,,320,SWF,graphics/effects/explosion.swf,DotsCircle,,Above object,,,
,,,,100,SWF,graphics/effects/explosion.swf,GlowCircleBlurred,,Above object,,,
,,,,,ScreenFlash,,,,Ground,,-1774990183,1000
Skill_FX_Supporter_Target,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGroundSmall,,Object,,,
,,,,200,ParticleEmitter,,,RisingRings,Above object,,,
,,,,200,SWF,graphics/effects/explosion.swf,DotsCircleGround,,Ground,,,
Skill_FX_Heavy_Armor,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Above object,Skill_Heavy_Armor,,
,,,,350,SWF,graphics/effects/explosion.swf,OddMarkCircle,,Above object,,,
,,,,250,SWF,graphics/effects/explosion.swf,GlowCircleBlurred,,Above object,,,
,,,,100,ScreenFlash,,,,Ground,,-1774990183,700
Skill_FX_Doctors_Appointment,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Above object,Skill_Presence_Of_The_Medic,,
,,,,150,SWF,graphics/effects/explosion.swf,PlusCircle,,Object,,,
,,,,50,SWF,graphics/effects/explosion.swf,GlowCircleBlurred,,Object,,,
,,,,,ScreenFlash,,,,Ground,,-1761633844,700
Skill_FX_Doctors_App_Target,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGroundSmall,,Above object,Skill_Healing_Shot,,
,,,,,ParticleEmitter,,,RisingFluff,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,PlusCircleGround,,Ground,,,
Skill_Fx_Aimed_Shot,,,,50,SWF,graphics/effects/explosion.swf,SpikeyGlowBlue,,Object,Skill_Aimed_Shot,,
,,,,,SWF,graphics/effects/explosion.swf,HitSplash7_blue,,Above object,,,
,,,,,ParticleEmitter,,,StunClouds,Object,,,
,,,,100,ParticleEmitter,,,BlueSparksEmitter,Above object,,,
,,,,,ScreenFlash,,,,Ground,,-939484673,250
Skill_FX_Leg_Shot,,,,,SWF,graphics/effects/explosion.swf,HitSplash7,,Above object,Skill_Leg_Shot,,
,,,,200,ParticleEmitter,,,StunClouds,Object,,,
,,,,100,SWF,graphics/effects/explosion.swf,SpikeyGlowBlue,,Above object,,,
,,,,120,ParticleEmitter,,,BlueSparkEmitter,Object,,,
,,,,350,SWF,graphics/effects/explosion.swf,ShatteredRingYellow,,Object,,,
,,,,,ScreenFlash,,,,Ground,,-1774977025,500
Skill_FX_Obnoxious_Shot,,,1000,,SWF,graphics/effects/explosion.swf,HitSplashYellow,,Above object,Skill_Obnoxious_Shot,,
,,,,80,SWF,graphics/effects/explosion.swf,HitSplashRing2,,Object,,,
,,,,150,SWF,graphics/effects/explosion.swf,SpikeyGlowOrange,,Above object,,,
,,,,,SWF,graphics/effects/explosion.swf,HitSplash3,,Above object,,,
,,,,,ParticleEmitter,,,SparkEmitter1,Object,,,
,,,,,ScreenFlash,,,,Ground,,-922760039,200
Skill_FX_Arms_Eater,,,1000,,SWF,graphics/effects/explosion.swf,HitSplash8,,Above object,Skill_Know_Down_Shot,,
,,,,80,ParticleEmitter,,,HitEffectParticles,Object,,,
,,,,100,SWF,graphics/effects/explosion.swf,GlowRed,,Above object,,,
,,,,200,SWF,graphics/effects/explosion.swf,HitSplashRing2,,Object,,,
,,,,,ScreenFlash,,,,Ground,,-922786202,250
Skill_FX_Focus,,,,,SWF,graphics/effects/explosion.swf,HashFan,,Above object,Skill_Focus,,
,,,,,SWF,graphics/effects/explosion.swf,GlowCircleBlurred,,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Object,,,
,,,,50,ScreenFlash,,,,Ground,,-1774990183,700
Skill_FX_Frantic_Mind,,,,10,SWF,graphics/effects/explosion.swf,OddMarkCircle,,Above object,Skill_Frantic_Mind,,
,,,,,SWF,graphics/effects/explosion.swf,GlowCircleBlurred,,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Object,,,
,,,,50,ScreenFlash,,,,Ground,,-1774990183,700
Skill_FX_Head_Wound,,,1000,,SWF,graphics/effects/explosion.swf,HitSplash7_red,,Object,Skill_Head_Wound,,
,,,,80,SWF,graphics/effects/explosion.swf,GlowRed,,Object,,,
,,,,200,SWF,graphics/effects/explosion.swf,HitSplashRing2,,Object,,,
,,,,50,ParticleEmitter,,,RedSlashEmitter,Object,,,
,,,,,ScreenFlash,,,,Ground,,-922799309,300
Skill_FX_Slammer,,,1000,,SWF,graphics/effects/explosion.swf,FirePilar,,Above object,Skill_Slammer_End,,
,,,,100,ParticleEmitter,,,HitEffectParticles2,Ground,,,
,,,,80,ScreenFlash,,,,Ground,,-1258304410,150
,,,,150,SWF,graphics/effects/explosion.swf,ExplosionGroundGlow,,Ground,,,
,,,,10,SWF,graphics/effects/explosion.swf,GlowCircleBlurredFastGround,,Ground,,,
Skill_FX_MegaStrike,,,1000,40,SWF,graphics/effects/explosion.swf,ExplosionBlast,,Above object,Skill_Mega_Strike,,
,,,,100,SWF,graphics/effects/explosion.swf,HitSplash3,,Object,,,
,,,,90,ParticleEmitter,,,RedSlashEmitter,Above object,,,
,,,,40,SWF,graphics/effects/explosion.swf,HitSplash7_red,,Object,,,
,,,,,ScreenFlash,,,,Ground,,-1258356736,150
Skill_FX_BulletRain,,,,,ParticleEmitter,,,ScatterEmitter,Object,Skill_Bullet_Rain,,
Skill_FX_TraumaShot_Hit,,,1000,,SWF,graphics/effects/explosion.swf,ShockBowlElectric,,Object,,,
,,,,200,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowBlue,,Object,,,
,,,,120,ScreenFlash,,,,Ground,,-932773889,200
,,,,150,ParticleEmitter,,,BlueSparksEmitter,Object,,,
,,,,240,SWF,graphics/effects/explosion.swf,HitSplash3_Blue,,Above object,,,
Sonic_Stomp,,,,150,SWF,graphics/effects/explosion.swf,GlowCircleBlurredFast,,Ground,,,
,,,,100,SWF,graphics/3d/weapons/muzzle.swf,sonic_stomp,,Ground,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowBlue,,Object,,,
,,,,,ScreenFlash,,,,Ground,,1174470655,300
,,,,,SWF,graphics/effects/explosion.swf,HitSplash3_Blue,,Ground,,,
ElectricSlam,,,,100,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowBlue,,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,GlowCircleBlurredFast,,Ground,,,
,,,,100,ScreenFlash,,,,Ground,,1342242815,300
,,,,150,SWF,graphics/effects/explosion.swf,HitSplash7_blue,,Above object,,,
,,,,300,SWF,graphics/effects/explosion.swf,HitSplash3_Blue,,Above object,,,
,,,,,ParticleEmitter,,,LighningRingEmitter,Above object,,,
,,,,200,ScreenFlash,,,,Ground,,-936116225,400
,,,,600,ScreenFlash,,,,Ground,,1681116364,200
,,,,300,ParticleEmitter,,,BlueSparksEmitter,Above object,,,
LightningBurster,,,,,ParticleEmitter,,,LightningBurst,Above object,,,
,,,,,SWF,graphics/effects/explosion.swf,SpikeyGlowBlueFast,,Above object,,,
,,,,,ParticleEmitter,,,LightningGlow,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,GlowBlue,,Ground,,,
,,,,,ScreenFlash,,,,Ground,,-932773940,300
,,,,300,ScreenFlash,,,,Ground,,-936116225,500
,,,,,ParticleEmitter,,,DirectionalBlueSparkEmitter,Above object,,,
LightningBursterHit,,,,,SWF,graphics/effects/explosion.swf,HitSplashBlue,,Object,,,
,,,,,ParticleEmitter,,,BlueSparkEmitter,Above object,,,
ElectricHammerHitFx,,,,,SWF,graphics/effects/explosion.swf,HitSplash_Electro,,Above object,,,
,,,,,ParticleEmitter,,,BlueSparkEmitter,Above object,,,
MissionPortal,,,,,Filter,graphics/effects/filters/filters.swf,missionportal,,Ground,,,
Wall Explode,,,1000,180,ParticleEmitter,,,WallExplosion,Above object,,,
,,,,100,SWF,graphics/effects/explosion.swf,ExplosionBlast,,Above object,,,
,,,,250,ParticleEmitter,,,WallExplosionSparks1,Above object,,,
,,,,,SWF,graphics/effects/explosion.swf,GlowRedBig,,Above object,,,
,,,,,ScreenFlash,,,,Ground,,-13261,400
,,,,40,ParticleEmitter,,,Explosion Pilar,Above object,,,
,,,,150,ParticleEmitter,,,Rock Pieces Emitter,Object,,,
,,,,300,ParticleEmitter,,,SmokeEmitter,Object,,,
,,,,200,ParticleEmitter,,,SmokePuff,Object,,,
Glass Wall Shatter,,,,150,ParticleEmitter,,,GlassShatterEmitter,Object,,,
,,,,,ParticleEmitter,,,GlassShatterEmitter2,Object,,,
,,,,100,ParticleEmitter,,,GlassShatterEmitter3,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,HitSplashRing1,,Above object,,,
,,,,,ScreenFlash,,,,Ground,,-1258291201,250
AlarmDeviceFx,,,,,SWF,graphics/decos/alarm/alarm.swf,AlarmDeviceFx,,Above object,,,
ElectricShock,,,,,ParticleEmitter,,,ElectricSpring,Object,ShockGrenadeExplosion,,
,,,,,ParticleEmitter,,,ElectricSpring2,Above object,,,
ShockBlow,,,1000,,SWF,graphics/effects/explosion.swf,ShockBowlElectric,,Above object,Skill_Obnoxious_Shot,,
,,,,300,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowBlue,,Object,,,
,,,,220,ScreenFlash,,,,Ground,,-932773889,200
,,,,250,ParticleEmitter,,,BlueSparksEmitter,Object,,,
,,,,340,SWF,graphics/effects/explosion.swf,HitSplash3_Blue,,Above object,ShockGrenadeExplosion,,
ForceField,true,,,,SWF,graphics/effects/consumable_items_fx.swf,ForceField01,,Object,Skill_Supporter,,
,,,,,SWF,graphics/effects/consumable_items_fx.swf,protect_net_shadow,,Ground,,,
CombatBoosterActivation,,,,200,ParticleEmitter,,,RisingRings,Object,,,
,,,,,ParticleEmitter,,,DingFairyDust,Ground,Skill_Healing_Shot,,
StimulantActivation,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,SlowSparkles,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ChromeRipples,,Object,,,
StimulantActivation2,,,,,SWF,graphics/effects/explosion.swf,ChromeRipplesBlue,SparkEmitter1,Object,Skill_Focus,,
,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Object,,,
StimulantActivation3,,,,,SWF,graphics/effects/explosion.swf,ChromeRipplesCyan,RisingFluff,Object,Skill_Frantic_Mind,,
,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Object,,,
AirStrike,,,,30,SWF,graphics/effects/explosion.swf,RoundExplosion,,Object,,,
,,,,100,SWF,graphics/effects/explosion.swf,GlowCircleBlurredFastGround2,,Ground,,,
,,,,30,ParticleEmitter,,,SparkEmitter1,Object,,,
,,,,200,ParticleEmitter,,,WallExplosionSparks1,Above object,,,
,,,,,SWF,graphics/effects/explosion.swf,FirePilar,,Object,,,
,,,,,ParticleEmitter,graphics/effects/explosion.swf,RisingSmoke,RisingSmoke,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowSlowOut,,Ground,,,
MolotovExplosion,,,,100,ParticleEmitter,,,FireRingEmitter,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowSlowOut,,Ground,,,
,,,,450,ParticleEmitter,,,SmokePuff,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionSmall,,Object,,,
FlameThrower,true,true,,400,ParticleEmitter,,,FireSpray,Above object,,,
,,,,,ParticleEmitter,,,FireSpraySparks,Object,,,
ThrowerFireLooping,true,,,2000,ParticleEmitter,,,Smoker2,Object,,,
,,,,2000,ParticleEmitter,,,FireStorm,Object,,,
,,,,2000,ParticleEmitter,,,SlowSparkles,Object,,,
BarrelExplosion,,,,100,SWF,graphics/effects/explosion.swf,ExplosionSmall,,Object,,,
,,,,,ParticleEmitter,,,SlowSparkles,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionBlast,,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionGroundGlow,,Ground,,,
,,,,,ParticleEmitter,,,SparkEmitter1,Object,,,
MolotovTrail,,,,,ParticleEmitter,,,FireTrail,Object,,,
Skill_FX_Frantic_Mind_Target,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGround,,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,OddMarkCircleGround,,Ground,,,
Skill_FX_Heavy_Armor_Target,,,,,SWF,graphics/effects/explosion.swf,OddMarkCircleGround,,Ground,,,
,,,,,SWF,graphics/effects/explosion.swf,CandleGlowGroundSmall,,Object,,,
ArmorActivation,,,,,SWF,graphics/effects/consumable_items_fx.swf,ArmorActivateFX,,Object,,,
BotLightningBurster,,,,,ParticleEmitter,,,LightningBurst,Above object,,,
,,,,,SWF,graphics/effects/explosion.swf,SpikeyGlowBlueFast,,Above object,,,
,,,,,ParticleEmitter,,,LightningGlow,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,GlowBlue,,Ground,,,
,,,,,ScreenFlash,,,,Ground,,,
,,,,300,ScreenFlash,,,,Ground,,,
,,,,,ParticleEmitter,,,DirectionalBlueSparkEmitter,Above object,,,
ExploMan,,TRUE,1000,50,ParticleEmitter,,,BloodStorm,Object,,,
,,,,140,ParticleEmitter,,,MeatFest,Object,,,
,,,,240,ParticleEmitter,,,MeatFest2,Object,,,
,,,,100,ParticleEmitter,,,BloodStorm2,Object,,,
,,,,,ParticleEmitter,,,BloodCloud,Object,SuperDeathBlood,,
,,,,100,SWF,graphics/effects/explo_man.swf,BloodyRemains,,Ground,,,
Decapitation,,,1500,150,ParticleEmitter,,,SkullEmitter,Object,,,
,,,,200,ParticleEmitter,,,SkullBloodEmitter,Object,,,
,,,,250,ParticleEmitter,,,BloodCloud,Object,,,
,,,,,ParticleEmitter,,,BoneEmitter,Object,SuperDeathBlood,,
,,,,150,ParticleEmitter,,,BloodStorm2,Object,,,
,,,,,ParticleEmitter,graphics/effects/explo_man.swf,BloodyRemains,BloodStorm,Object,,,
,,,,,SWF,graphics/effects/explo_man.swf,BloodyRemainsBoss,,Ground,,,
,,,,2200,ParticleEmitter,,,BloodRain,Object,,,
ExploRobot,,,2500,200,ParticleEmitter,,,ScrapEmitter,Object,,,
,,,,200,ParticleEmitter,,,ScrapMetalEmitter,Object,,,
,,,,200,ParticleEmitter,,,HardwareEmitter,Object,,,
,,,,300,ParticleEmitter,,,SparkEmitter1,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,RoundExplosion,,Object,RobotDeathGeneric,,
,,,,,SWF,graphics/effects/explosion.swf,Explosion,,Object,,,
,,,,500,ParticleEmitter,,,SmokePuff,Object,SuperDeathShrapnel,,
,,,,,ParticleEmitter,,,ExplosionSmoke,Object,,,
,,,,300,ParticleEmitter,,,LighningRingEmitter,Object,,,
,,,,,SWF,graphics/effects/explo_robot.swf,MechanicalRemains,,Ground,,,
,,,,1400,ParticleEmitter,,,SlowSparkles,Object,,,
,,,,1200,ParticleEmitter,,,RobotSmoke,Object,,,
ExploRobotSmall,,true,1000,100,ParticleEmitter,,,ScrapEmitterSmall,Object,,,
,,,,20,ParticleEmitter,,,Explosion Pilar,Object,,,
,,,,100,ParticleEmitter,,,SparkEmitter1,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionBlast,,Object,RobotDeathGeneric,,
,,,,,ParticleEmitter,,,ScrapMetalEmitter,Object,,,
,,,,,SWF,graphics/effects/explo_robot.swf,MechanicalRemainsSmall,,Ground,,,
,,,,100,ParticleEmitter,,,FireRingEmitter,Object,SuperDeathShrapnel,,
ExploPig,,,,,ParticleEmitter,,,BloodStormSmall,Object,SuperDeathBlood,,
,,,,150,SWF,graphics/effects/explo_man.swf,BloodyRemains,,Ground,,,
,,,,,ParticleEmitter,,,BloodCloud,Object,,,
,,,,,ParticleEmitter,,,SkullBloodEmitter,Object,,,
,,,,,ParticleEmitter,,,PigMeatBallEmitter,Object,,,
BeamGateGreenLight,,,,,SWF,graphics/decos/gate/automated_gate_beam.swf,beam_gate_green_light,,Object,,,
AntPoisonEffect,,,,,ParticleEmitter,,,PoisonSquirtEmitter,Object,,,
ExploAnt,,,,,ParticleEmitter,,,AntSplashSmall,Object,SuperDeathBlood,,
,,,,150,SWF,graphics/effects/poison_squirt.swf,PoisonRemains,,Ground,,,
,,,,,ParticleEmitter,,,AntPoisonCloud,Object,,,
,,,,,ParticleEmitter,,,AntSplashEmitter,Object,,,
,,,,,ParticleEmitter,,,AntMeatBallEmitter,Object,,,
MushroomBurst,,,,100,ParticleEmitter,,,PoisonDropsEmitter,Object,,,
,,,,150,ParticleEmitter,,,PoisonSteamer,Object,,,
,,,,100,ParticleEmitter,,,PoisonCloud_2,Object,,,
,,,,,SWF,graphics/effects/poison_squirt.swf,PoisonRemains,,Ground,,,
,,,,,SWF,graphics/effects/explosion.swf,HitSplash7_green,,Object,,,
EggSteam,,,,,ParticleEmitter,,,PoisonSteamSmall,Object,,,
LizardAcidEffect,,,,,ParticleEmitter,,,PoisonSquirtCloudFarEmitter,Object,,,
Firebomb,,,1000,,SWF,graphics/effects/explosion.swf,Firebomb,,Ground,,,
TankShield,,,,,ParticleEmitter,,,ElectricSpring,Above object,,,
