Name,ParticleCount,MinLife,MaxLife,ParticleMinInterval,ParticleMaxInterval,ParticleMinLife,ParticleMaxLife,ParticleMinAngle,ParticleMaxAngle,ParticleAngleRelativeToParent,ParticleRandomAngle,ParticleInitialRadius,ParticleMinSpeed,ParticleMaxSpeed,ParticleStartZ,ParticleMinVelocityZ,ParticleMaxVelocityZ,ParticleGravity,ParticleMinTailLength,ParticleMaxTailLength,ParticleResource,ParticleExportName,RotateToDirection
LighningRingEmitter,7,400,500,10,100,250,400,,360,,,1,10,30,,,,,,15,graphics/effects/explosion.swf,Lightning,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Lightning2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Lightning3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Lightning4,
BlueSparksEmitter,30,100,100,,,300,400,,360,,true,,100,100,10,100,200,300,,,graphics/effects/explosion.swf,SparkleBlue,
DirectionalBlueSparkEmitter,30,500,500,,40,300,400,,,true,,2,100,200,35,,,,,,graphics/effects/explosion.swf,SparkleBlueOffset1,true
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,SparkleBlueOffset2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,SparkleBlueOffset3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,SparkleBlueOffset4,
FlameEmitter,5,,,150,200,1200,1200,,,,,,,,,90,100,,,,graphics/effects/explosion.swf,FireParticle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle3,
WallExplosion,10,200,200,,20,250,300,,360,,true,,100,140,40,,,,,,graphics/effects/explosion.swf,FireParticle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,FireParticle3,
WallExplosionSparks1,20,200,200,,10,250,350,,360,,true,,200,250,,,,,,,graphics/effects/explosion.swf,Sparkle,
Explosion Pilar,15,600,600,20,60,1000,1200,230,280,,,1,50,50,35,10,10,500,,,graphics/effects/explosion.swf,Fire2_rotator1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_rotator2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,Fire2_rotator3,
Rock Pieces Emitter,25,400,400,,5,800,1200,,360,,true,,60,140,35,200,550,-2000,,,graphics/effects/particles/rock_particles.swf,Rock1Particle,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/rock_particles.swf,Rock2Particle,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/rock_particles.swf,Rock3Particle,
GlassShatterEmitter,10,1,,,,500,500,,360,,true,,70,120,,60,120,-1500,,,graphics/effects/explosion.swf,GlassShard1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard5,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard6,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard7,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard8,
GlassShatterEmitter2,15,1,,,,500,500,,360,,true,,60,120,45,40,100,-1500,,,graphics/effects/explosion.swf,GlassShard1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard5,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard6,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard7,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard8,
GlassShatterEmitter3,10,1,,,,500,500,,360,,true,,20,140,100,60,150,-1500,,,graphics/effects/explosion.swf,GlassShard1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard5,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard6,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard7,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explosion.swf,GlassShard8,
ElectricSpring,50,,2600,10,150,1000,1500,1,360,,true,1,,,,50,70,,,,graphics/effects/explosion.swf,SparkleBlue,
ElectricSpring2,6,1,2600,1,6,1,2600,220,230,,,2,5,18,,,,,,,graphics/effects/explosion.swf,SparkleBlue,
RisingSmoke,3,,350,100,170,1500,2000,,,,,,,,,100,140,,,,graphics/effects/explosion.swf,RisingSmoke,
FireTrail,15,,,150,200,700,800,,,,,,,,,,,,,,graphics/effects/explosion.swf,MolotovTrailParticle,
FireSpray,7,1000,1000,50,100,300,450,,,true,,,170,200,30,100,140,,100,200,graphics/effects/explosion.swf,ExplosionTiny,
FireSpraySparks,30,2000,2000,50,200,500,700,,,true,,1,100,200,30,30,100,1000,,,graphics/effects/explosion.swf,Sparkle,
BloodStorm,20,300,300,,50,400,550,,360,,true,,100,150,60,100,150,-1000,100,200,graphics/effects/explo_man.swf,meaty_blood,
MeatFest,10,400,,,,1200,1500,,360,,true,,70,100,70,300,350,-2000,10,60,graphics/effects/explo_man.swf,meat_1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_5,
MeatFest2,10,400,,,,1100,1500,,360,,true,,70,80,30,250,300,-2000,10,40,graphics/effects/explo_man.swf,meat_1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_5,
BloodStorm2,20,300,300,,50,400,500,,360,,true,,120,150,30,100,150,-1000,100,200,graphics/effects/explo_man.swf,meaty_blood,
BloodCloud,3,,200,,50,600,1500,0,360,,true,,20,20,10,100,,,,,graphics/effects/explo_man.swf,BloodCloud,true
FallingAsh,40,2500,3000,200,450,2000,3500,,360,,true,1,1,2,100,-50,-80,,,,graphics/effects/explo_man.swf,ash,
FallingSparks,40,2500,3000,200,300,3500,4500,,360,,true,1,1,2,100,-20,-50,,,,graphics/effects/explosion.swf,Sparkle,
AshCloud,5,,2500,,150,1200,1500,0,360,,true,,,5,120,-100,-110,,,,graphics/effects/explosion.swf,RisingSmokeSmall,true
FallingCoal,30,2000,,30,70,500,600,,360,,true,1,,,80,-80,-95,,,,graphics/effects/explo_man.swf,coal1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,coal2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,coal3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,coal4,
ScrapEmitter,20,400,500,,20,1700,2000,,360,,true,,50,70,50,1200,1300,-3000,,,graphics/effects/explo_robot.swf,circuit_particle4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,shaft_particle,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,circuit_particle3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,gear_particle,
SkullEmitter,1,2000,2000,100,,2000,2000,,,true,,,40,60,70,400,500,-1000,,,graphics/effects/explo_man.swf,skull_particle,
BoneEmitter,10,400,500,10,30,2000,2000,,360,,true,,10,40,50,600,650,-2000,,,graphics/effects/explo_man.swf,bone_particle,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,spine_particle,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,rib_particle,
SkullBloodEmitter,10,700,800,10,80,600,700,,,true,,,,,60,150,500,,,,graphics/effects/explo_man.swf,meaty_blood_small,
ScrapMetalEmitter,10,200,200,,,600,700,,360,,true,1,180,200,40,200,230,,80,100,graphics/effects/explo_robot.swf,metal_particle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,metal_particle2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,metal_particle3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,metal_particle4,
HardwareEmitter,15,500,500,50,100,600,700,,360,,true,,60,90,50,800,900,-3000,,,graphics/effects/explo_robot.swf,bolt_particle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,nut_particle1,
ScrapEmitterSmall,12,300,300,10,40,1700,1900,,360,,true,1,20,50,40,600,700,-2000,,,graphics/effects/explo_robot.swf,nut_particle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,gear_particle,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_robot.swf,bolt_particle1,
BloodRain,70,4000,5000,100,150,2500,3000,,360,,true,2,,,200,-300,-400,,,500,graphics/effects/hit.swf,BloodSpatter2,
RobotSmoke,20,2000,,250,350,3100,3350,190,280,true,true,,1,2,0,10,30,,0,0,graphics/effects/explosion.swf,SmokeSlowRotation,
BloodStormSmall,20,300,300,,50,400,550,,360,,true,,90,120,20,100,150,-1000,100,150,graphics/effects/explo_man.swf,meaty_blood_small,
PigMeatBallEmitter,15,200,200,,20,900,1000,,360,,true,1,40,90,30,800,900,-3000,3,15,graphics/effects/explo_man.swf,meat_1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/explo_man.swf,meat_4,
StoneShowerEmitter,15,,,150,200,1500,1800,,360,,true,,15,,,600,,-2000,,,graphics/effects/particles/rock_particles.swf,Rock1ParticleSmall,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/rock_particles.swf,Rock2ParticleSmall,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/particles/rock_particles.swf,Rock3ParticleSmall,
DigDustEmitter,10,,,100,150,700,1000,,360,,true,,10,,,30,,,,,graphics/effects/explosion.swf,Dust1,
GroundRubbleEmitter,30,,,,70,600,700,,360,,true,,20,,,30,,-1000,,,graphics/effects/particles/rock_particles.swf,Rock1ParticleSmall,
PoisonSquirtEmitter,10,1000,,100,200,500,700,,,true,,2,80,70,40,10,50,,10,50,graphics/effects/poison_squirt.swf,posion_squirt_small,
AntMeatBallEmitter,15,200,200,,20,900,1000,,360,,true,1,40,90,30,800,900,-3000,3,15,graphics/effects/poison_squirt.swf,ant_meat_1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/poison_squirt.swf,ant_meat_2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/poison_squirt.swf,ant_meat_3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/poison_squirt.swf,ant_meat_4,
AntSplashSmall,20,300,300,,50,400,550,,360,,true,,90,120,20,100,150,-1000,100,150,graphics/effects/poison_squirt.swf,posion_squirt_small,
AntPoisonCloud,3,,200,,50,600,1500,0,360,,true,,20,20,10,100,,,,,graphics/effects/poison_squirt.swf,PoisonCloud,true
AntSplashEmitter,10,700,800,10,80,600,700,,,true,,,,,60,150,500,,,,graphics/effects/poison_squirt.swf,posion_squirt_small,
PoisonDropsEmitter,25,300,,5,20,500,550,,360,,true,,80,,25,100,130,-1000,1,5,graphics/effects/poison_squirt.swf,PoisonParticle1,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/poison_squirt.swf,PoisonParticle2,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/poison_squirt.swf,PoisonParticle3,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/poison_squirt.swf,PoisonParticle4,
,,,,,,,,,,,,,,,,,,,,,graphics/effects/poison_squirt.swf,PoisonParticle5,
PoisonSteamSmall,5,,,2000,4000,1800,3000,180,270,,true,,1,6,20,1,2,-900,,,graphics/effects/explosion.swf,egg_steamer,
PoisonSquirtCloudFarEmitter,10,1000,,100,,600,700,,,true,,4,80,120,40,,,,20,50,graphics/effects/explosion.swf,poisoncloud_small,
