Name,RequiredExpLevel,RecommendedExpLevel,Difficulty,TutorialFlow,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,RequiredCharacterClass,Deprecated,EnablesTutorial,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
REPLACE_ME3,,,Medium,,,,,,,,,,,,,,20,25,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
First Contact,2,2,Easy,,Prison,,Prison,Prison,Communication Terminal,Break Out,talk,Communication Terminal,1,,,true,12,,,,TRUE,,,,10,,,,,,,,,,,,,,,,Prison Break,,,
Hooligan Group Leader,5,6,Easy,,Pipe Square,Lemmy Colorado,Pipe Square,Pipe Square,Lemmy Colorado,,eliminate,Elite Slasher Hooligan,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Underground Movement,,,
Keep Moving,1,2,Medium,,Prison,Hartmann,Prison,Prison,Murphy,McGuyver Moment,talk,Murphy,1,,,true,15,,,,TRUE,,,,,,,,,,,,,,,,,,,,Prison Break,Bolts,8,
NOT_IN_USE 2 Immigration Center,1,2,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
NOT_IN_USE 1 Immigration Center,1,2,Easy,,,,,,,,talk,Mason,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
WIP 3,1,2,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
WIP,1,2,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Meet Lemmy,2,4,Easy,,Wetlands,Maria,Freedom Woods,Freedom Woods,Lemmy Colorado,,talk,Lemmy Colorado,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Underground Movement,,,
Head toward Pirate Bay,1,2,Medium,,Prison,Mason,Pulpy Way,Pulpy Way,Lloyd Brown,Break Out,talk,Lloyd Brown,1,,,true,25,,,,TRUE,exit_level,,,,,,,,,,,,,,,,,,,The Underground Movement,Bolts,25,graphics/mission/midterm_objective_01.png
OLD Money Never Sleeps,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Escort,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
"OLD Detective, again",,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Sail away,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Information Is Beautiful,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
REPLACE_me2,1,3,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
REPLACE_ME,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Zero Tolerance,2,4,Medium,,Freedom Woods,Lemmy Colorado,Freedom Woods,Freedom Woods,Stan Kirby,Police Truck,use,usable_pp_controller_1,1,,,TRUE,25,60,,,TRUE,,,,,,,,,,,,,,,,,,,,The Fugitive,,,
,,,,,,,,,,,use,electric_booth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPLACE_ME6,,,Easy,,,,,,,,,,,,,TRUE,5,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Grim Gonzales,2,4,Hard,,Achilles,Nicholas Morgil,Achilles,Achilles,Nicholas Morgil,"Drugs, Up In Smoke",eliminate,Grim Gonzales,1,,Achilles,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
OLD Cargo Business,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Sign For Duty,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Searching The Yards,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Searching the Yards II,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Raiding the Labs,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Raiding The Labs II,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Break Out,1,2,Medium,,Prison,Murphy,Prison,Prison,Mason,Custom Gun,talk,Mason,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Prison Break,Bolts,8,
OLD Se1,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Missing Officer,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Smokin' Hot,5,7,Medium,,Troll's Lair,Mad Dog Architect,Troll's Lair,Troll's Lair,Rubert Jenkins,Lay of the Land,use,Crop,3,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
WIP: Counter Strike,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
It's a Sabotage,5,7,Medium,,Troll's Lair,Rubert Jenkins,Troll's Lair,Troll's Lair,Rubert Jenkins,Smokin' Hot,escort,Rubert Jenkins,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
Report to Holden,5,7,Medium,,Troll's Lair,Rubert Jenkins,Pirate Bay,Pirate Bay,Holden Shunk,It's a Sabotage,talk,Holden Shunk,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
OLD Donovan The Trainer,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD1,,1,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD2,,1,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD3,,1,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD It's locked!,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD Checking out the area,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
OLD New Friends,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Burning Down the House,4,6,Medium,,Pirate Bay,Alton Harvey,Weed Patch,Pirate Bay,Alton Harvey,"Go, Boy! Fetch!",use,,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Initiation,,,
Blood Sample,4,6,Medium,,Pirate Bay,Alton Harvey,Pirate Bay,Pirate Bay,Alton Harvey,,talk,Alton Harvey,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Homegrown,,,
A Dog As Courier? How Stupid Is That?,5,7,Medium,,Pirate Bay,Angel Garzon,Import Area,Pirate Bay,Angel Garzon,Must Be Talking To Angel,use,usable_car_1,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Initiation,,,
Attack reservoir,11,13,Medium,,Oasis Health Station,Davey Knutsen,Fresh Water Reservoir,Fresh Water Reservoir,AI,Radio silence,talk,AI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Underground Movement,,,
"Your Chariot Awaits, Miss",28,30,Hard,,Pirate Bay,Angelina,Dawnbreak Square,Dawnbreak Square,Selena,,eliminate,DAEMON,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Catfight,,,
Must Be Talking To Angel,5,7,Easy,,Pirate Bay,Kaylee,Pirate Bay,Pirate Bay,Alton Harvey,Saving Skin,talk,Alton Harvey,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Initiation,,,
A Damsel in Distress,5,7,Medium,,Pirate Bay,Kaylee,Loading Bay,Loading Bay,Zoe,,talk,Zoe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Trafficking,,,
Get Rid of the Rivals,6,7,Medium,,Loading Bay,Zoe,Container Yard,Internment,Virginia,Saving Skin,use,Useable_computer_front,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Trafficking,,,
,,,,,,,,,,,eliminate,Eastern Queen Heavy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saving Saffron,6,8,Medium,,Pirate Bay,Kaylee,Muck Beach,Pirate Bay,Kaylee,,escort,Saffron,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Stick it to the Man,,,
,,,,,,,,,,,use,usable_pp_controller_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockade Runner,9,11,Medium,,Pirate Bay,River,Desert Highway,Pirate Bay,River,,eliminate,Scarred Hooligan,8,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Harbor Side Quests,,,
,,,,,,,,,,,eliminate,Raging Ralph,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood & Fire,7,8,Medium,,Internment,Virginia,Internment,Pirate Bay,Kaylee,,eliminate,Mad Dog Handler,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Trafficking,,,
,,,,,,,,,,,eliminate,Dog,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Brawler,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Repair Man,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payback Time,15,17,Medium,,Refinery,Robert,Raw Materials,Truck Dock,Xavier Chiarello,,use,Useable_labycorecar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molehills,,,
Unlock reservoir,11,13,Medium,,Fresh Water Reservoir,AI,Fresh Water Reservoir,Fresh Water Reservoir,AI,Attack reservoir,loot,Key Card,1,Hired Guns Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,Island Paradise,,,
Mopping up,11,13,Medium,,Water Purification Facility,Adelmo,Water Purification Facility,Water Purification Facility,Adelmo,Purify the plant,escort,Adelmo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Island Paradise,,,
"If You Have a Plan, Stick to It",6,8,Medium,,Import Area,Mal Voorhis,Drydock,Import Area,Mal Voorhis,Confiscate This!,loot,Package,,Mad Dog Repair Man,,TRUE,60,50,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Confiscate This!,6,8,Medium,,Container Yard,Wally Foston,Container Yard,Container Yard,Wally Foston,Saving Skin,eliminate,Dog,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Trafficking,,,
,,,,,,,,,,,eliminate,Mad Dog Gunner,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Handler,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Brawler,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casualties Can't Be Avoided,7,9,Medium,,Magazine,Meryl,Magazine,Magazine,Meryl,Meet Meryl,talk,Drugged Valkyrie,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Stick it to the Man,,,
,,,,,,,,,,,loot,Package,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrician's Mate,15,16,Medium,,Truck Dock,Xavier Chiarello,Truck Dock,Truck Dock,Xavier Chiarello,,escort,De La Vega,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Better Living Through Chemistry,,,
,,,,,,,,,,,use,electric_booth,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purify the plant,11,13,Medium,,Fresh Water Reservoir,Julio,Water Purification Facility,Fresh Water Reservoir,Julio,Reservoir dogs,eliminate,Assasino,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desert Rage,,,
Crushed By The Wheels,15,16,Medium,,Alloy Plaza,Sammy Schomer,Refinery,Refinery,De La Vega,,talk,De La Vega,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Better Living Through Chemistry,,,
Shock Dave,18,19,Medium,,Power Plant East,Communication Terminal,Power Plant South,Power Plant West,AI,Net Hack,eliminate,Shock Dave,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Trip,,,
Check pumps,11,13,Medium,,Seawater Intake,AI,Seawater Intake,Seawater Intake,AI,First a trickle,use,Waterpump,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Island Paradise,,,
Stolen cargo,10,12,Medium,,Desert Highway,De La Vega,Paradise Power,Desert Highway,De La Vega,Truck down,loot,Gunbox,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desert Raiders,,,
,,,,,,,,,,,loot,Medical Box,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leave No Man Behind,17,18,Medium,,Power Drive,AI,Power Plant East,Power Drive,AI,Net Hack,escort,Ricky Martinique,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Power to the People,,,
Saving Skin,5,6,Medium,,Loading Bay,Zoe,Loading Bay,Loading Bay,Zoe,A Damsel in Distress,escort,Zoe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Trafficking,,,
That Little Snitch!,8,10,Medium,,Drydock,Adelle,Paradise Power,Drydock,Adelle,Kill Kingpin,talk,Anya,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Molehills,,,
Get a Job!,,1,Easy,,Omega Island Harbor,,Pirate Bay,Pirate Bay,Alton Harvey,,talk,Alton Harvey,1,,,TRUE,10,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Raiding the Drug Lab,8,10,Hard,,Pirate Bay,Wash,Weed Patch,Pirate Bay,Wash,,eliminate,Madman,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Homegrown,,,
,,,,,,,,,,,loot,Package,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I'm Afraid I Was Very, Very Drunk!",8,10,Hard,,Pirate Bay,Tollman,Omega Island Harbor,Pirate Bay,Tollman,,loot,Package,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Stick it to the Man,,,
,,,,,,,,,,,eliminate,Labycore Enforcer,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,The White Spider,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,use,Useable_computer_back,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting Our Boys Out,15,17,Medium,,Truck Dock,Ling Chon,Barracks,Truck Dock,Ling Chon,Refuel,talk,De La Vega,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crushed By The Wheels,,,
Blackout,15,16,Medium,,Refinery,De La Vega,Refinery,Refinery,De La Vega,,use,electric_booth,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power to the People,,,
Labycollector,17,18,Medium,,Power Drive,AI,Power Plant North,Power Drive,AI,Net Hack,eliminate,Security Trooper,10,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Power Trip,,,
,,,,,,,,,,,loot,Gunbox,4,Security Trooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Does Not Equal Safety,14,16,Medium,,Oasis Health Station,Jarden Coggins,Paradise Power,Oasis Health Station,Jarden Coggins,,use,electric_booth,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Remember to hydrate,11,13,Medium,,Holiday Resort,Serrano,Holiday Resort,Holiday Resort,Serrano,RTFM,use,Coconut palm,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Island Paradise,,,
"Drugs, Dogs, and Depots",8,9,Medium,,Import Area,Mal Voorhis,Import Area,Import Area,Mal Voorhis,Meet Mal,loot,Explosive,3,,,,,,,,TRUE,,Flame Thrower,,2,,,,,,,,,,,,,,,,Human Trafficking,,,
,,,,,,,,,,,eliminate,Sheila,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Go, Boy! Fetch!",4,6,Easy,,Pirate Bay,Alton Harvey,Pirate Bay,Pirate Bay,Alton Harvey,,loot,Package,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Initiation,,,
"C'mon, Hurry Up Already!",4,6,Easy,,Pirate Bay,Inara,Pirate Bay,Pirate Bay,Inara,,talk,Neil Gudgel,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Am I Bugging You?,2,4,Medium,,Storehouse,Willow,Storehouse,Storehouse,Willow,,use,usable_pp_controller_1,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Harbor Side Quests,,,
Open Sesame,15,16,Medium,,Alloy Plaza,Duke,Wells Wharf,Wells Wharf,AI,,use,Useable_computer_front,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Better Living Through Chemistry,,,
Zeroing on Zegor,28,30,Hard,,Truck Dock,Xavier Chiarello,Power Plant West,Truck Dock,Xavier Chiarello,,use,electric_booth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molehills,,,
,,,,,,,,,,,eliminate,Chief Engineer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD MiniMission3,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Hone Your Skills,2,4,Easy,,Storehouse,Willow,Storehouse,Storehouse,Willow,,talk,Curtis,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Harbor Side Quests,,,
A Beau in Distress,28,30,Hard,,Supply Depot,Kaylee,East Canal,Supply Depot,Kaylee,,eliminate,Akirun,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Town Side Quests,,,
,,,,,,,,,,,escort,Amador Carino,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,loot,Key Card,1,Akirun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Octane,23,25,Hard,,Market Square New Paris,Ramon Fabiano,Lovens Park North,Market Square New Paris,Ramon Fabiano,,escort,Nilda Diener,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Femmes Fatales,,,
,,,,,,,,,,,loot,Gasoline,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bang Up Job,4,6,Easy,,Pirate Bay,Patrick Kapinos,Pirate Bay,Pirate Bay,Patrick Kapinos,"C'mon, Hurry Up Already!",eliminate,CrateBreakable,5,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Solar Power!,25,30,Hard,,Supply Depot,Kaylee,New Moscow Street,Supply Depot,Kaylee,,use,Useable_computer_back,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crushed By The Wheels,,,
,,,,,,,,,,,eliminate,Sun Spider,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maze Hunt,23,25,Medium,,Lovens Park South,Lola,South Park Garden,Lovens Park South,Lola,Alley-Oop,eliminate,Club Flesh Seeker,5,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Catfight,,,
,,,,,,,,,,,eliminate,Club Flesh Assassin,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Club Flesh Skinner,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prison Brutality,1,1,Easy,,Prison,Maude Statham,Prison,Prison,Maude Statham,,eliminate,Brutal Trooper,1,,,true,20,,,Bodyguard,TRUE,,,,,,,,,,,,,,,,,,,,Prison Break,,,
,,,,,,,,,,,loot,Regular Wrench,,Brutal Trooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You're Gonna Be Okay,1,4,Medium,,Wetlands,Ed Cavins,Wetlands,Wetlands,Ed Cavins,,use,electric_booth,1,,,,,,,,TRUE,compass,Small Grenade,,5,,,,,,,,,,,,,,,,The Underground Movement,,,
MISSION: Introduction,1,1,Easy,,Immigration,Dante,Immigration,Immigration,Officer Smith,,talk,Officer Smith,1,,,true,10,,,,TRUE,,Plans: Custom Rifle,,,,,,,,,,,,,,,,,,Warm Welcome,,,
New Clothes,1,1,Easy,,Prison,Officer Carlton,Prison,Prison,Officer Carlton,,loot,,1,,,true,15,,,Bodyguard,TRUE,prison_clothes,,,,,,,,,,,,,,,,,,,Prison Break,,,
,,,,,,,,,,,loot,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercenary,1,3,Medium,,Prison,Maude Statham,Prison,Prison,Goodspeed,,use,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
New Outfit,1,1,Easy,,Prison,Officer Carlton,Prison,Prison,Officer Carlton,,loot,,1,,,true,15,,,Hunter,TRUE,prison_clothes,,,,,,,,,,,,,,,,,,,Prison Break,,,
,,,,,,,,,,,loot,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Style,1,1,Easy,,Prison,Officer Carlton,Prison,Prison,Officer Carlton,,loot,,1,,,true,15,,,Doctor,TRUE,prison_clothes,,,,,,,,,,,,,,,,,,,Prison Break,,,
,,,,,,,,,,,loot,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercenary Business,2,2,Easy,,Prison,Leland Osborne,,Prison,Mason,First Contact,hire_mercenary,,,,,TRUE,10,,,,TRUE,glass_wall,,,,,,,,,,,,,,,,,,,Prison Break,,,
Armor Alley,2,5,Medium,,Pulpy Way,Lloyd Brown,Pulpy Way,Pulpy Way,Michael McFly,,escort,DEFOE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Networking,,,
Meet Lloyd,2,4,Easy,,Achilles,Nicholas Morgil,Pulpy Way,Pulpy Way,Lloyd Brown,"Drugs, Up In Smoke",talk,Lloyd Brown,1,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Networking,,,
MISSION: Evaluation,1,1,Easy,,Immigration,,Immigration,Immigration,Officer Smith,MISSION: Introduction,,,,,,true,15,,,,TRUE,,,,,,,,,,,,,,,,,,,,Warm Welcome,,,
MISSION: Recruitment,1,1,Easy,,Immigration,Officer Randall,Immigration,Immigration,Officer Smith,MISSION: Evaluation,talk,Officer Smith,1,,,true,20,,,,TRUE,,,,,,,,,,,,,,,,,,,,Warm Welcome,,,
MISSION: Target Practice,1,1,Easy,,Immigration,Officer Smith,Immigration,Immigration,Immigration Trooper,MISSION: Introduction,loot,Small Bazooka,1,,,true,25,,,,TRUE,,Light Molotov Cocktail,,2,,,,,,,,,,,,,,,,Warm Welcome,,,
,,,,,,,,,,,eliminate,Infected,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comandante Jarden,10,12,Easy,,Desert Highway,De La Vega,Oasis Health Station,Oasis Health Station,Jarden Coggins,Last drops,talk,Jarden Coggins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desert Rage,,,
Reverse engineering,15,16,Easy,,Steel Pier,Scarface,Alloy Plaza,Alloy Plaza,Duke,Remote Control,talk,Duke,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supply Lines,,,
Search and Destroy,15,16,Medium,,Wells Wharf,Dillinger,Wells Wharf,Wells Wharf,AI,Local Flair,eliminate,Hired Guns Grenadier,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supply Lines,,,
,,,,,,,,,,,eliminate,Hired Guns Rocketeer,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Flair,15,16,Easy,,Wells Wharf,AI,Wells Wharf,Wells Wharf,Dillinger,Open Sesame,talk,Dillinger,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supply Lines,,,
Touch Base,15,15,Easy,,Alloy Plaza,Duke,Refinery,Refinery,De La Vega,Deal Breaker,talk,De La Vega,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power to the People,,,
Reinforcements,16,17,Easy,,Ratched Lane,Reggie Westwood,Bromden Park,Bromden Park,Mack,Asylum Awaits,talk,Mack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
Asylum Assault,16,6,Medium,,Bromden Park,Mack,Bromden Park,Bromden Park,Julia,,talk,Julia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sick, Sick, Sick",,,
