Name,Level,CharacterType,Difficulty,Strength,CriticalChance,Agility,Stamina,Intelligence,Armor,Health,HealthRegen,Energy,EnergyRegen,AI_DPS_MeleeWeapon,AI_DPS_RangedWeapon,RespawnDuration,RespawnDurationHUB,DefaultScale,DefaultSpeed,DefaultCombatSpeed,UnlockLevel,DiamondCostExact,DiamondsOnly,ResourceSearchRadius,CraftingTimeBonus%,Recycle%
,6,,,,,,,,,700,117,,,53,43,,,,,,,,,,,
,10,,,,,,,,,2400,162,,,77,62,,,,,,,,,,,
,11,,,,,,,,,3400,189,,,86,67,,,,,,,,,,,
,15,,,,,,,,,8200,416,,,125,101,,,,,,,,,,,
,16,,,,,,,,,12460,447,,,144,115,,,,,,,,,,,
,20,,,,,,,,,18000,579,,,206,163,,,,,,,,,,,
,21,,,,,,,,,22440,8165,,,230,182,,,,,,,,,,,
,25,,,,,,,,,35600,855,,,355,288,,,,,,,,,,,
,26,,,,,,,,,56000,1211,,,394,317,,,,,,,,,,,
,30,,,,,,,,,96000,2200,,,600,500,,,,,,,,,,,
Basic_Crafting_Bot,1,,,,,,,,,100,10,100,0,,,,,100,1000,1000,7,1000,,30,,50
Advanced_Crafting_Bot,1,,,,,,,,,100,10,200,0,,,,,100,1000,1000,7,40000,TRUE,30,10,60
Superior_Crafting_Bot,1,,,,,,,,,100,10,300,0,,,,,100,1000,1000,7,100000,TRUE,30,25,90
Boss_Tier2,1,Boss,2500,100,5,,,,,1361,188,200,10,30,24,0,240000,100,500,1600,,,,,,
,5,,,,,,,,,4272,416,,,48,42,,,,,,,,,,,
,6,,,,,,,,,4556,510,,,54,48,,,,,,,,,,,
,10,,,,,,,,,9341,704,,,66,54,,,,,,,,,,,
,11,,,,,,,,,12959,978,,,72,60,,,,,,,,,,,
,15,,,,,,,,,24600,1440,,,108,84,,,,,,,,,,,
,16,,,,,,,,,37380,1880,,,198,144,,,,,,,,,,,
,20,,,,,,,,,54000,2405,,,300,234,,,,,,,,,,,
,21,,,,,,,,,67320,2702,,,318,246,,,,,,,,,,,
,25,,,,,,,,,106800,3370,,,492,420,,,,,,,,,,,
,26,,,,,,,,,168000,4196,,,540,450,,,,,,,,,,,
,30,,,,,,,,,288000,5034,,,900,930,,,,,,,,,,,
Boss_Tier3,1,Boss,2500,100,7,,,,,2513,345,200,7,12,10,0,240000,100,500,1600,,,,,,
,5,,,,,,,,,7886,768,,,20,18,,,,,,,,,,,
,6,,,,,,,,,8410,942,,,24,21,,,,,,,,,,,
,10,,,,,,,,,17243,1302,,,30,25,,,,,,,,,,,
,11,,,,,,,,,23925,1806,,,34,28,,,,,,,,,,,
,15,,,,,,,,,37553,2658,,,52,40,,,,,,,,,,,
,16,,,,,,,,,44296,2865,,,99,72,,,,,,,,,,,
,20,,,,,,,,,67096,3711,,,155,121,,,,,,,,,,,
,21,,,,,,,,,83464,4122,,,170,131,,,,,,,,,,,
,25,,,,,,,,,121971,5223,,,270,231,,,,,,,,,,,
,26,,,,,,,,,174594,7746,,,306,255,,,,,,,,,,,
,30,,,,,,,,,386148,13941,,,661,532,,,,,,,,,,,
Big_HighDamage_Escort,1,Regular,150,,5,,,,,120,3,200,5,30,24,20000,20000,115,300,800,,,,,,
,5,,,,,,,,,120,11,,,48,42,,,,,,,,,,,
,6,,,,,,,,,140,15,,,54,48,,,,,,,,,,,
,10,,,,,,,,,359,27,,,66,54,,,,,,,,,,,
,11,,,,,,,,,416,31,,,72,60,,,,,,,,,,,
,15,,,,,,,,,652,46,,,108,84,,,,,,,,,,,
,16,,,,,,,,,769,49,,,132,96,,,,,,,,,,,
,20,,,,,,,,,1164,64,,,198,156,,,,,,,,,,,
,21,,,,,,,,,1448,71,,,210,162,,,,,,,,,,,
,25,,,,,,,,,2117,90,,,330,270,,,,,,,,,,,
,26,,,,,,,,,2330,103,,,360,294,,,,,,,,,,,
,30,,,,,,,,,3436,124,,,720,552,,,,,,,,,,,
Big_LowDamage_Escort,1,Regular,110,,5,,,,,120,3,200,5,4,2,20000,20000,115,300,800,,,,,,
,5,,,,,,,,,120,11,,,8,6,,,,,,,,,,,
,6,,,,,,,,,140,15,,,10,10,,,,,,,,,,,
,10,,,,,,,,,359,27,,,16,12,,,,,,,,,,,
,11,,,,,,,,,416,31,,,18,14,,,,,,,,,,,
,15,,,,,,,,,652,46,,,26,22,,,,,,,,,,,
,16,,,,,,,,,769,49,,,28,24,,,,,,,,,,,
,20,,,,,,,,,1164,64,,,42,34,,,,,,,,,,,
,21,,,,,,,,,1448,71,,,44,36,,,,,,,,,,,
,25,,,,,,,,,2117,90,,,76,64,,,,,,,,,,,
,26,,,,,,,,,2330,103,,,82,68,,,,,,,,,,,
,30,,,,,,,,,3436,124,,,116,88,,,,,,,,,,,
Medium_HighDamage_Escort,1,Regular,120,,5,,,,,16,2,200,5,6,4,20000,20000,105,500,1100,,,,,,
,5,,,,,,,,,85,8,,,18,14,,,,,,,,,,,
,6,,,,,,,,,98,11,,,22,18,,,,,,,,,,,
,10,,,,,,,,,251,19,,,32,26,,,,,,,,,,,
,11,,,,,,,,,290,22,,,36,28,,,,,,,,,,,
,15,,,,,,,,,457,32,,,52,42,,,,,,,,,,,
,16,,,,,,,,,538,34,,,60,48,,,,,,,,,,,
,20,,,,,,,,,815,45,,,86,68,,,,,,,,,,,
,21,,,,,,,,,1015,50,,,96,76,,,,,,,,,,,
,25,,,,,,,,,1482,63,,,148,120,,,,,,,,,,,
,26,,,,,,,,,1629,72,,,164,132,,,,,,,,,,,
,30,,,,,,,,,2406,86,,,240,184,,,,,,,,,,,
Medium_LowDamage_Escort,1,Regular,80,,5,,,,,16,2,200,5,4,2,20000,20000,105,500,1100,,,,,,
,5,,,,,,,,,85,8,,,8,6,,,,,,,,,,,
,6,,,,,,,,,98,11,,,10,10,,,,,,,,,,,
,10,,,,,,,,,251,19,,,16,12,,,,,,,,,,,
,11,,,,,,,,,290,22,,,18,14,,,,,,,,,,,
,15,,,,,,,,,457,32,,,26,22,,,,,,,,,,,
,16,,,,,,,,,538,34,,,28,24,,,,,,,,,,,
,20,,,,,,,,,815,45,,,42,34,,,,,,,,,,,
,21,,,,,,,,,1015,50,,,44,36,,,,,,,,,,,
,25,,,,,,,,,1482,63,,,76,64,,,,,,,,,,,
,26,,,,,,,,,1629,72,,,82,68,,,,,,,,,,,
,30,,,,,,,,,2406,86,,,116,88,,,,,,,,,,,
Tutorial_Mob,1,Regular,25,,7,,,,,15,1,200,5,1,1,500000,180000,100,500,1100,,,,,,
Mini_Boss_2man,1,MiniBoss,600,,,,,,,200,30,200,5,14,10,0,240000,100,500,1600,,,,,,
,5,,,,,,,,,600,80,,,34,27,,,,,,,,,,,
,6,,,,,,,,,700,117,,,42,34,,,,,,,,,,,
,10,,,,,,,,,2400,162,,,61,50,,,,,,,,,,,
,11,,,,,,,,,3000,189,,,68,53,,,,,,,,,,,
,15,,,,,,,,,4264,416,,,100,80,,,,,,,,,,,
,16,,,,,,,,,6600,447,,,115,92,,,,,,,,,,,
,20,,,,,,,,,9720,579,,,164,130,,,,,,,,,,,
,21,,,,,,,,,12342,8165,,,184,145,,,,,,,,,,,
,25,,,,,,,,,19936,855,,,284,230,,,,,,,,,,,
,26,,,,,,,,,31920,1211,,,315,253,,,,,,,,,,,
,30,,,,,,,,,55680,2200,,,480,400,,,,,,,,,,,
Easy_Elite_Big_HighDamage,1,Elite,400,,5,,,,,615,123,200,5,7,10,5400000,100000,115,400,900,,,,,,
,5,,,,,,,,,2100,420,,,30,34,,,,,,,,,,,
,6,,,,,,,,,2580,516,,,37,43,,,,,,,,,,,
,10,,,,,,,,,4500,900,,,53,62,,,,,,,,,,,
,11,,,,,,,,,5405,1081,,,60,67,,,,,,,,,,,
,15,,,,,,,,,8575,1715,,,87,101,,,,,,,,,,,
,16,,,,,,,,,9690,1938,,,100,115,,,,,,,,,,,
,20,,,,,,,,,13250,2650,,,144,163,,,,,,,,,,,
,21,,,,,,,,,14575,2915,,,161,182,,,,,,,,,,,
,25,,,,,,,,,18525,3705,,,248,288,,,,,,,,,,,
,26,,,,,,,,,20000,4012,,,275,317,,,,,,,,,,,
,30,,,,,,,,,24400,4880,,,403,442,,,,,,,,,,,
Easy_Elite_Big_LowDamage,1,Elite,400,,5,,,,,615,123,200,5,8,5,5400000,100000,115,400,900,,,,,,
,5,,,,,,,,,2100,420,,,23,18,,,,,,,,,,,
,6,,,,,,,,,2580,516,,,28,23,,,,,,,,,,,
,10,,,,,,,,,4500,900,,,40,33,,,,,,,,,,,
,11,,,,,,,,,5405,1081,,,45,35,,,,,,,,,,,
,15,,,,,,,,,8575,1715,,,65,53,,,,,,,,,,,
,16,,,,,,,,,9690,1938,,,75,60,,,,,,,,,,,
,20,,,,,,,,,13250,2650,,,108,85,,,,,,,,,,,
,21,,,,,,,,,14575,2915,,,121,96,,,,,,,,,,,
,25,,,,,,,,,18525,3705,,,186,151,,,,,,,,,,,
,26,,,,,,,,,20000,4012,,,206,166,,,,,,,,,,,
,30,,,,,,,,,24400,4880,,,302,231,,,,,,,,,,,
Easy_Elite_Medium_HighDamage,1,Elite,400,,5,,,,,555,110,200,5,7,10,5400000,100000,105,500,1100,,,,,,
,5,,,,,,,,,1890,378,,,30,34,,,,,,,,,,,
,6,,,,,,,,,2270,454,,,37,43,,,,,,,,,,,
,10,,,,,,,,,4050,810,,,53,62,,,,,,,,,,,
,11,,,,,,,,,4865,972,,,60,67,,,,,,,,,,,
,15,,,,,,,,,7715,1543,,,87,101,,,,,,,,,,,
,16,,,,,,,,,8721,1744,,,100,115,,,,,,,,,,,
,20,,,,,,,,,11925,2385,,,144,163,,,,,,,,,,,
,21,,,,,,,,,12618,2523,,,161,182,,,,,,,,,,,
,25,,,,,,,,,11673,3334,,,248,288,,,,,,,,,,,
,26,,,,,,,,,16000,3610,,,275,317,,,,,,,,,,,
,30,,,,,,,,,21960,4392,,,403,442,,,,,,,,,,,
Easy_Elite_Medium_LowDamage,1,Elite,400,,5,,,,,555,110,200,5,8,5,5400000,100000,105,500,1100,,,,,,
,5,,,,,,,,,1890,378,,,23,18,,,,,,,,,,,
,6,,,,,,,,,2270,454,,,28,23,,,,,,,,,,,
,10,,,,,,,,,4050,810,,,40,33,,,,,,,,,,,
,11,,,,,,,,,4865,972,,,45,35,,,,,,,,,,,
,15,,,,,,,,,7715,1543,,,65,53,,,,,,,,,,,
,16,,,,,,,,,8721,1744,,,75,60,,,,,,,,,,,
,20,,,,,,,,,11925,2385,,,108,85,,,,,,,,,,,
,21,,,,,,,,,12618,2523,,,121,96,,,,,,,,,,,
,25,,,,,,,,,11673,3334,,,186,151,,,,,,,,,,,
,26,,,,,,,,,16000,3610,,,206,166,,,,,,,,,,,
,30,,,,,,,,,21960,4392,,,302,231,,,,,,,,,,,
Easy_Elite_Small_HighDamage,1,Elite,400,,5,,,,,500,100,200,5,7,10,5400000,100000,90,800,1500,,,,,,
,5,,,,,,,,,1701,340,,,30,34,,,,,,,,,,,
,6,,,,,,,,,2044,408,,,37,43,,,,,,,,,,,
,10,,,,,,,,,3645,729,,,53,62,,,,,,,,,,,
,11,,,,,,,,,4378,875,,,60,67,,,,,,,,,,,
,15,,,,,,,,,6945,1389,,,87,101,,,,,,,,,,,
,16,,,,,,,,,7296,1459,,,100,115,,,,,,,,,,,
,20,,,,,,,,,10733,2146,,,144,163,,,,,,,,,,,
,21,,,,,,,,,11000,2271,,,161,182,,,,,,,,,,,
,25,,,,,,,,,13000,3001,,,248,288,,,,,,,,,,,
,26,,,,,,,,,15000,3249,,,275,317,,,,,,,,,,,
,30,,,,,,,,,19700,3952,,,403,442,,,,,,,,,,,
Easy_Elite_Small_LowDamage,1,Elite,400,,5,,,,,500,100,200,5,8,5,5400000,100000,90,800,1500,,,,,,
,5,,,,,,,,,1701,340,,,23,18,,,,,,,,,,,
,6,,,,,,,,,2044,408,,,28,23,,,,,,,,,,,
,10,,,,,,,,,3645,729,,,40,33,,,,,,,,,,,
,11,,,,,,,,,4378,875,,,45,35,,,,,,,,,,,
,15,,,,,,,,,6945,1389,,,65,53,,,,,,,,,,,
,16,,,,,,,,,7296,1459,,,75,60,,,,,,,,,,,
,20,,,,,,,,,10733,2146,,,108,85,,,,,,,,,,,
,21,,,,,,,,,11000,2271,,,121,96,,,,,,,,,,,
,25,,,,,,,,,13000,3001,,,186,151,,,,,,,,,,,
,26,,,,,,,,,15000,3249,,,206,166,,,,,,,,,,,
,30,,,,,,,,,19700,3952,,,302,231,,,,,,,,,,,
