Name,RequiredExpLevel,RecommendedExpLevel,TutorialFlow,Difficulty,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,RequiredCharacterClass,Deprecated,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
Emilio and Charlie's Excellent Adventure,22,25,,Easy,Supply Depot,Kaylee,Market Square New Paris,Market Square New Paris,Emilio Machnik,,talk,Emilio Machnik,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Town Side Quests,,,
Accidents Do Happen,20,22,,Medium,Market Square New Paris,Nea,Lovens Park West,Market Square New Paris,Nea,,use,usable_car_1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Femmes Fatales,,,
Meet Mia,20,22,,Easy,Market Square New Paris,Nea,Lovens Park West,Lovens Park West,Mia,,talk,Mia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Femmes Fatales,,,
Three Bees,20,22,,Medium,Lovens Park West,Mia,Lovens Park West,Lovens Park West,Mia,,loot,Package,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Femmes Fatales,,,
Meet Nea,21,23,,Easy,New Dublin Street,Claire,Market Square New Paris,Market Square New Paris,Nea,,talk,Nea,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Turf Wars,,,
This is Our City! Pt 1,22,24,,Medium,Market Square New Paris,Ramon Fabiano,Copenhagen Street,Market Square New Paris,Ramon Fabiano,,loot,Key Card,3,Hired Guns Grenadier,,,,,,,,,,,,,,,,,,,,,,,,,,Femmes Fatales,,,
Labor Day,22,24,,Medium,New Dublin Street,13Diablo Combat Merchant,New London Street,New Dublin Street,13Diablo Combat Merchant,,talk,Convict Lars,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Turf Wars,,,
,,,,,,,,,,,talk,Convict Bert,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,talk,Convict Michael,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,talk,Convict Eric,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is Our City! Pt 2,22,24,,Medium,Market Square New Paris,Ramon Fabiano,West Canal,Market Square New Paris,Ramon Fabiano,,eliminate,Hired Guns Grenadier,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Femmes Fatales,,,
,,,,,,,,,,,eliminate,Hired Guns Shooter,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Hired Guns Rocketeer,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,use,Mainframe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Sale,22,24,,Medium,Berlin Street Hospital,Gilbert Crothers,Orleans Street,Berlin Street Hospital,Gilbert Crothers,,loot,Propane tank,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Catfight,,,
,,,,,,,,,,,eliminate,StandBreakable,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's 'How Do You Do?' in Voodoo?,24,26,,Medium,New Dublin Street,13Diablo Gun Vendor,Amsterdam Street,New Dublin Street,13Diablo Gun Vendor,,talk,Voodoo Informant,1,,,,,,,,,,,,Reinforced Gloves,,Safari Gloves,,Leather Gloves,,,,,,,,,,,Turf Wars,,,
The Exterminator,22,24,,Medium,New Dublin Street,13Diablo Combat Merchant,New Peking Street,New Dublin Street,13Diablo Combat Merchant,,eliminate,Triggerhappy Hooligan,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Turf Wars,,,
,,,,,,,,,,,eliminate,Haywire Hooligan,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,use,electric_booth,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet Drush,18,20,,Easy,New Dublin Street,Claire,Berlin Street Hospital,Berlin Street Hospital,Drush,,talk,Drush,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Femmes Fatales,,,
Destination Paradise,7,9,,Easy,Pirate Bay,River,Desert Highway,Desert Highway,De La Vega,Pulling the Plug,talk,De La Vega,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Harbor Side Quests,,,
Car Trouble,23,25,,Medium,Amsterdam Street,Miranda,Venice Bridge Street,Amsterdam Street,Miranda,,eliminate,Eastern Queen Heavy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Catfight,,,
,,,,,,,,,,,eliminate,Eastern Queen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Eastern Queen Maniac,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,use,usable_car_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do Not Pass Go,27,29,,Medium,Venice Hospital,Bolivar Torina,New Naples Street,Venice Hospital,Bolivar Torina,Car Trouble,eliminate,Security Trooper,9,,,,,,,,TRUE,,,,Kevlar Pants,,Range Trousers,,Bahama Pants,,,,,,,,,,,An Old Grudge,,,
,,,,,,,,,,,eliminate,Grim Destroyer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Catch a Thief,27,29,,Medium,Venice Hospital,Raquel,New Roma Street,Venice Hospital,Raquel,,loot,Data disc,1,Sewer Voodoo Heavy,,,,,,,,,,,Blind Science Shades,,Blind Science Shades,,Blind Science Shades,,,,,,,,,,,Turf Wars,,,
Venetian Hospitality,28,30,,Medium,Venice Hospital,Natalie,Venice Canal East,Venice Hospital,Natalie,To Catch a Thief,eliminate,Miss Amber,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Turf Wars,,,
Meet Miranda,22,24,,Easy,Berlin Street Hospital,Drush,Amsterdam Street,Amsterdam Street,Miranda,,talk,Miranda,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Catfight,,,
Meet Raquel,23,25,,Easy,Amsterdam Street,Miranda,Venice Hospital,Venice Hospital,Raquel,Car Trouble,talk,Raquel,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Beached,,,
Meet Meryl,7,9,,Easy,Pirate Bay,River,Magazine,Magazine,Meryl,,talk,Meryl,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Stick it to the Man,,,
Wash Away The Dirt,6,8,,Medium,Pirate Bay,Wash,Omega Island Harbor,Pirate Bay,Wash,Blood Feud,eliminate,Mad Dog Brawler,2,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Homegrown,,,
,,,,,,,,,,,eliminate,Mad Dog Fighter,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Repair Man,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Gunner,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullet-Tooth,5,7,,Medium,Pirate Bay,Alton Harvey,Anchorage,Pirate Bay,Alton Harvey,Chief Inspector,eliminate,Bullet-Tooth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Harbor Side Quests,,,
,,,,,,,,,,,loot,Data disc,1,Bullet-Tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be Prepared,7,9,,Medium,Pirate Bay,River,Soggy Bottom,Soggy Bottom,Maria,,escort,Maria,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Guns and Ammo,,,
Into Thin Air,7,9,,Medium,Soggy Bottom,Maria,Soggy Bottom,Soggy Bottom,Maria,Be Prepared,loot,Gunbox,3,Mad Dog Gunner,,TRUE,200,60,,,,,,,Can Kick'rs,,Squeaky Hiking Shoes,,Black Trainers,,,,,,,,,,,Guns and Ammo,,,
Hot Air by Design,7,9,,Medium,Soggy Bottom,Maria,Soggy Bottom,Soggy Bottom,Maria,Into Thin Air,eliminate,Labycore Scientist,1,,,TRUE,200,60,,,,,,,,,,,,,,,,,,,,,,Guns and Ammo,,,
,,,,,,,,,,,use,Useable_computer_back,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporware is the New Black,7,9,,Medium,Soggy Bottom,Maria,Soggy Bottom,Soggy Bottom,Maria,Into Thin Air,use,Usable RifleStand,3,,,TRUE,200,60,,,,,,,,,,,,,,,,,,,,,,Guns and Ammo,,,
Nick The Scientist,7,9,,Medium,Soggy Bottom,Maria,Magazine,Magazine,Nick The Scientist,Hot Air by Design,talk,Nick The Scientist,1,,,TRUE,200,60,,,,,,,,,,,,,,,,,,,,,,Guns and Ammo,,,
Shut Down the Factory,7,9,,Medium,Soggy Bottom,Maria,Magazine,Soggy Bottom,Maria,Hot Air by Design,eliminate,Labycore Scientist,3,,,TRUE,200,60,,,,,,,,,,,,,,,,,,,,,,Guns and Ammo,,,
,,,,,,,,,,,use,usable_pp_controller_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,use,Useable_computer_back,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulling the Plug,7,9,,Medium,Magazine,Nick The Scientist,Magazine,Soggy Bottom,Maria,Nick The Scientist,use,Deactivated Missile,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Guns and Ammo,,,
Talk to Rubert,5,7,,Medium,Pirate Bay,Holden Shunk,Troll's Lair,Troll's Lair,Rubert Jenkins,Tuna from Heaven,talk,Rubert Jenkins,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Homegrown,,,
Lay of the Land,5,7,,Medium,Troll's Lair,Rubert Jenkins,Troll's Lair,Troll's Lair,Mad Dog Architect,Tuna from Heaven,eliminate,Mad Dog Gunner,5,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
,,,,,,,,,,,eliminate,Mad Dog Brawler,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Fighter,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,talk,Josh Hites,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLDIE,,,,Easy,Storehouse,,Storehouse,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Get Back to River,7,9,,Easy,Soggy Bottom,Maria,Pirate Bay,Pirate Bay,River,Pulling the Plug,talk,River,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Guns and Ammo,,,
Gun Delivery,4,6,,Easy,Dreamlab,Charley Malloy,Harbor Bridge,Pirate Bay,Alton Harvey,Printing Money,escort,DEFOE,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Networking,,,
Repel the Raiders,3,5,,Medium,Eureka Research,,Eureka Research,Eureka Research,,,eliminate,Mad Dog Runner,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Networking,,,
,,,,,,,,,,,eliminate,Mad Dog Fighter,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Mad Dog Repair Man,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,loot,Medical Box,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Sleuth,3,5,,Easy,Pulpy Way,Michael McFly,Eureka Research,Eureka Research,AI,,talk,MissHolo 3,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Networking,,,
,,,,,,,,,,,talk,MissHolo 1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,talk,MissHolo 2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Granted,4,5,,Easy,Eureka Research,AI,Eureka Research,Eureka Research,AI,,loot,Key Card,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Networking,,,
Rescue Refugees,4,6,,Medium,Eureka Research,Shaft AI,Eureka Research,Eureka Research,AI,Guided Tour,use,Floating Button,2,,,TRUE,180,75,,,,,,2,,,,,,,,,,,,,,,,Eureka!,,,
,,,,,,,,,,,eliminate,Mr. Hudson,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplies Are Your Friend,2,4,,Easy,Eureka Research,,Eureka Research,Eureka Research,,,use,Useable_computer_back,1,,,TRUE,13,50,,,TRUE,,,2,,,,,,,,,,,,,,,,Networking,,,
After These Messages,4,6,,Easy,Eureka Research,AI,Dreamlab,Dreamlab,Shaft AI,Rescue Refugees,talk,Shaft AI,,,,TRUE,13,75,,,,Bazooka,,2,,,,,,,,,,,,,,,,Eureka!,,,
Printing Money,4,6,,Easy,Dreamlab,Communication Terminal,Dreamlab,Pirate Bay,Tollman,Once In A Lifetime Offer,loot,Coupon Suitcase,3,,,,,,,,,,,,,,,,,,,,,,,,,,,The Initiation,,,
,,,,,,,,,,,loot,Coupon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speak with Adelle,7,9,,Medium,Soggy Bottom,Maria,Drydock,Drydock,Adelle,Pulling the Plug,talk,Adelle,1,,,,,,,,TRUE,Hi-Energy Boost,,2,,,,,,,,,,,,,,,,Guns and Ammo,,,
Kill Kingpin,7,9,,Medium,Drydock,Adelle,Drydock,Drydock,Michael Shannon,,eliminate,Kingpin,1,,,TRUE,300,70,,,,Air Strike,,1,,,,,,,,,,,,,,,,Mafia,,,
Checkpoint,6,8,,Medium,Anchorage,Garmy,Anchorage,Anchorage,Garmy,Speak with Garmy,eliminate,Master of Inspection,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Stick it to the Man,,,
Meet Garmy,5,7,,Easy,Pirate Bay,John Casmir,Anchorage,Anchorage,Garmy,Night Life,talk,Garmy,1,,,,,,,,TRUE,Minor Shock Blow,,2,,,,,,,,,,,,,,,,The Initiation,,,
Speak with Garmy,6,8,,Easy,Pirate Bay,John Casmir,Anchorage,Anchorage,Garmy,Bullet-Tooth,talk,Garmy,1,,,,,,,,TRUE,Weak Force Field,,2,,,,,,,,,,,,,,,,Harbor Side Quests,,,
Stare at the sun,10,12,,Easy,Paradise Power,Hernan Kirbo,Paradise Power,Paradise Power,Hernan Kirbo,Restart the Power,use,Useable Solarpanel,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Desert Raiders,,,
Diego's quest,10,12,,Medium,Desert Highway,De La Vega,Camping Grounds,Camping Grounds,Don Diego,Stare at the sun,talk,Don Diego,1,,,,,,,,,,,,,,,,,,,,,,,,,,,New Breed,,,
Appearances aren't everything,10,12,,Medium,Camping Grounds,Don Diego,Evolution Gate,Evolution Gate,Gatekeeper,Diego's quest,talk,Gatekeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,New Breed,,,
Talk to Mortimer,10,12,,Medium,Evolution Gate,Gatekeeper,Camping Grounds,Camping Grounds,Mortimer,Appearances aren't everything,talk,Mortimer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,New Breed,,,
Smash and Grab,10,12,,Medium,Camping Grounds,Mortimer,Camping Grounds,Camping Grounds,Mortimer,Talk to Mortimer,loot,Key Card,2,Roided Raider,,,,,,,,,,,,,,,,,,,,,,,,,,New Breed,,,
Mating rituals,10,12,,Medium,Camping Grounds,Mortimer,Camping Grounds,Camping Grounds,Mortimer,Smash and Grab,escort,Mortimer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,New Breed,,,
Back to the bridge,10,12,,Easy,Camping Grounds,Mortimer,Evolution Gate,Evolution Gate,Gatekeeper,Mating rituals,talk,Gatekeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,New Breed,,,
Grand Culinaire,10,12,,Easy,Evolution Gate,Gatekeeper,Toxic Wasteland,Evolution Gate,Mango,Back to the bridge,use,Cactus,3,,,,,,,,,,,,,,,,,,,,,,,,,,,New Breed,,,
VIP,5,7,,Easy,Pirate Bay,River,Pirate Bay,Pirate Bay,Samatha,,talk,Samatha,1,,,,,,,,TRUE,Minor Shock Blow,,3,,,,,,,,,,,,,,,,Harbor Side Quests,,,
Pheromones,10,12,,Hard,Evolution Gate,Bungle,Evolution Gate,Evolution Gate,Bungle,,eliminate,Cellar Ant,1,,,,,,,,,Big Flame Thrower,,3,,,,,,,,,,,,,,,,High-Value Targets,,,
,,,,,,,,,,,use,Burning Ant Egg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dia de los Muertos,11,13,,Hard,Evolution Gate,Gatekeeper,Toxic Wasteland,Evolution Gate,Gatekeeper,,eliminate,Calavera Ant,1,,,,,,,,,,,,,,,,,,,,,,,,,,,High-Value Targets,,,
,,,,,,,,,,,eliminate,Hermit Manny,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,loot,Ant Egg,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scissor Sisters,5,7,,Medium,Refugee Camp,Ron,Pearl Beach,Refugee Camp,Ron,,eliminate,Mudcrab,4,,,TRUE,120,24,,,TRUE,,,,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
Rescue Pink,1,3,,Medium,Pearl Beach,Ned,Palm Beach,Palm Beach,Dave,Beachcombers,talk,Pink,1,,,,,,,,TRUE,"Bandage, rank 1",,2,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
Work Gang,1,3,,Easy,Refugee Camp,,Pearl Beach,Pearl Beach,,Rescue Pink,talk,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Beach Party,,,
,,,,,,,,,,,talk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploitation,5,7,,Medium,Refugee Camp,Ron,Pearl Station,Refugee Camp,Ron,Beach Party,use,Gate Switch,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Beach Party,,,
,,,,,,,,,,,eliminate,Security Recruit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,eliminate,Labycore Officer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysterious Hatch,1,3,,Medium,Pearl Station,Tim,Pearl Station,Pearl Station,Tim,,talk,Hoagie,1,,,,,,,,TRUE,Small Bazooka,,2,,,,,,,,,,,,,,,,Beach Party,,,
,,,,,,,,,,,eliminate,Tankinator,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Have No Rights,5,7,,Medium,Refugee Camp,Ron,Palm Beach,Refugee Camp,Ron,Exploitation,eliminate,Labycore Officer,4,,,,,,,,TRUE,,,3,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
,,,,,,,,,,,eliminate,Brutal Trooper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unhappy Campers,2,4,,Easy,Refugee Camp,Romero,Needlewood,Pulpy Way,Lloyd Brown,Defend the Camp,eliminate,Tazerbot,3,,,,,,,,TRUE,Small Grenade,,2,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
Sunny Side Up,4,6,,Medium,Palm Beach,Nolan West,Palm Beach,Palm Beach,Nolan West,,loot,MudCrab Egg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm Beach Trouble,,,
Defend the Camp,2,4,,Medium,Refugee Camp,Romero,Refugee Camp,Refugee Camp,Romero,Talk to Romero,loot,Gunbox,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
Activate my weapons,4,6,,Medium,Pearl Beach,D.E.F.O.E. Model 1719,Palm Beach,Pearl Beach,D.E.F.O.E. Model 1719,,loot,Key Card,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
,,,,,,,,,,,loot,Data disc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beachcombers,1,4,,Medium,Pearl Beach,Ron,Pearl Beach,Pearl Beach,Ned,Meet the Crew,talk,Ned,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
Talk to Romero,1,3,,Easy,Palm Beach,Dave,Refugee Camp,Refugee Camp,Romero,You Have No Rights,talk,Romero,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
Meet the Crew,1,3,,Easy,Pearl Beach,Ron,Pearl Beach,Pearl Beach,Ron,Scissor Sisters,talk,Tom Thanks,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Fresh Off The Boat,,,
,,,,,,,,,,,talk,Roland Chuck,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Metal,3,3,,Easy,Needlewood,,Needlewood,Pulpy Way,Lloyd Brown,,loot,Package,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Networking,,,
Friendly Beating,12,13,,Medium,The Pit,Clark,The Pit,The Pit,Clark,,pvp_kill,,5,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,Daily,Power Cells,1,
Friendly Bloodsport,17,18,,Medium,Alloy Plaza,Holbrook,Alloy Plaza,Alloy Plaza,Holbrook,,pvp_kill,,7,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,Daily,Power Cells,1,
Friendly Massacre,27,28,,Medium,Maze Pit,Foote,Maze Pit,Maze Pit,Foote,,pvp_kill,,10,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,Daily,Power Cells,1,
Underground Sciense,28,30,,Hard,The Road,Glenn,The Road,The Road,Glenn,Where did it all start,eliminate,Brains,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Undead,,,
Lost & Found,28,30,,Medium,New Naples Street,Mum in distress,New Naples Street,New Naples Street,Mum in distress,Head on your sholders,loot,Goods,4,Undead Labycore,,,,,,,,,,,,,,,,,,,,,,,,,,Lost & Found,,,
Bar Amsterdam,28,30,,Medium,New Naples Street,Rose,New Naples Street,New Naples Street,Rose,Lost & Found,eliminate,Zombie Dancer,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Lost & Found,,,
,,,,,,,,,,,eliminate,Zombie Striper,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSION: Get a Weapon,1,1,TRUE,Easy,Northern Harbor,Michaela,Northern Harbor,Northern Harbor,Eric,,loot,Rusty Iron Pipe,1,,,TRUE,10,,,Bodyguard,,,,,,,,,,,,,,,,,,,,Northern Harbour,Bolts,75,
,,,,,,,,,,,eliminate,Filthy Zombie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immigration Office,1,2,,Medium,Northern Harbor,Eric,Northern Harbor,Northern Harbor,Eric,Ghost In The Fog,loot,Package,3,,,,,,,,,,,,Casual Blue Vest,,Blue Denim Vest,,Blue Denim Vest,,,,,,,,,,,Northern Harbour,,,
,,,,,,,,,,,loot,Goods,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boosting Damage,1,1,,Medium,Northern Harbor,Eric,Northern Harbor,Northern Harbor,Pablo,MISSION: Get a Weapon,talk,Pablo,1,,,true,10,15,,,,,,,Plans: 50 x Modified Haft,,Plans: 50 x Super Bullet,,Plans: 50 x Super Bullet,,,,,,,,,,,Northern Harbour,,,
,,,,,,,,,,MISSION: To The Camp!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,MISSION: Clear The Path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
