Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,ShopRecommend,Tier,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,PostToSocialNetworks,Icon
Brimstone,Brimmed Hat,Small,30,Uncommon,,TRUE,of the Painmaker,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_3.png,graphics/3d/hats/textures/hat_brimmed_a_3.png,,
Grim Brim,Brimmed Hat,Small,30,Uncommon,,TRUE,of the Predator,,,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_army_skin_m.png,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_army_skin_f.png,graphics/3d/hats/hats.SUP,hat_constructionhelmet001,graphics/3d/hats/female_hats.SUP,hat_constructionhelmet001,graphics/3d/hats/textures/hat_constructionhelmet_army.png,graphics/3d/hats/textures/hat_constructionhelmet_army.png,,
Clunky Helmet,Helmet,Small,5,Rare,TRUE,TRUE,of Health,,,,,graphics/3d/hats/hats.SUP,helmet_botmask,graphics/3d/hats/female_hats.SUP,helmet_botmask,graphics/3d/hats/textures/helmet_botmask.png,graphics/3d/hats/textures/helmet_botmask.png,,
Tin Helmet,Helmet,Small,8,Rare,TRUE,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_cyborg,graphics/3d/hats/female_hats.SUP,helmet_cyborg,graphics/3d/hats/textures/helmet_cyborg.png,graphics/3d/hats/textures/helmet_cyborg.png,,
Mod Helmet,Helmet,Small,11,Rare,TRUE,TRUE,of Rationality,,,,,graphics/3d/hats/hats.SUP,helmet_droid,graphics/3d/hats/female_hats.SUP,helmet_droid,graphics/3d/hats/textures/helmet_droid.png,graphics/3d/hats/textures/helmet_droid.png,,
Anti-riot Helmet,Helmet,Small,14,Rare,TRUE,TRUE,of Intuition,,,,,graphics/3d/hats/hats.SUP,helmet_gasmask,graphics/3d/hats/female_hats.SUP,helmet_gasmask,graphics/3d/hats/textures/helmet_gasmask.png,graphics/3d/hats/textures/helmet_gasmask.png,,
Stakeout Helmet,Helmet,Small,17,Rare,TRUE,TRUE,of the Legend,,,,,graphics/3d/hats/hats.SUP,helmet_grandvisor,graphics/3d/hats/female_hats.SUP,helmet_grandvisor,graphics/3d/hats/textures/helmet_grandvisor.png,graphics/3d/hats/textures/helmet_grandvisor.png,,
Rat Pack Helmet,Helmet,Small,20,Rare,TRUE,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_multieye,graphics/3d/hats/female_hats.SUP,helmet_multieye,graphics/3d/hats/textures/helmet_multieye.png,graphics/3d/hats/textures/helmet_multieye.png,,
Demo Helmet,Helmet,Small,23,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/hats/hats.SUP,helmet_pilot,graphics/3d/hats/female_hats.SUP,helmet_pilot,graphics/3d/hats/textures/helmet_pilot.png,graphics/3d/hats/textures/helmet_pilot.png,,
Claustro Helment,Helmet,Small,26,Rare,TRUE,TRUE,of the Legend,,,,,graphics/3d/hats/hats.SUP,helmet_predator,graphics/3d/hats/female_hats.SUP,helmet_predator,graphics/3d/hats/textures/helmet_predator.png,graphics/3d/hats/textures/helmet_predator.png,,
Aggro Helmet,Helmet,Small,29,Rare,TRUE,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_spy,graphics/3d/hats/female_hats.SUP,helmet_spy,graphics/3d/hats/textures/helmet_spy.png,graphics/3d/hats/textures/helmet_spy.png,,
Motorhead,Helmet,Small,30,Rare,TRUE,TRUE,of the Hunter,,,,,graphics/3d/hats/hats.SUP,helmet_wings,graphics/3d/hats/female_hats.SUP,helmet_wings,graphics/3d/hats/textures/helmet_wings.png,graphics/3d/hats/textures/helmet_wings.png,,
Lo-fi Cans,Helmet,Small,4,Epic,TRUE,TRUE,of the Troublemaker,,,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_police_skin_m.png,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_police_skin_f.png,graphics/3d/hats/hats.SUP,hat_constructionhelmet001,graphics/3d/hats/female_hats.SUP,hat_constructionhelmet001,graphics/3d/hats/textures/hat_constructionhelmet_police.png,graphics/3d/hats/textures/hat_constructionhelmet_police.png,,
Hi-fi Cans,Headgear,Small,6,Epic,TRUE,TRUE,of the Assassin,,,,,graphics/3d/hats/hats.SUP,helmet_cyborg,graphics/3d/hats/female_hats.SUP,helmet_cyborg,graphics/3d/hats/textures/helmet_cyborg.png,graphics/3d/hats/textures/helmet_cyborg.png,,
Fancy Headset,Headgear,Small,8,Epic,TRUE,TRUE,of Capacity,,,,,graphics/3d/hats/hats.SUP,helmet_droid,graphics/3d/hats/female_hats.SUP,helmet_droid,graphics/3d/hats/textures/helmet_droid.png,graphics/3d/hats/textures/helmet_droid.png,,
Modded Headset,Headgear,Small,10,Epic,TRUE,TRUE,of Rationality,,,,,graphics/3d/hats/hats.SUP,helmet_gasmask,graphics/3d/hats/female_hats.SUP,helmet_gasmask,graphics/3d/hats/textures/helmet_gasmask.png,graphics/3d/hats/textures/helmet_gasmask.png,,
Private Audio Club,Headgear,Small,12,Epic,TRUE,TRUE,of the Painmaker,,,,,graphics/3d/hats/hats.SUP,helmet_grandvisor,graphics/3d/hats/female_hats.SUP,helmet_grandvisor,graphics/3d/hats/textures/helmet_grandvisor.png,graphics/3d/hats/textures/helmet_grandvisor.png,,
Street Audio Club,Headgear,Small,14,Epic,TRUE,TRUE,of the Predator,,,,,graphics/3d/hats/hats.SUP,helmet_multieye,graphics/3d/hats/female_hats.SUP,helmet_multieye,graphics/3d/hats/textures/helmet_multieye.png,graphics/3d/hats/textures/helmet_multieye.png,,
World Audio Club,Headgear,Small,15,Epic,,TRUE,of Rationality,,,,,graphics/3d/hats/hats.SUP,helmet_pilot,graphics/3d/hats/female_hats.SUP,helmet_pilot,graphics/3d/hats/textures/helmet_pilot.png,graphics/3d/hats/textures/helmet_pilot.png,,
Ear Implant Stabilizers,Headgear,Small,16,Epic,TRUE,TRUE,of the Painmaker,,,,,graphics/3d/hats/hats.SUP,helmet_predator,graphics/3d/hats/female_hats.SUP,helmet_predator,graphics/3d/hats/textures/helmet_predator.png,graphics/3d/hats/textures/helmet_predator.png,,
Bullhide Hat,Cowboy Hat,Small,18,Epic,TRUE,TRUE,of the Predator,,,,,graphics/3d/hats/hats.SUP,helmet_spy,graphics/3d/hats/female_hats.SUP,helmet_spy,graphics/3d/hats/textures/helmet_spy.png,graphics/3d/hats/textures/helmet_spy.png,,
Stakeout Hat,Cowboy Hat,Small,20,Epic,TRUE,TRUE,of Health,,,,,graphics/3d/hats/hats.SUP,helmet_wings,graphics/3d/hats/female_hats.SUP,helmet_wings,graphics/3d/hats/textures/helmet_wings.png,graphics/3d/hats/textures/helmet_wings.png,,
Mad Hat,Cowboy Hat,Small,22,Epic,TRUE,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,headset,graphics/3d/hats/female_hats.SUP,headset,graphics/3d/hats/textures/headset_2.png,graphics/3d/hats/textures/headset_2.png,,
Class Hat,Cowboy Hat,Small,24,Epic,TRUE,TRUE,of Rationality,,,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_army_skin_m.png,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_army_skin_f.png,graphics/3d/hats/hats.SUP,hat_constructionhelmet001,graphics/3d/hats/female_hats.SUP,hat_constructionhelmet001,graphics/3d/hats/textures/hat_constructionhelmet_police.png,graphics/3d/hats/textures/hat_constructionhelmet_police.png,,
Awesome Hat,Cowboy Hat,Small,26,Epic,TRUE,TRUE,of Intuition,,,,,graphics/3d/hats/hats.SUP,headset,graphics/3d/hats/female_hats.SUP,headset,graphics/3d/hats/textures/headset_2.png,graphics/3d/hats/textures/headset_2.png,,
Orbital Hat,Cowboy Hat,Small,28,Epic,TRUE,TRUE,of the Legend,,,,,graphics/3d/hats/hats.SUP,headset,graphics/3d/hats/female_hats.SUP,headset,graphics/3d/hats/textures/headset_2.png,graphics/3d/hats/textures/headset_2.png,,
Holo Hat,Cowboy Hat,Small,30,Epic,TRUE,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_multieye,graphics/3d/hats/female_hats.SUP,helmet_multieye,graphics/3d/hats/textures/helmet_multieye.png,graphics/3d/hats/textures/helmet_multieye.png,,
Hat Titude,Cowboy Hat,Small,30,Epic,,TRUE,of the Scientist,,,,,graphics/3d/hats/hats.SUP,helmet_pilot,graphics/3d/hats/female_hats.SUP,helmet_pilot,graphics/3d/hats/textures/helmet_pilot.png,graphics/3d/hats/textures/helmet_pilot.png,,
Dusty Cap,Cap,Small,5,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_3.png,graphics/3d/hats/textures/hat_cap_b_3.png,,
Desert Cap,Cap,Small,10,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_3.png,graphics/3d/hats/textures/hat_cap_b_3.png,,
Dune Cap,Cap,Small,14,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_3.png,graphics/3d/hats/textures/hat_cap_b_3.png,,
Faithful Cap,Cap,Small,19,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_3.png,graphics/3d/hats/textures/hat_cap_b_3.png,,
Brand New Cap,Cap,Small,23,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_3.png,graphics/3d/hats/textures/hat_cap_b_3.png,,
Quality Cap,Cap,Small,27,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_3_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_3.png,graphics/3d/hats/textures/hat_cap_b_3.png,,
Oil-Drenched Mask,Mask,Small,6,Uncommon,,TRUE,of the Hunter,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Stained Mask,Mask,Small,8,Uncommon,,TRUE,of the Troublemaker,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Black Wood Mask,Mask,Small,12,Uncommon,,TRUE,of the Assassin,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Dark Mask,Mask,Small,17,Uncommon,,TRUE,of Capacity,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Tailormade Mask,Mask,Small,21,Uncommon,,TRUE,of Rationality,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Skull Face,Mask,Small,23,Uncommon,,TRUE,of the Painmaker,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Monster Face,Mask,Small,25,Uncommon,,TRUE,of the Predator,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Hypno Face,Mask,Small,28,Uncommon,,TRUE,of Rationality,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Dramatic Mask,Mask,Small,30,Uncommon,,TRUE,of the Painmaker,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Holo Mask,Mask,Small,30,Uncommon,,TRUE,of the Predator,,,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull.png,graphics/3d/hats/on_skin_textures/voodoo_mask_black_skull_female.png,,,,,,,,
Third Class Helmet,Helmet,Small,5,Rare,,TRUE,of Health,,,,,graphics/3d/hats/hats.SUP,helmet_botmask,graphics/3d/hats/female_hats.SUP,helmet_botmask,graphics/3d/hats/textures/helmet_botmask.png,graphics/3d/hats/textures/helmet_botmask.png,,
Second Class Helmet,Helmet,Small,8,Rare,,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_cyborg,graphics/3d/hats/female_hats.SUP,helmet_cyborg,graphics/3d/hats/textures/helmet_cyborg.png,graphics/3d/hats/textures/helmet_cyborg.png,,
Surgeon's Headwear,Helmet,Small,11,Rare,,TRUE,of Rationality,,,,,graphics/3d/hats/hats.SUP,helmet_droid,graphics/3d/hats/female_hats.SUP,helmet_droid,graphics/3d/hats/textures/helmet_droid.png,graphics/3d/hats/textures/helmet_droid.png,,
Elite Class Helmet,Helmet,Small,14,Rare,,TRUE,of Intuition,,,,,graphics/3d/hats/hats.SUP,helmet_gasmask,graphics/3d/hats/female_hats.SUP,helmet_gasmask,graphics/3d/hats/textures/helmet_gasmask.png,graphics/3d/hats/textures/helmet_gasmask.png,,
Titanium Class Helmet,Helmet,Small,17,Rare,,TRUE,of the Legend,,,,,graphics/3d/hats/hats.SUP,helmet_grandvisor,graphics/3d/hats/female_hats.SUP,helmet_grandvisor,graphics/3d/hats/textures/helmet_grandvisor.png,graphics/3d/hats/textures/helmet_grandvisor.png,,
Nanotube Helmet,Helmet,Small,20,Rare,,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_multieye,graphics/3d/hats/female_hats.SUP,helmet_multieye,graphics/3d/hats/textures/helmet_multieye.png,graphics/3d/hats/textures/helmet_multieye.png,,
Rain Catcher,Helmet,Small,23,Rare,,TRUE,of the Scientist,,,,,graphics/3d/hats/hats.SUP,helmet_pilot,graphics/3d/hats/female_hats.SUP,helmet_pilot,graphics/3d/hats/textures/helmet_pilot.png,graphics/3d/hats/textures/helmet_pilot.png,,
Wind Breaker,Helmet,Small,26,Rare,,TRUE,of the Legend,,,,,graphics/3d/hats/hats.SUP,helmet_predator,graphics/3d/hats/female_hats.SUP,helmet_predator,graphics/3d/hats/textures/helmet_predator.png,graphics/3d/hats/textures/helmet_predator.png,,
Sun Blocker,Helmet,Small,29,Rare,,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_spy,graphics/3d/hats/female_hats.SUP,helmet_spy,graphics/3d/hats/textures/helmet_spy.png,graphics/3d/hats/textures/helmet_spy.png,,
The Bucket,Helmet,Small,30,Rare,,TRUE,of the Hunter,,,,,graphics/3d/hats/hats.SUP,helmet_wings,graphics/3d/hats/female_hats.SUP,helmet_wings,graphics/3d/hats/textures/helmet_wings.png,graphics/3d/hats/textures/helmet_wings.png,,
Duct Face,Headgear,Small,4,Epic,,TRUE,of the Troublemaker,,,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_police_skin_m.png,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_police_skin_f.png,graphics/3d/hats/hats.SUP,hat_constructionhelmet001,graphics/3d/hats/female_hats.SUP,hat_constructionhelmet001,graphics/3d/hats/textures/hat_constructionhelmet_police.png,graphics/3d/hats/textures/hat_constructionhelmet_police.png,,
Pig Face,Headgear,Small,6,Epic,,TRUE,of the Assassin,,,,,graphics/3d/hats/hats.SUP,helmet_cyborg,graphics/3d/hats/female_hats.SUP,helmet_cyborg,graphics/3d/hats/textures/helmet_cyborg.png,graphics/3d/hats/textures/helmet_cyborg.png,,
Plastic Face,Headgear,Small,8,Epic,,TRUE,of Capacity,,,,,graphics/3d/hats/hats.SUP,helmet_droid,graphics/3d/hats/female_hats.SUP,helmet_droid,graphics/3d/hats/textures/helmet_droid.png,graphics/3d/hats/textures/helmet_droid.png,,
Gimp Face,Headgear,Small,10,Epic,,TRUE,of Rationality,,,,,graphics/3d/hats/hats.SUP,helmet_gasmask,graphics/3d/hats/female_hats.SUP,helmet_gasmask,graphics/3d/hats/textures/helmet_gasmask.png,graphics/3d/hats/textures/helmet_gasmask.png,,
Nasty Face,Headgear,Small,12,Epic,,TRUE,of the Painmaker,,,,,graphics/3d/hats/hats.SUP,helmet_grandvisor,graphics/3d/hats/female_hats.SUP,helmet_grandvisor,graphics/3d/hats/textures/helmet_grandvisor.png,graphics/3d/hats/textures/helmet_grandvisor.png,,
Horror Face,Headgear,Small,14,Epic,,TRUE,of the Predator,,,,,graphics/3d/hats/hats.SUP,helmet_multieye,graphics/3d/hats/female_hats.SUP,helmet_multieye,graphics/3d/hats/textures/helmet_multieye.png,graphics/3d/hats/textures/helmet_multieye.png,,
Terror Face,Headgear,Small,15,Epic,,TRUE,of Rationality,,,,,graphics/3d/hats/hats.SUP,helmet_pilot,graphics/3d/hats/female_hats.SUP,helmet_pilot,graphics/3d/hats/textures/helmet_pilot.png,graphics/3d/hats/textures/helmet_pilot.png,,
Unimaginable Face,Headgear,Small,16,Epic,,TRUE,of the Painmaker,,,,,graphics/3d/hats/hats.SUP,helmet_predator,graphics/3d/hats/female_hats.SUP,helmet_predator,graphics/3d/hats/textures/helmet_predator.png,graphics/3d/hats/textures/helmet_predator.png,,
Fancy Fedora,Cowboy Hat,Small,18,Epic,,TRUE,of the Predator,,,,,graphics/3d/hats/hats.SUP,helmet_spy,graphics/3d/hats/female_hats.SUP,helmet_spy,graphics/3d/hats/textures/helmet_spy.png,graphics/3d/hats/textures/helmet_spy.png,,
Impressive Fedora,Cowboy Hat,Small,20,Epic,,TRUE,of Health,,,,,graphics/3d/hats/hats.SUP,helmet_wings,graphics/3d/hats/female_hats.SUP,helmet_wings,graphics/3d/hats/textures/helmet_wings.png,graphics/3d/hats/textures/helmet_wings.png,,
Legendary Fedora,Cowboy Hat,Small,22,Epic,,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,headset,graphics/3d/hats/female_hats.SUP,headset,graphics/3d/hats/textures/headset_2.png,graphics/3d/hats/textures/headset_2.png,,
Healer's Hat,Cowboy Hat,Small,24,Epic,,TRUE,of Rationality,,,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_army_skin_m.png,graphics/3d/hats/on_skin_textures/hat_constructionhelmet_army_skin_f.png,graphics/3d/hats/hats.SUP,hat_constructionhelmet001,graphics/3d/hats/female_hats.SUP,hat_constructionhelmet001,graphics/3d/hats/textures/hat_constructionhelmet_police.png,graphics/3d/hats/textures/hat_constructionhelmet_police.png,,
Doctor's Hat,Cowboy Hat,Small,26,Epic,,TRUE,of Intuition,,,,,graphics/3d/hats/hats.SUP,headset,graphics/3d/hats/female_hats.SUP,headset,graphics/3d/hats/textures/headset_2.png,graphics/3d/hats/textures/headset_2.png,,
Surgeon's Stetson,Cowboy Hat,Small,28,Epic,,TRUE,of the Legend,,,,,graphics/3d/hats/hats.SUP,headset,graphics/3d/hats/female_hats.SUP,headset,graphics/3d/hats/textures/headset_2.png,graphics/3d/hats/textures/headset_2.png,,
Top Doc,Cowboy Hat,Small,30,Epic,,TRUE,of Brightness,,,,,graphics/3d/hats/hats.SUP,helmet_multieye,graphics/3d/hats/female_hats.SUP,helmet_multieye,graphics/3d/hats/textures/helmet_multieye.png,graphics/3d/hats/textures/helmet_multieye.png,,
Eden Brim,Cowboy Hat,Small,30,Epic,,TRUE,of the Scientist,,,,,graphics/3d/hats/hats.SUP,helmet_pilot,graphics/3d/hats/female_hats.SUP,helmet_pilot,graphics/3d/hats/textures/helmet_pilot.png,graphics/3d/hats/textures/helmet_pilot.png,,
Moldy Cap,Cap,Large,5,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
