Name,Tags,Resource,ExportName,Width,Height,BlocksLineOfSight,FadeToTransparent,Effect,ShadowSize,ShadowBlur,ShadowAlpha,AnimationSound,ActiveEffect,ActiveEffectX,ActiveEffectY,Passable,RespawnDuration
NetFenceCornerDown,net fence,graphics/decos/fences/net_fences.swf,NetFenceCornerDown,1,1,,,,,,,,,,,,
NetFenceCornerLeft,net fence,graphics/decos/fences/net_fences.swf,NetFenceCornerLeft,1,1,,,,,,,,,,,,
NetFenceCornerUp,net fence,graphics/decos/fences/net_fences.swf,NetFenceCornerUp,1,1,,,,,,,,,,,,
NetFenceLong1,net fence,graphics/decos/fences/net_fences.swf,NetFenceLong1,1,2,,,,,,,,,,,,
NetFenceShort,net fence,graphics/decos/fences/net_fences.swf,NetFenceShort,1,1,,,,,,,,,,,,
NetFenceShortCut_1,net fence,graphics/decos/fences/net_fences.swf,NetFenceShortCut_1,1,1,,,,,,,,,,,,
NetFenceShortCut_2,net fence,graphics/decos/fences/net_fences.swf,NetFenceShortCut_2,1,1,,,,,,,,,,,,
WareHouseHighWall,warehouse wall industrial,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouseHighWall,4,1,TRUE,TRUE,,,,,,,,,,
WareHouseLowerWall,warehouse wall industrial,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouseLowerWall,4,1,TRUE,TRUE,,,,,,,,,,
WareHousePilar,warehouse pilar industrial,graphics/decos/interiors_common/interiors_warehouse.swf,WareHousePilar,1,2,TRUE,TRUE,,,,,,,,,,
WareHouse_Inside_Door,warehouse door,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouse_Inside_Door,4,1,TRUE,TRUE,,2,,,,,,,,
WareHouse_Inside_Door_High1,warehouse door,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouse_Inside_Door_High1,4,1,TRUE,TRUE,,2,,,,,,,,
WareHouse_Inside_Door_High2,warehouse door,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouse_Inside_Door_High2,4,1,TRUE,TRUE,,2,,,,,,,,
Warehouse_Pillar_High,warehouse wall,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouse_Pillar_High,1,1,TRUE,TRUE,,2,,,,,,,,
WareHouse_Pillar_Low,warehouse wall,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouse_Pillar_Low,1,1,TRUE,TRUE,,2,,,,,,,,
WareHouseHighWall3,warehouse wall,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouseHighWall3,4,1,TRUE,TRUE,,2,,,,,,,,
WareHouseHighWall4,warehouse wall,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouseHighWall4,4,1,TRUE,TRUE,,2,,,,,,,,
WareHouseLowerWall2,warehouse wall,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouseLowerWall2,4,1,TRUE,TRUE,,2,,,,,,,,
WareHouseLowerWall3,warehouse wall,graphics/decos/interiors_common/interiors_warehouse.swf,WareHouseLowerWall3,4,1,TRUE,TRUE,,2,,,,,,,,
Funeral_Home_01,building funeral,graphics/decos/buildings/funeral_home.swf,Funeral_Home_01,19,9,TRUE,TRUE,,,,,,,,,,
Funeral_Home_03,building funeral,graphics/decos/buildings/funeral_home.swf,Funeral_Home_03,9,6,TRUE,TRUE,,,,,,,,,,
Funeral_Home_Table_01,funeral,graphics/decos/funeral_home_indoors/funeral_home_int_04.swf,Funeral_Home_Table_01,1,3,,,,,,,,,,,,
SafeBelt,,graphics/decos/street/street_assets01.swf,safeBelt,1,1,,,,,,,,,,,,
bus_stop_front_back,bus stop street,graphics/decos/street/bus_stop.swf,bus_stop_front_back,1,3,true,true,,-1,15,,,,,,,
bus_stop_front_seat,bus stop street,graphics/decos/street/bus_stop.swf,bus_stop_front_seat,2,,true,true,,-1,6,,,,,,,
BusStop1,bus stop street UPDATE,graphics/decos/street/street_common1.swf,BusStop1,2,4,TRUE,TRUE,,,,,,,,,,
BusStop1Back,bus stop street UPDATE,graphics/decos/street/street_common1.swf,BusStop1Back,4,2,TRUE,TRUE,,,,,,,,,,
FirePost,,graphics/decos/street/street_common1.swf,FirePost,1,1,,,,,,,,,,,,
OldStreetLamp1,lamp light street,graphics/decos/street/lamps_lights.swf,OldStreetLamp1,1,1,,,,,,,,,,,,
OldStreetLamp2,lamp light street,graphics/decos/street/lamps_lights.swf,OldStreetLamp2,1,1,,,,,,,,,,,,
RoadBlockAndLights,road block light,graphics/decos/street/street_common1.swf,RoadBlockAndLights,1,3,,,,,,,,,,,,
RoadBlockAndSign,road block sign,graphics/decos/street/street_common1.swf,RoadBlockAndSign,1,2,,,,,,,,,,,,
RoadBlockBig,road block,graphics/decos/street/street_common1.swf,RoadBlockBig,1,3,,,,,,,,,,,,
SolarStreetLamp2,lamp light street,graphics/decos/street/lamps_lights.swf,SolarStreetLamp2,1,1,,,,,,,,,,,,
StandardStreetLamp,lamp light street,graphics/decos/street/lamps_lights.swf,StandardStreetLamp,1,1,,,,,,,,,,,,
StandardStreetLamp_off,lamp light street,graphics/decos/street/lamps_lights.swf,StandardStreetLamp_off,1,1,,,,,,,,,,,,
StandardStreetLampBack,lamp light street,graphics/decos/street/lamps_lights.swf,StandardStreetLampBack,1,1,,,,,,,,,,,,
StandardStreetLampBack_off,lamp light street,graphics/decos/street/lamps_lights.swf,StandardStreetLampBack_off,1,1,,,,,,,,,,,,
StreetBench,,graphics/decos/street/street_common1.swf,StreetBench,1,3,,,,,,,,,,,,
StreetBenchBack,,graphics/decos/street/street_common1.swf,StreetBenchBack,3,1,,,,,,,,,,,,
ThrashCan1,,graphics/decos/street/street_common1.swf,ThrashCan1,1,1,,,,,,,,,,,,
ThrashCan2,,graphics/decos/street/street_common1.swf,ThrashCan2,1,1,,,,,,,,,,,,
ThrashCan3,,graphics/decos/street/street_common1.swf,ThrashCan3,1,1,,,,,,,,,,,,
TrafficLights1,lamp light street,graphics/decos/street/lamps_lights.swf,TrafficLights1,1,1,,,,,,,,,,,,
TrafficLights2,lamp light street,graphics/decos/street/lamps_lights.swf,TrafficLights2,1,1,,,,,,,,,,,,
DrugsFactoryBox01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Box_01,1,2,,,,,,,,,,,,
DrugsFactoryBox02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Box_02,1,1,,,,,,,,,,,,
DrugsFactoryBox03,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Box_03,1,1,,,,,,,,,,,,
DrugsFactoryBoxOpen01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Box_Open_01,1,2,,,,1,,,,,,,,
DrugsFactoryBoxOpen02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Box_Open_02,1,1,,,,1,,,,,,,,
DrugsFactoryBoxOpen03,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Box_Open_03,1,1,,,,,,,,,,,,
DrugsFactoryBush02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Bush_02,1,1,,,,,,,,,,,,
DrugsFactoryBush04,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Bush_04,1,1,,,,,,,,,,,,
DrugsFactoryCan01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Can_01,1,1,,,,,,,,,,,,
DrugsFactoryCan02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Can_02,1,1,,,,,,,,,,,,
DrugsFactoryCan03,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Can_03,1,1,,,,,,,,,,,,
DrugsFactoryCan04,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Can_04,1,1,,,,,,,,,,,,
DrugsFactoryCan05,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Can_05,1,1,,,,,,,,,,,,
DrugsFactoryCan06,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Can_06,1,1,,,,,,,,,,,,
DrugsFactoryLight01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Light_01,1,1,,,,,,,,,,,,
DrugsFactoryLight02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Light_02,1,1,,,,,,,,,,,,
DrugsFactoryLight04,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Light_04,1,1,,,,,,,,,,,,
DrugsFactoryPackageStack01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_01,1,2,,,,,,,,,,,,
DrugsFactoryPackageStack02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_02,1,2,,,,,,,,,,,,
DrugsFactoryPackageStack03,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_03,1,2,,,,,,,,,,,,
DrugsFactoryPackageStack05,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_05,1,2,,,,,,,,,,,,
DrugsFactoryPackageStack06,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_06,1,2,,,,,,,,,,,,
DrugsFactoryPackageStack07,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_07,1,2,,,,,,,,,,,,
DrugsFactoryPackageStackSmall01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_Small_01,1,1,,,,,,,,,,,,
DrugsFactoryPackageStackSmall02,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_Small_02,1,1,,,,,,,,,,,,
DrugsFactoryPackageStackSmall03,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_Small_03,1,1,,,,,,,,,,,,
DrugsFactoryPackageStackSmall04,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Package_Stack_Small_04,1,1,,,,,,,,,,,,
DrugsFactoryPot01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Pot_01,1,1,,,,,,,,,,,,
DrugsFactoryTable01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Table_01,1,2,,,,,,,,,,,,
DrugsFactoryTable03,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Table_03,1,2,,,,,,,,,,,,
DrugsFactoryTable04,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Table_04,1,2,,,,,,,,,,,,
DrugsFactoryTable05,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Table_05,1,2,,,,,,,,,,,,
DrugsFactoryTable06,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_Table_06,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems01,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_01,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems04,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_04,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems05,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_05,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems06,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_06,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems07,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_07,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems08,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_08,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems09,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_09,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems10,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_10,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems11,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_11,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems12,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_12,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems13,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_13,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems14,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_14,1,2,,,,,,,,,,,,
DrugsFactoryTableWithItems15,Druglab,graphics/decos/druglab/drugs_factory_objects_v01.swf,Drugs_Factory_TableWithItems_15,1,2,,,,,,,,,,,,
Rock1,nature rock stone,graphics/decos/rocks/rocks1.swf,rock1,2,3,TRUE,,,2,8,,,,,,,
Rock2,nature rock stone,graphics/decos/rocks/rocks1.swf,rock2,2,3,TRUE,,,1,4,,,,,,,
Stones1,nature rock stone,graphics/decos/rocks/rocks1.swf,stones1,2,2,,,,1,8,,,,,,,
Stones2,nature rock stone,graphics/decos/rocks/rocks1.swf,stones2,2,2,,,,,5,,,,,,,
spruce1,tree spruce,graphics/decos/trees/spruces.swf,spruce1,3,3,TRUE,TRUE,,,,,,,,,,
spruce2,tree spruce,graphics/decos/trees/spruces.swf,spruce2,3,3,TRUE,TRUE,,,,,,,,,,
popple1,tree popple,graphics/decos/trees/popples.swf,popple1,3,3,TRUE,TRUE,,5,21,,,,,,,
popple2,tree popple,graphics/decos/trees/popples.swf,popple2,3,3,TRUE,TRUE,,4,20,,,,,,,
maple1,tree maple,graphics/decos/trees/maples.swf,maple1,3,3,TRUE,TRUE,,8,31,,,,,,,
log1,nature log,graphics/decos/nature_misc/logs.swf,log1,6,1,,,,3,9,,,,,,,
log2,nature log,graphics/decos/nature_misc/logs.swf,log2,6,1,,,,2,9,,,,,,,
warehouse_small1,warehouse building,graphics/decos/buildings/warehouse1.swf,warehouse_small1,11,11,TRUE,TRUE,,15,10,,,,,,,
warehouse_small2,warehouse building,graphics/decos/buildings/warehouse1.swf,warehouse_small2,11,6,TRUE,TRUE,,15,10,,,,,,,
warehouse_small3,warehouse building,graphics/decos/buildings/warehouse1.swf,warehouse_small3,11,6,TRUE,TRUE,,15,10,,,,,,,
warehouse_big1,warehouse building,graphics/decos/buildings/warehouse1.swf,warehouse_big1,21,11,TRUE,TRUE,,19,14,,,,,,,
warehouse_small4,warehouse building,graphics/decos/buildings/warehouse1.swf,warehouse_small4,11,6,TRUE,TRUE,,15,10,,,,,,,
warehouse_small5,warehouse building,graphics/decos/buildings/warehouse1.swf,warehouse_small5,11,6,TRUE,TRUE,,15,19,,,,,,,
garage_small1,garage building warehouse,graphics/decos/buildings/garage.swf,garage_small1,10,10,TRUE,TRUE,,15,10,,,,,,,
garage_small2,garage building warehouse,graphics/decos/buildings/garage.swf,garage_small2,10,7,TRUE,TRUE,,15,10,,,,,,,
garage_small3,garage building warehouse,graphics/decos/buildings/garage.swf,garage_small3,10,5,TRUE,TRUE,,15,10,,,,,,,
garage_small4,garage building warehouse,graphics/decos/buildings/garage.swf,garage_small4,10,10,TRUE,TRUE,,15,10,,,,,,,
garage_small6,garage building warehouse,graphics/decos/buildings/garage.swf,garage_small6,7,4,TRUE,TRUE,,15,10,,,,,,,
building_angular1,building industrial warzone,graphics/decos/buildings_modern/angular_damaged.swf,building_angular1,11,11,TRUE,TRUE,,15,10,,,,,,,
building_angular2,building industrial warzone,graphics/decos/buildings_modern/angular_damaged.swf,building_angular2,11,11,TRUE,TRUE,,15,10,,,,,,,
car_minivan,car vehicle van,graphics/decos/cars/cars1.swf,car_minivan,5,3,TRUE,TRUE,,2,1,,,,,,,
car_taxi,car vehicle taxi,graphics/decos/cars/cars_taxi.swf,car_taxi,4,3,TRUE,TRUE,,1,1,,,,,,,
car_taxi2,vehicle car taxi,graphics/decos/cars/cars_taxi.swf,car_taxi2,3,4,TRUE,TRUE,,-2,1,,,,,,,
car_minivan_1,car,graphics/decos/cars/cars1.swf,car_minivan_1,5,3,TRUE,TRUE,,1,2,,,,,,,
car_minivan_1_back,car,graphics/decos/cars/cars1.swf,car_minivan_1_back,3,5,TRUE,TRUE,,1,2,,,,,,,
car_pickup_1,car,graphics/decos/cars/cars1.swf,car_pickup_1,6,3,TRUE,TRUE,,1,2,,,,,,,
car_pickup_1_back,car,graphics/decos/cars/cars1.swf,car_pickup_1_back,3,6,TRUE,TRUE,,1,2,,,,,,,
car_sedan_1,car,graphics/decos/cars/cars1.swf,car_sedan_1,6,3,TRUE,TRUE,,1,2,,,,,,,
car_sedan_1_back,car,graphics/decos/cars/cars1.swf,car_sedan_1_back,3,6,TRUE,TRUE,,1,2,,,,,,,
car_smallcar_1,car,graphics/decos/cars/cars1.swf,car_smallcar_1,4,2,TRUE,TRUE,,1,2,,,,,,,
car_smallcar_1_back,car,graphics/decos/cars/cars1.swf,car_smallcar_1_back,2,4,TRUE,TRUE,,1,2,,,,,,,
car_suv_1,car,graphics/decos/cars/cars1.swf,car_suv_1,6,3,TRUE,TRUE,,1,2,,,,,,,
car_suv_1_back,car,graphics/decos/cars/cars1.swf,car_suv_1_back,3,6,TRUE,TRUE,,1,2,,,,,,,
car_van_1,car,graphics/decos/cars/cars1.swf,car_van_1,6,3,TRUE,TRUE,,1,2,,,,,,,
car_van_1_back,car,graphics/decos/cars/cars1.swf,car_van_1_back,3,6,TRUE,TRUE,,1,2,,,,,,,
ambulance_front,car ambulance,graphics/decos/cars/cars_ambulance.swf,ambulance_front,6,3,TRUE,TRUE,,1,2,,,,,,,
ambulance_front_open,car ambulance,graphics/decos/cars/cars_ambulance.swf,ambulance_front_open,6,3,TRUE,TRUE,,1,2,,,,,,,
ambulance_back,car ambulance,graphics/decos/cars/cars_ambulance.swf,ambulance_back,3,6,TRUE,TRUE,,1,2,,,,,,,
ambulance_back_open,car ambulance,graphics/decos/cars/cars_ambulance.swf,ambulance_back_open,3,6,TRUE,TRUE,,1,2,,,,,,,
car_labycore1,car labycore,graphics/decos/cars/cars_labycore.swf,car_labycore1,6,3,TRUE,TRUE,,1,2,,,,,,,
car_labycore1_open,car labycore,graphics/decos/cars/cars_labycore.swf,car_labycore1_open,6,3,TRUE,TRUE,,1,2,,,,,,,
car_labycore1_back,car labycore,graphics/decos/cars/cars_labycore.swf,car_labycore1_back,3,6,TRUE,TRUE,,1,2,,,,,,,
car_labycore1_back_open,car labycore,graphics/decos/cars/cars_labycore.swf,car_labycore1_back_open,3,6,TRUE,TRUE,,1,2,,,,,,,
car_labycore_burnt1,car labycore,graphics/decos/cars/cars_labycore_destroyed.swf,car_labycore_burnt1,6,3,TRUE,TRUE,,1,2,,,,,,,
car_labycore_burnt2,car labycore,graphics/decos/cars/cars_labycore_destroyed.swf,car_labycore_burnt2,3,6,TRUE,TRUE,,1,2,,,,,,,
jeep_01_back,jeep car,graphics/decos/cars/cars_jeep.swf,jeep_01_back,3,6,true,true,,,,,,,,,,
jeep_01_front,jeep car,graphics/decos/cars/cars_jeep.swf,jeep_01_front,6,3,true,true,,,,,,,,,,
truck,car,graphics/decos/cars/cars_truck1.swf,truck,3,10,true,true,,,,,,,,,,
hovercar_mobster_back,hovercar gangster,graphics/decos/cars/hovercar_mobster.swf,hovercar_mobster_back,4,7,TRUE,TRUE,,-5,3,,,,,,,
hovercar_cruiser_back,hovercar gangster,graphics/decos/cars/hovercar_cruiser.swf,hovercar_cruiser_back,3,7,TRUE,TRUE,,-3,3,,,,,,,
Stripclub_Bar_Cabinet,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Bar_Cabinet,1,3,TRUE,,,3,1,,,,,,,
Stripclub_Bar_Cabinet_wDoors,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Bar_Cabinet_wDoors,1,3,TRUE,,,4,2,,,,,,,
Stripclub_Bar_Counter_02,furniture bar UPDATE,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Bar_Counter_02,1,6,,,,3,,,,,,,,
Stripclub_Bar_Counter_03,furniture bar UPDATE,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Bar_Counter_03,3,6,,,,1,,,,,,,,
Stripclub_Bar_Counter_04,furniture bar UPDATE,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Bar_Counter_04,1,8,,,,2,,,,,,,,
Stripclub__0020_Bar_Counter_Corner_02,furniture bar UPDATE,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub__0020_Bar_Counter_Corner_02,2,2,,,,1,,,,,,,,
Stripclub__0002_Bar_Counter_Straight_01.png.png,furniture bar UPDATE,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub__0002_Bar_Counter_Straight_01.png.png,3,1,,,,1,,,,,,,,
Stripclub__0009_Bar_Counter_Straight_04,furniture bar UPDATE,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub__0009_Bar_Counter_Straight_04,1,1,,,,1,,,,,,,,
Stripclub_Bar_Stool,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Bar_Stool,1,1,,,,0,0,,,,,,,
Stripclub_Coat_Rack,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Coat_Rack,1,3,,,,0,,,,,,,,
Stripclub_Column,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Column,1,1,,,,,,,,,,,,
Stripclub_Desk,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Desk,1,2,,,,2,,,,,,,,
Stripclub_Fence_Pole_1,bar fence,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Fence_Pole_1,1,1,,,,-2,,,,,,,,
Stripclub_Fence_Pole_2,bar fence,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Fence_Pole_2,1,1,,,,-2,,,,,,,,
Stripclub_Plant_1,plant,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Plant_1,1,1,,,,0,,,,,,,,
Stripclub_Plant_2,plant,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Plant_2,1,1,,,,,,,,,,,,
Stripclub_Sofa_1,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_1,1,4,true,,,2,0,,,,,,,
Stripclub_Sofa_2,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_2,4,1,true,,,2,,,,,,,,
Stripclub_Sofa_3,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_3,4,1,true,,,1,,,,,,,,
Stripclub_Sofa_Concave_01,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_Concave_01,3,3,true,,,1,,,,,,,,
Stripclub_Sofa_Concave_02,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_Concave_02,3,3,true,,,1,,,,,,,,
Stripclub_Sofa_Concave_03,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_Concave_03,3,3,true,,,1,,,,,,,,
Stripclub_Sofa_Convex_01,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_Convex_01,3,3,true,,,1,,,,,,,,
Stripclub_Sofa_Convex_02,furniture bar,graphics/decos/strip_club_indoors/stripclub.swf,Stripclub_Sofa_Convex_02,3,3,true,,,1,,,,,,,,
