Name,Item,Ingredient,IngredientCount,Rarity,EnergyCost,CraftTime,LootDisabled,DiamondsOnly,DiamondCostExact,DropSound,LootResource,LootExportName,Icon
Plans: Greater Old Molotov Cocktail,Greater Molotov Cocktail,Part: Glass Bottle,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Sterile Bandage,1,,,,,,,,,,
Plans: Superior Old Molotov Cocktail,Superior Molotov Cocktail,Part: Fancy Bottle,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Nanofiber,1,,,,,,,,,,
Plans: Old Shock Grenade,Shock Grenade,Grenade,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Old Battery,1,,,,,,,,,,
Plans: Big Old Shock Grenade,Big Shock Grenade,Big Grenade,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: C Battery,1,,,,,,,,,,
Plans: Great Old Shock Grenade,Great Shock Grenade,Great Grenade,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Lithium Battery,1,,,,,,,,,,
Plans: Greater Old Shock Grenade,Greater Shock Grenade,Greater Grenade,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Car Battery,1,,,,,,,,,,
Plans: Superior Old Shock Grenade,Superior Shock Grenade,Superior Grenade,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Energy Cell,1,,,,,,,,,,
Plans: Old Shock Blow,Shock Blow,Part: Tin Box,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Old Battery,2,,,,,,,,,,
Plans: Old Major Shock Blow,Major Shock Blow,Part: Iron Box,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: C Battery,2,,,,,,,,,,
Plans: Old Great Shock Blow,Great Shock Blow,Part: Steel Box,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Lithium Battery,2,,,,,,,,,,
Plans: Old Greater Shock Blow,Greater Shock Blow,Part: Alu Case,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Car Battery,2,,,,,,,,,,
Plans: Old Superior Shock Blow,Superior Shock Blow,Part: Shell Casing,1,Uncommon,5,10000,TRUE,,100,LootDefault,graphics/loot/loot_drops.swf,blueprint,14
,,Part: Energy Cell,2,,,,,,,,,,
