Name,Tags,Resource,ExportName,Layer,Effect,BlendMode
asphalt_cracks11,,graphics/ground_decos/ground_patches.swf,asphalt_cracks11,Layout,,overlay
garbage1,,graphics/ground_decos/ground_patches.swf,garbage1,Ground,,
garbage2,,graphics/ground_decos/ground_patches.swf,garbage2,Ground,,
concrete_plant01,,graphics/ground_decos/ground_patches.swf,concrete_plant01,Object,,overlay
concrete_plant02,,graphics/ground_decos/ground_patches.swf,concrete_plant02,Ground,,overlay
concrete_hole,,graphics/ground_decos/ground_patches.swf,concrete_hole,Ground,,overlay
blood_splash01,,graphics/ground_decos/ground_patches.swf,blood_splash01,Ground,,
eroded_asphalt1,,graphics/ground_decos/eroded_asphalt.swf,eroded_asphalt1,Ground,,overlay
eroded_asphalt2,,graphics/ground_decos/eroded_asphalt.swf,eroded_asphalt2,Ground,,overlay
eroded_asphalt3,,graphics/ground_decos/eroded_asphalt.swf,eroded_asphalt3,Ground,,overlay
eroded_asphalt4,,graphics/ground_decos/eroded_asphalt.swf,eroded_asphalt4,,,overlay
brick_ground1,UPDATE,graphics/ground_decos/brick_ground.swf,brick_ground1,Ground,,
brick_ground2,UPDATE,graphics/ground_decos/brick_ground.swf,brick_ground2,Ground,,
brick_ground3,UPDATE,graphics/ground_decos/brick_ground.swf,brick_ground3,Ground,,
brick_ground4,UPDATE,graphics/ground_decos/brick_ground.swf,brick_ground4,Ground,,
streetlines_arrow1,line street arrow,graphics/ground_decos/streetlines.swf,streetlines_arrow1,Layout,,overlay
streetlines_arrow2,line street arrow,graphics/ground_decos/streetlines.swf,streetlines_arrow2,Layout,,overlay
streetlines_arrow_bend1,line street arrow,graphics/ground_decos/streetlines.swf,streetlines_arrow_bend1,Layout,,overlay
streetlines_arrow_bend2,line street arrow,graphics/ground_decos/streetlines.swf,streetlines_arrow_bend2,Layout,,overlay
streetlines_centerline_single1,line street,graphics/ground_decos/streetlines.swf,streetlines_centerline_single1,Layout,,overlay
streetlines_centerline_single2,line street,graphics/ground_decos/streetlines.swf,streetlines_centerline_single2,Layout,,overlay
streetlines_centerline_double1,line street,graphics/ground_decos/streetlines.swf,streetlines_centerline_double1,Layout,,overlay
streetlines_centerline_double2,line street,graphics/ground_decos/streetlines.swf,streetlines_centerline_double2,Layout,,overlay
streetlines_no_parking1,line street parking,graphics/ground_decos/streetlines.swf,streetlines_no_parking1,Layout,,overlay
streetlines_no_parking2,line street parking,graphics/ground_decos/streetlines.swf,streetlines_no_parking2,Layout,,overlay
streetlines_parking_line,line street parking,graphics/ground_decos/streetlines.swf,streetlines_parking_line,Layout,,overlay
streetlines_zebra_crossing,line street,graphics/ground_decos/streetlines.swf,streetlines_zebra_crossing,Layout,,overlay
line_thick_straight,line prison,graphics/decos/prison/prison_generic.swf,line_thick_straight,Layout,,overlay
line_thick_straight_short,line prison,graphics/decos/prison/prison_generic.swf,line_thick_straight_short,Layout,,overlay
line_thick_corner_left,line prison,graphics/decos/prison/prison_generic.swf,line_thick_corner_left,Layout,,overlay
line_thick_corner_front,line prison,graphics/decos/prison/prison_generic.swf,line_thick_corner_front,Layout,,overlay
line_thick_corner_back,line prison,graphics/decos/prison/prison_generic.swf,line_thick_corner_back,Layout,,overlay
battered_in_corner_down,curb street,graphics/decos/curbs/curbs1.swf,battered_in_corner_down,Layout,,
battered_in_corner_left,curb street,graphics/decos/curbs/curbs1.swf,battered_in_corner_left,Layout,,
battered_in_corner_up,curb street,graphics/decos/curbs/curbs1.swf,battered_in_corner_up,Layout,,
battered_long_back1,curb street,graphics/decos/curbs/curbs1.swf,battered_long_back1,Layout,,
battered_long_back2,curb street,graphics/decos/curbs/curbs1.swf,battered_long_back2,Layout,,
battered_long_front1,curb street,graphics/decos/curbs/curbs1.swf,battered_long_front1,Layout,,
battered_long_front2,curb street,graphics/decos/curbs/curbs1.swf,battered_long_front2,Layout,,
battered_out_corner_down,curb street,graphics/decos/curbs/curbs1.swf,battered_out_corner_down,Layout,,
battered_out_corner_right,curb street,graphics/decos/curbs/curbs1.swf,battered_out_corner_right,Layout,,
battered_out_corner_up,curb street,graphics/decos/curbs/curbs1.swf,battered_out_corner_up,Layout,,
battered_straight_back1,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_back1,Layout,,
battered_straight_back2,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_back2,Layout,,
battered_straight_back3,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_back3,Layout,,
battered_straight_back4,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_back4,Layout,,
battered_straight_front1,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_front1,Layout,,
battered_straight_front2,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_front2,Layout,,
battered_straight_front3,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_front3,Layout,,
battered_straight_front4,curb street,graphics/decos/curbs/curbs1.swf,battered_straight_front4,Layout,,
pier_edge_back_top_corner,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_back_top_corner,Layout,,
pier_edge_corner_front,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_corner_front,Layout,,
pier_edge_corner_in_front,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_corner_in_front,Layout,,
pier_edge_corner_in_left,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_corner_in_left,Layout,,
pier_edge_corner_in_up,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_corner_in_up,Layout,,
pier_edge_corner_right,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_corner_right,Layout,,
pier_edge_straight_1,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_1,Layout,,
pier_edge_straight_2,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_2,Layout,,
pier_edge_straight_3,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_3,Layout,,
pier_edge_straight_4,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_4,Layout,,
pier_edge_straight_back,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_back,Layout,,
pier_edge_straight_back_long,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_back_long,Layout,,
pier_edge_straight_long1,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_long1,Layout,,
pier_edge_straight_long2,pier edge harbor,graphics/decos/curbs/curbs1.swf,pier_edge_straight_long2,Layout,,
battered_long_front2_light,curb street,graphics/decos/curbs/curbs1.swf,battered_long_front2,Layout,,
greyorange_straight_front1,curb street,graphics/decos/curbs/curbs1.swf,greyorange_straight_front1,Layout,,
greyorange_straight_front2,curb street,graphics/decos/curbs/curbs1.swf,greyorange_straight_front2,Layout,,
greyorange_straight_back1,curb street,graphics/decos/curbs/curbs1.swf,greyorange_straight_back1,Layout,,
greyorange_straight_back2,curb street,graphics/decos/curbs/curbs1.swf,greyorange_straight_back2,Layout,,
greyorange_long_front1,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front1,Layout,,
greyorange_long_front1_8_tiles,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front1_8_tiles,Layout,,
greyorange_long_front1_12_tiles,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front1_12_tiles,Layout,,
greyorange_long_front1_16_tiles,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front1_16_tiles,Layout,,
greyorange_long_front2,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front2,Layout,,
greyorange_long_front3,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front3,Layout,,
greyorange_long_front4,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front4,Layout,,
greyorange_long_front5,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_front5,Layout,,
greyorange_long_back1,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back1,Layout,,
greyorange_long_back1_8_tiles,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back1_8_tiles,Layout,,
greyorange_long_back1_12_tiles,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back1_12_tiles,Layout,,
greyorange_long_back1_16_tiles,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back1_16_tiles,Layout,,
greyorange_long_back2,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back2,Layout,,
greyorange_long_back3,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back3,Layout,,
greyorange_long_back4,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back4,Layout,,
greyorange_long_back5,curb street,graphics/decos/curbs/curbs1.swf,greyorange_long_back5,Layout,,
greyorange_in_corner_down,curb street,graphics/decos/curbs/curbs1.swf,greyorange_in_corner_down,Layout,,
greyorange_in_corner_left,curb street,graphics/decos/curbs/curbs1.swf,greyorange_in_corner_left,Layout,,
greyorange_in_corner_up,curb street,graphics/decos/curbs/curbs1.swf,greyorange_in_corner_up,Layout,,
greyorange_out_corner_down,curb street,graphics/decos/curbs/curbs1.swf,greyorange_out_corner_down,Layout,,
greyorange_out_corner_right,curb street,graphics/decos/curbs/curbs1.swf,greyorange_out_corner_right,Layout,,
greyorange_out_corner_up,curb street,graphics/decos/curbs/curbs1.swf,greyorange_out_corner_up,Layout,,
RoadBlock01,street roadblock,graphics/decos/street/street_common1.swf,RoadBlock1,Ground,,
RoadBlock02,street roadblock,graphics/decos/street/street_common1.swf,RoadBlock2,Ground,,
RoadBlock03,street roadblock,graphics/decos/street/street_common1.swf,RoadBlock3,Ground,,
oil,,graphics/ground_decos/ground_patches.swf,oil,Ground,,
butts1,,graphics/ground_decos/ground_patches.swf,butts1,Ground,,
butts2,,graphics/ground_decos/ground_patches.swf,butts2,Ground,,
rust1,,graphics/ground_decos/ground_patches.swf,rust1,Ground,,overlay
rust2,,graphics/ground_decos/ground_patches.swf,rust2,Ground,,overlay
gunkpuddle,,graphics/ground_decos/ground_patches.swf,gunkpuddle,Ground,,
RoofLightWhite,,graphics/decos/street/lamps_lights.swf,RoofLightWhite,,,
GreenLed,,graphics/decos/street/lamps_lights.swf,GreenLed,,,
OrangeLed,,graphics/decos/street/lamps_lights.swf,OrangeLed,,,
Water,,graphics/ground_decos/east_dock_ground_decos.swf,Water,,,
numbers_01_2,street number,graphics/decos/wall_passables/numbers.swf,numbers_01_2,Layout,,overlay
numbers_02_2,street number,graphics/decos/wall_passables/numbers.swf,numbers_02_2,Layout,,overlay
numbers_03_2,street number,graphics/decos/wall_passables/numbers.swf,numbers_03_2,Layout,,overlay
numbers_04_2,street number,graphics/decos/wall_passables/numbers.swf,numbers_04_2,Layout,,overlay
numbers_05_2,street number,graphics/decos/wall_passables/numbers.swf,numbers_05_2,Layout,,overlay
numbers_06_2,street number,graphics/decos/wall_passables/numbers.swf,numbers_06_2,Layout,,overlay
numbers_07,street number,graphics/decos/wall_passables/numbers.swf,numbers_07,Layout,,overlay
skidmarks_1,ground,graphics/ground_decos/ground_patches.swf,skidmarks_1,Layout,,
skidmarks_2,ground,graphics/ground_decos/ground_patches.swf,skidmarks_2,Layout,,
sea_shadow,water,graphics/ground_decos/ground_patches.swf,sea_shadow,Layout,,
platform_back_top_c,platform,graphics/decos/curbs/curbs1.swf,platform_back_top_c,Layout,,
platform_front_c,platform,graphics/decos/curbs/curbs1.swf,platform_front_c,Layout,,
platform_back_c,platform,graphics/decos/curbs/curbs1.swf,platform_back_c,Layout,,
platform_right_c_in,platform,graphics/decos/curbs/curbs1.swf,platform_right_c_in,Layout,,
platform_straight,platform,graphics/decos/curbs/curbs1.swf,platform_straight,Layout,,
platform_straight_2,platform,graphics/decos/curbs/curbs1.swf,platform_straight_2,Layout,,
platform_top_straight_back,platform,graphics/decos/curbs/curbs1.swf,platform_top_straight_back,Layout,,
platform_straight_back_long,platform,graphics/decos/curbs/curbs1.swf,platform_straight_back_long,Layout,,
platform_top_front_c,platform,graphics/decos/curbs/curbs1.swf,platform_top_front_c,Layout,,
platform_right_c,platform,graphics/decos/curbs/curbs1.swf,platform_right_c,Layout,,
wires_20_tiles,wire,graphics/decos/street/street_generic.swf,wires_20_tiles,AboveObject,,
wires_10_tiles,wire,graphics/decos/street/street_generic.swf,wires_10_tiles,AboveObject,,
erosion_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,erosion_overlay,Ground,,overlay
erosion_small_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,erosion_small_overlay,Ground,,overlay
grunge,nature ground,graphics/ground_decos/nature_ground1.swf,grunge,Ground,,overlay
pothole_small_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,pothole_small_overlay,Ground,,overlay
cables_ground,ground,graphics/ground_decos/ground_patches.swf,cables_ground,Ground,,
pothole_big_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,pothole_big_overlay,Ground,,overlay
water_edge,water,graphics/ground_decos/east_dock_ground_decos.swf,water_edge,Ground,,overlay
ripple_effect,water,graphics/ground_decos/east_dock_ground_decos.swf,ripple_effect,Ground,,
bubble_effect,water,graphics/ground_decos/east_dock_ground_decos.swf,bubble_effect,Ground,,
sunken_container,industrial water container,graphics/decos/train_yard/containers.swf,sunken_container,Ground,,
floating_bottle,water bottle,graphics/decos/docks/pier_water_items.swf,floating_bottle,Ground,,
floating_barrel,water barrel,graphics/decos/docks/pier_water_items.swf,floating_barrel,Ground,,
floating_body,water body,graphics/decos/docks/pier_water_items.swf,floating_body,Ground,,
trash_wire_1,wire,graphics/decos/street/street_generic.swf,trash_wire_1,Ground,,layer
shoreline_str_front,nature ground,graphics/ground_decos/nature_ground1.swf,shoreline_str_front,Ground,,
shoreline_str_back,nature ground,graphics/ground_decos/nature_ground1.swf,shoreline_str_back,Ground,,
shoreline_crn_back,nature ground,graphics/ground_decos/nature_ground1.swf,shoreline_crn_back,Ground,,
shoreline_crn_left,nature ground,graphics/ground_decos/nature_ground1.swf,shoreline_crn_left,Ground,,
shoreline_crn_front,nature ground,graphics/ground_decos/nature_ground1.swf,shoreline_crn_front,Ground,,
bloodpuddle_1,blood ground,graphics/ground_decos/ground_patches.swf,bloodpuddle_1,Ground,,overlay
bloodpuddle_2,blood ground,graphics/ground_decos/ground_patches.swf,bloodpuddle_2,Ground,,overlay
pillar_left,pillar water,graphics/decos/docks/pier_water_items.swf,pillar_left,Ground,,
pillar_right,pillar water,graphics/decos/docks/pier_water_items.swf,pillar_right,Ground,,
light_floor_round1_yellow,yellow light,graphics/ground_decos/lights_and_shadows.swf,light_floor_round1_yellow,Ground,,lighten
dirt_1,nature ground dirt,graphics/ground_decos/nature_ground1.swf,dirt_1,Ground,,
mud_1,nature ground,graphics/ground_decos/nature_ground1.swf,mud_1,Ground,,
mud_2,nature ground,graphics/ground_decos/nature_ground1.swf,mud_2,Ground,,
mud_3_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,mud_3_overlay,Ground,,overlay
mud_4,nature ground,graphics/ground_decos/nature_ground1.swf,mud_4,Ground,,
mud_5_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,mud_5_overlay,Ground,,overlay
mud_6_erosion_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,mud_6_erosion_overlay,Ground,,overlay
mud_7_erosion_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,mud_7_erosion_overlay,Ground,,overlay
mud_8_overlay,nature ground,graphics/ground_decos/nature_ground1.swf,mud_8_overlay,Ground,,overlay
transition_ne,transition exit,graphics/decos/street/exit.swf,transition_ne,Ground,,add
transition_nw,transition exit,graphics/decos/street/exit.swf,transition_nw,Ground,,add
transition_se,transition exit,graphics/decos/street/exit.swf,transition_se,Ground,,add
transition_sw,transition exit,graphics/decos/street/exit.swf,transition_sw,Ground,,add
computer_user_pedestal,interior floor computer,graphics/ground_decos/interior_floor.swf,computer_user_pedestal,Ground,,
tube_ground,tube wire,graphics/decos/wall_passables/wires_tubes.swf,tube_ground,Ground,,
tube_ground_long,tube wire,graphics/decos/wall_passables/wires_tubes.swf,tube_ground_long,Ground,,
wire_ground,tube wire,graphics/decos/wall_passables/wires_tubes.swf,wire_ground,Ground,,
wire_ground_long1,tube wire,graphics/decos/wall_passables/wires_tubes.swf,wire_ground_long1,Ground,,
wire_ground_long2,tube wire,graphics/decos/wall_passables/wires_tubes.swf,wire_ground_long2,Ground,,
platform_pillar_low,platform pillar,graphics/decos/platform/elevated_platforms.swf,platform_pillar_low,Ground,,
platform_pillar_medium,platform pillar,graphics/decos/platform/elevated_platforms.swf,platform_pillar_medium,Ground,,
lava_ground1,lava rough rock,graphics/decos/lava_rock/lava_rock.swf,lava_ground1,Ground,,
lava_ground2,lava rough rock,graphics/decos/lava_rock/lava_rock.swf,lava_ground2,Ground,,
arc_wirerouter,basement tunnel pillar roof concrete,graphics/decos/interiors_basement/walls_pillars_grates_pipes.swf,arc_wirerouter,,,
pipe_metal_big_straight,basement tunnel pillar pipe,graphics/decos/interiors_basement/walls_pillars_grates_pipes.swf,pipe_metal_big_straight,,,
helicopter_small_blades2,aircraft helicopter,graphics/decos/aircraft/helicopter_small_blades.swf,helicopter_small_blades1,AboveObject,,
floor_rail_end,,graphics/decos/rebel_camp/rebel_camp.swf,floor_rail_end,Ground,,
lamp,,graphics/decos/rebel_camp/rebel_camp.swf,lamp,AboveObject,,
rig_left,,graphics/decos/rebel_camp/rebel_camp.swf,rig_left,Object,,
rig_right,,graphics/decos/rebel_camp/rebel_camp.swf,rig_right,Object,,
rig_center,,graphics/decos/rebel_camp/rebel_camp.swf,rig_center,AboveObject,,
light_floor_round2_blue,blue light,graphics/ground_decos/lights_and_shadows.swf,light_floor_round2_blue,Ground,,add
light_floor_round2_green,green light,graphics/ground_decos/lights_and_shadows.swf,light_floor_round2_green,Ground,,add
light_floor_round2_red,light red,graphics/ground_decos/lights_and_shadows.swf,light_floor_round2_red,Ground,,add
light_floor_round2_yellow,yellow light,graphics/ground_decos/lights_and_shadows.swf,light_floor_round2_yellow,Ground,,add
light_floor_sharp_square_blue,blue light,graphics/ground_decos/lights_and_shadows.swf,light_floor_sharp_square_blue,Ground,,add
light_round1_blue,blue light,graphics/ground_decos/lights_and_shadows.swf,light_round1_blue,Object,,add
light_round1_green,green light,graphics/ground_decos/lights_and_shadows.swf,light_round1_green,Object,,add
light_round1_red,light red,graphics/ground_decos/lights_and_shadows.swf,light_round1_red,Object,,add
light_round1_yellow,yellow light,graphics/ground_decos/lights_and_shadows.swf,light_round1_yellow,Object,,add
light_square_star,white light,graphics/ground_decos/lights_and_shadows.swf,light_square_star,Object,,add
light_square_star_blue,blue light,graphics/ground_decos/lights_and_shadows.swf,light_square_star_blue,Object,,add
light_square_star_green,green light,graphics/ground_decos/lights_and_shadows.swf,light_square_star_green,Object,,add
light_square_star_red,light red,graphics/ground_decos/lights_and_shadows.swf,light_square_star_red,Object,,add
light_square_star_yellow,yellow light,graphics/ground_decos/lights_and_shadows.swf,light_square_star_yellow,Object,,add
junk_pile1,junk pile,graphics/decos/street/street_generic.swf,junk_pile1,,,
grass_dry_patch1,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_patch1,Object,,
grass_dry_patch2,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_patch2,Object,,
grass_dry_patch3,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_patch3,Object,,
grass_dry_patch4,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_patch4,Object,,
grass_dry_texture1,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_texture1,Ground,,
grass_dry_texture2,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_texture2,Ground,,
grass_dry_texture3,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_texture3,Ground,,
grass_dry_texture4,ground grass nature,graphics/ground_decos/nature_dry_grass.swf,grass_dry_texture4,Ground,,
automated_bollards_base,automatic bollard gate base,graphics/decos/gate/automated_bollard.swf,automated_bollards_base,Ground,,
water_edge2,water edge,graphics/ground_decos/east_dock_ground_decos.swf,water_edge2,,,
confetti_1,confetti,graphics/decos/harbor/parade_balloons_and_decor.swf,confetti_1,,,
confetti_2,confetti,graphics/decos/harbor/parade_balloons_and_decor.swf,confetti_2,,,
lifering_water,docks water,graphics/decos/docks/rubberboat_buoy_lifering.swf,lifering_water,,,
water_buoy,docks water,graphics/decos/docks/rubberboat_buoy_lifering.swf,water_buoy,,,
eastern_queens_left_ground,gang graffiti sign UPDATE,graphics/decos/wall_passables/gang_signs.swf,eastern_queens_left_ground,,,
eastern_queens_right_ground,gang graffiti sign UPDATE,graphics/decos/wall_passables/gang_signs.swf,eastern_queens_right_ground,,,
eastern_queens_lips_right_ground,gang graffiti sign UPDATE,graphics/decos/wall_passables/gang_signs.swf,eastern_queens_lips_right_ground,,,
hooligans_left_ground,gang graffiti sign UPDATE,graphics/decos/wall_passables/gang_signs.swf,hooligans_left_ground,,,
hooligans_right_ground,gang graffiti sign UPDATE,graphics/decos/wall_passables/gang_signs.swf,hooligans_right_ground,,,
hooligans_splat_right_ground,gang graffiti sign UPDATE,graphics/decos/wall_passables/gang_signs.swf,hooligans_splat_right_ground,,,
resistance_symbol_ground_1,gang graffiti sign,graphics/decos/wall_passables/gang_signs.swf,resistance_symbol_ground_1,,,
resistance_symbol_ground_2,gang graffiti sign,graphics/decos/wall_passables/gang_signs.swf,resistance_symbol_ground_2,,,
turret_stand,turret stand,graphics/decos/high_tech/labycore_tech.swf,turret_stand,Ground,,
wild_plant_03,wild nature plant,graphics/decos/nature_misc/wild_nature.swf,wild_plant_03,Object,,
wild_plant_ground_leaves_01,wild nature leaves,graphics/decos/nature_misc/wild_nature.swf,wild_plant_ground_leaves_01,Ground,,
