Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,PlaceableInEditor,Tier,Enhancement,ShopRecommend,PostToSocialNetworks,Tier,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,DiamondCostExact
Hyena Jacket,Jacket,Small,30,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/armored_jacket_outfit_01_m.png,graphics/3d/character/jacket/armored_jacket_outfit_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Wolf Jacket,Jacket,Small,30,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/armored_jacket_outfit_01_m_new.png,graphics/3d/character/jacket/armored_jacket_outfit_01_f_new.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Shooting Shirt,Jacket,Small,2,Epic,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Arabic Vest,Jacket,Small,3,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Killer Shirt,Jacket,Small,3,Rare,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m6_shirt.png,graphics/3d/character/jacket/hunter_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Tactical Shirt,Jacket,Small,4,Epic,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Range Shirt,Jacket,Small,6,Epic,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Horsehair Shirt,Jacket,Small,6,Rare,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m6_shirt.png,graphics/3d/character/jacket/hunter_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Safari Shirt,Jacket,Small,8,Epic,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Outdoor Shirt,Jacket,Small,9,Rare,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m6_shirt.png,graphics/3d/character/jacket/hunter_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Hunting Shirt,Jacket,Small,10,Epic,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m10_shirt.png,graphics/3d/character/jacket/hunter_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Utility Jacket,Jacket,Small,12,Rare,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m6_shirt.png,graphics/3d/character/jacket/hunter_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Range Sweater,Jacket,Small,12,Epic,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m10_shirt.png,graphics/3d/character/jacket/hunter_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Deerhunter's Sweater,Jacket,Small,14,Epic,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m10_shirt.png,graphics/3d/character/jacket/hunter_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Stealth Jacket,Jacket,Small,15,Rare,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m18_shirt.png,graphics/3d/character/jacket/hunter_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Camo Shirt,Jacket,Small,16,Epic,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m14_shirt.png,graphics/3d/character/jacket/hunter_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Camo Top,Jacket,Small,18,Epic,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m14_shirt.png,graphics/3d/character/jacket/hunter_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Stealth Shirt,Jacket,Small,18,Rare,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m18_shirt.png,graphics/3d/character/jacket/hunter_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Special Purpose Jacket,Jacket,Small,20,Epic,TRUE,TRUE,,,of 6th Sense,,,,graphics/3d/character/jacket/hunter_set_m14_shirt.png,graphics/3d/character/jacket/hunter_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Duck Blind Jacket,Jacket,Small,21,Rare,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m18_shirt.png,graphics/3d/character/jacket/hunter_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Stalker Jacket,Jacket,Small,22,Epic,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m26_shirt.png,graphics/3d/character/jacket/hunter_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Killer Top,Jacket,Small,24,Rare,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m22_shirt.png,graphics/3d/character/jacket/hunter_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Turkey Hunt Top,Jacket,Small,26,Epic,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m26_shirt.png,graphics/3d/character/jacket/hunter_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Poacher's Shirt,Jacket,Small,27,Rare,TRUE,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hunter_set_m22_shirt.png,graphics/3d/character/jacket/hunter_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Skinner Jacket,Jacket,Small,28,Epic,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m18_shirt.png,graphics/3d/character/jacket/hunter_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Predator Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,4,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m14_shirt.png,graphics/3d/character/jacket/hunter_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
All-weather Jacket,Jacket,Small,30,Epic,,TRUE,,,of 6th Sense,,,,graphics/3d/character/jacket/hunter_set_m30_shirt.png,graphics/3d/character/jacket/hunter_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
One Shot Jacket,Jacket,Small,30,Rare,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hunter_set_m22_shirt.png,graphics/3d/character/jacket/hunter_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Hiking Sweater,Jacket,Small,2,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Designer Jacket,Jacket,Small,5,Uncommon,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/sportcoat_red_03_m.png,graphics/3d/character/jacket/sportcoat_red_03_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Comfy Sweater,Jacket,Small,7,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_gray_01_m.png,graphics/3d/character/jacket/sweater_gray_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Windbreaker Jacket,Jacket,Small,9,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/jacket_orange_01_m.png,graphics/3d/character/jacket/jacket_orange_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Navy Sweater,Jacket,Small,11,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_white_01_m.png,graphics/3d/character/jacket/sweater_white_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Dust Jacket,Jacket,Small,12,Uncommon,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Sailing Jacket,Jacket,Small,14,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_white_01_m.png,graphics/3d/character/jacket/sweater_white_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Suede Shirt,Jacket,Small,16,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/gray_suede_jacket_01_m.png,graphics/3d/character/jacket/gray_suede_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Suede Jacket,Jacket,Small,18,Uncommon,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/gray_suede_jacket_01_m_new.png,graphics/3d/character/jacket/gray_suede_jacket_01_f_new.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Worn Sweater,Jacket,Small,19,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_whitered_01_m.png,graphics/3d/character/jacket/sweater_whitered_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Surgeon's Shirt,Jacket,Small,21,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/tshirt_white_01_m.png,graphics/3d/character/jacket/tshirt_white_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Scrub Top,Jacket,Small,22,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_whitered_01_m.png,graphics/3d/character/jacket/sweater_whitered_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Golf Polo,Jacket,Small,24,Uncommon,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/tshirt_white_01_m.png,graphics/3d/character/jacket/tshirt_white_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Casual Sweater,Jacket,Small,26,Common,,TRUE,,,,,,,graphics/3d/character/jacket/sweater_whitered_01_m_new.png,graphics/3d/character/jacket/sweater_whitered_01_f_new.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Clean Suit Jacket,Jacket,Small,28,Uncommon,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_jacket_m.png,graphics/3d/character/jacket/doctor_jacket_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Surgeon's Coat,Jacket,Small,30,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/doctor_jacket_m.png,graphics/3d/character/jacket/doctor_jacket_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Hospital White Jacket,Jacket,Small,30,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_jacket_m.png,graphics/3d/character/jacket/doctor_jacket_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Orderly's Shirt,Jacket,Small,2,Epic,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/doctor_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Nurse's Jacket,Jacket,Small,3,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/doctor_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Surgical Shirt,Jacket,Small,3,Rare,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m6_shirt.png,graphics/3d/character/jacket/doctor_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Nursing Scrub Shirt,Jacket,Small,4,Epic,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/doctor_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Lay Healer's Shirt,Jacket,Small,6,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/doctor_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Physician's Top,Jacket,Small,6,Rare,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m6_shirt.png,graphics/3d/character/jacket/doctor_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Emergency Ward Shirt,Jacket,Small,8,Epic,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/doctor_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Doctor's Scrub Shirt,Jacket,Small,9,Rare,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m6_shirt.png,graphics/3d/character/jacket/doctor_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Healer's Shirt,Jacket,Small,10,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m10_shirt.png,graphics/3d/character/jacket/doctor_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Physician's Shirt,Jacket,Small,12,Rare,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m6_shirt.png,graphics/3d/character/jacket/doctor_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Marrow Top,Jacket,Small,12,Epic,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m10_shirt.png,graphics/3d/character/jacket/doctor_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Scalpel Shirt,Jacket,Small,14,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m10_shirt.png,graphics/3d/character/jacket/doctor_set_f10_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Exclusive Jacket,Jacket,Small,15,Rare,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/doctor_set_m18_shirt.png,graphics/3d/character/jacket/doctor_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Medic Vest,Jacket,Small,16,Epic,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m14_shirt.png,graphics/3d/character/jacket/doctor_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Medic Shirt,Jacket,Small,18,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m14_shirt.png,graphics/3d/character/jacket/doctor_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Surgeon's Scrub Shirt,Jacket,Small,18,Rare,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m18_shirt.png,graphics/3d/character/jacket/doctor_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Medical Shirt,Jacket,Small,20,Epic,,TRUE,,,of 6th Sense,,,,graphics/3d/character/jacket/doctor_set_m14_shirt.png,graphics/3d/character/jacket/doctor_set_f14_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Conference Shirt,Jacket,Small,21,Rare,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m18_shirt.png,graphics/3d/character/jacket/doctor_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Schweiz Jacket,Jacket,Small,22,Epic,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m22_shirt.png,graphics/3d/character/jacket/doctor_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Clinic Jacket,Jacket,Small,24,Rare,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/doctor_set_m26_shirt.png,graphics/3d/character/jacket/doctor_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Shrink's Shirt,Jacket,Small,26,Epic,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m22_shirt.png,graphics/3d/character/jacket/doctor_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Clinic Shirt,Jacket,Small,27,Rare,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/doctor_set_m26_shirt.png,graphics/3d/character/jacket/doctor_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Euthanasia Jacket,Jacket,Small,28,Epic,,TRUE,,,of Intuition,,,,graphics/3d/character/jacket/doctor_set_m30_shirt.png,graphics/3d/character/jacket/doctor_set_f30_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Pandemic Jacket,Jacket,Small,30,Epic,TRUE,TRUE,,4,of the Hunter,,,,graphics/3d/character/jacket/doctor_set_m18_shirt.png,graphics/3d/character/jacket/doctor_set_f18_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Antimicrobial Shirt,Jacket,Small,30,Epic,,TRUE,,,of 6th Sense,,,,graphics/3d/character/jacket/doctor_set_m2_shirt.png,graphics/3d/character/jacket/hunter_set_f22_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Medical Service Shirt,Jacket,Small,30,Rare,TRUE,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/doctor_set_m26_shirt.png,graphics/3d/character/jacket/doctor_set_f26_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Casual T-Shirt,Jacket,Large,2,Common,,TRUE,,,,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Brawny Shirt,Jacket,Large,5,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/open_blouse_01_m.png,graphics/3d/character/jacket/open_blouse_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bouncer's T-Shirt,Jacket,Large,7,Common,,TRUE,,,,,,,graphics/3d/character/jacket/tank_set_m6_shirt.png,graphics/3d/character/jacket/tank_set_f6_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Team T-Shirt,Jacket,Large,9,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/vest_black_06_m.png,graphics/3d/character/jacket/vest_black_06_f_REPLACE.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Protector Vest,Jacket,Large,11,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_studded_01_m.png,graphics/3d/character/jacket/vest_studded_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Protector Jacket,Jacket,Small,12,Uncommon,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Heavy Metal Jacket,Jacket,Large,14,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_studded_01_m.png,graphics/3d/character/jacket/vest_studded_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bomber Jacket,Jacket,Large,16,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/distressed_anarchist_jacket_01_m.png,graphics/3d/character/jacket/distressed_anarchist_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Vigilante Jacket,Jacket,Large,18,Uncommon,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/distressed_anarchist_jacket_01_m_new.png,graphics/3d/character/jacket/distressed_anarchist_jacket_01_f_new.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Armored Jacket,Jacket,Large,19,Common,,TRUE,,,,,,,graphics/3d/character/jacket/armored_navy_jacket_01_m.png,graphics/3d/character/jacket/armored_navy_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Tough Guy Jacket,Jacket,Large,21,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/red_flame_jacket_01_m.png,graphics/3d/character/jacket/red_flame_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Syndicate Coat,Jacket,Large,22,Common,,TRUE,,,,,,,graphics/3d/character/jacket/armored_navy_jacket_01_m.png,graphics/3d/character/jacket/armored_navy_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Biker Jacket,Jacket,Large,24,Uncommon,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/red_flame_jacket_01_m.png,graphics/3d/character/jacket/red_flame_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Kevlar Jacket,Jacket,Large,26,Common,,TRUE,,,,,,,graphics/3d/character/jacket/armored_navy_jacket_01_m_new.png,graphics/3d/character/jacket/armored_navy_jacket_01_f_new.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bodyguard's Top,Jacket,Large,28,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/night_jacket_01_m.png,graphics/3d/character/jacket/night_jacket_01_f.png,,,,,graphics/3d/character/jacket/night_jacket_add_01_m.png,,22,graphics/loot/loot_box1.swf,LootShirt,,
Badass Trench,Jacket,Large,30,Uncommon,,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/night_jacket_01_m_new.png,graphics/3d/character/jacket/night_jacket_01_f_new.png,,,,,graphics/3d/character/jacket/night_jacket_add_01_m_new.png,,22,graphics/loot/loot_box1.swf,LootShirt,,
Night Club Jacket,Jacket,Large,30,Uncommon,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/night_jacket_01_m.png,graphics/3d/character/jacket/night_jacket_01_f.png,,,,,graphics/3d/character/jacket/night_jacket_add_01_m.png,,22,graphics/loot/loot_box1.swf,LootShirt,,
Protector Shirt,Jacket,Large,2,Epic,TRUE,TRUE,,,of the Thug,,,,graphics/3d/character/jacket/tank_set_m2_shirt.png,graphics/3d/character/jacket/tank_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Attitude Shirt,Jacket,Large,3,Epic,,TRUE,,,of the Beast,,,,graphics/3d/character/jacket/tank_set_m2_shirt.png,graphics/3d/character/jacket/tank_set_f2_shirt.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
