Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,ShopRecommend,LootDisabled,Tier,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Hunter's Iron Tips,Black Boots,Small,15,Epic,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Hunter's Steel Tips,Black Boots,Small,15,Epic,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_06_m.png,graphics/3d/character/shoes/shoes_crappy_06_m.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Balancing Shoes,Black Boots,Small,17,Epic,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Stabilizing Shoes,Black Boots,Small,19,Epic,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Gyro Shoes,Black Boots,Small,21,Epic,TRUE,,TRUE,,of the Ambusher,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Dancing Shoes,Black Boots,Small,23,Epic,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Titanium Studs,Black Boots,Small,25,Epic,TRUE,,TRUE,,of the Ambusher,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Spike Studs,Black Boots,Small,27,Epic,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Nanotube Studs,Black Boots,Small,29,Epic,TRUE,,TRUE,,of the Assassin,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Net-Surfing Boots,Black Boots,Small,30,Epic,TRUE,,TRUE,,of the Hunter,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Boots-of-the-Puss,Black Boots,Small,30,Epic,,,TRUE,1,of the Ambusher,graphics/3d/character/shoes/boots_black_02_m.png,graphics/3d/character/shoes/boots_black_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Worn Hiking Shoes,Black Boots,Small,4,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Squeaky Hiking Shoes,Black Boots,Small,9,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Brand New Hiking Shoes,Black Boots,Small,12,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Comfortable Hiking Shoes,Black Boots,Small,16,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Glitter Shoes,Black Boots,Small,20,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Glamour Shoes,Black Boots,Small,24,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Extreme Glitter Shoes,Black Boots,Small,28,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Rubber Boots,Black Boots,Small,7,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Para Boots,Black Boots,Small,10,Uncommon,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Sailing Boots,Black Boots,Small,13,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Worn-heeled Boots,Black Boots,Small,15,Uncommon,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Well-heeled Boots,Black Boots,Small,18,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
No-Heels,Black Boots,Small,21,Uncommon,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Smooth Heels,Black Boots,Small,23,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Pro Heels,Black Boots,Small,26,Uncommon,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Salaryman Shoes,Black Boots,Small,30,Uncommon,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Max Heels,Black Boots,Small,30,Uncommon,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_02_m.png,graphics/3d/character/shoes/shoes_crappy_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Worn Suede Shoes,Black Boots,Small,4,Rare,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Stylish Suede Shoes,Black Boots,Small,5,Rare,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Sleek Suede Shoes,Black Boots,Small,7,Rare,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Polished Suede Shoes,Black Boots,Small,10,Rare,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Doctor's Suede Shoes,Black Boots,Small,13,Rare,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Blue Suede Shoes,Black Boots,Small,16,Rare,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Healer's Shoes,Black Boots,Small,19,Rare,,,TRUE,,of Intuition,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Doctor's Shoes,Black Boots,Small,22,Rare,,,TRUE,,of the Assassin,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Surgical Shoes,Black Boots,Small,25,Rare,,,TRUE,,of Intuition,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Elite Doctor's Shoes,Black Boots,Small,28,Rare,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Dr. Panacea,Black Boots,Small,30,Rare,,,TRUE,,of the Assassin,graphics/3d/character/shoes/doctor_shoes_m.png,graphics/3d/character/shoes/doctor_shoes_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Golf Shoes,Black Boots,Small,3,Epic,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Chicken Skins,Black Boots,Small,5,Epic,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Cow Skins,Black Boots,Small,7,Epic,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Lizard Skins,Black Boots,Small,9,Epic,,,TRUE,,of the Assassin,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Gator Skins,Black Boots,Small,11,Epic,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Wolf Skins,Black Boots,Small,13,Epic,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Zebra Skins,Black Boots,Small,15,Epic,,,TRUE,,of Intuition,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Synth Skins,Black Boots,Small,15,Epic,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/shoes_crappy_04_m.png,graphics/3d/character/shoes/shoes_crappy_04_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Casual Slippers,Black Boots,Small,17,Epic,,,TRUE,,of the Assassin,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Slippy Slippers,Black Boots,Small,19,Epic,,,TRUE,,of Intuition,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Pro Slippers,Black Boots,Small,21,Epic,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Healer's Slippers,Black Boots,Small,23,Epic,,,TRUE,,of the Assassin,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Surgeon's Slippers,Black Boots,Small,25,Epic,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Wicked Slippers,Black Boots,Small,27,Epic,,,TRUE,,of Intuition,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Iron Flipflops,Black Boots,Small,29,Epic,,,TRUE,,of the Assassin,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
The Go-Getters,Black Boots,Small,30,Epic,TRUE,,TRUE,,of Intuition,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Heel Plz,Black Boots,Small,30,Epic,,,TRUE,,of the Ambusher,graphics/3d/character/shoes/sneakers_05_m.png,graphics/3d/character/shoes/sneakers_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Cotton Kick'rs,Black Boots,Large,4,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Can Kick'rs,Black Boots,Large,9,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Bin Kick'rs,Black Boots,Large,12,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Shin Kick'rs,Black Boots,Large,16,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Brawny Shoes,Black Boots,Large,20,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Grounded Shoes,Black Boots,Large,24,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Strongman Shoes,Black Boots,Large,28,Common,,,TRUE,,,graphics/3d/character/shoes/shoes_crappy_01_m.png,graphics/3d/character/shoes/shoes_crappy_01_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Wooden Heelers,Black Boots,Large,7,Uncommon,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Rubber Heelers,Black Boots,Large,10,Uncommon,,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Spring Heelers,Black Boots,Large,13,Uncommon,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Steel Heelers,Black Boots,Large,15,Uncommon,,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Teamster Shoes,Black Boots,Large,18,Uncommon,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Steel Kick'rs,Black Boots,Large,21,Uncommon,,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Wicker Kick'rs,Black Boots,Large,23,Uncommon,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Titanium Kick'rs,Black Boots,Large,26,Uncommon,,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Mountain Kick'rs,Black Boots,Large,30,Uncommon,,,TRUE,,of the Beast,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Meteor Kick'rs,Black Boots,Large,30,Uncommon,,,TRUE,,of Awareness,graphics/3d/character/shoes/shoes_crappy_05_m.png,graphics/3d/character/shoes/shoes_crappy_05_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
Mud Tramplers,Black Boots,Large,4,Rare,TRUE,,TRUE,,of the Destroyer,graphics/3d/character/shoes/shoes_crappy_03_m.png,graphics/3d/character/shoes/shoes_crappy_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootShoes,,
