Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,PlaceableInEditor,Tier,Icon,ShopRecommend,Enhancement,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks,DiamondCostExact
Combat Pants,Pants,Small,22,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/pants_army_01_f_replace.png,,,,,,,,,,,
Fatigue Pants,Pants,Small,24,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/pants_army_01_f_replace.png,,,,,,,,,,,
Midnight Pants,Pants,Small,25,Common,,TRUE,,,,,,graphics/3d/character/pants/suit_trousers_03_m.png,graphics/3d/character/pants/suit_trousers_03_f_replace.png,,,,,,,,,,,
Jackal Pants,Pants,Small,27,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/pants_army_01_f_replace.png,,,,,,,,,,,
Range Trousers,Pants,Small,29,Common,,TRUE,,,,,,graphics/3d/character/pants/suit_trousers_03_m.png,graphics/3d/character/pants/suit_trousers_03_f_replace.png,,,,,,,,,,,
Hyena Pants,Pants,Small,30,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/suit_trousers_02_m.png,graphics/3d/character/pants/suit_trousers_02_f_replace.png,,,,,,,,,,,
Wolf Pants,Pants,Small,30,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/suit_trousers_02_m.png,graphics/3d/character/pants/suit_trousers_02_f_replace.png,,,,,,,,,,,
Shooting Pants,Pants,Small,2,Epic,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Arabic Pants,Pants,Small,3,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Outdoor Trousers,Pants,Small,3,Rare,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m6_pants.png,graphics/3d/character/pants/hunter_set_f6_pants.png,,,,,,,,,,,
Hunting Pants,Pants,Small,4,Epic,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Cargo Pants,Pants,Small,6,Epic,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Jungle Pants,Pants,Small,6,Rare,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m6_pants.png,graphics/3d/character/pants/hunter_set_f6_pants.png,,,,,,,,,,,
Deerhunter's Pants,Pants,Small,8,Epic,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Waterfowling Pants,Pants,Small,9,Rare,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m6_pants.png,graphics/3d/character/pants/hunter_set_f6_pants.png,,,,,,,,,,,
Special Purpose Pants,Pants,Small,10,Epic,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m10_pants.png,graphics/3d/character/pants/hunter_set_f10_pants.png,,,,,,,,,,,
Duck Blind Pants,Pants,Small,12,Rare,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m6_pants.png,graphics/3d/character/pants/hunter_set_f6_pants.png,,,,,,,,,,,
Poacher's Pants,Pants,Small,12,Epic,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m10_pants.png,graphics/3d/character/pants/hunter_set_f10_pants.png,,,,,,,,,,,
Turkey Hunt Pants,Pants,Small,14,Epic,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m10_pants.png,graphics/3d/character/pants/hunter_set_f10_pants.png,,,,,,,,,,,
Stealth Pants,Pants,Small,15,Rare,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m18_pants.png,graphics/3d/character/pants/hunter_set_f18_pants.png,,,,,,,,,,,
Utility Pants,Pants,Small,16,Epic,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m14_pants.png,graphics/3d/character/pants/hunter_set_f14_pants.png,,,,,,,,,,,
Tactical Pants,Pants,Small,18,Epic,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m14_pants.png,graphics/3d/character/pants/hunter_set_f14_pants.png,,,,,,,,,,,
Skinner Pants,Pants,Small,18,Rare,TRUE,TRUE,,,,,of 6th Sense,graphics/3d/character/pants/hunter_set_m18_pants.png,graphics/3d/character/pants/hunter_set_f18_pants.png,,,,,,,,,,,
Fowling Trousers,Pants,Small,20,Epic,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m14_pants.png,graphics/3d/character/pants/hunter_set_f14_pants.png,,,,,,,,,,,
Trapper Pants,Pants,Small,21,Rare,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m18_pants.png,graphics/3d/character/pants/hunter_set_f18_pants.png,,,,,,,,,,,
Stalker Pants,Pants,Small,22,Epic,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m26_pants.png,graphics/3d/character/pants/hunter_set_f26_pants.png,,,,,,,,,,,
Killer Pants,Pants,Small,24,Rare,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m22_pants.png,graphics/3d/character/pants/hunter_set_f22_pants.png,,,,,,,,,,,
One Shot Pants,Pants,Small,26,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m26_pants.png,graphics/3d/character/pants/hunter_set_f26_pants.png,,,,,,,,,,,
Blend Camo Pants,Pants,Small,26,Epic,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m26_pants.png,graphics/3d/character/pants/hunter_set_f26_pants.png,,,,,,,,,,,
Waterproof Pants,Pants,Small,27,Rare,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m22_pants.png,graphics/3d/character/pants/hunter_set_f22_pants.png,,,,,,,,,,,
Camo Trousers,Pants,Small,28,Epic,TRUE,TRUE,,,,,of 6th Sense,graphics/3d/character/pants/hunter_set_m2_pants.png,graphics/3d/character/pants/hunter_set_f2_pants.png,,,,,,,,,,,
Predator Pants,Pants,Small,30,Epic,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m10_pants.png,graphics/3d/character/pants/hunter_set_f10_pants.png,,,,,,,,,,,
Hi-Tech Hunting Pants,Pants,Small,30,Epic,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/hunter_set_m30_pants.png,graphics/3d/character/pants/hunter_set_f30_pants.png,,,,,,,,,,,
Dead Quiet Pants,Pants,Small,30,Rare,TRUE,TRUE,,,,,of the Assassin,graphics/3d/character/pants/hunter_set_m22_pants.png,graphics/3d/character/pants/hunter_set_f22_pants.png,,,,,,,,,,,
Hiking Pants,Pants,Small,3,Uncommon,,TRUE,,,,,of Rationality,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_brown_01_f_replace.png,,,,,,,,,,,
Designer Pants,Pants,Small,5,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_white_01_m.png,graphics/3d/character/pants/pants_white_01_f_replace.png,,,,,,,,,,,
Comfy Slacks,Pants,Small,6,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_brown_01_f_replace.png,,,,,,,,,,,
Sailing Pants,Pants,Small,5,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_white_01_m.png,graphics/3d/character/pants/pants_white_01_f_replace.png,,,,,,,,,,,
Windbreaker Pants,Pants,Small,10,Uncommon,,TRUE,,,,,of Rationality,graphics/3d/character/pants/pants_white_01_m.png,graphics/3d/character/pants/pants_white_01_f_replace.png,,,,,,,,,,,
Yachting Trousers,Pants,Small,11,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_white_01_m.png,graphics/3d/character/pants/pants_white_01_f_replace.png,,,,,,,,,,,
Pleated Pants,Pants,Small,13,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/pants_white_01_m.png,graphics/3d/character/pants/pants_white_01_f_replace.png,,,,,,,,,,,
Fancy Trousers,Pants,Small,16,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_white_01_m.png,graphics/3d/character/pants/pants_white_01_f_replace.png,,,,,,,,,,,
Suede Pants,Pants,Small,17,Uncommon,,TRUE,,,,,of Rationality,graphics/3d/character/pants/suit_trousers_03_m.png,graphics/3d/character/pants/suit_trousers_03_f_replace.png,,,,,,,,,,,
Stylish Pants,Pants,Small,19,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/suit_trousers_03_m.png,graphics/3d/character/pants/suit_trousers_03_f_replace.png,,,,,,,,,,,
Scrub Pants,Pants,Small,20,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_white_01_m.png,graphics/3d/character/pants/pants_white_01_f_replace.png,,,,,,,,,,,
Doctor's Pants,Pants,Small,22,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Linen Pants,Pants,Small,24,Uncommon,,TRUE,,,,,of Rationality,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Golf Pants,Pants,Small,25,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Head Nurse's Pants,Pants,Small,27,Uncommon,,TRUE,,,,,of Rationality,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Bahama Pants,Pants,Small,29,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Surgeon's Pants,Pants,Small,30,Uncommon,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/pants_outfit_01_m.png,graphics/3d/character/pants/pants_outfit_01_f.png,,,,,,,,,,,
Clean Suit Pants,Pants,Small,30,Uncommon,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/pants_outfit_01_m.png,graphics/3d/character/pants/pants_outfit_01_f.png,,,,,,,,,,,
Orderly's Pants,Pants,Small,2,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Nurse's Pants,Pants,Small,3,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Surgical Scrub Pants,Pants,Small,3,Rare,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m6_pants.png,graphics/3d/character/pants/doctor_set_f6_pants.png,,,,,,,,,,,
Lay Healer's Pants,Pants,Small,4,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Nurse's Scrub Pants,Pants,Small,6,Epic,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Physician's Bottom,Pants,Small,6,Rare,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/doctor_set_m6_pants.png,graphics/3d/character/pants/doctor_set_f6_pants.png,,,,,,,,,,,
Doctor's Scrub Pants,Pants,Small,8,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m2_pants.png,graphics/3d/character/pants/doctor_set_f2_pants.png,,,,,,,,,,,
Medic Pants,Pants,Small,9,Rare,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m6_pants.png,graphics/3d/character/pants/doctor_set_f6_pants.png,,,,,,,,,,,
Casual Pants,Pants,Small,10,Epic,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m10_pants.png,graphics/3d/character/pants/doctor_set_f10_pants.png,,,,,,,,,,,
Expensive Suitpants,Pants,Small,12,Rare,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m6_pants.png,graphics/3d/character/pants/doctor_set_f6_pants.png,,,,,,,,,,,
Ergonomic Pants,Pants,Small,12,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m10_pants.png,graphics/3d/character/pants/doctor_set_f10_pants.png,,,,,,,,,,,
Operation Pants,Pants,Small,14,Epic,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/doctor_set_m10_pants.png,graphics/3d/character/pants/doctor_set_f10_pants.png,,,,,,,,,,,
Exclusive Pants,Pants,Small,15,Rare,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m18_pants.png,graphics/3d/character/pants/doctor_set_f18_pants.png,,,,,,,,,,,
Healer's Trousers,Pants,Small,16,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m14_pants.png,graphics/3d/character/pants/doctor_set_f14_pants.png,,,,,,,,,,,
Emergency Ward Pants,Pants,Small,18,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m14_pants.png,graphics/3d/character/pants/doctor_set_f14_pants.png,,,,,,,,,,,
Marrow Bottom,Pants,Small,18,Rare,,TRUE,,,,,of 6th Sense,graphics/3d/character/pants/doctor_set_m18_pants.png,graphics/3d/character/pants/doctor_set_f18_pants.png,,,,,,,,,,,
Medical Slacks,Pants,Small,20,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m14_pants.png,graphics/3d/character/pants/doctor_set_f14_pants.png,,,,,,,,,,,
Suit Pants,Pants,Small,21,Rare,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m18_pants.png,graphics/3d/character/pants/doctor_set_f18_pants.png,,,,,,,,,,,
Schweiz Pants,Pants,Small,22,Epic,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
Clinic Pants,Pants,Small,24,Rare,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m26_pants.png,graphics/3d/character/pants/doctor_set_f26_pants.png,,,,,,,,,,,
Administrator Pants,Pants,Small,26,Epic,,TRUE,,,,,of the Assassin,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
Conference Trousers,Pants,Small,26,Epic,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m22_pants.png,graphics/3d/character/pants/doctor_set_f22_pants.png,,,,,,,,,,,
Shrink's Pants,Pants,Small,27,Rare,,TRUE,,,,,of the Hunter,graphics/3d/character/pants/doctor_set_m26_pants.png,graphics/3d/character/pants/doctor_set_f26_pants.png,,,,,,,,,,,
Euthanasia Pants,Pants,Small,28,Epic,,TRUE,,,,,of 6th Sense,graphics/3d/character/pants/doctor_set_m10_pants.png,graphics/3d/character/pants/doctor_set_f10_pants.png,,,,,,,,,,,
Pandemic Pants,Pants,Small,30,Epic,TRUE,TRUE,,,,,of the Hunter,graphics/3d/character/pants/doctor_set_m30_pants.png,graphics/3d/character/pants/doctor_set_f30_pants.png,,,,,,,,,,,
Scalpel Pants,Pants,Small,30,Epic,,TRUE,,,,,of Rationality,graphics/3d/character/pants/doctor_set_m30_pants.png,graphics/3d/character/pants/doctor_set_f30_pants.png,,,,,,,,,,,
Antimicrobial Pants,Pants,Small,30,Rare,TRUE,TRUE,,,,,of 6th Sense,graphics/3d/character/pants/doctor_set_m18_pants.png,graphics/3d/character/pants/doctor_set_f18_pants.png,,,,,,,,,,,
Casual Jeans,Pants,Large,7,Uncommon,,TRUE,,,,,of the Beast,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,,,,,,,,,,,
Brawny Pants,Pants,Large,7,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_gray_01_m.png,graphics/3d/character/pants/pants_gray_01_f_replace.png,,,,,,,,,,,
Bouncer's Jeans,Pants,Large,6,Uncommon,,TRUE,,,,,of the Beast,graphics/3d/character/pants/jeans_black_02_m.png,graphics/3d/character/pants/jeans_black_02_f.png,,,,,,,,,,,
Team Pants,Pants,Large,7,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_gray_01_m.png,graphics/3d/character/pants/pants_gray_01_f_replace.png,,,,,,,,,,,
Team Jeans,Pants,Large,10,Uncommon,,TRUE,,,,,of the Thug,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Heavy Metal Pants,Pants,Large,11,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/pants_army_02_f_replace.png,,,,,,,,,,,
Protector Pants,Pants,Large,13,Uncommon,,TRUE,,,,,,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Protector Jeans,Pants,Large,16,Common,,TRUE,,,,,of the Beast,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/pants_army_02_f_replace.png,,,,,,,,,,,
Bomber Pants,Pants,Large,17,Uncommon,,TRUE,,,,,of the Thug,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,,,,,,,,,,,
Vigilante Pants,Pants,Large,19,Uncommon,,TRUE,,,,,,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,,,,,,,,,,,
Armored Pants,Pants,Large,20,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/pants_army_02_f_replace.png,,,,,,,,,,,
Tough Guy Trousers,Pants,Large,22,Uncommon,,TRUE,,,,,of the Beast,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,,,,,,,,,,,
Groin Protector Pants,Pants,Large,24,Uncommon,,TRUE,,,,,of the Thug,graphics/3d/character/pants/jeans_black_03_m.png,graphics/3d/character/pants/jeans_black_03_f.png,,,,,,,,,,,
Syndicate Pants,Pants,Large,25,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_studded_01_m.png,graphics/3d/character/pants/pants_army_02_f_replace.png,,,,,,,,,,,
Biker Pants,Pants,Large,27,Uncommon,,TRUE,,,,,of the Beast,graphics/3d/character/pants/pants_orange_01_m.png,graphics/3d/character/pants/pants_orange_01_f.png,,,,,,,,,,,
Kevlar Pants,Pants,Large,29,Common,,TRUE,,,,,,graphics/3d/character/pants/pants_studded_01_m.png,graphics/3d/character/pants/pants_army_02_f_replace.png,,,,,,,,,,,
Badass Pants,Pants,Large,30,Uncommon,,TRUE,,,,,of the Beast,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Bodybuilder Slacks,Pants,Large,30,Uncommon,,TRUE,,,,,of the Thug,graphics/3d/character/pants/pants_white_02_m.png,graphics/3d/character/pants/pants_white_02_f.png,,,,,,,,,,,
Bodyguard Pants,Pants,Large,2,Epic,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m2_pants.png,graphics/3d/character/pants/tank_set_f2_pants.png,,,,,,,,,,,
Attitude Pants,Pants,Large,3,Epic,,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m2_pants.png,graphics/3d/character/pants/tank_set_f2_pants.png,,,,,,,,,,,
Tank Pants,Pants,Large,3,Rare,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m6_pants.png,graphics/3d/character/pants/tank_set_f6_pants.png,,,,,,,,,,,
Bulletproof Trousers,Pants,Large,4,Epic,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m2_pants.png,graphics/3d/character/pants/tank_set_f2_pants.png,,,,,,,,,,,
Band Jeans,Pants,Large,6,Epic,TRUE,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m2_pants.png,graphics/3d/character/pants/tank_set_f2_pants.png,,,,,,,,,,,
Casual Slacks,Pants,Large,6,Rare,TRUE,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/tank_set_m6_pants.png,graphics/3d/character/pants/tank_set_f6_pants.png,,,,,,,,,,,
Elite Pants,Pants,Large,8,Epic,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m2_pants.png,graphics/3d/character/pants/tank_set_f2_pants.png,,,,,,,,,,,
Rock Jeans,Pants,Large,9,Rare,TRUE,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m6_pants.png,graphics/3d/character/pants/tank_set_f6_pants.png,,,,,,,,,,,
Secret Service Pants,Pants,Large,10,Epic,TRUE,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m10_pants.png,graphics/3d/character/pants/tank_set_f10_pants.png,,,,,,,,,,,
Cordura Pants,Pants,Large,12,Rare,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m6_pants.png,graphics/3d/character/pants/tank_set_f6_pants.png,,,,,,,,,,,
Vanguard Trousers,Pants,Large,12,Epic,TRUE,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m10_pants.png,graphics/3d/character/pants/tank_set_f10_pants.png,,,,,,,,,,,
Melee Pants,Pants,Large,14,Epic,TRUE,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/tank_set_m10_pants.png,graphics/3d/character/pants/tank_set_f10_pants.png,,,,,,,,,,,
Dragon Tights,Pants,Large,15,Rare,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m18_pants.png,graphics/3d/character/pants/tank_set_f18_pants.png,,,,,,,,,,,
Championship Pants,Pants,Large,16,Epic,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m14_pants.png,graphics/3d/character/pants/tank_set_f14_pants.png,,,,,,,,,,,
Bulldog Jeans,Pants,Large,18,Epic,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m14_pants.png,graphics/3d/character/pants/tank_set_f14_pants.png,,,,,,,,,,,
Linebacker's Pants,Pants,Large,18,Rare,TRUE,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/tank_set_m18_pants.png,graphics/3d/character/pants/tank_set_f18_pants.png,,,,,,,,,,,
Wrestling Pants,Pants,Large,20,Epic,TRUE,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m14_pants.png,graphics/3d/character/pants/tank_set_f14_pants.png,,,,,,,,,,,
No Nonsense Pants,Pants,Large,21,Rare,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m18_pants.png,graphics/3d/character/pants/tank_set_f18_pants.png,,,,,,,,,,,
VIP Bottom,Pants,Large,22,Epic,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m22_pants.png,graphics/3d/character/pants/tank_set_f22_pants.png,,,,,,,,,,,
Dress Uniform Pants,Pants,Large,24,Rare,TRUE,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m26_pants.png,graphics/3d/character/pants/tank_set_f26_pants.png,,,,,,,,,,,
Extra Large Pants,Pants,Large,26,Epic,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m22_pants.png,graphics/3d/character/pants/tank_set_f22_pants.png,,,,,,,,,,,
Pitbull Pants,Pants,Large,26,Epic,,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/tank_set_m22_pants.png,graphics/3d/character/pants/tank_set_f22_pants.png,,,,,,,,,,,
Anarchist Pants,Pants,Large,27,Rare,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m26_pants.png,graphics/3d/character/pants/tank_set_f26_pants.png,,,,,,,,,,,
Flex Pants,Pants,Large,28,Epic,TRUE,TRUE,,,,,of the Thug,graphics/3d/character/pants/tank_set_m30_pants.png,graphics/3d/character/pants/tank_set_f30_pants.png,,,,,,,,,,,
Bouncer Pants,Pants,Large,30,Epic,TRUE,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/tank_set_m6_pants.png,graphics/3d/character/pants/tank_set_f6_pants.png,,,,,,,,,,,
Muscle Pants,Pants,Large,30,Epic,,TRUE,,,,,of the Painmaker,graphics/3d/character/pants/tank_set_m30_pants.png,graphics/3d/character/pants/tank_set_f30_pants.png,,,,,,,,,,,
Hardman Pants,Pants,Large,30,Rare,TRUE,TRUE,,,,,of the Beast,graphics/3d/character/pants/tank_set_m22_pants.png,graphics/3d/character/pants/tank_set_f22_pants.png,,,,,,,,,,,
