Name,FileNames,FadeOutRadius,MaxVolumeRadius,MinPitch,MaxPitch,VolMin,VolMax,MultipleShots
,audio/sfx/characters/movement/run_concrete_04.mp3,,,,,10,20,
RunTile,audio/sfx/characters/movement/run_tile_01.mp3,10,15,95,105,10,20,
,audio/sfx/characters/movement/run_tile_02.mp3,,,,,10,20,
,audio/sfx/characters/movement/run_tile_03.mp3,,,,,10,20,
,audio/sfx/characters/movement/run_tile_04.mp3,,,,,10,20,
RunWood,audio/sfx/characters/movement/run_wood_01.mp3,10,15,95,105,6,12,
,audio/sfx/characters/movement/run_wood_02.mp3,,,,,6,12,
,audio/sfx/characters/movement/run_wood_03.mp3,,,,,6,12,
,audio/sfx/characters/movement/run_wood_04.mp3,,,,,6,12,
RunGrass,audio/sfx/characters/movement/run_grass_01.mp3,10,15,95,105,3,10,
,audio/sfx/characters/movement/run_grass_02.mp3,,,,,3,10,
,audio/sfx/characters/movement/run_grass_03.mp3,,,,,3,10,
,audio/sfx/characters/movement/run_grass_04.mp3,,,,,3,10,
Bodyfall,audio/sfx/characters/movement/bodyfall_01.mp3,10,15,95,105,10,20,
,audio/sfx/characters/movement/bodyfall_02.mp3,,,,,10,20,
,audio/sfx/characters/movement/bodyfall_03.mp3,,,,,10,20,
SkillFatalStraight,audio/sfx/ui/skills/skill_rude_smash.mp3,5,25,95,105,40,70,
SkillHighPunchStart,audio/sfx/characters/foley/melee_fist_01.mp3,5,25,95,105,40,70,
SkillHighPunchEnd,audio/sfx/ui/skills/skill_mega_strike.mp3,5,25,95,105,40,70,
SkillJawBlow,audio/sfx/ui/skills/skill_leg_breaker.mp3,5,25,95,105,40,70,
SkillSlammerStart,audio/sfx/ui/skills/skill_slammer_start.mp3,5,25,95,105,40,70,
SkillSlammerEnd,audio/sfx/ui/skills/skill_slammer_end.mp3,5,25,95,105,40,70,
SkillWideSwingerStart,audio/sfx/characters/foley/melee_fist_03.mp3,5,25,95,105,40,70,
SkillWideSwingerEnd,audio/sfx/ui/skills/skill_twirler.mp3,5,25,95,105,40,70,
SkillThrow,audio/sfx/ui/skills/skill_throw.mp3,5,25,95,105,40,70,
Skill_Aimed_Shot,audio/sfx/ui/skills/skill_aimed_shot.mp3,5,25,95,105,40,70,
Skill_Bullet_Rain,audio/sfx/ui/skills/skill_bullet_rain.mp3,5,25,95,105,40,70,
Skill_Focus,audio/sfx/ui/skills/skill_focus.mp3,5,25,95,105,40,70,
Skill_Frantic_Mind,audio/sfx/ui/skills/skill_frantic_mind.mp3,5,25,95,105,40,70,
Skill_Head_Wound,audio/sfx/ui/skills/skill_head_wound.mp3,5,25,95,105,40,70,
Skill_Healing_Shot,audio/sfx/ui/skills/skill_healing_shot.mp3,5,25,95,105,40,70,
Skill_Heavy_Armor,audio/sfx/ui/skills/skill_heavy_armor.mp3,5,25,95,105,40,70,
Skill_Know_Down_Shot,audio/sfx/ui/skills/skill_knock_down_shot.mp3,5,25,95,105,40,70,
Skill_Leg_Breaker,audio/sfx/ui/skills/skill_leg_breaker.mp3,5,25,95,105,40,70,
Skill_Leg_Shot,audio/sfx/ui/skills/skill_leg_shot.mp3,5,25,95,105,40,70,
Skill_Mega_Strike,audio/sfx/ui/skills/skill_mega_strike.mp3,5,25,95,105,40,70,
Skill_Mend,audio/sfx/ui/skills/skill_mend.mp3,5,25,95,105,40,70,
Skill_Obnoxious_Shot,audio/sfx/ui/skills/skill_obnoxious_shot.mp3,5,25,95,105,40,70,
Skill_Poison_Shot,audio/sfx/ui/skills/skill_poison_shot.mp3,5,25,95,105,40,70,
Skill_Presence_Of_The_Medic,audio/sfx/ui/skills/skill_presence_of_the_medic.mp3,5,25,95,105,40,70,
Skill_Quick_Help,audio/sfx/ui/skills/skill_quick_help.mp3,5,25,95,105,40,70,
Skill_Rude_Smash,audio/sfx/ui/skills/skill_rude_smash.mp3,5,25,95,105,40,70,
Skill_Skull_Crush,audio/sfx/ui/skills/skill_skull_crush.mp3,5,25,95,105,40,70,
Skill_Slammer_Start,audio/sfx/ui/skills/skill_slammer_start.mp3,5,25,95,105,40,70,
Skill_Slammer_End,audio/sfx/ui/skills/skill_slammer_end.mp3,5,25,95,105,40,70,
Skill_Supporter,audio/sfx/ui/skills/skill_supporter.mp3,5,25,95,105,40,70,
Skill_Taunt,audio/sfx/ui/skills/skill_taunt.mp3,5,25,95,105,40,70,
Skill_Toxic_Avenge,audio/sfx/ui/skills/skill_toxic_avenge.mp3,5,25,95,105,40,70,
Skill_Trauma_Shot,audio/sfx/ui/skills/skill_trauma_shot.mp3,5,25,95,105,40,70,
Skill_Twirler,audio/sfx/ui/skills/skill_twirler.mp3,5,25,95,105,40,70,
Skill_Wounding_Shot,audio/sfx/ui/skills/skill_wounding_shot.mp3,5,25,95,105,40,70,
Select,audio/sfx/ui/basic/select_generic.mp3,,,100,100,55,55,
AdjustValue,audio/sfx/ui/basic/adjust_value.mp3,,,100,100,60,60,
ForbiddenAction,audio/sfx/ui/basic/forbidden_action.mp3,,,100,100,50,50,
ReputationChange,audio/sfx/ui/basic/reputation_change.mp3,,,100,100,50,50,
SheetPopup,audio/sfx/ui/basic/sheet_popup.mp3,,,100,100,90,90,
InventoryDrop,audio/sfx/ui/basic/inv_drop.mp3,5,25,100,100,30,30,
InventoryPickup,audio/sfx/ui/basic/inv_pickup.mp3,,,100,100,30,30,
LevelUp,audio/sfx/ui/basic/boss_defeated.mp3,,,100,100,33,33,
PrestigeLevelUp,audio/sfx/ui/basic/boss_defeated.mp3,,,100,100,33,33,
MissionCompleted,audio/sfx/ui/basic/mission_completed.mp3,,,100,100,30,30,
MissionReceived,audio/sfx/ui/basic/mission_received.mp3,,,100,100,26,26,
MercenaryHired,audio/sfx/ui/basic/mercenary_hired.mp3,,,100,100,33,33,
PickupGeneric,audio/sfx/ui/items/pickup_generic.mp3,10,25,95,105,30,30,
PickupMoney,audio/sfx/ui/items/pickup_money.mp3,10,25,95,105,30,30,
Medikit,audio/sfx/consumables/medkit.mp3,10,25,100,100,15,15,
BarrelOnFire,audio/sfx/objects/barrel_on_fire.mp3,5,10,100,100,33,33,
BrokenLamp,audio/sfx/objects/broken_lamp_01.mp3,3,5,95,105,2,5,
,audio/sfx/objects/broken_lamp_02.mp3,,,,,2,5,
,audio/sfx/objects/broken_lamp_03.mp3,,,,,2,5,
LooseElectricWire,audio/sfx/objects/loose_electric_wire_01.mp3,3,5,95,105,2,5,
,audio/sfx/objects/loose_electric_wire_02.mp3,,,,,2,5,
,audio/sfx/objects/loose_electric_wire_03.mp3,,,,,2,5,
WoodenBoxBreak,audio/sfx/objects/wooden_box_break_01.mp3,5,10,95,105,25,33,
,audio/sfx/objects/wooden_box_break_02.mp3,,,,,25,33,
AlarmSound,audio/sfx/objects/jailbreak_alarm.mp3,5,40,100,100,12,12,
BreakingGlass,audio/sfx/objects/glass_window_break_01.mp3,5,30,95,105,25,25,
,audio/sfx/objects/glass_window_break_02.mp3,5,30,95,105,25,25,
,audio/sfx/objects/glass_window_break_03.mp3,5,30,95,105,25,25,
DropItemTrinket,audio/sfx/ui/items/drop_item_trinket.mp3,5,20,100,100,25,25,
DropItemBottle,audio/sfx/ui/items/drop_item_bottle.mp3,5,20,100,100,25,25,
DropItemWeapon,audio/sfx/ui/items/drop_item_weapon.mp3,5,20,100,100,12,12,
DropItemClothing,audio/sfx/ui/items/drop_item_clothing.mp3,5,20,100,100,25,25,
DropItemConsumable,audio/sfx/ui/items/drop_item_consumable.mp3,5,20,100,100,25,25,
DropItemMoney,audio/sfx/ui/items/drop_item_money.mp3,5,20,100,100,25,25,
Stab,audio/fx_stab_sound.mp3,5,20,95,105,50,50,
Shuriken,audio/fx_shuriken_sound.mp3,5,20,95,105,50,50,
RobotTurretTurning,audio/sfx/characters/robots/robot_turret_turning.mp3,5,20,95,105,25,30,
RobotTurretTurnEnd,audio/sfx/characters/robots/robot_turret_turn_end.mp3,5,20,95,105,25,30,
RobotTurretTurnStart,audio/sfx/characters/robots/robot_turret_turn_start.mp3,5,20,95,105,25,30,
RobotHeavyServo,audio/sfx/characters/robots/robot_heavy_servo_01.mp3,5,15,95,105,4,8,
,audio/sfx/characters/robots/robot_heavy_servo_02.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_servo_03.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_servo_04.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_servo_05.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_servo_06.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_servo_07.mp3,,,,,,,
RobotMediumServo,audio/sfx/characters/robots/robot_medium_servo_01.mp3,5,15,95,105,4,8,
,audio/sfx/characters/robots/robot_medium_servo_02.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_servo_03.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_servo_04.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_servo_05.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_servo_06.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_servo_07.mp3,,,,,,,
RobotHeavyMove,audio/sfx/characters/robots/robot_heavy_move_01.mp3,5,15,95,105,4,8,
,audio/sfx/characters/robots/robot_heavy_move_02.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_move_03.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_move_04.mp3,,,,,,,
,audio/sfx/characters/robots/robot_heavy_move_05.mp3,,,,,,,
RobotMediumMove,audio/sfx/characters/robots/robot_medium_move_01.mp3,5,15,95,105,4,8,
,audio/sfx/characters/robots/robot_medium_move_02.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_move_03.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_move_04.mp3,,,,,,,
,audio/sfx/characters/robots/robot_medium_move_05.mp3,,,,,,,
RobotCaterpillarMove,audio/sfx/characters/robots/robot_caterpillar_move.mp3,5,25,95,105,33,33,
RobotMediumDeath,audio/sfx/characters/robots/robot_medium_death_01.mp3,5,25,95,105,33,33,
RobotHeavyDeath,audio/sfx/characters/robots/robot_heavy_death_01.mp3,5,25,95,105,33,33,
RobotCaterpillarDeath,audio/sfx/characters/robots/robot_caterpillar_death_01.mp3,5,25,95,105,33,33,
RobotTurretDeath,audio/sfx/characters/robots/robot_turret_death_01.mp3,5,25,95,105,33,33,
ImpactMetal,audio/sfx/characters/impacts/impact_metal_01.mp3,5,25,95,105,8,12,
,audio/sfx/characters/impacts/impact_metal_02.mp3,,,,,,,
,audio/sfx/characters/impacts/impact_metal_03.mp3,,,,,,,
,audio/sfx/characters/impacts/impact_metal_04.mp3,,,,,,,
,audio/sfx/characters/impacts/impact_metal_05.mp3,,,,,,,
,audio/sfx/characters/impacts/impact_metal_06.mp3,,,,,,,
,audio/sfx/characters/impacts/impact_metal_07.mp3,,,,,,,
,audio/sfx/characters/impacts/impact_metal_08.mp3,,,,,,,
,audio/sfx/characters/impacts/impact_metal_09.mp3,,,,,,,
MissileLaunch,audio/sfx/weapons/missile_launch_01.mp3,5,20,95,105,70,75,
ShockGrenadeExplosion,audio/sfx/objects/loose_electric_wire_01.mp3,5,25,95,105,60,80,
PoleGateOpening,audio/sfx/objects/pole_gate_opening.mp3,5,20,95,105,15,33,
RocketLauncherLaunch,audio/sfx/weapons/rocket_launcher_launch_01.mp3,5,25,95,105,30,50,
RocketLauncherImpact,audio/sfx/weapons/rocket_launcher_impact_01.mp3,5,25,95,105,30,50,
,audio/sfx/weapons/rocket_launcher_impact_02.mp3,,,,,,,
,audio/sfx/weapons/rocket_launcher_impact_03.mp3,,,,,,,
AirStrikeLaunch,audio/sfx/weapons/air_strike_launch_01.mp3,20,50,95,105,20,35,
AirStrikeImpact,audio/sfx/weapons/air_strike_impact_01.mp3,20,50,95,105,50,50,
MolotovCocktailImpact,audio/sfx/weapons/molotov_impact_01.mp3,5,20,95,105,30,50,
,audio/sfx/weapons/molotov_impact_02.mp3,,,,,,,
,audio/sfx/weapons/molotov_impact_03.mp3,,,,,,,
EmpGrenadeImpact,audio/sfx/weapons/emp_grenade_impact_01.mp3,5,25,95,105,30,50,
,audio/sfx/weapons/emp_grenade_impact_02.mp3,,,,,,,
,audio/sfx/weapons/emp_grenade_impact_03.mp3,,,,,,,
ForceFieldActivate,audio/sfx/weapons/force_field_activate.mp3,10,25,95,105,50,50,
ForceFieldDeactivate,audio/sfx/weapons/force_field_deactivate.mp3,10,25,95,105,50,50,
FlameThrower,audio/sfx/weapons/flame_thrower_01.mp3,5,30,95,105,30,50,
,audio/sfx/weapons/flame_thrower_02.mp3,,,,,,,
,audio/sfx/weapons/flame_thrower_03.mp3,,,,,,,
SonicGun,audio/sfx/weapons/sonic_gun_01.mp3,5,25,95,105,30,50,
HugeElectricHammerSwing,audio/sfx/weapons/huge_hammer_swing_01.mp3,5,25,95,105,30,50,
,audio/sfx/weapons/huge_hammer_swing_02.mp3,,,,,,,
,audio/sfx/weapons/huge_hammer_swing_03.mp3,,,,,,,
HugeElectricHammerImpact,audio/sfx/weapons/huge_hammer_impact_01.mp3,5,25,95,105,30,50,
,audio/sfx/weapons/huge_hammer_impact_02.mp3,,,,,,,
SharpeningKnives,audio/sfx/characters/foley/sharpening_knives_01.mp3,5,25,95,105,30,50,
,audio/sfx/characters/foley/sharpening_knives_02.mp3,,,,,,,
,audio/sfx/characters/foley/sharpening_knives_03.mp3,,,,,,,
,audio/sfx/characters/foley/sharpening_knives_04.mp3,,,,,,,
BossTauntsMale,audio/vo/boss/vo_boss_male1_taunt_01.mp3,5,25,95,105,30,50,
,audio/vo/boss/vo_boss_male1_taunt_02.mp3,,,,,,,
,audio/vo/boss/vo_boss_male1_taunt_03.mp3,,,,,,,
,audio/vo/boss/vo_boss_male1_taunt_04.mp3,,,,,,,
BossDefeated,audio/sfx/ui/basic/boss_defeated.mp3,,,100,100,33,33,
NewAreaFound,audio/sfx/ui/basic/new_area_found.mp3,,,100,100,33,33,
TaskComplete,audio/sfx/ui/basic/task_complete.mp3,,,100,100,30,30,
EnemyAlert,audio/sfx/ui/basic/enemy_alert.mp3,,,100,100,18,18,
LootMoney,audio/sfx/ui/loot/loot_money.mp3,5,20,95,105,20,33,
LootUncommonMoney,audio/sfx/ui/loot/loot_money_uncommon.mp3,5,20,95,105,20,33,
LootDiamond,audio/sfx/ui/loot/loot_diamonds.mp3,5,20,95,105,20,33,
LootPoorWeapon,audio/sfx/ui/loot/loot_weapon_poor.mp3,5,20,95,105,20,33,
LootCommonWeapon,audio/sfx/ui/loot/loot_weapon_common.mp3,5,20,95,105,20,33,
LootUncommonWeapon,audio/sfx/ui/loot/loot_weapon_uncommon.mp3,5,20,95,105,20,33,
LootRareWeapon,audio/sfx/ui/loot/loot_weapon_rare.mp3,5,20,95,105,20,33,
LootPoorCloth,audio/sfx/ui/loot/loot_cloth_poor.mp3,5,20,95,105,20,33,
LootCommonCloth,audio/sfx/ui/loot/loot_cloth_common.mp3,5,20,95,105,20,33,
LootUncommonCloth,audio/sfx/ui/loot/loot_cloth_uncommon.mp3,5,20,95,105,20,33,
LootRareCloth,audio/sfx/ui/loot/loot_cloth_rare.mp3,5,20,95,105,20,33,
LootPoorNecklace,audio/sfx/ui/loot/loot_necklace_poor.mp3,5,20,95,105,20,33,
LootCommonNecklace,audio/sfx/ui/loot/loot_necklace_common.mp3,5,20,95,105,20,33,
LootUncommonNecklace,audio/sfx/ui/loot/loot_necklace_uncommon.mp3,5,20,95,105,20,33,
LootRareNecklace,audio/sfx/ui/loot/loot_necklace_rare.mp3,5,20,95,105,20,33,
LootCommonConsumable,audio/sfx/ui/loot/loot_consumable_common.mp3,5,20,95,105,20,33,
LootUncommonConsumable,audio/sfx/ui/loot/loot_consumable_uncommon.mp3,5,20,95,105,20,33,
LootRareConsumable,audio/sfx/ui/loot/loot_consumable_rare.mp3,5,20,95,105,20,33,
LoadingRobotMovement,audio/sfx/characters/robots/loading_robot_move_01.mp3,8,18,95,105,8,15,
,audio/sfx/characters/robots/loading_robot_move_02.mp3,,,,,,,
,audio/sfx/characters/robots/loading_robot_move_03.mp3,,,,,,,
,audio/sfx/characters/robots/loading_robot_move_04.mp3,,,,,,,
,audio/sfx/characters/robots/loading_robot_move_05.mp3,,,,,,,
RobotDeathGeneric,audio/sfx/characters/robots/robot_death_generic_01.mp3,5,30,95,105,10,33,
,audio/sfx/characters/robots/robot_death_generic_02.mp3,,,,,,,
,audio/sfx/characters/robots/robot_death_generic_03.mp3,,,,,,,
ShieldImpactMetal,audio/sfx/characters/impacts/shield_impact_metal_01.mp3,5,30,95,105,20,45,
,audio/sfx/characters/impacts/shield_impact_metal_02.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_metal_03.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_metal_04.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_metal_05.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_metal_06.mp3,,,,,,,
ShieldImpactBody,audio/sfx/characters/impacts/shield_impact_body_01.mp3,5,30,95,105,20,45,
,audio/sfx/characters/impacts/shield_impact_body_02.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_body_03.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_body_04.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_body_05.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_body_06.mp3,,,,,,,
ShieldImpactKevlar,audio/sfx/characters/impacts/shield_impact_kevlar_01.mp3,5,30,95,105,20,45,
,audio/sfx/characters/impacts/shield_impact_kevlar_02.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_kevlar_03.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_kevlar_04.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_kevlar_05.mp3,,,,,,,
,audio/sfx/characters/impacts/shield_impact_kevlar_06.mp3,,,,,,,
SuperDeathBlood,audio/sfx/characters/impacts/super_death_blood_01.mp3,10,30,95,105,15,42,
,audio/sfx/characters/impacts/super_death_blood_02.mp3,,,,,,,
SuperDeathShrapnel,audio/sfx/characters/impacts/super_death_shrapnel_01.mp3,10,30,95,105,15,42,
,audio/sfx/characters/impacts/super_death_shrapnel_02.mp3,,,,,,,
SuperDeathChar,audio/sfx/characters/impacts/super_death_char_01.mp3,10,30,95,105,15,42,
,audio/sfx/characters/impacts/super_death_char_02.mp3,,,,,,,
FlameThrowerImpact,audio/sfx/weapons/flame_thrower_impact_01.mp3,5,30,95,105,20,40,
CraftingBotSummon,audio/sfx/characters/robots/crafting_robot/crafting_robot_summon.mp3,5,30,95,105,12,20,
CraftingBotCrafting,audio/sfx/characters/robots/crafting_robot/crafting_robot_crafting_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_crafting_02.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_crafting_03.mp3,5,30,95,105,12,20,
CraftingBotCraftingComplete,audio/sfx/characters/robots/crafting_robot/crafting_robot_crafting_complete_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_crafting_complete_02.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_crafting_complete_03.mp3,5,30,95,105,12,20,
CraftingBotDig,audio/sfx/characters/robots/crafting_robot/crafting_robot_dig_hole_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_dig_hole_02.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_dig_hole_03.mp3,5,30,95,105,12,20,
CraftingBotIdle,audio/sfx/characters/robots/crafting_robot/crafting_robot_idle_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_idle_02.mp3,,,,,,,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_idle_03.mp3,,,,,,,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_idle_04.mp3,,,,,,,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_idle_05.mp3,,,,,,,
CraftingBotResourceFound,audio/sfx/characters/robots/crafting_robot/crafting_robot_ingredient_found_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_ingredient_found_02.mp3,,,,,,,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_ingredient_found_03.mp3,,,,,,,
CraftingBotResourcePickup,audio/sfx/characters/robots/crafting_robot/crafting_robot_ingredient_pickup_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_ingredient_pickup_02.mp3,,,,,,,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_ingredient_pickup_03.mp3,,,,,,,
CraftingBotNoEnergy,audio/sfx/characters/robots/crafting_robot/crafting_robot_no_energy_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_no_energy_02.mp3,,,,,,,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_no_energy_03.mp3,,,,,,,
CraftingBotNoResources,audio/sfx/characters/robots/crafting_robot/crafting_robot_no_resources_01.mp3,5,30,95,105,12,20,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_no_resources_02.mp3,,,,,,,
,audio/sfx/characters/robots/crafting_robot/crafting_robot_no_resources_03.mp3,,,,,,,
GiantAntWalk,audio/sfx/characters/animals/ants/giant_ant_walk_01.mp3,10,15,95,105,10,25,
,audio/sfx/characters/animals/ants/giant_ant_walk_02.mp3,,,,,10,25,
,audio/sfx/characters/animals/ants/giant_ant_walk_03.mp3,,,,,10,25,
,audio/sfx/characters/animals/ants/giant_ant_walk_04.mp3,,,,,10,25,
QueenAntWalk,audio/sfx/characters/animals/ants/queen_ant_walk_01.mp3,10,15,95,105,10,25,
,audio/sfx/characters/animals/ants/queen_ant_walk_02.mp3,,,,,10,25,
,audio/sfx/characters/animals/ants/queen_ant_walk_03.mp3,,,,,10,25,
,audio/sfx/characters/animals/ants/queen_ant_walk_04.mp3,,,,,10,25,
LootDefault,audio/sfx/ui/loot/loot_cloth_poor.mp3,5,20,95,105,20,33,
Achievement,audio/sfx/ui/basic/achievement.mp3,,,100,100,30,30,
TimerBeep,audio/sfx/ui/basic/timerbeep.mp3,,,100,100,20,20,
PlasmaRifle,audio/sfx/weapons/plasma_rifle_01.mp3,10,25,95,105,45,65,TRUE
,audio/sfx/weapons/plasma_rifle_02.mp3,,,,,45,65,
LaserGun,audio/sfx/weapons/laser_gun_01.mp3,10,25,95,105,30,40,TRUE
,audio/sfx/weapons/laser_gun_02.mp3,,,,,30,40,
,audio/sfx/weapons/laser_gun_03.mp3,,,,,30,40,
HalfZombieMove,audio/sfx/characters/movement/zombie_halfbody_move_01.mp3,10,15,95,105,10,20,TRUE
,audio/sfx/characters/movement/zombie_halfbody_move_02.mp3,,,,,,,
,audio/sfx/characters/movement/zombie_halfbody_move_03.mp3,,,,,,,
,audio/sfx/characters/movement/zombie_halfbody_move_04.mp3,,,,,,,
