Name,EquipmentClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootResource,LootExportName
Hunter's Shades,Shades,5,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Infiltrator's Shades,Shades,7,Rare,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,graphics/loot/loot_box1.swf,LootGlasses
Sniper's Shades,Shades,8,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/loot/loot_box1.swf,LootGlasses
Aiming Visor,Shades,11,Rare,TRUE,TRUE,of the Legend,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_1eye,graphics/3d/sunglasses/visors_female.SUP,visor_1eye,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/loot/loot_box1.swf,LootGlasses
Cyclops Visor,Shades,14,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/nasty_bard_glasses.png,graphics/3d/sunglasses/textures/nasty_bard_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Pirate Vis-arrrrrrh!,Shades,17,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_1eye,graphics/3d/sunglasses/visors_female.SUP,visor_1eye,graphics/3d/sunglasses/textures/visor_1eye_02.png,graphics/3d/sunglasses/textures/visor_1eye_02.png,graphics/loot/loot_box1.swf,LootGlasses
Prism Visor,Shades,20,Rare,TRUE,TRUE,of the Legend,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_light,graphics/3d/sunglasses/visors_female.SUP,visor_light,graphics/3d/sunglasses/textures/visor_light.png,graphics/3d/sunglasses/textures/visor_light.png,graphics/loot/loot_box1.swf,LootGlasses
Mirror Visor,Shades,23,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_light,graphics/3d/sunglasses/visors_female.SUP,visor_light,graphics/3d/sunglasses/textures/visor_light.png,graphics/3d/sunglasses/textures/visor_light.png,graphics/loot/loot_box1.swf,LootGlasses
Sungazing Visor,Shades,26,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_light,graphics/3d/sunglasses/visors_female.SUP,visor_light,graphics/3d/sunglasses/textures/visor_light.png,graphics/3d/sunglasses/textures/visor_light.png,graphics/loot/loot_box1.swf,LootGlasses
Pro-scout Headgear,Shades,29,Rare,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/loot/loot_box1.swf,LootGlasses
Brain Interface,Shades,30,Rare,TRUE,TRUE,of the Legend,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/loot/loot_box1.swf,LootGlasses
EyeSeaz,Shutter Shades,4,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
EyeSpotz,Shades,6,Epic,TRUE,TRUE,of the Legend,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/loot/loot_box1.swf,LootGlasses
EyeSpyz,Shades,8,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Cyber Band,Shades,10,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Street Visor,Shades,12,Epic,TRUE,TRUE,of the Legend,,TRUE,,,graphics/3d/sunglasses/visors_male.SUP,visor_collar,graphics/3d/sunglasses/visors_female.SUP,visor_collar,graphics/3d/sunglasses/textures/visor_collar.png,graphics/3d/sunglasses/textures/visor_collar.png,graphics/loot/loot_box1.swf,LootGlasses
Faceless Visor,Shades,14,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/visor_purple.png,graphics/3d/sunglasses/textures/visor_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Target Detector,Shades,15,Epic,TRUE,TRUE,of the Legend,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/loot/loot_box1.swf,LootGlasses
Sharpshooter Optics,Shades,16,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Orbital Optics,Shades,18,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/square_glasses_red.png,graphics/3d/sunglasses/textures/square_glasses_red.png,graphics/loot/loot_box1.swf,LootGlasses
Steel-rimmed Shades,Shades,20,Epic,TRUE,TRUE,of the Legend,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/loot/loot_box1.swf,LootGlasses
LED-enhanced Shades,Shades,22,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Plasma Vision,Shades,22,Epic,,TRUE,of the Legend,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_light,graphics/3d/sunglasses/visors_female.SUP,visor_light,graphics/3d/sunglasses/textures/visor_light.png,graphics/3d/sunglasses/textures/visor_light.png,graphics/loot/loot_box1.swf,LootGlasses
SynthGlass Eye,Cybernetic Eye,24,Epic,TRUE,TRUE,of the Scientist,,,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,graphics/loot/loot_box1.swf,LootGlasses
Pirated LabyEye,Cybernetic Eye,26,Epic,TRUE,TRUE,of the Legend,,,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,graphics/loot/loot_box1.swf,LootGlasses
Chicago Shades,Shades,28,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Mirror Shades,Shades,30,Epic,TRUE,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/loot/loot_box1.swf,LootGlasses
Bionic Ocular,Cybernetic Eye,30,Epic,,TRUE,of the Legend,,,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,,
Nano Glass Goggles,Cybernetic Eye,30,Rare,,TRUE,of the Legend,,,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,,
Sungazers,Shades,30,Epic,TRUE,TRUE,of the Scientist,2,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Bloodshot Eye,Cybernetic Eye,30,Epic,TRUE,TRUE,of the Legend,3,,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,,
Flux Capacitors,Shades,30,Epic,TRUE,TRUE,of the Legend,1,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/square_glasses_red.png,graphics/3d/sunglasses/textures/square_glasses_red.png,graphics/loot/loot_box1.swf,LootGlasses
Credible Shades,Shades,30,Uncommon,,TRUE,of the Hunter,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Street Wise Shades,Shades,30,Uncommon,,TRUE,of the Troublemaker,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/loot/loot_box1.swf,LootGlasses
Worthy Shades,Shades,30,Uncommon,,TRUE,of the Assassin,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Boosted Shades,Shades,30,Uncommon,,TRUE,of Capacity,1,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/loot/loot_box1.swf,LootGlasses
Hunting Shades,Shades,30,Rare,,TRUE,of Rationality,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,graphics/loot/loot_box1.swf,LootGlasses
Superfine Visors,Visors,30,Rare,,TRUE,of the Painmaker,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/loot/loot_box1.swf,LootGlasses
Excellent Visors,Visors,30,Rare,,TRUE,of the Predator,1,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/loot/loot_box1.swf,LootGlasses
Cool Visors,Visors,30,Uncommon,,TRUE,of Health,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Good Visors,Visors,30,Uncommon,,TRUE,of Brightness,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_1eye,graphics/3d/sunglasses/visors_female.SUP,visor_1eye,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/loot/loot_box1.swf,LootGlasses
Fine Visors,Visors,30,Uncommon,,TRUE,of Rationality,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Credible Visors,Visors,30,Uncommon,,TRUE,of Intuition,1,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Marvelous Visors,Visors,30,Rare,,TRUE,of the Legend,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_1eye,graphics/3d/sunglasses/visors_female.SUP,visor_1eye,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/loot/loot_box1.swf,LootGlasses
Awesome Visors,Visors,30,Rare,,TRUE,of Brightness,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_collar,graphics/3d/sunglasses/visors_female.SUP,visor_collar,graphics/3d/sunglasses/textures/visor_collar.png,graphics/3d/sunglasses/textures/visor_collar.png,graphics/loot/loot_box1.swf,LootGlasses
Greater Visors,Visors,30,Rare,,TRUE,of the Scientist,1,,,,graphics/3d/sunglasses/visors_male.SUP,visor_light,graphics/3d/sunglasses/visors_female.SUP,visor_light,graphics/3d/sunglasses/textures/visor_light.png,graphics/3d/sunglasses/textures/visor_light.png,graphics/loot/loot_box1.swf,LootGlasses
Street Wise Visors,Visors,30,Uncommon,,TRUE,of the Beast,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/loot/loot_box1.swf,LootGlasses
Worthy Visors,Visors,30,Uncommon,,TRUE,of Stamina,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/loot/loot_box1.swf,LootGlasses
Boosted Visors,Visors,30,Uncommon,,TRUE,of the Thug,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Acute Visors,Visors,30,Uncommon,,TRUE,of the Judgment,1,,,,graphics/3d/sunglasses/visors_male.SUP,visor_1eye,graphics/3d/sunglasses/visors_female.SUP,visor_1eye,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/loot/loot_box1.swf,LootGlasses
Singular Visors,Visors,30,Rare,,TRUE,of the Predator,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_collar,graphics/3d/sunglasses/visors_female.SUP,visor_collar,graphics/3d/sunglasses/textures/visor_collar.png,graphics/3d/sunglasses/textures/visor_collar.png,graphics/loot/loot_box1.swf,LootGlasses
Exquisite Visors,Visors,30,Rare,,TRUE,of the Thug,,,,,graphics/3d/sunglasses/visors_male.SUP,visor_light,graphics/3d/sunglasses/visors_female.SUP,visor_light,graphics/3d/sunglasses/textures/visor_light.png,graphics/3d/sunglasses/textures/visor_light.png,graphics/loot/loot_box1.swf,LootGlasses
High Power Visors,Visors,30,Rare,,TRUE,of Determination,1,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/loot/loot_box1.swf,LootGlasses
Magnetized Ensnaer,Visors,30,Epic,,TRUE,of Rationality,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Gyroeye,Visors,30,Epic,,TRUE,of the Painmaker,1,,,,graphics/3d/sunglasses/visors_male.SUP,visor_1eye,graphics/3d/sunglasses/visors_female.SUP,visor_1eye,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/loot/loot_box1.swf,LootGlasses
Embedded Healing Motor,Visors,30,Epic,,TRUE,of the Legend,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Healing Gear,Visors,30,Epic,,TRUE,of Health,1,,,,graphics/3d/sunglasses/visors_male.SUP,visor_light,graphics/3d/sunglasses/visors_female.SUP,visor_light,graphics/3d/sunglasses/textures/visor_light.png,graphics/3d/sunglasses/textures/visor_light.png,graphics/loot/loot_box1.swf,LootGlasses
Polarized Patchator,Visors,30,Epic,,TRUE,of the Predator,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/loot/loot_box1.swf,LootGlasses
Terror Secretion,Visors,30,Epic,,TRUE,of the Thug,1,,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,graphics/loot/loot_box1.swf,LootGlasses
Mutant's Shutter Shades,Shutter Shades,4,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Mutant's Bling Shades,Aviator Shades,4,Uncommon,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,graphics/loot/loot_box1.swf,LootGlasses
Mutant's Aviators,Shades,4,Rare,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
