Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Heavy Metal Belt,Belt,Small,11,Epic,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Pop Belt,Belt,Small,13,Epic,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Screamer Buckle,Belt,Small,15,Epic,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Notched Belt,Belt,Small,17,Epic,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Over-notched Belt,Belt,Small,19,Epic,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Faux Belt,Belt,Small,21,Epic,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Utility Belt,Belt,Small,23,Epic,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Handy Utility Belt,Belt,Small,25,Epic,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
PI Utility Belt,Belt,Small,27,Epic,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Dark Utility Belt,Belt,Small,29,Epic,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Lost Buckle,Belt,Small,30,Epic,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Chimneysweep's Wonder Harness,Belt,Small,30,Epic,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Nylon Belt,Belt,Small,8,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Felt Belt,Belt,Small,12,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Suede Belt,Belt,Small,15,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Elastic Belt,Belt,Small,18,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Scrub Belt,Belt,Small,21,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Golf Belt,Belt,Small,27,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Worn Belt,Belt,Small,7,Uncommon,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Washed Out Belt,Belt,Small,9,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Bleached Belt,Belt,Small,13,Uncommon,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Dust-covered Belt,Belt,Small,17,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Bent Buckle,Belt,Small,20,Uncommon,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Tooth Buckle,Belt,Small,23,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Nail Buckle,Belt,Small,25,Uncommon,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Bone Buckle,Belt,Small,28,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Kneecap Buckle,Belt,Small,30,Uncommon,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Shiny Buckle,Belt,Small,30,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Tin-studded Belt,Belt,Small,4,Rare,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Rust-studded Belt,Belt,Small,7,Rare,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Silver-studded Belt,Belt,Small,10,Rare,,TRUE,of Brightness,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Iron-studded Belt,Belt,Small,13,Rare,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Steel-studded Belt,Belt,Small,16,Rare,,TRUE,of Rationality,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Titanium-studded Belt,Belt,Small,19,Rare,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Skull-studded Belt,Belt,Small,22,Rare,,TRUE,of Rationality,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Bunny-studded Belt,Belt,Small,25,Rare,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Mirror-studded Belt,Belt,Small,28,Rare,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Belt Fast,Belt,Small,30,Rare,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Duct-taped Belt,Belt,Small,3,Epic,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
UV-Protected Belt,Belt,Small,5,Epic,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Bulletproof Belt,Belt,Small,7,Epic,,TRUE,of Rationality,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Supporting Belt,Belt,Small,9,Epic,,TRUE,of Awareness,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
One-Size-Fits-All Belt,Belt,Small,10,Epic,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Golfing Belt,Belt,Small,11,Epic,,TRUE,of Intuition,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Properly Polished Belt,Belt,Small,13,Epic,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Expertly Polished Belt,Belt,Small,15,Epic,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Silk-lined Belt,Belt,Small,17,Epic,,TRUE,of Brightness,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Silver-lined Belt,Belt,Small,19,Epic,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Gold-lined Belt,Belt,Small,21,Epic,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Healer's Suspenders,Belt,Small,23,Epic,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Doctor's Suspenders,Belt,Small,25,Epic,,TRUE,of 6th Sense,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Surgeon's Suspenders,Belt,Small,27,Epic,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Elite Doctor's Suspenders,Belt,Small,29,Epic,,TRUE,of the Scientist,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Bolt Lock,Belt,Small,30,Epic,TRUE,TRUE,of the Legend,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Waistland,Belt,Small,30,Epic,,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Thick Rope Strap,Belt,Large,8,Common,,TRUE,,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Thick Cloth Strap,Belt,Large,12,Common,,TRUE,,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Thick Canvas Strap,Belt,Large,15,Common,,TRUE,,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Thick Leather Strap,Belt,Large,18,Common,,TRUE,,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Thick Reinforced Strap,Belt,Large,21,Common,,TRUE,,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Thick Synth Strap,Belt,Large,27,Common,,TRUE,,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Dark Brown Leather Belt,Belt,Large,7,Uncommon,,TRUE,of Guts,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Dark Grey Leather Belt,Belt,Large,9,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Navy Leather Belt,Belt,Large,13,Uncommon,,TRUE,of Guts,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Black Leather Belt,Belt,Large,17,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Midnight Leather Belt,Belt,Large,20,Uncommon,,TRUE,of Guts,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Lizard Skin Belt,Belt,Large,23,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Snake Skin Belt,Belt,Large,25,Uncommon,,TRUE,of Guts,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Croc Skin Belt,Belt,Large,28,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Weight-lifting Belt,Belt,Large,30,Uncommon,,TRUE,of Guts,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Welted Buckle,Belt,Large,30,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Thick Tin-studded Belt,Belt,Large,4,Rare,,TRUE,of Guts,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Thick Rust-studded Belt,Belt,Large,7,Rare,,TRUE,of Determination,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Thick Silver-studded Belt,Belt,Large,10,Rare,TRUE,TRUE,of Guts,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Thick Iron-studded Belt,Belt,Large,13,Rare,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Thick Steel-studded Belt,Belt,Large,16,Rare,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Thick Titanium-studded Belt,Belt,Large,19,Rare,TRUE,TRUE,of Guts,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Thick Cap-studded Belt,Belt,Large,22,Rare,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Thick Skull-studded Belt,Belt,Large,25,Rare,TRUE,TRUE,of Guts,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Magnet-studded Belt,Belt,Large,28,Rare,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Whipping Belt,Belt,Large,30,Rare,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Peddler Belt,Belt,Large,3,Epic,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Syndicate Belt,Belt,Large,5,Epic,,TRUE,of the Destroyer,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Biker Belt,Belt,Large,7,Epic,,TRUE,of Guts,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Badass Belt,Belt,Large,9,Epic,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Dominator Belt,Belt,Large,10,Epic,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Bear Belt,Belt,Large,11,Epic,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Rhino Belt,Belt,Large,13,Epic,TRUE,TRUE,of Guts,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Mammoth Belt,Belt,Large,15,Epic,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Belt of Annoyance,Belt,Large,17,Epic,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Belt of Frustration,Belt,Large,19,Epic,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Belt of Aggression,Belt,Large,21,Epic,TRUE,TRUE,of Guts,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Belt of Destruction,Belt,Large,23,Epic,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Belt of Rebellion,Belt,Large,25,Epic,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Belt of Anarchy,Belt,Large,27,Epic,TRUE,TRUE,of the Destroyer,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Belt of Revolution,Belt,Large,29,Epic,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Belt of Universality,Belt,Large,30,Epic,TRUE,TRUE,of Guts,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Extraordinary Belle T,Belt,Large,30,Epic,,TRUE,of the Destroyer,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Fire-tempered Belt,Belt,Small,20,Rare,,TRUE,of Capacity,,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Fire-forged Belt,Belt,Large,20,Rare,,TRUE,of Guts,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Queen's Sparkling Belt,Belt,Small,30,Epic,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Queen's Whipper,Belt,Large,30,Epic,,TRUE,of the Destroyer,,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
Laser-guiding Belt,Belt,Small,30,Epic,TRUE,TRUE,of the Crymaker,3,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Silver Seal,Belt,Small,30,Epic,TRUE,TRUE,of Capacity,4,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Dune Whipper,Belt,Large,30,Epic,TRUE,TRUE,of the Destroyer,3,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Bacon Wrap,Belt,Large,30,Epic,TRUE,TRUE,of Guts,4,,graphics/3d/character/belt/desert_hooligan_belt1_m.png,graphics/3d/character/belt/desert_hooligan_belt1_f.png,,,,,,,,,,,
Woven Belt,Belt,Small,5,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Punk Belt,Belt,Large,5,Common,,TRUE,,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Sloth,Belt,Small,30,Epic,,TRUE,of the Crymaker,3,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Greed,Belt,Large,30,Epic,,TRUE,of the Destroyer,3,,graphics/3d/character/belt/belt_black_02_m.png,graphics/3d/character/belt/belt_black_02_f.png,,,,,,,,,,,
