Name,NPCItem,EquipmentClass,Rarity,Enhancement,Tier,ShopRecommend,RequiredLevel,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootDisabled,Icon,LootResource,LootExportName,PostToSocialNetworks
Singular Aviator Shades,,Aviator Shades,Rare,of the Beast,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Outstanding Shutter Shades,,Shutter Shades,Rare,of Health,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Superfine Shutter Shades,,Shutter Shades,Rare,of Brightness,,,5,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Excellent Smart Shades,,Shades,Rare,of Health,,,9,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/3d/sunglasses/textures/rimless_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Marvelous Shutter Shades,,Shutter Shades,Rare,of Brightness,,,11,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses_green.png,graphics/3d/sunglasses/textures/shutter_glasses_green.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Awesome Shutter Shades,,Shutter Shades,Rare,of the Troublemaker,,,20,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses_purple.png,graphics/3d/sunglasses/textures/shutter_glasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Greater Shutter Shades,,Shutter Shades,Rare,of the Assassin,,,24,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses_orange.png,graphics/3d/sunglasses/textures/shutter_glasses_orange.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Targeting Monocle,,Shades,Rare,of Intuition,,,27,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,graphics/3d/sunglasses/textures/targeting_monocle_blue.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Elegant Aviator Shades,,Aviator Shades,Uncommon,,,,5,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Great Aviator Shades,,Aviator Shades,Uncommon,,,,14,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Cool Aviator Shades,,Aviator Shades,Uncommon,,,,20,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Good Aviator Shades,,Aviator Shades,Uncommon,,,,22,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Fine Aviator Shades,,Aviator Shades,Uncommon,,,,25,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Credible Aviator Shades,,Aviator Shades,Uncommon,,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Street Wise Aviator Shades,,Aviator Shades,Uncommon,,,,12,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Worthy Aviator Shades,,Aviator Shades,Uncommon,,,,15,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Boosted Aviator Shades,,Aviator Shades,Uncommon,,,,27,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Acute Aviator Shades,,Aviator Shades,Uncommon,,,,28,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Genuine Aviator Shades,,Aviator Shades,Uncommon,,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Great Shutter Shades,,Shutter Shades,Uncommon,,,,11,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Cool Shutter Shades,,Shutter Shades,Uncommon,,,,17,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Good Shutter Shades,,Shutter Shades,Uncommon,,,,8,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Fine Shutter Shades,,Shutter Shades,Uncommon,,,,4,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Credible Shutter Shades,,Shutter Shades,Uncommon,,,,27,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Street Wise Shutter Shades,,Shutter Shades,Uncommon,,,,8,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Worthy Shutter Shades,,Shutter Shades,Uncommon,,,,7,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Boosted Shutter Shades,,Shutter Shades,Uncommon,,,,9,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Acute Shutter Shades,,Shutter Shades,Uncommon,,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Genuine Shutter Shades,,Shutter Shades,Uncommon,,,,10,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Special Shutter Shades,,Shutter Shades,Uncommon,,,,19,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Demolisher's Shades,,Aviator Shades,Uncommon,,,,15,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Grim's Shades,,Shutter Shades,Uncommon,,,,2,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Excellent Shades,,Shades,Rare,of Intuition,,,10,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Marvelous Shades,,Shades,Rare,of the Scientist,,,13,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Awesome Shades,,Shades,Rare,of the Thug,,,22,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Greater Shades,,Shades,Rare,of Guts,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Singular Shades,,Shades,Rare,of Awareness,,,28,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Exquisite Shades,,Shades,Rare,of Determination,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
High Power Shades,,Shades,Rare,of Intuition,,,28,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Jagged Shades,,Shades,Rare,of the Hunter,,,8,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/3d/sunglasses/textures/matrix_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Radical Shades,,Shades,Rare,of the Beast,,,15,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/3d/sunglasses/textures/matrix_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
First Class Shades,,Shades,Rare,of Health,,,23,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/3d/sunglasses/textures/matrix_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Awesome Specs,,Specs,Rare,of Brightness,,,29,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/3d/sunglasses/textures/matrix_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Underhouse Shades,,Specs,Rare,of the Troublemaker,,,14,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/nasty_bard_glasses.png,graphics/3d/sunglasses/textures/nasty_bard_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Underhouse Specs,,Specs,Rare,of the Assassin,,,10,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/nasty_bard_glasses.png,graphics/3d/sunglasses/textures/nasty_bard_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Smart Specs,,Specs,Rare,of Capacity,,,16,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/3d/sunglasses/textures/rimless_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Smart Shades,,Shades,Rare,of the Hunter,,,17,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/3d/sunglasses/textures/rimless_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Undertaker's Goggles,,Shades,Rare,of Health,,,19,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/square_glasses_red.png,graphics/3d/sunglasses/textures/square_glasses_red.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Stealth Fantom Goggles,,Shades,Rare,of Brightness,,,12,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Goggles,,Shades,Rare,of the Troublemaker,,,17,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Battle Visors,,Shades,Rare,of the Assassin,,,25,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/visor_purple.png,graphics/3d/sunglasses/textures/visor_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Prototype Eye LBC-020,,Cybernetic Eye,Rare,of Capacity,,,20,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
High Power Specs,,Specs,Rare,of Rationality,,,1,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,7,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Jagged Specs,,Specs,Rare,of the Thug,,,2,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Radical Pilot Goggles,,Shades,Rare,of Brightness,,,3,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/3d/sunglasses/textures/round_pilot_goggles.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
First Class Specs,,Specs,Rare,of the Hunter,,,4,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/3d/sunglasses/textures/rimless_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Pyrox's Shades,,Shades,Rare,,,,29,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,graphics/3d/sunglasses/textures/hi_speed_glasses_red.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Bauhoff's Bionic Eye,,Cybernetic Eye,Epic,of Capacity,,,30,graphics/3d/sunglasses/textures/cybernetic_eye_01.png,graphics/3d/sunglasses/textures/cybernetic_eye_01_f.png,,,,,,,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Incredibly Credible Shades,,Shades,Rare,of Stamina,,,30,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,graphics/3d/sunglasses/textures/stealth_fantom_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Alton's Shutter Shades,,Shutter Shades,Common,,,,6,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Alton's Aviator Shades,,Aviator Shades,Common,,,,6,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Alton's Pilot Goggles,,Shades,Common,,,,6,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/3d/sunglasses/textures/round_pilot_goggles.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
River's Shades,,Shades,Uncommon,,,,9,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Solar Shades,,Aviator Shades,Uncommon,,,,12,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Spelunker's Goggles,,Shades,Uncommon,,,,17,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/3d/sunglasses/textures/round_pilot_goggles.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
De La Vega's Spare Shades,,Shutter Shades,Uncommon,,,,27,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
One Eye Visor,,Shades,Rare,,,,20,,,graphics/3d/sunglasses/visors_male.SUP,visor_1eye,graphics/3d/sunglasses/visors_female.SUP,visor_1eye,graphics/3d/sunglasses/textures/visor_1eye.png,graphics/3d/sunglasses/textures/visor_1eye.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
