Name,WeaponClass,RequiredLevel,Rarity,Tier,DiamondsOnly,DiamondCostExact,Enhancement,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks
Excellent Saw,Saw,22,Rare,,,,of the Judgment,,7,,,,,,,,,,,,,TRUE
Advanced Chainsaw,Chainsaw,23,Uncommon,,,,,,2,,,,,,,,,,,,,TRUE
Lousy Chainsaw,Chainsaw,24,Poor,,,,,,,,,,,,,,,,,,,TRUE
Awesome Chainsaw,Chainsaw,26,Rare,,,,of the Judgment,,2,,,,,,,,,,,,,TRUE
Usual Chainsaw,Chainsaw,26,Common,,,,,,,,,,,,,,,,,,,TRUE
Street Credible Chainsaw,Chainsaw,27,Uncommon,,,,,,6,,,,,,,,,,,,,TRUE
Brutal Chainsaw,Chainsaw,28,Rare,,,,of the Judgment,,3,,,,,,,,,,,,,TRUE
High-Power Chainsaw,Chainsaw,29,Rare,,,,of the Judgment,,,,,,,,,,,,,,,TRUE
Crappy Chainsaw,Chainsaw,30,Poor,,,,,,,,,,,,,,,,,,,TRUE
Massive Chainsaw,Chainsaw,30,Uncommon,,,,,,4,,,,,,,,,,,,,TRUE
Marvelous Chainsaw,Chainsaw,30,Rare,2,,,of the Judgment,,2,,,,,,,,,,,,,TRUE
Chainsaw XX-30,Chainsaw,30,Epic,3,,,,,7,,,,,,,,,,,,,TRUE
Chainsaw X-11,Chainsaw,11,Epic,,,,of the Judgment,,2,,,,,,,,,,,,,TRUE
Chainsaw X-15,Chainsaw,15,Epic,,,,of the Judgment,,4,,,,,,,,,,,,,TRUE
Chainsaw X-21,Chainsaw,21,Epic,,,,of the Judgment,,4,,,,,,,,,,,,,TRUE
Chainsaw X-27,Chainsaw,27,Epic,,,,of the Judgment,,4,,,,,,,,,,,,,TRUE
Spare Sentrybot Part,Jigsaw,18,Uncommon,,,,,,,,,,,,,,,,,,162,TRUE
Chainsaw X-30,Chainsaw,30,Epic,5,,,of the Judgment,,7,,,,,,,,,,,,,TRUE
