Name,EnergyCost,HealthCost,ConsumableItemClass,RequiredWeaponClass,Projectile,TargetFilter,PreferredTargetClass,Range,Threat,Cast,CoolDown,AoeRadius,AoeFilter,RelativeDamage,PushBack,Animation,WeaponClassAnimation,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffArmor%,BuffDamage%,BuffHP%,BuffRelativeDamage,BuffEffect
Healing Shot,40,,,Ranged Weapon,,friendly,,,30,400,8000,,,-40,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Sonic Burst,0,,,Ranged Weapon,,enemy,,,0,1000,25000,,,350,TRUE,Shoot_SonicGun_A,,,,,,,SonicGun,sonic_burst_muzzle,SonicBurst,SonicBurst,Tracer_sonic,,,,,,,,,,,,,,
Sonic Stomp,0,,,Ranged Weapon,,self,,,0,4000,25000,50,enemy,300,TRUE,Shoot_SonicGun_B,,,,,Sonic_Stomp,,SonicGun,sonic_burst_muzzle,SonicBurst,,,,,,,,,TRUE,,,,,,250,
ElectricSlam,0,,,Melee Weapon,,enemy,,,0,700,30000,50,enemy,350,TRUE,Slammer,,,,,,ElectricSlam,,,,,,,,,,,,,,,,,,,
ShootElectric,0,,,Melee Weapon,,enemy,,,0,1000,15000,50,enemy,350,TRUE,ShootHammerLightning,,,,,LightningBurster,LightningBursterHit,,,,,,,,,,,,,,,,,,,
Heman,0,,,Melee Weapon,,enemy,,,0,1000,1000,50,enemy,300,TRUE,Heman,,,,,FlashEffect,ElectricSlam,,,,,,,,,,,,TRUE,,,,,,,
Overrun by Spider,20,,,,,enemy,,40,0,1000,30000,60,enemy,350,TRUE,SpiderbotMelee01,,,,,FlashEffect,,Skill_Slammer_End,,,,,,,,10000,,,,,,-10,,,100,
SentryBot Slammer,20,,,,,enemy,,10,,2000,25000,30,enemy,350,TRUE,SentrybotMelee01,,,,Skill_FX_Slammer,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,-20,,,,,100,
Push,40,,,,,enemy,,30,8,1000,20000,,,400,TRUE,Push,,,,,,,,,,,,,,,,,,,,,,20,,,
Taunt,20,,,Melee Weapon,,enemy,,,8,1000,15000,,,300,,Taunt,,,,,,,,,,,,,,,,,,,,,,,,,
Somersault,40,,,Melee Weapon,,enemy,,,8,1000,10000,,,500,TRUE,Somersault,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Explosion,0,,,,,self,,,10,,,60,enemy,400,TRUE,,,,,,Wall Explode,,GrenadeExplosion,,,,,,,,,,,,,,,,,,
Glass Wall Break,0,,,,,self,,,0,0,0,,,0,,,,,,,Glass Wall Shatter,,BreakingGlass,,,,,,,,,,,,,,,,,,
Roar,0,,,Melee Weapon,,self,,,0,1000,1000,,,0,FALSE,Taunt_SonicGun,,,,,,,,,,,,,,,,,,,,,,,,,
RoboMissile,12,,,Ranged Weapon,Missile,location,,,40,1250,25000,30,enemy,300,,PushBack,,21,TID_TOOLTIP_SKILL_GRENADE,,Nuke,,MissileLaunch,,,,,,,,5000,,,,,,,,,150,Burner
Alarm,0,,,,,self,,,10,,,60,,0,,,,,,,AlarmDeviceFx,,AlarmSound,,,,,,,,,,,,,,,,,,
Alarm Mute,0,,,,,self,,,10,,,60,,0,,,,,,,AlarmDeviceFx,,,,,,,,,,,,,,,,,,,,
RoboGun,10,,,Ranged Weapon,,location,,,10,1000,1000,75,enemy,250,TRUE,RoboTankAttack02,,,,,,,,,,,,,,,3000,,,,,,,,,50,
RoboSlammer,15,,,,,self,,,25,1000,15000,40,enemy,350,TRUE,PushBack,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,100,
Demolishers Stun Grenade,20,,Explosive,,StunGrenade,location,,,15,450,3000,30,enemy,400,,IndustrialBotAttack01,,18,TID_TOOLTIP_AI_SKILL_STUNGRENADE,,FlashEffect,,,,,,,,,,150,,,TRUE,,,,,,,
Wushu Stun,20,,,,,self,Doctor,,15,1500,20000,40,enemy,400,,WushuA,,18,,,Stun,,,,,,,,,,3000,,,TRUE,,,,,,,
Wushu Push,15,,,,,self,,,25,1000,30000,40,enemy,545,TRUE,WushuB,,,,,FlashEffect,,,,,,,,,,5000,,,,-30,,,,,,
Wushu Hit,,,,,,self,Hunter,,25,450,10000,30,enemy,300,TRUE,WushuC,,,,,,,,,,,,,,,,,,,,,,,,100,
Warehousebot ShootElectric,0,,,Ranged Weapon,,enemy,,,0,500,5000,75,enemy,90,,WarehousebotAttack,,,,,BotLightningBurster,LightningBursterHit,,,,,,,,,,,,,,,,,,,
Warehousebot ElectricBlast,0,,,,,self,,,15,1000,1000,50,enemy,80,TRUE,WarehousebotTwirler,,,,,,ElectricSlam,,,,,,,,,,,,TRUE,,,,,,,
AI ShootElectric,0,,,Ranged Weapon,,enemy,,,0,700,700,75,enemy,10,,AI_attack,,,,,LightningBurster,LightningBursterHit,,,,,,,,,,,,,,,,,,,
General Stun Grenade,20,,Explosive,,StunGrenade,location,,,15,0,500,40,enemy,160,,Throw,,18,TID_TOOLTIP_AI_SKILL_STUNGRENADE,,Stun,,,,,,,,,,150,,,TRUE,,,,,,,
Healing Power,10,,,,,friendly,,50,30,200,4000,,,-200,,Use,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,5,,,,
Molotov Cocktail,10,,Explosive,,Molotov,location,,,20,450,3000,40,enemy,100,,Throw,,,,,MolotovExplosion,,,,,,,,,,,,,,,,,,,,
Hooligan Buff,10,,,,,self,,,30,200,4000,100,friendly,,,Use,,,,,FlashEffect,,,,,,,,,,10000,,,,,,,30,10,,
Hired Guns Bazooka,20,,Projectile,,Bazooka,location,,,40,450,40000,45,enemy,250,TRUE,LaunchRocket,,,,,Nuke,,MissileLaunch,,,,,,,,,,,,,,,,,100,
Hired Guns Movement,10,,,,,self,,,30,200,4000,100,friendly,,,Use,,,,,FlashEffect,,,,,,,,,,10000,,,,20,40,,,,,
Shuriken,20,,Projectile,,,enemy,,,20,450,3000,40,enemy,100,,Throw,,,,,,,Shuriken,,,,,,,,,,,,-20,-20,,,,,
MechWarrior Rocket,12,,,Ranged Weapon,Missile,location,Hunter,,40,1250,5000,30,enemy,700,,RocketAttack,,21,TID_TOOLTIP_SKILL_GRENADE,,Nuke,,Skill_Slammer_End,,,,,,,,5000,,,,,,,,,200,Burner
MechWarrior Slammer,20,,,,,enemy,,50,,2000,10000,50,enemy,800,TRUE,SentrybotMelee01,,,,,,,,,,,,,,,,,,,-30,-20,,,,150,
MechWarrior Electric Boogie,0,,,Melee Weapon,,enemy,,,0,1000,1000,50,enemy,500,TRUE,SentrybotAttack01,,,,,LightningBurster,LightningBursterHit,,,,,,,,,,,,,,,,,,180,
Kingpin Shield Up,20,,,,,self,,,40,450,6000,,,,,Use,,6,,,ForceField,,,,,,,,,,10000,,,,-20,-20,20,20,,,
John Woo Attack,40,,,Ranged Weapon,,enemy,,,8,1000,30000,,,300,TRUE,DualPistolSpecialAttack1,,,,,,,,,,,,,,,,,,,,,,,,200,
Hedonist Push,40,,,Ranged Weapon,,enemy,,,8,1000,17000,,,300,TRUE,Push,,,,,,,,,,,,,,,,,,,,,,,,100,
Bush Explosion,0,,,,,self,,,0,1250,5000,60,enemy,1000,,RocketAttack,,21,TID_TOOLTIP_SKILL_GRENADE,,Nuke,,MissileLaunch,,,,,,,,,,,,,,,,,,
Pretty Roger Bazooka,20,,Projectile,,Bazooka,enemy,,,40,450,30000,60,enemy,600,TRUE,LaunchRocket,,,,,Wall Explode,,,,,,,,,,,,,,,,,,,100,
Epic Merc Heal,10,,,Ranged Weapon,,friendly,,,5,400,4000,,,-55,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Epic Merc Bot Missile,12,,,Ranged Weapon,Missile,location,,,40,1250,5000,30,enemy,55,,PushBack,,21,TID_TOOLTIP_SKILL_GRENADE,,Nuke,,MissileLaunch,,,,,,,,5000,,,,,,,,,170,Burner
Epic Merc Bot Gun,10,,,Ranged Weapon,,location,,,10,500,3000,75,enemy,75,TRUE,RoboTankAttack02,,,,,,,,,,,,,,,3000,,,,,,,,,50,
Epic Merc Heal MK2,20,,,Ranged Weapon,,friendly,,,5,400,4000,,,-65,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Power Slam,0,,,Ranged Weapon,,self,,,0,1000,30000,50,enemy,350,TRUE,SentrybotMelee01,,,,,Sonic_Stomp,,SonicGun,sonic_burst_muzzle,SonicBurst,,,,,,,,,TRUE,,,,,,100,
Lava Spit,0,,,Melee Weapon,,enemy,,,0,1000,45000,50,enemy,300,TRUE,Idle,FlameThrower,,,FlameThrower,FireLooping,LightningBursterHit,,,,,,,,,,,,,,,,,,,
Lava Squirt,0,,,Melee Weapon,,self,,,0,1000,30000,50,enemy,300,FALSE,SpecialAttack,,43,,,AntPoisonEffect,,VoQueenAntSpecialAttack,,,,,,,,5000,,,FALSE,,,,,,140,
Ant Poison,0,,,,,self,,,10,2000,15000,60,enemy,300,FALSE,SpecialAttack,,43,,Skill_FX_Toxic,AntPoisonEffect,,VoQueenAntSpecialAttack,,,,,,,,5000,,,FALSE,,,,,,150,
Pyrox Fire,0,,,Melee Weapon,,enemy,Bodyguard,,0,1000,35000,50,enemy,350,TRUE,Rage,FlameThrower,,,FireLooping,BarrelExplosion,SewerSteam,GrenadeExplosion,,,,,,,,10000,,,,,,-20,-50,,,
Lash,40,,,,,enemy,,20,0,1000,45000,,,300,,Whip_Special_Attack,,,,,,,,,,,,Trail,,,10000,,,,,,-50,,,50,
Mushroom Burst,0,,,,,self,,,10,0,0,60,enemy,60,FALSE,,,18,,,MushroomBurst,,ShockGrenadeExplosion,,,,,,,,3000,,,TRUE,,,,,,,
Hermit Slammer,15,,,Melee Weapon,,self,Doctor,,25,2000,25000,40,enemy,300,TRUE,,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,-20,,,,,150,
Hermit Blow,15,,,Melee Weapon,,enemy,,,10,2000,30000,40,enemy,450,,JawBlow,,,TID_TOOLTIP_AI_SKILL_SLAM,,Stun,,SkillJawBlow,,,,,,,,2000,,,TRUE,,,,,,200,
Lizard Acid,0,,,,,self,,,10,500,30000,60,enemy,250,FALSE,LizardAttackBreath,,43,,Skill_FX_Toxic,LizardAcidEffect,,VoLizardSpecialAttack1,,,,,,,,45000,,,FALSE,,,,,,100,
Lizard 360,0,,,,,self,,,25,1000,45000,40,enemy,400,TRUE,LizardAttackTail360,,,,,,,VoLizardSpecialAttack2,,,,,,,,,,,,,,,,,,
Mosquitobot Sonic Burst,0,,,Ranged Weapon,,enemy,,,0,3000,10000,,,250,TRUE,MosquitoBotSonicBurst,,,,,,,SonicGun,sonic_burst_muzzle,SonicBurst,SonicBurst,Tracer_sonic,,,,,,,,,,,,,,
Bombot Stun,5,,,,,self,,,10,0,0,40,enemy,60,FALSE,,,18,,,BarrelStun,,,,,,,,,,3000,,,TRUE,,,,,,,
Catherine Poison,35,,,Ranged Weapon,,enemy,,50,10,1000,25000,100,enemy,450,FALSE,,,,,,BarrelPoison,,,,,,,,,,30000,,,FALSE,,,,,,170,
Catherine Headshot,35,,,Ranged Weapon,,enemy,,50,10,1500,35000,,,500,TRUE,,,,,,Stun,,,,,,,,,,7000,,,TRUE,,,,,,,
Kamikaze Heal,0,100000,,,,friendly,,30,40,0,2000,50,friendly,-10000,,,,21,,,,Skill_FX_Doctors_App_Target,GrenadeExplosion,,,,,,,,5000,,,,,,,,,-100,
Kamikaze Poison,0,100000,,,,enemy,,30,40,0,2000,50,enemy,500,,,,21,,,MushroomBurst,,VoQueenAntSpecialAttack,,,,,,,,5000,,,,,,,,,200,
Armor Breaker,50,,,,,enemy,,15,0,1000,15000,,,600,,JawBlow,,,,,,,,,,,,Trail,,,10000,,,,,,-85,,,500,
Powerful Healing Shot,40,,,Ranged Weapon,,friendly,,,30,400,8000,,,-100,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Headshot,20,,,Ranged Weapon,,enemy,,,10,1000,7000,,,100,TRUE,,,,TID_TOOLTIP_AI_SKILL_QuickShot,,,,,,QuickShot,QuickShot,,,,,,,,,,,,,,,
Power of Love,40,,,,,friendly,,50,30,100,120000,,,-5000,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Rage of Love,40,100000,,,,friendly,,50,30,100,120000,,,-5000,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,600000,,,,50,20,-50,150,,,Burner
Giga Slammer,15,,,Melee Weapon,,self,,,25,1000,10000,40,enemy,10000,TRUE,,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,,
Disembowel,10,,,Melee Weapon,,enemy,,,10,450,7000,,,300,TRUE,,,,TID_TOOLTIP_AI_SKILL_SLAM,,,,SkillJawBlow,,,,,,,,10000,,,,-25,,,,,170,
Creeping Poison,10,,,Melee Weapon,,enemy,,,10,1000,32000,,,350,,JawBlow,,,TID_TOOLTIP_AI_SKILL_SLAM,,,BarrelPoison,SkillJawBlow,,,,,,,,10000,,,,-55,,,,,150,
Poison Grenade,10,,Explosive,,GasGrenade,location,,,15,450,3000,40,enemy,100,TRUE,Throw,,,TID_TOOLTIP_AI_SKILL_GRENADE,,GrenadeExplosion,,,,,,,,,,5000,,,,,,,,,250,
AI Alert,0,,,,,self,,30,10000,0,2000,500,friendly,10,,,,21,,,AlarmDeviceFx,,AlarmSound,,,,,,,,5000,,,,,,,,,140,Burner
Self Destruct,0,100000,,,,self,,30,40,0,2000,500,friendly,7500,,,,21,,,Wall Explode,,GrenadeExplosion,,,,,,,,5000,,,,,,,,,180,Burner
Fire Big Rocket,12,,,Ranged Weapon,Missile,location,,,40,1250,30000,30,enemy,223,,RocketAttack,,21,TID_TOOLTIP_SKILL_GRENADE,,Nuke,,MissileLaunch,,,,,,,,5000,,,,,,,,,220,Burner
Cavedragon Egg,0,,,,,self,,,10,0,0,60,enemy,50000,TRUE,,,18,,,MushroomBurst,,ShockGrenadeExplosion,,,,,,,,60000,,,,,,,,,,
Cavedragon Acid,0,,,,,enemy,,75,10,500,30000,,,300,TRUE,LizardAttackBreath,,43,,Skill_FX_Toxic,LizardAcidEffect,,VoLizardSpecialAttack1,,,,,,,,25000,,,FALSE,-30,,-30,,,220,
Cavedragon 360,0,,,,,self,,,25,1000,40000,60,enemy,400,TRUE,LizardAttackTail360,,,,,,,VoLizardSpecialAttack2,,,,,,,,,,,,,,,,,,
Bee Push,,,,,,self,,,25,1000,10000,40,enemy,200,TRUE,BeePush,,,,,FlashEffect,,,,,,,,,,,,,,,,,,,,
Chieftain Flamer,0,,,Ranged Weapon,,location,,30,10,500,15000,60,enemy,400,TRUE,,FlameThrower,,,FlameThrower,FireLooping,,VoLizardSpecialAttack1,,,,,,,,10000,,,FALSE,,,,,,130,Burner
Cripling Shot,40,,,Ranged Weapon,,enemy,,,8,1000,5000,,,200,TRUE,DualPistolSpecialAttack1,,,,,,,,,,,,,,,25000,,,FALSE,,-50,,,,,
Shaman Heal,10,,,Melee Weapon,,friendly,,,5,1000,40000,,,-5000,,ShootHammerLightning,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Friendly Fire Rocket,20,,Projectile,,Bazooka,enemy,,,40,450,6000,30,enemy,150,TRUE,,,,,,,,,,,,,,,,5000,75,enemy,,,,,,,250,Burner
Friendly Fire Big Rocket,12,,,Ranged Weapon,Missile,location,,,40,1250,5000,30,enemy,350,TRUE,RocketAttack,,21,,,Nuke,,MissileLaunch,,,,,,,,5000,60,enemy,,,,,,,300,Burner
Friendly Fire Sentry Rocket,12,,,Ranged Weapon,Missile,location,,,40,1250,5000,30,enemy,50,TRUE,RocketAttack,,21,,,Nuke,,MissileLaunch,,,,,,,,5000,60,enemy,,,,,,,270,Burner
Nerve gas,0,,,,,self,,,10,0,30000,150,enemy,100,FALSE,,,43,,,BarrelPoison,,,,,,,,,,60000,,,FALSE,,,,,,220,
Rage Explosion,15,,,Melee Weapon,,self,,,25,3000,45000,55,enemy,170,TRUE,Rage,,,,,Nuke,,GrenadeExplosion,,,,,,,,10000,,,,,,,,,180,Burner
Enrage,50,,,,,self,,,40,1000,120000,,,-2000,TRUE,Rage,,,,,FlashEffect,,,,,,,,,,60000,,,,,10,,100,,140,Burner
Execution Shot,20,,,Ranged Weapon,,friendly,,,10,1000,3000,,,10000,,ShootMinigun,,,,,,,,,QuickShot,QuickShot,,,,,,,,,,,,,,,
Riotbot Slammer,20,,,,,location,Hunter,35,,2000,30000,50,enemy,400,,SentrybotMelee01,,,,,,ElectricSlam,SkillSlammerEnd,,,,,,,,5000,50,,TRUE,,,-50,,,,
Riot Push,40,,,,,enemy,,30,8,1000,17000,,,460,TRUE,Push,,,,,,Skill_FX_Eunuch_Maker,,,,,,,,,3000,,,TRUE,,,,,,,
Nemesis Bazooka,20,,Projectile,,Bazooka,enemy,,,40,450,35000,60,enemy,370,TRUE,LaunchRocket,,,,,,,,,,,,,,,10000,30,,,,,,,,200,Burner
Doctor Suicide,0,100000,,,,self,,30,40,0,2000,500,friendly,100000,,,,21,,,Wall Explode,,GrenadeExplosion,,,,,,,,1,500,enemy,,,,,,,100000,Burner
Buff Grenade,10,,Explosive,,GasGrenade,location,,,15,450,6000,100,friendly,150,TRUE,Throw,,,,,GrenadeExplosion,,,,,,,,,,20000,,,,50,50,,50,,-1000,
Riotbot Rocket,12,,,Ranged Weapon,Missile,location,Doctor,,40,1250,20000,30,enemy,300,,RocketAttack,,21,,,Nuke,,MissileLaunch,,,,,,,,5000,,,,,,,,,190,Burner
Mega Heal,40,,,Ranged Weapon,,friendly,,,,400,10000,,,-500,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
SpiderBotTaunt,10,,,,,enemy,,30,8,3000,0,,,200,TRUE,Taunt,,,,,,Skill_FX_Eunuch_Maker,,,,,,,,,,,,TRUE,,,,,,,
Mafioso Shot,0,,,Ranged Weapon,,enemy,,,0,1000,25000,50,enemy,200,TRUE,Shoot_Special,,59,TID_TOOLTIP_AI_SKILL_SHOTGUN07,FlashEffect,FlashEffect,Skill_FX_BulletRain,,,,,,,,,10000,,,FALSE,-30,-30,,,,,
Crab Special,,,,,,self,,,25,1000,10000,40,enemy,200,TRUE,Crab_Special,,,,,FlashEffect,,,,,,,,,,,,,,,,,,,,
Grim Rage,50,,,,,self,,,40,2500,10000,40,enemy,150,TRUE,Rage,,16,,,FlashEffect,SewerSteam,GrenadeExplosion,,,,,,,,5000,,,,10,10,-10,20,20,160,
Grim Taunt,10,,,,,enemy,,30,8,400,6000,,,150,TRUE,Taunt1,,,,,,Skill_FX_Eunuch_Maker,,,,,,,,,,,,TRUE,,,,,,,
Mafioso Headshot,35,,,Ranged Weapon,,enemy,Bodyguard,50,10,1500,30000,,,200,TRUE,,,,,,Stun,,,,,,,,,,7000,,,TRUE,,,,,,,
Praepropere,20,,,,,enemy,Doctor,50,15,1500,25000,40,enemy,380,TRUE,Megastrike1,,18,,,Stun,,,,,,,,,,4000,,,TRUE,,,,,,150,
Forente,15,,,,,enemy,,50,25,1000,30000,40,enemy,300,TRUE,Megastrike2,,,,,FlashEffect,,,,,,,,,,5000,,,,-30,,,,,200,
Nimis,,,,,,enemy,,50,25,450,15000,30,enemy,300,TRUE,Megastrike3,,,,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,200,
Piggy Headshot,35,,,Ranged Weapon,,enemy,,50,10,1500,35000,,,200,TRUE,,,,,,Stun,,,,,,,,,,3000,,,TRUE,,,,,,,
Killshot,35,,,Ranged Weapon,,enemy,,50,10,1500,35000,,,380,TRUE,,,,,,Stun,,,,,,,,,,7000,,,TRUE,,,,,,,
Captain Poison,35,,,Ranged Weapon,,enemy,,50,10,1000,25000,100,enemy,400,FALSE,,,,,,BarrelPoison,,,,,,,,,,30000,,,FALSE,,,,,,1000,
Security Headshot,35,,,Ranged Weapon,,enemy,,50,10,1500,45000,,,380,TRUE,,,,,,Stun,,,,,,,,,,2000,,,,-100,,-50,,,,
Impatience,0,,,Melee Weapon,,enemy,,,0,1000,25000,50,enemy,300,TRUE,Twirler,FlameThrower,,,FireLooping,BarrelExplosion,SewerSteam,GrenadeExplosion,,,,,,,,10000,,,,,,-20,-50,,200,
Revenge,15,,,Melee Weapon,,enemy,Hunter,,25,1000,15000,40,enemy,340,TRUE,Megastrike1,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,200,
Slow Explosion,0,100000,,,,enemy,,30,40,1000,2000,50,enemy,100,,,,21,,,Wall Explode,,GrenadeExplosion,,,,,,,,5000,,,,,,,,,200,Burner
Bixie,20,,,,,enemy,,50,15,1500,15000,40,enemy,320,TRUE,SpecialBackhand,,18,,,FlashEffect,,Skill_Slammer_End,,,,,,,,40000,,,,,,-50,,,300,
Qilin,15,,,,,enemy,,100,25,1000,50000,40,enemy,300,TRUE,SpecialPowerdrill,,,,,Stun,,SkillJawBlow,,,,,,,,6000,,,TRUE,,,,,,200,
Alchemy Boost,10,,,Melee Weapon,,friendly,,,5,1000,40000,,,-1000,,Taunt,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Jealosy,0,,,Melee Weapon,,enemy,,50,10,200,30000,150,enemy,360,FALSE,Taunt2,,43,,,BarrelPoison,,,,,,,,,,15000,,,,,,,,,200,
Daddys Payback,40,,,Ranged Weapon,,enemy,,,8,2000,15000,,,450,TRUE,ShootRifle1,,,,,,Skill_FX_Rude_Smash,,,,,,,,,,,,,,,,,,200,
You Killed My Sons,35,,,Ranged Weapon,,enemy,Doctor,50,10,2000,30000,,,400,TRUE,ShootRifle2,,,,,Stun,,,,,,,,,,8000,,,TRUE,,,,,,150,
Daddy knows the best,0,,,Ranged Weapon,,location,,100,10,2000,30000,200,enemy,500,FALSE,ShootMinigun,,43,,,BarrelPoison,Skill_FX_Leg_Breaker,,,,,,,,,60000,,,FALSE,,,-80,-50,,120,
Emmett Heal,40,,,Ranged Weapon,,self,,,,500,180000,,,-8000,,,,,,,,Skill_FX_Doctors_App_Target,,,,,,,,,,,,,,,,,,,
Roboto Stun,20,,,,,location,,100,15,800,20000,40,enemy,200,,WushuA,,18,,,Stun,,,,,,,,,,3000,,,TRUE,,,,,,,
Roboto Push,15,,,,,enemy,,50,25,500,30000,40,enemy,260,TRUE,WushuB,,,,,FlashEffect,,,,,,,,,,9000,,,,-80,,-80,,,,
Roboto Hit,,,,,,enemy,Hunter,50,25,450,10000,30,enemy,250,TRUE,WushuC,,,,,,,,,,,,,,,,,,,,,,,,200,
Night of the Living Dead,0,,,Melee Weapon,,enemy,,,0,1000,25000,50,enemy,420,TRUE,Megastrike1,,,,,BarrelPoison,SewerSteam,GrenadeExplosion,,,,,,,,10000,,,,,,-20,-50,,200,
Braindead,15,,,Melee Weapon,,enemy,,100,25,700,50000,40,enemy,380,TRUE,Megastrike2,,,,,Stun,,SkillJawBlow,,,,,,,,7000,,,TRUE,,,,,,200,
