Name,WeaponClass,RequiredLevel,Rarity,Tier,Enhancement,DiamondsOnly,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,DiamondCostExact
Street Wise Sword,Sword,17,Uncommon,,,,,6,,,,,,,,,,,TRUE,,TRUE,
Nifty Sword,Sword,21,Uncommon,,,,,5,,,,,,,,,,,TRUE,,TRUE,
Ideal Sword,Sword,23,Uncommon,,,,,8,,,,,,,,,,,TRUE,,TRUE,
Elegant Sword,Sword,29,Uncommon,,,,,7,,,,,,,,,,,TRUE,,TRUE,
Hi-Tech Scythe X-29,Hi-Tech Scythe,29,Epic,,of the Judgment,,TRUE,7,,,,,,,,,,,TRUE,,TRUE,
Hi-Tech Scythe X-23,Hi-Tech Scythe,23,Epic,,of the Judgment,,TRUE,7,,,,,,,,,,,TRUE,,TRUE,
Hi-Tech Scythe X-16,Hi-Tech Scythe,16,Epic,,of the Judgment,,TRUE,7,,,,,,,,,,,TRUE,,TRUE,
Hi-Tech Scythe X-13,Hi-Tech Scythe,13,Epic,,of the Judgment,,TRUE,7,,,,,,,,,,,TRUE,,TRUE,
Hi-Tech Scythe X-09,Hi-Tech Scythe,9,Epic,,of the Judgment,,TRUE,7,,,,,,,,,,,TRUE,,TRUE,
Outstanding Sword,Sword,10,Rare,,of the Judgment,,TRUE,14,,,,,,,,,,,TRUE,,TRUE,
Superfine Sword,Sword,30,Rare,,of the Judgment,,,12,,,,,,,,,,,TRUE,,TRUE,
Exquisite Tech Sword,Scimitar,6,Rare,,of the Destroyer,,TRUE,18,,,,,,,,,,,TRUE,,TRUE,
Respectable Tech Sword,Scimitar,30,Rare,3,of the Judgment,,,18,,,,,,,,,,,TRUE,,TRUE,
Hi-Tech Scythe XX-30,Hi-Tech Scythe,30,Epic,4,of the Judgment,,,7,,,,,,,,,,,TRUE,,TRUE,
Crazy Tech Sword,Scimitar,3,Rare,,of the Destroyer,,,18,,,,,,,,,,,TRUE,,TRUE,
Pimp Smacker's Sword,Sword,20,Rare,,,,,,,,,,,,,,,,TRUE,,,
Gangsta's Tech Sword,Tech Sword,1,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Criminal's Tech Sword,Tech Sword,3,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Ruffian's Tech Sword,Tech Sword,6,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Thug's Tech Sword,Tech Sword,9,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Lawbreaker's Tech Sword,Tech Sword,12,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Offender's Tech Sword,Tech Sword,14,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Hitman's Tech Sword,Tech Sword,16,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Lunatic's Tech Sword,Tech Sword,18,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Cleaner's Tech Sword,Tech Sword,20,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Devastator's Tech Sword,Tech Sword,22,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Interrogator's Tech Sword,Tech Sword,24,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Torture's Tech Sword,Tech Sword,26,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Troublemaker's Tech Sword,Tech Sword,28,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
Hustla's Tech Sword,Tech Sword,30,Epic,2,,,TRUE,18,,,,,,,,,,Trail,TRUE,,TRUE,
