Name,District,MainFaction,Type,Tutorial,Hub,Harbor,MX,MY,CharacterDefaultExpLevel,IsAlternativeStartupLevel,IsStartupLevel,IsDefaultWaterLevel,InstanceCount,AB,RandomEnemyPointCount,RequiredItems
Internment,Harbor Island,Mad Dogs,Hospital,,,,9,9,8,,,,,,,
Magazine,Harbor Island,Mad Dogs,,,,,9,10,9,,,,,,,
DefaultWaterLevel,,Hooligans,deprecated,,,,12,17,,,,TRUE,,,,
Excluded2,,Hooligans,deprecated,,,,,,,,,,,,,
Excluded3,,Hooligans,deprecated,,,,,,,,,,,,,
Excluded4,,Hooligans,deprecated,,,,,,,,,,,,,
Troll's Lair,Harbor Island,General,,,,,8,5,7,,,,1,,,
Excluded6,,Hooligans,deprecated,,,,,,,,,,,,,
Shelly Beach,Harbor Island,General,,,,,7,8,6,,,,,,,
Eureka Research,Harbor Island,Labycore,,,,,9,7,7,,,,,,,
Dreamlab,Harbor Island,Labycore,,,,,10,7,7,,,,,,,
Weed Patch,Harbor Island,General,,,,,7,7,6,,,,1,,,
Storehouse,Harbor Island,Labycore,,,,,8,7,6,,,,,,,
Anchorage,Harbor Island,Labycore,,,,,8,8,6,,,,,,,
Loading Bay,Harbor Island,Eastern Queens,,,,,10,8,7,,,,,,,
Container Yard,Harbor Island,Eastern Queens,,,,,10,9,7,,,,,,,
Car Park,Harbor Island,Labycore,,,,,9,8,6,,,,,,,
Pirate Bay,Harbor Island,Resistance,FlowCrossroad,,TRUE,TRUE,8,6,6,,,,,,,
Dawnbreak Square,New Venice,Labycore,,,,,16,23,30,,,,1,,,
Truck Dock,Steel Island,Hired Guns,Hospital,,,,7,16,16,,,,,,,
Messina Desert,Paradise Island,Mutants,,,,,8,13,12,,,,,,,
Oasis Health Station,Paradise Island,13 Diablos,Hospital,,TRUE,,8,12,10,,,,,,,
Motor Pool,Steel Island,Hired Guns,,,,,6,16,16,,,,,,,
Holiday Resort,Paradise Island,Hired Guns,,,,,7,13,12,,,,,,,
Alloy Plaza,Steel Island,Resistance,Hospital,,TRUE,,9,16,15,,,,,,,
Refinery,Steel Island,Hired Guns,,,,,8,16,15,,,,,,,
Lovens Park North,Old World Town,Hooligans,,,,,13,14,25,,,,1,,,
Freedom Island,Old World Town,Undead,,,,,14,12,30,,,,,,,
Seawater Intake,Paradise Island,Hired Guns,,,,,6,13,13,,,,,,,
Fresh Water Reservoir,Paradise Island,Hired Guns,,,,,6,12,14,,,,,,,
Water Purification Facility,Paradise Island,Hired Guns,,,,,5,12,14,,,,,,,
East Canal,Old World Town,Sewer Voodoo,,,,,16,19,30,,,,1,,,
Raw Materials,Steel Island,Hired Guns,,,,,7,17,17,,,,,,,
Barracks,Steel Island,Hired Guns,,,,,6,17,17,,,,,,,
Power Plant East,Steel Island,Labycore,,,,,5,18,19,,,,,,,
Power Plant South,Steel Island,Labycore,,,,,5,19,19,,,,,,,
Power Plant West,Steel Island,Labycore,,,,,4,19,19,,,,1,,,
Power Plant North,Steel Island,Labycore,,,,,4,18,19,,,,,,,
Wells Wharf,Steel Island,Hired Guns,,,,,9,17,15,,,,,,,
Foundry Way,Steel Island,Labycore,,,,,10,17,19,,,,1,,,
Desert Highway,Paradise Island,Raiders,,,,,9,12,10,,,,,,,
Paradise Power,Paradise Island,Raiders,,,,,10,12,11,,,,,,,
Camping Grounds,Paradise Island,Raiders,,,,,9,13,11,,,,,,,
Muck Beach,Harbor Island,Labycore,,,,,11,9,7,,,,,,,
Berlin Street Hospital,Old World Town,Undead,,,,,14,16,20,,,,,,,
Orleans Street,Old World Town,Sewer Voodoo,,,,,15,19,24,,,,1,,,
Amsterdam Street,Old World Town,Sewer Voodoo,,,,,14,19,23,,,,,,,
Copenhagen Street,Old World Town,Labycore,,,,,13,19,24,,,,1,,,
West Canal,Old World Town,General,,,,,12,19,25,,,,,,,
WIP Lava Street,,Labycore,deprecated,,,,,,,,,,,,,
WIP Volcano Square,,Labycore,deprecated,,,,,,,,,,,,,
WIP Lava Beach,,Labycore,deprecated,,,,,,,,,,,,,
New Roma Street,New Venice,Sewer Voodoo,,,,,15,22,29,,,,,,,
New Naples Street,New Venice,Undead,,,,,15,23,30,,,,1,,,
WIP New Milano Street,,Club Flesh,deprecated,,,,,,30,,,,,,,
New Venice Square,New Venice,Sewer Voodoo,,,,,15,21,27,,,,1,,,
Venice Canal East,New Venice,Undead,,,,,15,20,30,,,,1,,,
WIP Venice Canal West,,Club Flesh,deprecated,,,,,,,,,,,,,
Venice Bridge Street,New Venice,Eastern Queens,,,,,14,20,25,,,,,,,
Venice Hospital,New Venice,Resistance,Hospital,,TRUE,,14,21,26,,,,,,,
New Venice Hotel,New Venice,Hooligans,,,,,14,22,28,,,,1,,,
New Peking Street,Old World Town,Hooligans,,,,,15,18,24,,,,1,,,
WIP New Seoul,,Labycore,deprecated,,,,,,,,,,,,,
New Moscow Street,Old World Town,Labycore,,,,,14,17,25,,,,1,,,
Market Square New Paris,Old World Town,Resistance,,,TRUE,,14,18,23,,,,,,,
New London Street,Old World Town,Labycore,,,,,13,18,24,,,,,,,
New Dublin Street,Old World Town,Labycore,,,,,13,17,20,,,,,,,
Old World Hotel,Old World Town,Undead,,,,,13,16,20,,,,,,,
Freedom Park,Old World Town,Undead,,,,,14,13,30,,,,,,,
South Park Garden,Old World Town,Undead,,,,,14,14,30,,,,,,,
Lovens Park West,Old World Town,Eastern Queens,,,,,13,15,21,,,,1,,,
Lovens Park South,Old World Town,Valkyries,,,,,14,15,21,,,,,,,
Mill Park,Steel Island,Labycore,,,,,10,16,15,,,,1,,,
Soggy Bottom,Harbor Island,Mad Dogs,,,,,10,10,9,,,,,,,
Steel Pier,Steel Island,Labycore,,,,,9,18,15,,,,,,,
Processing Plant,Steel Island,Hired Guns,,,,,8,17,15,,,,,,,
B1: Argus East,Island: Argus,,,,,,3,1,30,,,,,B,15,
B2: Argus North East,Island: Argus,,,,,,3,0,30,,,,,B,17,
A1: Argus West,Island: Argus,,,,,,1,1,30,,,,,,15,
A2: Argus North West,Island: Argus,,,,,,1,0,30,,,,,,15,
Argus Harbor Square,Island: Argus,,Hospital,,TRUE,TRUE,2,1,30,,,,,,,
B1: Actor East,Island: Actor,,,,,,5,1,12,,,,,B,15,
B2: Actor North East,Island: Actor,,,,,,5,0,13,,,,,B,15,
A1: Actor West,Island: Actor,,,,,,3,1,12,,,,,,15,
A2: Actor North West,Island: Actor,,,,,,3,0,13,,,,,,15,
Actor Harbor Square,Island: Actor,,Hospital,,TRUE,TRUE,4,1,12,,,,,,,
B1: Castor East,Island: Castor,,,,,,2,,14,,,,,B,15,
B2: Castor North East,Island: Castor,,,,,,2,-1,15,,,,,B,16,
A1: Castor West,Island: Castor,,,,,,0,,14,,,,,,15,
A2: Castor North West,Island: Castor,,,,,,0,-1,15,,,,,,15,
Castor Harbor Square,Island: Castor,,Hospital,,TRUE,TRUE,1,,14,,,,,,,
B1: Medea East,Island: Medea,,,,,,2,1,16,,,,,B,15,
B2: Medea North East,Island: Medea,,,,,,2,0,17,,,,,B,15,
A1: Medea West,Island: Medea,,,,,,0,1,16,,,,,,15,
A2: Medea North West,Island: Medea,,,,,,0,0,17,,,,,,15,
Medea Harbor Square,Island: Medea,,Hospital,,TRUE,TRUE,1,1,16,,,,,,,
B1: Heracles East,Island: Heracles,,,,,,2,1,18,,,,,B,15,
B2: Heracles North East,Island: Heracles,,,,,,2,0,19,,,,,B,15,
A1: Heracles West,Island: Heracles,,,,,,0,1,18,,,,,,15,
A2: Heracles North West,Island: Heracles,,,,,,0,0,19,,,,,,15,
Heracles Harbor Square,Island: Heracles,,Hospital,,TRUE,TRUE,1,1,18,,,,,,,
B1: Theseus East,Island: Theseus,,,,,,2,1,20,,,,,B,15,
B2: Theseus North East,Island: Theseus,,,,,,2,0,21,,,,,B,15,
A1: Theseus West,Island: Theseus,,,,,,0,1,20,,,,,,15,
A2: Theseus North West,Island: Theseus,,,,,,0,0,21,,,,,,15,
Theseus Harbor Square,Island: Theseus,,Hospital,,TRUE,TRUE,1,1,20,,,,,,,
B1: Oileus East,Island: Oileus,,,,,,2,1,22,,,,,B,15,
B2: Oileus North East,Island: Oileus,,,,,,2,0,23,,,,,B,15,
A1: Oileus West,Island: Oileus,,,,,,0,1,22,,,,,,15,
A2: Oileus North West,Island: Oileus,,,,,,0,0,23,,,,,,15,
Oileus Harbor Square,Island: Oileus,,Hospital,,TRUE,TRUE,1,1,22,,,,,,,
B1: Zetes East,Island: Zetes,,,,,,2,1,24,,,,,B,15,
B2: Zetes North East,Island: Zetes,,,,,,2,0,25,,,,,B,15,
A1: Zetes West,Island: Zetes,,,,,,0,1,24,,,,,,15,
A2: Zetes North West,Island: Zetes,,,,,,0,0,25,,,,,,15,
Zetes Harbor Square,Island: Zetes,,Hospital,,TRUE,TRUE,1,1,24,,,,,,,
B1: Idmon East,Island: Idmon,,,,,,2,1,26,,,,,B,15,
B2: Idmon North East,Island: Idmon,,,,,,2,0,27,,,,,B,15,
A1: Idmon West,Island: Idmon,,,,,,0,1,26,,,,,,15,
A2: Idmon North West,Island: Idmon,,,,,,0,0,27,,,,,,15,
Idmon Harbor Square,Island: Idmon,,Hospital,,TRUE,TRUE,1,1,26,,,,,,,
B1: Leitus East,Island: Leitus,,,,,,2,1,28,,,,,B,15,
B2: Leitus North East,Island: Leitus,,,,,,2,0,29,,,,,B,15,
A1: Leitus West,Island: Leitus,,,,,,0,1,28,,,,,,15,
A2: Leitus North West,Island: Leitus,,,,,,0,0,29,,,,,,15,
Leitus Harbor Square,Island: Leitus,,Hospital,,TRUE,TRUE,1,1,28,,,,,,,
B1: Phlias East,Island: Phlias,,,,,,2,-1,30,,,,,B,15,
B2: Phlias South East,Island: Phlias,,,,,,2,,30,,,,,B,15,
A1: Philas South West,Island: Phlias,,,,,,0,,30,,,,,,15,
A2: Phlias West,Island: Phlias,,,,,,0,-1,30,,,,,,15,
Phlias Harbor Square,Island: Phlias,,Hospital,,TRUE,TRUE,1,-1,30,,,,,,,
Desert Storm,Paradise Island,Raiders,,,,,10,13,12,,,,1,,,
Steel Heliport,Steel Island,Labycore,,,,,10,18,16,,,,1,,,
Ratched Lane,Steel Island,Hired Guns,,,,,5,16,16,,,,,,,
Bromden Park,Steel Island,Hired Guns,,,,,4,16,16,,,,,,,
McMurphy Asylum,Steel Island,Labycore,,,,,3,16,17,,,,,,,
AudioAndBossTestLevel,PlaygroundLevels,Hooligans,Excluded from map,,,,,,,,,,,,,
Pulpy Way,Pearl Island,Heavy Metal,,,,,7,5,6,,,,,,,
Harbor Bridge,Harbor Island,Labycore,deprecated,,,,19,3,3,,,,,,,
Paradise Bridge,Harbor Island,Labycore,,,,,9,11,10,,,,,,,
Freedom Woods,Harbor Island,Labycore,deprecated,,,,19,2,3,,,,,,,
Evolution Gate,Paradise Island,Mutants,,,,,9,14,12,,,,,,,
Toxic Wasteland,Paradise Island,Mutants,,,,,8,14,13,,,,1,,,
Steel Island Bridge,Paradise Island,,,,,,9,15,14,,,,,,,
Ruins,Steel Island,Labycore,,,,,7,18,18,,,,,,,
Rio Desert,Paradise Island,General,,,,,6,14,14,,,,,,,
Lemon Desert,Paradise Island,General,,,,,7,14,13,,,,1,,,
New World Bridge,Steel Island,,,,,,11,17,20,,,,,,,
Supply Depot,Old World Town,Labycore,,,,,12,17,20,,,,,,,
Power Drive,Steel Island,Labycore,,,,,6,18,18,,,,1,,,
Immigration,Pearl Island,Welcome!,deprecated,1,,,19,4,,,,,,,,
Pearl Beach,Borderland,Dawnbreak City,deprecated,,,,6,3,6,,,,,,,
Palm Beach,Borderland,Undead,,,,,7,4,6,,,,,,,
Pearl Station,Borderland,Dawnbreak City,deprecated,,,,6,5,7,,,,1,,,
Refugee Camp,Borderland,Undead,,,,,6,4,5,,,,,,,
Test: Labycore RD,,,deprecated,,,,,,,,,,,,,
Needlewood,Pearl Island,Hunted!,,,,,7,6,6,,,,,,,
Deeper Caves,New World,Dawnbreak City,deprecated,,,,16,15,,,,,,,,
The Colosseum,The Colosseum,PVP,RankedPvP,,true,true,,,30,,,,,,,
Dark Forest,Omega Island,Undead,,,,,15,1,30,,,,,,,Beta Key of Awesomeness
The Road,Omega Island,Undead,,,,,15,,30,,,,1,,,Beta Key of Awesomeness
Highway Bridge,Omega Island,Undead,,,,,16,,30,,,,,,,Beta Key of Awesomeness
L.A.R.P.U.,Omega Island,Undead,,,,,14,,30,,,,1,,,Beta Key of Awesomeness
bouncers paradise,,,deprecated,,,,,,,,,,,,,
Northern Harbor,Borderland,General,,,,,4,3,,,TRUE,,,,,
Lovens Road,Borderland,General,,,,,5,3,2,,,,,,,
Dawnbreak Avenue,Borderland,General,,,true,,5,4,5,,,,,,,
Deserted Village,Paradise Island,Raiders,,,,,5,14,30,,,,1,,,
Hotel de Sol,,,deprecated,,,,17,17,,,,,,,,
Subway station,Borderland,Undead,,,,,4,4,4,,,,1,,,
Forest Highway,Omega Island,,,,,,17,,10,,,,,,,Beta Key of Awesomeness
Omega Avenue,Omega Island,,,,,,18,,10,,,,1,,,Beta Key of Awesomeness
