Name,ParentClass,Icon,LootResource,LootExportName,PropClass,LootScale,,
Brimmed Hat,Hat,6,,,,150,,
Police Cap,Hat,11,,,,150,,
Nurse Hat,Hat,31,,,,150,,
Cap,Hat,16,,,,150,,
Helmet,Hat,6,,,,150,,
Cowboy Hat,Hat,6,,,,150,,
Fedora Hat,Hat,6,,,,150,,
Felt Hat,Hat,21,,,,150,,
Sombrero,Hat,1,,,,120,,
Reggae Hat,Hat,11,,,,150,,
Ivy Cap,Hat,16,,,,150,,
Green Cap,Hat,16,,,,150,,
Star Cap,Hat,16,,,,150,,
Worker's Cap,Hat,16,,,,150,,
Stetson,Hat,6,,,,150,,
Mask,Hat,21,,,,150,,
Ski Mask,Hat,21,,,,150,,
Headgear,Hat,21,,,,150,,
Leather Hat,Hat,21,,,,150,,
Necklace,,1,graphics/loot/loot_box1.swf,LootNecklace,Necklace,100,,
Scarf,Necklace,,,,,,,
Bandana,Necklace,,,,,,,
Headscarf,Necklace,,,,,,,
Gloves,,1,graphics/loot/loot_box1.swf,LootGloves,Gloves,100,,
Leather Gloves,Gloves,6,,,,,,
Black Gloves,Gloves,6,,,,,,
Rider Gloves,Gloves,6,,,,,,
M.C. Gloves,Gloves,6,,,,,,
Cotton Gloves,Gloves,6,,,,,,
Biker Gloves,Gloves,6,,,,,,
Dark Gloves,Gloves,6,,,,,,
Visors,Glasses,,,,,,,
Mitts,Gloves,6,,,,,,
Protective Gloves,Gloves,6,,,,,,
Tactical Gloves,Gloves,6,,,,,,
Protector,Jacket,,,,,,,
Custom Jacket,Jacket,,,,,,,
Protective Pants,Pants,,,,,,,
Neckerchief,Necklace,,,,,,,
Wrap,Necklace,,,,,,,
Thick Pants,Pants,,,,,,,
Thick Jeans,Pants,,,,,,,
Sash,Belt,,,,,,,
Keycard,Necklace,,,,,,,
