Name,Attributes,CharacterClass,ArmorClass,IngredientDrop,Type,DiamondsOnly,Hostile,AttackHostile,Faction,MinLevel,MaxLevel,AI_Skills,DropOnlyClassSpecificItems,Items,ItemCounts,Weapon,Companion,Animation,IdleAnimationClip,AfkAnimationClip,Hair,Skin,Face,FacialHair,Hat,Glasses,Jacket,Pants,Gloves,Shoes,Belt,Necklace,DefaultSpeedDisabled,MovementSpeed,CombatMovementSpeed,AI_WaitTimeMin,AI_WaitTimeMax,AI_SkillDelayMin,AI_SkillDelayMax,AI_SkillDelayMinForNewTarget,AI_SkillDelayMaxForNewTarget,AI_AlertRadius,AI_ObserveRange,DeathEffect,HideOnDeath,RareDeathEffect,HideOnRareDeath,Scale,DamageEffect,DeathSound,DamageSound,GreetingsSound,GoodbyeSound,HostileSound,DualWeapons,AutoAttack
Young Hooligan,Small_LowDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,Molotov Cocktail,,,,Regular Knife,,Rogue,,,Male_Hair_1,Skin1,Male_Face3,,,,,NPC MALE Hired Guns Pants 02,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Stoned Hooligan,Small_LowDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,,,Rogue,,,Male_Hair_8,Skin1,Male_Face3,,,,,NPC MALE Hooligans Pants 02,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Haywire Hooligan,Big_HighDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,Singular Iron Pipe,,Fatman,,,Don's Toupee,Skin1,Male_Face3,beard_yellow_full,,,,NPC MALE Hooligans Pants 01,,NPC Male Hooligans Shoes 02,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Aggressive Hooligan,Medium_HighDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,Common Assault Rifle,,Rogue,,,Male_Hair_8,Skin4,Male_Face3,,,,,NPC MALE Hooligans Pants 02,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Rebellious Hooligan,Small_LowDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,Fine Wrench,,Rogue,,,Male_Hair_2,Skin1,Male_Face3,,,,,NPC MALE Hooligans Pants 02,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Malicious Hooligan,Big_LowDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,Okayish Plank,,Fatman,,,,Skin4,Male_Face3,,,,,NPC MALE Hooligans Pants 01,,NPC Male Hooligans Shoes 02,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,115,HitEffect1,,,,,,,
Scarred Hooligan,Big_LowDamage,,Armored,,,,TRUE,,Hooligans,1,30,Hooligan Buff,,,,Basic .32 Pistol,,Tank,,,Male_Hair_8,Skin1,Male_Face1,,,,NPC MALE Hooligan Jacket 02,NPC MALE Hired Guns Pants 02,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Cruel Hooligan,Small_HighDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,Knucklesandwich,,,,Barebones Bat,,Rogue,,,Male_Hair_8,Skin1,Male_Face3,Burt_Mustache,,,,NPC MALE Hooligans Pants 01,,NPC Male Hooligans Shoes 02,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Top Dog Hooligan,Small_LowDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,Regular Knife,,Rogue,,,Male_Hair_8,Skin1,Male_Face3,,,,,NPC MALE Hooligans Pants 02,,NPC Male Hooligans Shoes 02,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Nea,Small_LowDamage,,Unarmored,,,,,,Valkyries,1,30,,,,,,,RogueFemale,,,Female_Hair_1,female_skin1,Female_Face1,,,,NPC FEMALE Valkyeries Jacket 01,NPC FEMALE Valkyries Pants 01,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Mia,Small_HighDamage,,Unarmored,,,,,,Valkyries,1,30,,,,,Good Jungle Knife,,RogueFemale,,,Female_Hair_8,female_skin3,Female_Face2,,,,NPC FEMALE Valkyeries Jacket 02,NPC FEMALE Valkyries Pants 02,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Convict Emil,Small_LowDamage,,Unarmored,,,,,,Junkie,1,30,,,,,,,Junkie,,,Male_Hair_6,Skin4,Male_Face3,,,,,,,,,,TRUE,,,,,,,,,,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Dawnbreak City Guide,Small_LowDamage,,Unarmored,,,,,,Labycore,,,,,,,,,RogueFemale,,,Female_Hair_3,female_skin1,Female_Face1,,,NPC Aviators,Acute Suit Jacket,NPC GENERIC Black Pants,NPC Normal Gloves,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Labycore Interrogator,Small_LowDamage,,Unarmored,,,,TRUE,,Labycore,,,,,,,,,Rogue,,,Male_Hair_2_black,Skin2,Male_Face1,,,,High-Power Suit Jacket,NPC GENERIC Black Pants,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Emily Cartwright,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,RogueFemale,,,Female_Hair_4,female_skin2,Female_Face1,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Officer Smith,Suicide_Mob,,Unarmored,,,,,,Labycore,,,,,,,,,Rogue,,,Male_Hair_5_black,Skin4,Male_Face1,,,NPC Aviators,High-Power Suit Jacket,NPC GENERIC Black Pants,,Standard Boots,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,VoBloodpitsMaleDeath,,,,,,
Luke Ruth,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Rogue,,,Male_Hair_5,Skin4,Male_Face3,,Genuine Brimmed Hat,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Interrogated Victim,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Junkie_Sleep,,,Male_Hair_1,Skin2,Male_Face6,,,,Poor Orange Worker Coat,NPC GENERIC Jeans,,NPC Male Mad Dogs Shoes 01,,,TRUE,,,,0,,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
John Casmir,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,,,Tank,,,Male_Hair_8,Skin6,Male_Face2,beard_yellow_full,Lame Hat,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Susie Cohen,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,RogueFemale,,,Female_Hair_7,female_skin2,Female_Face2,,,,NPC Harbor Worker Blue Jacket,NPC GENERIC Black Pants,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Oscar Cohen,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Fatman,,,Male_Hair_2_black,Skin1,Male_Face7,Beard_Long,,,Acute Suit Jacket,NPC GENERIC Jeans,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Orion Skyhigh,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Junkie_Sit,,,Male_Hair_2,Skin1,Male_Face1,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Member of the Resistance,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Rogue,,,Male_Hair_2,Skin4,Male_Face3,,Lame Hat,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Michael Dunden,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,Credible Monkey Wrench,,Fatman,,,Male_Hair_3_black,Skin1,Male_Face3,Chin_Beard,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Nicholas Morgil,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,,,Tank,,,Male_Hair_2,Skin3,Male_Face2,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Casey Jones,Small_HighDamage,,Unarmored,,,,,,Resistance,1,30,,,,,First-Class Hydraulic Hammer,,Tank,,,Male_Hair_3,Skin1,Male_Face3,Burt_Mustache,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Lemmy Colorado,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,,,Fatman,,,Male_Hair_3,Skin3,Male_Face2,Burt_Mustache,,NPC Aviators,Worthless Blue Sweater,Singular White Pants,,Simple Black Shoes,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Verm Geggison,Small_HighDamage,,Unarmored,,,,,,Resistance,1,30,,,,,Good Jungle Knife,,Rogue,,,Male_Hair_1,Skin6,Male_Face1,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,High-Power Scarf,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Mr. Forsten,Small_HighDamage,,Unarmored,,,,,,Resistance,1,30,,,,,SWAT Shotgun HO-30,,Rogue,,,Male_Hair_4_black,Skin1,Male_Face2,Chin_Beard_red,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,Greater Scarf,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Willie Jackman,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Rogue,,,Male_Hair_5,Skin1,Male_Face2,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Hox the Junkie,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,,,Junkie_Sit,,,Male_Hair_2,Skin1,Male_Face3,,Lame Hat,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Ann Lin,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,,,RogueFemale,,,Female_Hair_2_black,female_skin3,Female_Face2,,,,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,Radical Scarf,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Terese Triware,Small_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,,,RogueFemale,,,Female_Hair_7_blonde,female_skin1,Female_Face2,,,NPC Aviators,Dawnbreak Shirt,Regular Stonewashed,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Gilbert Crothers,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Fatman,,,Male_Hair_4,Skin3,Male_Face1,Burt_Mustache,,,NPC Harbor Worker Blue Jacket,NPC MALE Docker Worker Pants 02,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Murphy,Small_LowDamage,,Unarmored,,,,,,Resistance,1,2,,,,,,,Rogue,,Sleep,Male_Hair_13,Skin2,Male_Face12,Beard_Long,,,Standard Gray Sweater,NPC GENERIC Black Pants,,Dawnbreak Shoes,,,,1200,1200,,0,6000,10000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
George The Handyman,Player_Healer,Doctor,Unarmored,,,,,,General,2,3,Grenade,,,,Typical Battle Rifle,,Tank,,Sleep,Male_Hair_4,Skin1,Male_Face3,beard_red_full,,,Singular Camo Shirt,Everyday Leather Trousers,,Standard Boots,,,,1200,1200,,0,6000,10000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
MalePlayerConstructionWorker,Player_Tank,Bodyguard,,,,,,,Player,,,,,,,,,Tank,,Sleep,Male_Hair_7,Skin1,Male_Face6,,,,Worn Leisure Coat,Mighty Pants of Awesomeness,,Boots of Normal,,,,1200,1200,,,3000,6000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
MalePlayerDoctor,Player_Healer,Doctor,,,,,,,Player,,,,,,,,,Rogue,,Sleep,Male_Hair_7,Skin1,Male_Face6,,,,Worm Gray Sweater,Reviving Scrubs of Epic,,Diagnostic's Clogs of Mundane,,,,1200,1200,,,3000,6000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
MalePlayerDeerHunter,Player_Damage,Hunter,,,,,,,Player,,,,,,,,,Rogue,,Sleep,Male_Hair_7,Skin1,Male_Face6,,,,Worn Old Sweater,Fluffy Pants of Legendary,,Fluffy Shoes of Ordinary,,,,1200,1200,,,3000,6000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
FemalePlayerMarine,Player_Tank,Bodyguard,,,,,,,Player,,,,,,,,,TankFemale,,Sleep,Female_Hair_4,female_skin1,Female_Face1,,,,Worn Leisure Coat,Mighty Pants of Awesomeness,,Boots of Normal,,,,1200,1200,,,3000,6000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
FemalePlayerDoctor,Player_Healer,Doctor,,,,,,,Player,,,,,,,,,RogueFemale,,Sleep,Female_Hair_4_blonde,female_skin2,Female_Face1,,,,Worm Gray Sweater,Reviving Scrubs of Epic,,Diagnostic's Clogs of Mundane,,,,1200,1200,,,3000,6000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
FemalePlayerDeerHunter,Player_Damage,Hunter,,,,,,,Player,,,,,,,,,RogueFemale,,Sleep,Female_Hair_4,female_skin1,Female_Face1,,,,Worn Old Sweater,Fluffy Pants of Legendary,,Fluffy Shoes of Ordinary,,,,1200,1200,,,3000,6000,1000,2000,,120,DeathEffect1,,,,100,HitEffect1,,,,,,,
Voodoo Informant,Small_LowDamage,,Unarmored,,,,,,Sewer Voodoo,1,30,,,,,,,RogueFemale,,,Female_Hair_4,female_skin3,Female_Face1,,,,NPC MALE Voodoo Jacket 02,NPC MALE Voodoo Pants 02,,NPC Male Mad Dogs Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,,,100,HitEffect1,,,,,,,
Miranda,Small_LowDamage,,Unarmored,,,,,,Valkyries,,,,,,,,,TankFemale,,,Female_Hair_7,female_skin1,Female_Face1,,,,NPC FEMALE Valkyeries Jacket 01,NPC FEMALE Valkyries Pants 01,,NPC Male Mad Dogs Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Voodoo Mambo,Small_LowDamage,,Unarmored,,,,,,Sewer Voodoo,1,30,,,,,Simple Jungle Knife,,RogueFemale,,,Female_Hair_6,female_skin3,Female_Face1,,,NPC Aviators,NPC MALE Voodoo Jacket 01,NPC MALE Voodoo Pants 01,,NPC Female Valkyries Shoes 02,NPC Belt,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,105,HitEffect1,,,,,,,
Bolivar Torina,Small_LowDamage,,Unarmored,,,,,,13 Diablos,,,,,,,Ideal Knife,,Fatman,,,Male_Hair_3,Skin1,Male_Face3,,,,NPC MALE 13 Diablos Jacket 02,NPC MALE 13 Diablos Pants 02,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,750,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Raquel,Small_LowDamage,,Unarmored,,,,,,Valkyries,,,,,,,Ideal Knife,,ChubbyFemale,,,Female_Hair_4,female_skin2,Female_Face2,,,,NPC FEMALE Valkyeries Jacket 02,NPC FEMALE Valkyries Pants 02,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,750,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Walter Manners,Big_HighDamage,,Unarmored,,,,,,Resistance,1,30,,,,1,Crappy 12G Shotgun,,Rogue,,,Male_Hair_1,Skin1,Male_Face3,Beard_Long,,NPC Aviators,NPC Harbor Worker Blue Jacket,NPC MALE Docker Worker Pants 02,,NPC Male Mad Dogs Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Saul Ouzts,Small_LowDamage,,Unarmored,,,,,,13 Diablos,,,,,,,,,Fatman,,,Male_Hair_7,Skin5,Male_Face3,,,,Shabby Blue Sport Coat,NPC GENERIC Black Pants,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Green Pete,Small_LowDamage,,Unarmored,,,,,,Resistance,,,,,,,,,Rogue,,,Don's Toupee,Skin2,Male_Face1,,,,Poor Blue Sport Coat,NPC GENERIC Black Pants,,NPC Male Mad Dogs Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Xavier Chiarello,Big_LowDamage,,Unarmored,,,,,,13 Diablos,1,30,,,,,,,Fatman,,,Male_Hair_7,Skin5,Male_Face3,,,,NPC MALE 13 Diablos Jacket 01,NPC MALE 13 Diablos Pants 01,,NPC Male Mad Dogs Shoes 01,NPC Belt,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Ricky Martinique,Big_HighDamage_Escort,,Unarmored,,,,,,13 Diablos,1,30,,,,,Crappy 12G Shotgun,,Rogue,,,Male_Hair_1,Skin1,Male_Face3,Burt_Mustache,,,NPC MALE 13 Diablos Jacket 01,NPC GENERIC Jeans,,NPC Male 13 Diablos Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Ling Chon,Small_LowDamage,,Unarmored,,,,,,13 Diablos,1,30,,,,,Lousy .40 Pistol,,RogueFemale,,,Female_Hair_1,female_skin1,Female_Face1,,,,NPC MALE 13 Diablos Jacket 01,NPC GENERIC Jeans,,NPC Male Mad Dogs Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
De La Vega,Medium_LowDamage_Escort,,Armored,,,,,,13 Diablos,1,30,,,,,Crappy 9mm Pistol,,Tank,,,Don's Toupee,Skin6,Male_Face2,beard_yellow_full,,,NPC MALE 13 Diablos Jacket 01,NPC MALE 13 Diablos Pants 01,,NPC Male 13 Diablos Shoes 01,NPC Belt,,,500,750,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Natalie,Big_LowDamage,,Unarmored,,,,,,Valkyries,1,30,,,,,Lousy .40 Pistol,,RogueFemale,,,Female_Hair_8,female_skin1,Female_Face1,,,,NPC FEMALE Valkyeries Jacket 01,NPC FEMALE Valkyries Pants 02,,NPC Male Mad Dogs Shoes 01,,,,500,750,4000,10000,3000,6000,1000,2000,50,75,,,,,100,,,,,,,,
Miss Amber,Big_HighDamage,,Unarmored,,,,TRUE,,Eastern Queens,1,30,,,,,Nifty Minigun,Dynamite Pig,TankFemale,,,Female_Hair_1,female_skin2,Female_Face2,,,,NPC FEMALE Eastern Queen Shirt 02,NPC FEMALE Eastern Queen Pants 02,,NPC Female Eastern Queens Shoes 02,,,,375,750,4000,10000,3000,6000,1000,2000,70,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Grim Destroyer,Big_HighDamage,,Armored,,,,TRUE,,Labycore,1,30,,,,,Good Minigun of Suffer,,NPC_M_Antiriot_Cop,,,,Labycorp_AntiRiot_Suit,,,,,,,,,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,110,HitEffect1,,,,,,,
Bullet-Tooth,Mini_Boss_Default,,Unarmored,,,,TRUE,,Hooligans,1,30,Wounding Shot,,,,Mighty Revolver,,Rogue,,,Male_Hair_1,Skin6,Male_Face2,,,NPC Aviators,NPC MALE Hooligan Jacket 02,NPC MALE Hooligans Pants 01,,NPC Male Mad Dogs Shoes 01,,Boosted Necklace,,,,4000,10000,3000,6000,1000,2000,50,75,,,,,119,,VoBossDeathBigThug,,,,,,
,,,,,,,,,,,,Grenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
