Name,AutoAttack,Deprecated,RequiredWeaponClass,RequiredLevel,Rarity,DiamondsOnly,DiamondCost,EnergyCost,CoolDown,Cast,Threat,HealthCost,TargetFilter,Range,AoeRadius,AoeFilter,MinDamage,MaxDamage,PushBack,Animation,WeaponClassAnimation,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffEnergy,BuffDamage,BuffEffect,SpecialWeapon
Bullet Rain,,true,Ranged Weapon,21,Common,TRUE,21,30,3000,500,20,,enemy,,70,enemy,25,25,,,SkillAnimation_AutoAttack,17,TID_TOOLTIP_SKILL_BulletRain,,Skill_FX_BulletRain,Skill_FX_Twirler_Hit,,,AimedShot,AimedShot,,,,,,,,,,,,,,,,,,,,,
,,,,26,,,26,,,,,,,,,,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,30,,,,,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Breaker,,true,Melee Weapon,5,Common,TRUE,5,20,10000,500,20,,enemy,,,,2,2,,Melee03,,9,TID_TOOLTIP_SKILL_LegBreaker,,,Skill_FX_Eunuch_Maker,,,,,,Trail,,,8000,,,,-50,,,,,,,,,,8,,
,,,,10,,,10,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,,,15,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20,,,20,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25,,,25,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,30,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deception,,true,Melee Weapon,,Common,,8,30,25000,,20,,enemy,,,,,,,Deception,,8,TID_TOOLTIP_SKILL_Deception,,,,,,,,,,,,15000,,,,,,,,-30,,,,,,,,
Mass Blackout,,true,,,Common,,1,15,10000,600,20,,self,,40,enemy,,,,Twirler,,18,TID_TOOLTIP_SKILL_MassBlackout,,Stun,,,,,,,,,,3000,,,true,,,,,,,,,,,,,
Eunuch Maker,,true,Melee Weapon,,Common,,1,10,5000,350,20,,enemy,,,,2,3,,ThrowSide,,19,TID_TOOLTIP_SKILL_EunuchMaker,,,,,,,,,Trail,,,5000,,,,-50,,,,,,,,,,5,,
Slammer,,true,Melee Weapon,30,Common,,100,20,20000,1200,20,,self,,40,enemy,40,40,TRUE,Slammer,,3,TID_TOOLTIP_SKILL_Slammer,,Skill_FX_Slammer,Skill_FX_Twirler_Hit,,,,,,Trail,,,,,,,,,,,,,,,,,,,
Twirler,,true,Melee Weapon,3,Common,,1,30,8000,600,60,,self,,30,enemy,3,3,,Twirler,,20,TID_TOOLTIP_SKILL_Twirler,,WhirlWind,Skill_FX_Twirler_Hit,,,,,,Trail,,,,,,,,,,,,,,,,,,,
,,,,8,,,8,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,,,8,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18,,,8,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23,,,8,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28,,,8,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy Demoralizer,,true,,,Common,,1,10,3000,,10,,self,,50,enemy,,,,,,8,TID_TOOLTIP_SKILL_EnemyDemoralizer,,MightyExplosion,,,,,,,,,,3000,,,,,,,,,,,-20,,,,,
Power Unleash,,true,Melee Weapon,,Common,,1,10,60000,,20,,self,,,,,,,,,21,TID_TOOLTIP_SKILL_PowerUnleash,,,,,,,,,Trail,,,10000,30,friendly+self,,,,,,,,,15,-3,,,,
Energizer,,true,,,Common,,1,0,30000,,20,15,self,,,,,,,Cheer1,,7,TID_TOOLTIP_SKILL_Energizer,,SupporterEffect01,,,,,,,,,,15000,,,,,,,,,,,,,30,,,
Skull Crush,,true,Melee Weapon,21,Common,TRUE,21,30,20000,550,20,,enemy,,,,4,4,,Melee02,,13,TID_TOOLTIP_SKILL_SkullCrush,,,Skill_FX_Leg_Breaker,,,,,,Trail,,,10000,,,,,,,,,,,,,,25,,
,,,,26,,,26,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
,,,,30,,,30,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
Aimed Shot,,true,Ranged Weapon,1,Common,,1,16,8000,950,20,,enemy,,,,3,4,,,SkillAnimation_AimedShot,42,TID_TOOLTIP_SKILL_AimedShot,,,Skill_Fx_Aimed_Shot,,,AimedShot,AimedShot,,,,,2000,,,true,,,,,,,,,,,,,
,,,,6,,,6,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,8,,,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,,,8,,,,,,,,,,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21,,,8,,,,,,,,,,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26,,,8,,,,,,,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,8,,,,,,,,,,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic Avenge,,true,Ranged Weapon,5,Common,TRUE,5,30,10000,400,20,,enemy,,,enemy,,,,,SkillAnimation_AutoAttack,43,TID_TOOLTIP_SKILL_ToxicAvenge,,,Skill_FX_Toxic_Avenge,,,,,,,,,8000,30,friendly+self,,,,,,,,,,,,5,,
,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
,,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
,,,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,
,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,
,,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,
Syanide Surprise,,true,Ranged Weapon,,Common,,1,10,10000,450,20,,enemy,,,,,,,,SkillAnimation_AutoAttack,44,TID_TOOLTIP_SKILL_SyanideSurprise,,,PoisonSteam,,,,,,,,,10000,,,,,,,,-10,,,,,,16,,
Poison Shot,,true,Ranged Weapon,9,Common,TRUE,9,25,10000,550,20,,enemy,,40,enemy,,,,,SkillAnimation_AutoAttack,45,TID_TOOLTIP_SKILL_PoisonShot,,,Skill_FX_Toxic,,,,,,,,,2500,30,friendly+self,,-30,-30,,,,,,,,,8,,
,,,,14,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
,,,,19,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
,,,,29,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,
Nerve Gas,,true,Ranged Weapon,,Common,,1,30,10000,400,30,,enemy,,50,enemy,,,,,SkillAnimation_AutoAttack,46,TID_TOOLTIP_SKILL_NerveGas,,,PoisonSteam,,,,,,,,,2500,,,,-20,-20,,,,,,,,,,,
Hamstring Poison,,true,,1,Common,,1,10,10000,,30,,enemy,80,,,,,,,SkillAnimation_AutoAttack,47,TID_TOOLTIP_SKILL_HamstringPoison,,,PoisonSteam,,,,,,,,,2000,,,,,,,,,,-100,-100,,,4,,
Healing Shot,,true,,3,Common,,1,20,4000,400,20,,self+friendly,80,,,-25,-30,,,SkillAnimation_AutoAttack,48,TID_TOOLTIP_SKILL_HealingShot,,,Skill_FX_Doctors_App_Target,,muzzle_heal,HealShot,HealShot,,,,,,,,,,,,,,,,,,,,,Toxine-Heal Gun
,,,,8,,,8,,,,,,,,,,-48,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,,,8,,,,,,,,,,-75,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18,,,8,,,,,,,,,,-102,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23,,,8,,,,,,,,,,-130,-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28,,,8,,,,,,,,,,-160,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Help,,true,,7,Common,,7,70,20000,,40,,self+friendly,80,,,-134,-134,,,SkillAnimation_AutoAttack,49,TID_TOOLTIP_SKILL_QuickHelp,,,HealingEffect,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,8,,,,,,,,,,-218,-218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17,,,8,,,,,,,,,,-303,-303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22,,,8,,,,,,,,,,-386,-386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27,,,8,,,,,,,,,,-480,-480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presence of the Medic,,true,,30,Common,,100,40,300000,1000,20,,self,80,250,self+friendly,,,,PatchingUp,,51,TID_TOOLTIP_SKILL_PresenceOfTheMedic,,Skill_FX_Doctors_Appointment,Skill_FX_Doctors_App_Target,,,,,,,,,15000,,,,,,,,,,,,,50,-200,,
Mend,,true,,21,Common,TRUE,21,30,20000,1500,10,,self+friendly,150,,,,,,,SkillAnimation_AutoAttack,52,TID_TOOLTIP_SKILL_Mend,,,HealingEffect,,,,,,,,,20000,,,,,,,,,,,,,,-275,,
,,,,26,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-340,,
,,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-390,,
Emergency Treatment,,true,,1,Common,,1,10,60000,,30,,self+friendly,80,,,-2,-3,,,SkillAnimation_AutoAttack,53,TID_TOOLTIP_SKILL_EmergencyTreatment,,,HealingEffect,,,,,,,,,,,,,,,,,,,,,,,,,
Gauze Bandage,,true,,7,Common,,7,20,60000,500,10,,self+friendly,20,,,-3,-3,,PatchingUp,,54,TID_TOOLTIP_SKILL_Bandaging,,,Skill_FX_Doctors_App_Target,,,,,,,,,10000,,,,,,,,,,,,,,-50,,
,,,,10,,,8,,,,,,,,,,-6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,,
Doctor's Appointment,,true,,,Common,,,30,30000,600,20,,self,80,,,,,,Use,,55,TID_TOOLTIP_SKILL_DoctorsAppointment,Skill_FX_Doctors_Appointment,,Skill_FX_Doctors_App_Target,,,,,,,,,10000,60,friendly+self,,,,,,,,,,,,-40,,
Renew,,true,,1,Common,,1,10,5000,,20,,self+friendly,80,,,,,,,SkillAnimation_AutoAttack,56,TID_TOOLTIP_SKILL_RENEW,,,HealingEffect,,,,,,,,,15000,,,,,,,,,,,,,,-15,,
Unreal Shot,,true,,1,Common,,1,50,300000,1000,10,,self+friendly,80,60,self+friendly,,,,,SkillAnimation_AutoAttack,57,TID_TOOLTIP_SKILL_UnrealShot,,,HealingEffect,,,,,,,,,30000,,,,,,,,,,,,,,-60,,
Smart Minds,,true,,15,Common,,8,20,10000,,10,,self,80,200,friendly+self,,,,Rage,,62,TID_TOOLTIP_SKILL_SmartMinds,Skill_FX_Supporter,,Skill_FX_Supporter_Target,,,,,,,,,300000,,,,,,,,,30,,,,,,,
,,,,20,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,
,,,,25,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,
,,,,30,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,
Wounding Shot,,true,Ranged Weapon,5,Common,TRUE,5,25,10000,800,20,,enemy,20,,,,,,,SkillAnimation_AutoAttack,59,TID_TOOLTIP_SKILL_WoundingShot,,,Skill_FX_Head_Wound,,,QuickShot,QuickShot,,,,,6000,,,,,,,,,,,,,,12,,
,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,
,,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,
,,,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,
,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,
,,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,
Swiftness,,true,Melee Weapon,,Common,,1,10,20000,,20,,self,,,,,,,,,60,TID_TOOLTIP_SKILL_Swiftness,,,,,,,,,Trail,,,15000,,,,10,120,,,,,,,,,,,
Artery Opener,,true,Melee Weapon,,Common,,1,10,6000,250,20,,enemy,,,,1,2,,,,61,TID_TOOLTIP_SKILL_ArteryOpener,,,,,,,,,Trail,,,3000,,,,,,,,,,,,,,6,,
Frantic Mind,,true,,9,Common,TRUE,9,30,60000,,10,,self,,200,friendly+self,,,,Rage,,58,TID_TOOLTIP_SKILL_FranticMind,,Skill_FX_Frantic_Mind,,,,,,,Trail,,,300000,,,,,,,,,,18,18,,,,,
,,,,14,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,,,,,
,,,,19,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,,,,,
,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,,,,,
,,,,29,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,,,,,
Loonie on Loose,,true,Melee Weapon,,Common,,1,10,60000,450,20,,self,,,,,,,,,63,TID_TOOLTIP_SKILL_LoonieonLoose,,,,,,,,,Trail,,,10000,,,,40,,,,,,,60,5,,15,,
Sinister Cut,,true,Melee Weapon,,Common,,1,10,30000,300,10,,self,,,,,,,,,65,TID_TOOLTIP_SKILL_SinisterCut,,,,,,,,,Trail,,,8000,,,,,80,,,,,,,,,,,
Thruster,,true,Melee Weapon,,Common,,1,10,3000,500,10,,enemy,,,,1,2,TRUE,,,66,TID_TOOLTIP_SKILL_Thruster,,,,,,,,,Trail,,,,,,,,,,,,,,,,,,,
Bleeder,,true,Melee Weapon,,Common,,8,10,5000,750,20,5,enemy,,,,1,1,,,,67,TID_TOOLTIP_SKILL_Bleeder,,,,,,,,,Trail,,,3000,,,,,,,,,,,,,,5,,
Trauma Shot,,true,Ranged Weapon,30,Common,,100,30,20000,750,20,,enemy,,,,20,20,,,SkillAnimation_TraumaShot,68,TID_TOOLTIP_SKILL_TraumaShot,,Skill_FX_BulletRain,Skill_FX_TraumaShot_Hit,,,QuickShot,QuickShot,,,,,3000,,,true,,,,-200,,,,,,,,,
Obnoxious Shot,,true,Ranged Weapon,7,Common,,7,20,8000,1000,20,,enemy,,60,enemy,2,2,,,SkillAnimation_AutoAttack,69,TID_TOOLTIP_SKILL_ObnoxiousShot,,,Skill_FX_Obnoxious_Shot,,,CrippleShot,CrippleShot,,,,,8000,,,,-15,,,,,,,,,,3,,
,,,,12,,,8,,,,,,,,60,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17,,,8,,,,,,,,60,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22,,,8,,,,,,,,60,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27,,,8,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virus Shot,,true,Ranged Weapon,,Common,,5,10,4000,300,20,,enemy,,,,2,3,TRUE,,,70,TID_TOOLTIP_SKILL_VirusShot,,,,,,WoundShot,WoundShot,,,,,3000,,,true,,,,,,,,,,,,,
Shooting Madness,,true,Ranged Weapon,,Common,,8,10,60000,0,20,,self,,,,,,,,,71,TID_TOOLTIP_SKILL_ShootingMadness,,,,,,HealShot,HealShot,,,,,5000,,,,,50,,,,,,,,,,,
EMP Shot,,true,Ranged Weapon,,Common,,1,10,5000,1000,20,,enemy,,,,4,6,,,,72,TID_TOOLTIP_SKILL_EMPShot,,,,,,Glow,,,,,,5000,,,,-20,,,,,,,,,,5,,
Leg Shot,,true,Ranged Weapon,1,Common,,1,16,8000,800,20,,enemy,,,,3,4,,,SkillAnimation_LegShot,73,TID_TOOLTIP_SKILL_LegShot,,,Skill_FX_Leg_Shot,,,AimedShot,AimedShot,,,,,3000,,,,-50,,,,,,,,,,,,
,,,,6,,,6,,,,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,8,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,,,8,,,,,,,,,,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21,,,8,,,,,,,,,,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26,,,8,,,,,,,,,,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,8,,,,,,,,,,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Wound,,true,Ranged Weapon,15,Common,,8,30,20000,1500,20,,enemy,,,,45,58,,,SkillAnimation_AimedShot,74,TID_TOOLTIP_SKILL_HeadWound,,,Skill_FX_Head_Wound,,,QuickShot,QuickShot,,,,,,,,,,,,,,,,,,,,,
,,,,20,,,8,,,,,,,,,,60,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25,,,8,,,,,,,,,,75,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,,8,,,,,,,,,,90,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knock Down Shot,,true,Ranged Weapon,3,Common,,1,20,8000,600,20,,enemy,,,,4,6,TRUE,,SkillAnimation_AutoAttack,75,TID_TOOLTIP_SKILL_KnockDownShot,,,Skill_FX_Arms_Eater,,,CrippleShot,CrippleShot,,,,,,,,,,,,,,,,,,,,,
,,,,8,,,8,,,,,,,,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,,,8,,,,,,,,,,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18,,,8,,,,,,,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23,,,8,,,,,,,,,,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28,,,8,,,,,,,,,,18,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus,,true,,6,Common,,6,30,60000,,10,,self,,,,,,,,,76,TID_TOOLTIP_SKILL_Focus,Skill_FX_Focus,,,,,CrippleShot,CrippleShot,,,,,6000,,,,-20,40,,,,,,,,,,,
Boast Shooting,,true,Ranged Weapon,,Common,,1,10,10000,200,30,,enemy,,,,1,3,,,SkillAnimation_BoastShooting,64,TID_TOOLTIP_SKILL_BoastShooting,,,,,,AimedShot,AimedShot,,,,,,,,,,,,,,,,,,,,,
Medical Treatment,,true,,10,Common,,8,,30000,250,15,,self+friendly,20,,,-80,-90,,PatchingUp,,24,TID_TOOLTIP_SKILL_MedicalTreatment,,,Skill_FX_Doctors_App_Target,,,,,,Trail,,,,,,,,,,,,,,,,,,,
Healing Shots,,true,,8,Common,,8,20,7500,500,15,,self+friendly,80,,,-35,-45,,,SkillAnimation_AutoAttack,24,TID_TOOLTIP_SKILL_HealingShot,,,HealingEffect,,muzzle_heal,HealShot,,,,,,,,,,,,,,,,,,,,,,
Heavy Armor,,true,,7,Common,,7,20,240000,,20,,self,,,,,,,Rage,,8,TID_TOOLTIP_SKILL_HeavyArmor,,Skill_FX_Heavy_Armor,,,,,,,,,,30000,,,,,,,35,,,,,,,,,
,,,,12,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,
,,,,17,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,
,,,,22,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,
,,,,27,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,
