Name,ArmorClassBonus,WeaponClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Tier,Enhancement,DropOnlyTo,Model,Mesh,ModelTexture,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,Icon,PostToSocialNetworks,DiamondCostExact,PlaceableInEditor
Charlene,Unarmored,Labytech Pistol,2,Epic,,TRUE,,of 6th Sense,,graphics/3d/weapons/weapons_rare.SUP,.40 cal_rare,graphics/3d/weapons/textures/40cal_rare_01.png,TRUE,3,,,,,,,,,,,,,,
Sparrow Hawk,Unarmored,Next-Gen Sniper,4,Epic,TRUE,TRUE,,of Brightness,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper_02.png,TRUE,5,,,,,,,,,,,,,,
Ivan,Unarmored,Labytech Pistol,6,Epic,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons_rare.SUP,.40 cal_rare,graphics/3d/weapons/textures/40cal_rare_02.png,TRUE,3,,,,,,,,,,,,,,
Raptor,Unarmored,Next-Gen Sniper,8,Epic,TRUE,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper.png,TRUE,3,,,,,,,,,,,,,,
Vulture,Unarmored,Battle Rifle,10,Epic,TRUE,TRUE,,of the Hunter,,graphics/3d/weapons/weapons_rare.SUP,mg_battle_rifle_rare,graphics/3d/weapons/textures/mg_battle_rifle_rare_02.png,TRUE,5,,,,,,,,,,,,,,
Interceptor,Unarmored,Old plasma gun,12,Epic,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons2.SUP,Old_plasma_gun,graphics/3d/weapons/textures/old_plasma_gun_01.png,TRUE,4,,,,,,,,,,,,,,
Credibilitas,Unarmored,Assault rifle 2,14,Epic,TRUE,TRUE,,of 6th Sense,,graphics/3d/weapons/weapons2.SUP,Assault_rifle,graphics/3d/weapons/textures/assault_rifle_01.png,TRUE,4,,,,,,,,,,,,,,
Motivator,Armored,SMG,16,Epic,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons_rare.SUP,smg_rare,graphics/3d/weapons/textures/smg_rare_01.png,TRUE,5,,,,,,,,,,,,,,
Trailcannon,Unarmored,Gatling,18,Epic,TRUE,TRUE,,of Brightness,,graphics/3d/weapons/weapons.SUP,mg_minigun04,graphics/3d/weapons/textures/minigun4_02.png,TRUE,7,,,,,,,,,,,,,,
Rip-n-Pierce,Mechanical,Bot Sniper,20,Epic,TRUE,TRUE,,of 6th Sense,,graphics/3d/weapons/weapons2.SUP,Homemade_shotgun_02,graphics/3d/weapons/textures/homemade_shotgun.png,TRUE,6,,,,,,,,,,,,,,
Brutal Carousel,Armored,Minigun,22,Epic,TRUE,TRUE,,of the Hunter,,graphics/3d/weapons/weapons.SUP,mg_minigun04,graphics/3d/weapons/textures/minigun4_02.png,TRUE,8,,,,,,,,,,,,,,
Celestial,Mechanical,Bot Sniper,22,Epic,TRUE,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper_03_new.png,TRUE,8,,,,,,,,,,,,,,
Stakeout Diva,Unarmored,Assault Rifle,26,Epic,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_01.png,TRUE,8,,,,,,,,,,,,,,
Vera,Armored,50 cal Minigun,28,Epic,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,50_cal_Minigun,graphics/3d/weapons/textures/50_cal_minigun.png,TRUE,2,,,,,,,,,,,,,,
Hound Dog,Mechanical,20ga Shotgun,30,Epic,,TRUE,3,of the Hunter,,graphics/3d/weapons/weapons_rare.SUP,shotgun_sawnoff_rare,graphics/3d/weapons/textures/shotgun_sawnoff_rare_03.png,,2,,,,,,,,,,,,,,
Reaperman,Armored,Minigun,30,Epic,,TRUE,3,of 6th Sense,,graphics/3d/weapons/weapons.SUP,mg_minigun04,graphics/3d/weapons/textures/minigun4_02.png,,2,,,,,,,,,,,,,,
Boom! Headshot!,Unarmored,Assault Rifle,30,Epic,,TRUE,5,of 6th Sense,,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_02.png,,2,,,,,,,,,,,,,,
Destroyer 3000,Unarmored,Assault Rifle,1,Uncommon,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons_rare.SUP,smg_rare,graphics/3d/weapons/textures/smg_rare_03.png,,,,,,,,,,,,,,,,TRUE
Mutant Modifed Shotgun,Unarmored,12ga Double Barrel,20,Rare,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons.SUP,shotgun_doubleBarreled,graphics/3d/weapons/textures/shotgun_doublebarreled_rare_03.png,,3,,,,,,,,,,,,,,
Customer Service,Armored,Minigun,30,Rare,,TRUE,1,of the Hunter,,graphics/3d/weapons/weapons.SUP,mg_minigun04,graphics/3d/weapons/textures/minigun4_02.png,,5,,,,,,,,,,,,,,
Deadly Rainstick,Unarmored,Assault Rifle,30,Epic,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons_rare.SUP,mg_assault_rifle_rare,graphics/3d/weapons/textures/mg_assault_rifle_rare_03.png,,12,,,,,,,,,,,,,,
Crater Launcher,Armored,SMG,30,Epic,,TRUE,4,of 6th Sense,,graphics/3d/weapons/weapons_rare.SUP,smg_rare,graphics/3d/weapons/textures/smg_rare_03.png,,6,,,,,,,,,,,,,,
Hello Sailor!,Mechanical,20ga Shotgun,30,Epic,,TRUE,4,of the Hunter,,graphics/3d/weapons/weapons_rare.SUP,shotgun_sawnoff_rare,graphics/3d/weapons/textures/shotgun_sawnoff_rare_03_new.png,,5,,,,,,,,,,,,,,
Custom Rifle,Unarmored,Assault Rifle,1,Common,,TRUE,,,,graphics/3d/weapons/weapons.SUP,mg_assaultRifle,graphics/3d/weapons/textures/assault_rifle.png,,,,,,,,,,,,,,,,
Turkey Gun,Armored,7.62mm Recoil-based,6,Uncommon,,TRUE,,of Determination,,graphics/3d/weapons/weapons.SUP,shotgun_sawnoff,graphics/3d/weapons/textures/sawnoff.png,,1,,,,,,,,,,,,,,
Backup Pistol,Unarmored,.40 Pistol,11,Uncommon,,TRUE,,of Capacity,,graphics/3d/weapons/weapons_rare.SUP,magnum_rare,graphics/3d/weapons/textures/magnum_rare_03.png,,1,,,,,,,,,,,,,,
Deer Rifle,Armored,7.62mm Recoil-based,16,Uncommon,,TRUE,,of the Scientist,,graphics/3d/weapons/weapons_rare.SUP,sniper_01_rare,graphics/3d/weapons/textures/sniper_rare_04_02.png,,1,,,,,,,,,,,,,,
Roger Destroys,Armored,SonicGun_pc,4,Poor,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons.SUP,sonic_gun,graphics/3d/weapons/textures/sonic_gun_texture.png,,0,,,,,,,,,,,,,,
Hermano,Unarmored,Gatling,3,Uncommon,,TRUE,,of Capacity,Hunter,graphics/3d/weapons/weapons.SUP,mg_minigun04,graphics/3d/weapons/textures/minigun4_02.png,,2,,,,,,,,,,,,,,
,,,,,,,,,Doctor,,,,,,,,,,,,,,,,,,,
Mafioso Shotgun,Armored,Mafioso,10,Rare,,TRUE,,of 6th Sense,,graphics/3d/weapons/weapons.SUP,shotgun_sawnoff,graphics/3d/weapons/textures/sawnoff.png,,2,,,,,,,,,,,,,,
Laser Lasher,Armored,Laser,10,Uncommon,,TRUE,,of Determination,,graphics/3d/weapons/weapons2.SUP,Silenced_pistol,graphics/3d/weapons/textures/silenced_pistol_01.png,,,,,,,,,,,,,,,,
Laser Flayer,Armored,Laser,10,Epic,TRUE,TRUE,,of 6th Sense,,graphics/3d/weapons/weapons2.SUP,Silenced_pistol,graphics/3d/weapons/textures/silenced_pistol_03.png,,,,,,,,,,,,,,,,
Blam,Unarmored,20ga Shotgun,15,Epic,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons2.SUP,Homemade_shotgun_01,graphics/3d/weapons/textures/homemade_shotgun_01.png,,,,,,,,,,,,,,,,
Blood Boiler,Mechanical,SonicGun_pc,8,Epic,TRUE,TRUE,,of Brightness,,graphics/3d/weapons/weapons2.SUP,Rocket_launcher,graphics/3d/weapons/textures/rocket_launcher_01.png,,,,,,,,,,,,,,,,
Rumble,Mechanical,SonicGun_pc,15,Epic,TRUE,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Rocket_launcher,graphics/3d/weapons/textures/rocket_launcher_02.png,,,,,,,,,,,,,,,,
Plasma Rifle,Armored,Plasma,10,Uncommon,,TRUE,,of the Hunter,,graphics/3d/weapons/weapons2.SUP,Old_industrial_plasma_gun,graphics/3d/weapons/textures/old_industrial_plasma_gun_01.png,,1,,,,,,,,,,,,,,
Heatwave,Armored,Plasma,20,Uncommon,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Old_industrial_plasma_gun,graphics/3d/weapons/textures/old_industrial_plasma_gun_02.png,,8,,,,,,,,,,,,,,
Scorcher,Armored,Plasma,28,Uncommon,,TRUE,,of the Hunter,,graphics/3d/weapons/weapons2.SUP,Old_industrial_plasma_gun,graphics/3d/weapons/textures/old_industrial_plasma_gun_01.png,,1,,,,,,,,,,,,,,
Hot Fizz,Armored,Plasma,30,Epic,,TRUE,5,of the Hunter,,graphics/3d/weapons/weapons2.SUP,Old_industrial_plasma_gun,graphics/3d/weapons/textures/old_industrial_plasma_gun_02.png,TRUE,2,,,,,,,,,,,,,,
Cherub,Mechanical,Next-Gen Sniper,8,Uncommon,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Sniper_rifle,graphics/3d/weapons/textures/sniper_rifle_01.png,,2,,,,,,,,,,,,,,
Shadow Shot,Mechanical,Next-Gen Sniper,18,Epic,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons2.SUP,Sniper_rifle,graphics/3d/weapons/textures/sniper_rifle_02.png,,4,,,,,,,,,,,,,,
Dark Angel,Mechanical,Next-Gen Sniper,30,Uncommon,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons2.SUP,Sniper_rifle,graphics/3d/weapons/textures/sniper_rifle_03.png,,4,,,,,,,,,,,,,,
Quake,Mechanical,SonicGun_pc,24,Epic,TRUE,TRUE,,of 6th Sense,,graphics/3d/weapons/weapons2.SUP,Antitank_launcher,graphics/3d/weapons/textures/antitank_launcher_02.png,,4,,,,,,,,,,,,,,
Snake Eye,Armored,Plasma,28,Epic,,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons2.SUP,Old_plasma_gun,graphics/3d/weapons/textures/old_plasma_gun_01.png,,2,,,,,,,,,,,,,,
Kingfisher,Armored,Plasma,30,Epic,,TRUE,4,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Old_plasma_gun,graphics/3d/weapons/textures/old_plasma_gun_02.png,,2,,,,,,,,,,,,,,
Baller,Mechanical,Assault Rifle,25,Rare,,TRUE,,of Capacity,,graphics/3d/weapons/weapons2.SUP,Industrial_assault_rifle,graphics/3d/weapons/textures/industrial_assault_rifle_01.png,,6,,,,,,,,,,,,,,
Copycat,Mechanical,Gatling,19,Epic,TRUE,TRUE,,of 6th Sense,,graphics/3d/weapons/weapons2.SUP,50_cal_Minigun,graphics/3d/weapons/textures/50_cal_minigun.png,,,,,,,,,,,,,,,,
Big Dog,Mechanical,SonicGun_pc,20,Epic,TRUE,TRUE,,of the Hunter,,graphics/3d/weapons/weapons2.SUP,Generic_launcher,graphics/3d/weapons/textures/generic_launcher_03.png,,4,,,,,,,,,,,,,,
Pulse Rifle,Mechanical,Assault Rifle,15,Uncommon,,TRUE,,of Brightness,,graphics/3d/weapons/weapons2.SUP,Assault_rifle,graphics/3d/weapons/textures/assault_rifle_01.png,,4,,,,,,,,,,,,,,
Smooth Operator,Mechanical,Assault Rifle,20,Epic,TRUE,TRUE,,of Brightness,,graphics/3d/weapons/weapons2.SUP,Assault_rifle,graphics/3d/weapons/textures/assault_rifle_02.png,,4,,,,,,,,,,,,,,
Matrix Pistol,Armored,Laser,20,Uncommon,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Sleek_pistol,graphics/3d/weapons/textures/sleek_pistol_01.png,,2,,,,,,,,,,,,,,
Neo Blaster,Armored,Laser,28,Uncommon,,TRUE,,of Determination,,graphics/3d/weapons/weapons2.SUP,Sleek_pistol,graphics/3d/weapons/textures/sleek_pistol_02.png,,2,,,,,,,,,,,,,,
Trinity,Armored,Laser,30,Epic,,TRUE,4,of the Crymaker,,graphics/3d/weapons/weapons2.SUP,Sleek_pistol,graphics/3d/weapons/textures/sleek_pistol_03.png,,2,,,,,,,,,,,,,,
Hole Punch,Mechanical,Gatling,30,Epic,,TRUE,5,of the Painmaker,,graphics/3d/weapons/weapons2.SUP,Handcannon,graphics/3d/weapons/textures/handcannon.png,,6,,,,,,,,,,,,,,
Riddler,Mechanical,Gatling,28,Uncommon,,TRUE,,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Handcannon,graphics/3d/weapons/textures/handcannon.png,,2,,,,,,,,,,,,,,
Autocannon,Mechanical,Gatling,25,Epic,TRUE,TRUE,,of the Hunter,,graphics/3d/weapons/weapons2.SUP,Homemade_cannon,graphics/3d/weapons/textures/homemade_cannon_01.png,,4,,,,,,,,,,,,,,
Space Dust,Unarmored,20ga Shotgun,18,Epic,TRUE,TRUE,,of the Crymaker,,graphics/3d/weapons/weapons2.SUP,Homemade_shotgun_02,graphics/3d/weapons/textures/homemade_shotgun.png,,8,,,,,,,,,,,,,,
Shooting Star,Unarmored,20ga Shotgun,28,Epic,TRUE,TRUE,,of Brightness,,graphics/3d/weapons/weapons2.SUP,Homemade_shotgun_02,graphics/3d/weapons/textures/homemade_shotgun_02.png,,2,,,,,,,,,,,,,,
Meteor Storm,Unarmored,20ga Shotgun,30,Epic,,TRUE,5,of the Painmaker,,graphics/3d/weapons/weapons2.SUP,Homemade_shotgun_02,graphics/3d/weapons/textures/homemade_shotgun_03.png,,4,,,,,,,,,,,,,,
Heavy Barrel,Mechanical,Assault Rifle,30,Epic,,TRUE,4,of the Hunter,,graphics/3d/weapons/weapons2.SUP,Industrial_assault_rifle,graphics/3d/weapons/textures/industrial_assault_rifle_01.png,,2,,,,,,,,,,,,,,
Rage Against,Mechanical,Assault Rifle,30,Epic,,TRUE,4,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Industrial_assault_rifle,graphics/3d/weapons/textures/industrial_assault_rifle_01.png,,2,,,,,,,,,,,,,,
Acedia,Mechanical,20ga Shotgun,30,Epic,,TRUE,3,of the Ambusher,,graphics/3d/weapons/weapons2.SUP,Homemade_shotgun_01,graphics/3d/weapons/textures/homemade_shotgun_01.png,,3,,,,,,,,,,,,,,
One Shot,Mechanical,Next-Gen Sniper,30,Epic,,TRUE,5,of the Ambusher,,graphics/3d/weapons/weapons.SUP,double_clip_sniper,graphics/3d/weapons/textures/double_clip_sniper_03.png,,15,,,,,,,,,,,,,,
Dirty,Unarmored,Labytech Pistol,30,Epic,,TRUE,4,of Capacity,,graphics/3d/weapons/weapons.SUP,auto_pistol,graphics/3d/weapons/textures/auto_pistol_03.png,,5,,,,,,,,,,,,,,
