Name,NPCItem,PlaceableInEditor,RequiredLevel,Rarity,Tier,Icon,EquipmentClass,ClothClass,Enhancement,Texture,FemaleTexture,LootDisabled,PostToSocialNetworks
Elegant Dark Jeans,,,23,Uncommon,,21,Dark Jeans,Small,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Great Dark Jeans,,,25,Uncommon,,21,Dark Jeans,Small,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Cool Dark Jeans,,,27,Uncommon,,21,Dark Jeans,Small,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Good Dark Jeans,,,30,Uncommon,,21,Dark Jeans,Small,,graphics/3d/character/pants/jeans_black_04_m.png,graphics/3d/character/pants/jeans_black_04_f.png,TRUE,TRUE
Rural Black Jeans,,,2,Poor,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Barebones Black Jeans,,,7,Poor,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Beer-soaked Black Jeans,,,14,Poor,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Dirty Black Jeans,,,20,Poor,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Shitty Black Jeans,,,24,Poor,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Battered Black Jeans,,,27,Poor,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Cracked Black Jeans,,,29,Poor,,21,Black Jeans,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Shabby Pants,,,3,Poor,,21,Pants,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Inferior Pants,,,8,Poor,,21,Pants,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Rural Pants,,,13,Poor,,21,Pants,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Barebones Pants,,,17,Poor,,21,Pants,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Beer-soaked Pants,,,22,Poor,,21,Pants,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Dirty Pants,,,28,Poor,,21,Pants,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Shitty Pants,,,30,Poor,,21,Pants,Large,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Broken Black Jeans,,,4,Poor,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Ragged Black Jeans,,,7,Poor,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Worn Black Jeans,,,12,Poor,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Old Black Jeans,,,20,Poor,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Lame Black Jeans,,,24,Poor,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Warped Black Jeans,,,27,Poor,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Lousy Black Jeans,,,29,Poor,,21,Black Jeans,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Battered Pants,,,3,Poor,,21,Pants,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Cracked Pants,,,8,Poor,,21,Pants,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Broken Pants,,,11,Poor,,21,Pants,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Ragged Pants,,,16,Poor,,21,Pants,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Worn Pants,,,22,Poor,,21,Pants,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Old Pants,,,28,Poor,,21,Pants,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Lame Pants,,,30,Poor,,21,Pants,Small,,graphics/3d/character/pants/jeans_black_dirty_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
NPC MALE 13 Diablos Pants 02,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Boosted Brown Jeans,,,1,Uncommon,,11,Brown Jeans,Large,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Acute Brown Jeans,,,3,Uncommon,,11,Brown Jeans,Large,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Genuine Brown Jeans,,,6,Uncommon,,11,Brown Jeans,Large,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Special Brown Jeans,,,8,Uncommon,,11,Brown Jeans,Large,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Elegant Brown Jeans,,,9,Uncommon,,11,Brown Jeans,Large,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Great Brown Jeans,,,12,Uncommon,,11,Brown Jeans,Large,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Cool Brown Jeans,,,1,Uncommon,,11,Brown Jeans,Small,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Good Brown Jeans,,,3,Uncommon,,11,Brown Jeans,Small,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Fine Brown Jeans,,,6,Uncommon,,11,Brown Jeans,Small,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Credible Brown Jeans,,,8,Uncommon,,11,Brown Jeans,Small,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Street Wise Brown Jeans,,,9,Uncommon,,11,Brown Jeans,Small,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Worthy Brown Jeans,,,12,Uncommon,,11,Brown Jeans,Small,,graphics/3d/character/pants/jeans_brown_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
NPC GENERIC Jeans,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Plain Denim Jeans,,,1,Common,,1,Denim Jeans,Large,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Standard Denim Jeans,,,2,Common,,1,Denim Jeans,Large,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Usual Denim Jeans,,,4,Common,,1,Denim Jeans,Large,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Universal Denim Jeans,,,6,Common,,1,Denim Jeans,Large,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Average Denim Jeans,,,8,Common,,1,Denim Jeans,Large,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Basic Denim Jeans,,,9,Common,,1,Denim Jeans,Large,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Everyday Denim Jeans,,,1,Common,,1,Denim Jeans,Small,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Regular Denim Jeans,,,3,Common,,1,Denim Jeans,Small,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Popular Denim Jeans,,,4,Common,,1,Denim Jeans,Small,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Common Denim Jeans,,,7,Common,,1,Denim Jeans,Small,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Simple Denim Jeans,,,8,Common,,1,Denim Jeans,Small,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Typical Denim Jeans,,,9,Common,,1,Denim Jeans,Small,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
NPC MALE Mad Dogs Pants 02,true,,1,Common,,1,Pants,,,graphics/3d/character/pants/jeans_stone_washed_01_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
NPC MALE Docker Worker Pants 02,true,,1,Common,,1,Pants,,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
Universal Stonewashed,,,16,Common,,1,Stonewashed,Large,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Average Stonewashed,,,23,Common,,1,Stonewashed,Large,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Basic Stonewashed,,,26,Common,,1,Stonewashed,Large,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Everyday Stonewashed,,,28,Common,,1,Stonewashed,Large,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Regular Stonewashed,,,29,Common,,1,Stonewashed,Large,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Popular Stonewashed,,,30,Common,,1,Stonewashed,Large,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Common Stonewashed,,,16,Common,,1,Stonewashed,Small,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Simple Stonewashed,,,23,Common,,1,Stonewashed,Small,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Typical Stonewashed,,,26,Common,,1,Stonewashed,Small,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Usual Stonewashed,,,28,Common,,1,Stonewashed,Small,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Plain Stonewashed,,,29,Common,,1,Stonewashed,Small,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Standard Stonewashed,,,30,Common,,1,Stonewashed,Small,,graphics/3d/character/pants/jeans_stone_washed_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
NPC MALE Hooligans Pants 02,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/npc_hooligans_pants_01.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
NPC MALE Hooligans Pants 03,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/npc_hooligans_pants_02.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
NPC MALE Mad Dogs Pants 01,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/npc_mad_dogs_pants_01.png,graphics/3d/character/pants/jeans_stone_washed_01_f.png,TRUE,
NPC MALE Voodoo Pants 01,true,,1,Common,,1,Pants,,,graphics/3d/character/pants/npc_voodoo_pants_01.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
NPC MALE Voodoo Pants 02,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/npc_voodoo_pants_02.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
NPC MALE Hired Guns Pants 01,true,,1,Common,,2,Pants,,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
Special Camo Pants,,,5,Uncommon,,21,Camo Pants,Large,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Elegant Camo Pants,,,7,Uncommon,,21,Camo Pants,Large,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Great Camo Pants,,,9,Uncommon,,21,Camo Pants,Large,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Cool Camo Pants,,,11,Uncommon,,21,Camo Pants,Large,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Good Camo Pants,,,13,Uncommon,,21,Camo Pants,Large,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Fine Camo Pants,,,15,Uncommon,,21,Camo Pants,Large,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Credible Camo Pants,,,5,Uncommon,,21,Camo Pants,Small,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Street Wise Camo Pants,,,7,Uncommon,,21,Camo Pants,Small,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Worthy Camo Pants,,,9,Uncommon,,21,Camo Pants,Small,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Boosted Camo Pants,,,11,Uncommon,,21,Camo Pants,Small,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Acute Camo Pants,,,13,Uncommon,,21,Camo Pants,Small,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Genuine Camo Pants,,,15,Uncommon,,21,Camo Pants,Small,,graphics/3d/character/pants/pants_army_01_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
NPC FEMALE Eastern Queen Pants,true,,1,Common,,21,Pants,,,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/shorts_blue_01_f.png,TRUE,
NPC FEMALE Eastern Queen Pants 02,true,,1,Common,,21,Pants,,,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/npc_eastern_queens_skirt_01.png,TRUE,
NPC MALE Hired Guns Pants 02,true,,1,Common,,21,Pants,,,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,
NPC FEMALE Valkyries Pants 01,true,,1,Common,,21,Pants,,,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/npc_valkyries_pants_01.png,TRUE,
NPC FEMALE Valkyries Pants 02,true,,1,Common,,21,Pants,,,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/npc_valkyries_pants_02.png,TRUE,
First-Class Custom Pants,,,21,Rare,,21,Custom Pants,Large,of the Judgment,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Outstanding Custom Pants,,,22,Rare,,21,Custom Pants,Large,of the Destroyer,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Superfine Custom Pants,,,23,Rare,,21,Custom Pants,Large,of the Painmaker,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Excellent Custom Pants,,,24,Rare,,21,Custom Pants,Large,of the Predator,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
Marvelous Custom Pants,,,25,Rare,,21,Custom Pants,Large,of the Legend,graphics/3d/character/pants/pants_army_02_m.png,graphics/3d/character/pants/jeans_green_01_f.png,TRUE,TRUE
