Name,Deprecated,Type,TargetData,TypeCount,Image
Brains,,EliminateBoss,Brains,,graphics/timeline_icons/placeholder_enemy_kill.png
Raider Vega,,EliminateBoss,Vega 2.0,,graphics/timeline_icons/placeholder_enemy_kill.png
Vega phase 2.0,,EliminateBoss,Vega,,graphics/timeline_icons/placeholder_enemy_kill.png
Raider Jules,,EliminateBoss,Raider Jules,,graphics/timeline_icons/placeholder_enemy_kill.png
Queen Bathory,,EliminateBoss,Queen Bathory,,graphics/timeline_icons/placeholder_enemy_kill.png
Mutated Zombie,,EliminateBoss,Mutated Zombie,,graphics/timeline_icons/placeholder_enemy_kill.png
Gyros,,EliminateBoss,Gyros,,graphics/timeline_icons/placeholder_enemy_kill.png
Bomber,,EliminateBoss,Bomber,,graphics/timeline_icons/placeholder_enemy_kill.png
Anger,,EliminateBoss,Anger,,graphics/timeline_icons/placeholder_enemy_kill.png
Undead Butcher,,EliminateBoss,Undead Butcher,,graphics/timeline_icons/placeholder_enemy_kill.png
Headmaster,,EliminateBoss,Headmaster,,graphics/timeline_icons/placeholder_enemy_kill.png
Cleaner Bot,,EliminateBoss,Swarmbot,,graphics/timeline_icons/placeholder_enemy_kill.png
Big Boss,,EliminateBoss,Big Boss,,graphics/timeline_icons/placeholder_enemy_kill.png
Bob De La Muerte,,EliminateBoss,Bob De La Muerte,,graphics/timeline_icons/placeholder_enemy_kill.png
Hector De La Muerte,,EliminateBoss,Hector De La Muerte,,graphics/timeline_icons/placeholder_enemy_kill.png
Victor De La Muerte,,EliminateBoss,Victor De La Muerte,,graphics/timeline_icons/placeholder_enemy_kill.png
