Name,ConsumableItemClass,RequiredWeaponClass,DropOnlyTo,RequiredLevel,MinDamage,MaxDamage,MaxScaledLevel,MinScaledDamage,MaxScaledDamage,Rarity,ShopRecommend,DontScaleStarRating,LootDisabled,DiamondsOnly,DiamondCostExact,LootMinLevel,LootMaxLevel,PlaceableInEditor,AlwaysOnVendor,LootResource,LootExportName,EnergyCost,HealthCost,Projectile,TargetFilter,Range,Threat,Cast,AoeRadius,AoeFilter,MinEnergy,MaxEnergy,PushBack,Animation,WeaponClassAnimation,SpecialWeapon,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffExperience,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffCredibility,BuffEnergy,BuffDamage,ScaledBuffDamage,BuffEffect,FBSpecialReward,FBWallPostIcon
Greater Dynamite,Explosive,,,25,148,148,,,,Common,,,TRUE,,45,25,29,,,graphics/loot/loot_box1.swf,LootDynamite,,,Dynamite,location,,10,600,35,enemy,,,,Throw,,,17,TID_TOOLTIP_CONSUMABLE_DYNAMITE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Dynamite,Explosive,,,30,176,176,,,,Common,,,TRUE,,45,30,30,,,graphics/loot/loot_box1.swf,LootDynamite,,,Dynamite,location,,10,600,35,enemy,,,,Throw,,,18,TID_TOOLTIP_CONSUMABLE_DYNAMITE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Shuriken,Projectile,,,3,30,40,,,,Common,,,TRUE,,45,3,7,,,graphics/loot/loot_box1.swf,LootShuriken,,,Shuriken,enemy,,20,450,,,,,,Throw,,,7,TID_TOOLTIP_CONSUMABLE_SHURIKEN,,,,Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuriken,Projectile,,,8,47,52,,,,Common,,,TRUE,,45,8,12,,,graphics/loot/loot_box1.swf,LootShuriken,,,Shuriken,enemy,,20,450,,,,,,Throw,,,8,TID_TOOLTIP_CONSUMABLE_SHURIKEN,,,,Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Shuriken,Projectile,,,13,70,85,,,,Common,,,TRUE,,45,13,17,,,graphics/loot/loot_box1.swf,LootShuriken,,,Shuriken,enemy,,20,450,,,,,,Throw,,,9,TID_TOOLTIP_CONSUMABLE_SHURIKEN,,,,Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Shuriken,Projectile,,,18,96,114,,,,Common,,,TRUE,,45,18,22,,,graphics/loot/loot_box1.swf,LootShuriken,,,Shuriken,enemy,,20,450,,,,,,Throw,,,10,TID_TOOLTIP_CONSUMABLE_SHURIKEN,,,,Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Shuriken,Projectile,,,23,122,144,,,,Common,,,TRUE,,45,23,27,,,graphics/loot/loot_box1.swf,LootShuriken,,,Shuriken,enemy,,20,450,,,,,,Throw,,,11,TID_TOOLTIP_CONSUMABLE_SHURIKEN,,,,Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shuriken,Projectile,,,28,150,170,,,,Common,,,TRUE,,45,28,30,,,graphics/loot/loot_box1.swf,LootShuriken,,,Shuriken,enemy,,20,450,,,,,,Throw,,,12,TID_TOOLTIP_CONSUMABLE_SHURIKEN,,,,Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Medikit,Medikit,,,1,-200,-260,,,,Common,,,TRUE,,45,1,5,,,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,,,,,,,,,,25,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medikit,Medikit,,,3,-300,-350,10,-160,-172,Common,,,TRUE,,45,3,12,,TRUE,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,,,,,,,,,,26,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Medikit,Medikit,,,11,-140,-148,,,,Common,,,TRUE,,45,11,15,,,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,,,,,,,,,,27,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Medikit,Medikit,,,11,-236,-250,19,-404,-420,Common,,,TRUE,,45,11,22,,TRUE,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,,,,,,,,,,28,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Medikit,Medikit,,,20,-260,-268,,,,Common,,,TRUE,,45,21,25,,,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,,,,,,,,,,29,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Medikit,Medikit,,,25,-660,-680,30,-2150,-2390,Common,,,TRUE,,45,20,30,,TRUE,graphics/loot/loot_box1.swf,LootMedikit,,,,self,,,,,,,,,,,,30,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Energy Boost,Energizer,,,1,,,,,,Common,,,TRUE,,45,1,5,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,,,,70,70,,,,,19,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Boost,Energizer,,,6,,,,,,Common,,,TRUE,,45,6,10,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,,,,80,80,,,,,20,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Energy Boost,Energizer,,,11,,,,,,Common,,,TRUE,,45,11,15,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,,,,90,90,,,,,21,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Energy Boost,Energizer,,,16,,,,,,Common,,,TRUE,,45,16,20,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,,,,100,100,,,,,22,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Energy Boost,Energizer,,,21,,,,,,Common,,,TRUE,,45,21,25,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,,,,110,110,,,,,23,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Energy Boost,Energizer,,,26,,,,,,Common,,,TRUE,,45,26,30,,,graphics/loot/loot_box1.swf,LootEnergyPack,,,,self,,,,,,120,120,,,,,24,TID_TOOLTIP_CONSUMABLE_ENERGIZER,StimulantActivation3,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Molotov Cocktail,Explosive,,,3,100,100,,,,Uncommon,,,TRUE,,250,3,7,,,graphics/loot/loot_box1.swf,LootMolotov,,,Molotov,location,,20,450,50,enemy,,,,Throw,,,55,TID_TOOLTIP_CONSUMABLE_MOLOTOV,,MolotovExplosion,,,,,,,,,,4000,,,,,,,,,,,,,,,,150,,Burner,,
Molotov Cocktail,Explosive,,,6,400,400,15,50,32,Uncommon,,,,,250,6,16,,TRUE,graphics/loot/loot_box1.swf,LootMolotov,,,Molotov,location,,20,450,50,enemy,,,,Throw,,,56,TID_TOOLTIP_CONSUMABLE_MOLOTOV,,MolotovExplosion,,,,,,,,,,4000,,,,,,,,,,,,,,,,250,,Burner,,
Big Molotov Cocktail,Explosive,,,13,1200,1500,,,,Uncommon,,,TRUE,,250,13,17,,,graphics/loot/loot_box1.swf,LootMolotov,,,Molotov,location,,20,450,50,enemy,,,,Throw,,,57,TID_TOOLTIP_CONSUMABLE_MOLOTOV,,MolotovExplosion,,,,,,,,,,4000,,,,,,,,,,,,,,,,1000,,Burner,,
Great Molotov Cocktail,Explosive,,,16,80,80,25,90,90,Uncommon,,,,,250,16,26,,TRUE,graphics/loot/loot_box1.swf,LootMolotov,,,Molotov,location,,20,450,50,enemy,,,,Throw,,,58,TID_TOOLTIP_CONSUMABLE_MOLOTOV,,MolotovExplosion,,,,,,,,,,4000,,,,,,,,,,,,,,,,700,,Burner,,
Greater Molotov Cocktail,Explosive,,,23,75,75,,,,Uncommon,,,TRUE,,250,23,27,,,graphics/loot/loot_box1.swf,LootMolotov,,,Molotov,location,,20,450,50,enemy,,,,Throw,,,59,TID_TOOLTIP_CONSUMABLE_MOLOTOV,,MolotovExplosion,,,,,,,,,,4000,,,,,,,,,,,,,,,,1000,,Burner,,
Superior Molotov Cocktail,Explosive,,,26,1000,1000,30,500,1000,Uncommon,,,,,250,26,30,,TRUE,graphics/loot/loot_box1.swf,LootMolotov,,,Molotov,location,,20,450,50,enemy,,,,Throw,,,60,TID_TOOLTIP_CONSUMABLE_MOLOTOV,,MolotovExplosion,,,,,,,,,,4000,,,,,,,,,,,,,,,,2000,,Burner,,
Shock Grenade,Explosive,,,10,,,,,,Uncommon,,,,,180,10,19,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,20,450,50,enemy,-30,-30,,Throw,,,61,TID_TOOLTIP_CONSUMABLE_SHOCKGRENADE,,ElectricSlam,,,,,,,,,,2500,,,TRUE,,,,,,,,,,,,,40,,ElectricShock,,
Big Shock Grenade,Explosive,,,15,,,,,,Uncommon,,,TRUE,,180,15,19,,,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,20,450,50,enemy,-40,-40,,Throw,,,62,TID_TOOLTIP_CONSUMABLE_SHOCKGRENADE,,ElectricSlam,,,,,,,,,,3000,,,TRUE,,,,,,,,,,,,,44,,ElectricShock,,
Great Shock Grenade,Explosive,,,19,,,,,,Uncommon,,,,,180,19,27,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,20,450,50,enemy,-50,-50,,Throw,,,63,TID_TOOLTIP_CONSUMABLE_SHOCKGRENADE,,ElectricSlam,,,,,,,,,,3500,,,TRUE,,,,,,,,,,,,,86,,ElectricShock,,
Greater Shock Grenade,Explosive,,,25,,,,,,Uncommon,,,TRUE,,180,25,29,,,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,20,450,50,enemy,-60,-60,,Throw,,,64,TID_TOOLTIP_CONSUMABLE_SHOCKGRENADE,,ElectricSlam,,,,,,,,,,3800,,,TRUE,,,,,,,,,,,,,72,,ElectricShock,,
Superior Shock Grenade,Explosive,,,28,,,,,,Uncommon,,,,,180,28,30,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,ShockGrenade,location,,20,450,50,enemy,-70,-70,,Throw,,,65,TID_TOOLTIP_CONSUMABLE_SHOCKGRENADE,,ElectricSlam,,,,,,,,,,4000,,,TRUE,,,,,,,,,,,,,220,,ElectricShock,,
Big Gas Grenade,Explosive,,,14,,,,,,Uncommon,,,TRUE,,180,14,18,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeGas,,,GasGrenade,location,,20,450,45,enemy,,,,Throw,,,43,TID_TOOLTIP_CONSUMABLE_GASGRENADE,,Skill_FX_Toxic,,,,,,,,,,10000,,,,-50,,,,,,,,,,,,200,,PoisonSteam,,
Great Gas Grenade,Explosive,,,19,,,,,,Uncommon,,,TRUE,,180,19,23,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeGas,,,GasGrenade,location,,20,450,45,enemy,,,,Throw,,,44,TID_TOOLTIP_CONSUMABLE_GASGRENADE,,Skill_FX_Toxic,,,,,,,,,,10000,,,,-50,,,,,,,,,,,,270,,PoisonSteam,,
Greater Gas Grenade,Explosive,,,24,,,,,,Uncommon,,,TRUE,,180,24,28,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeGas,,,GasGrenade,location,,20,450,45,enemy,,,,Throw,,,45,TID_TOOLTIP_CONSUMABLE_GASGRENADE,,Skill_FX_Toxic,,,,,,,,,,10000,,,,-50,,,,,,,,,,,,340,,PoisonSteam,,
Superior Gas Grenade,Explosive,,,29,,,,,,Uncommon,,,TRUE,,180,29,30,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeGas,,,GasGrenade,location,,20,450,45,enemy,,,,Throw,,,46,TID_TOOLTIP_CONSUMABLE_GASGRENADE,,Skill_FX_Toxic,,,,,,,,,,10000,,,,-50,,,,,,,,,,,,410,,PoisonSteam,,
Small Bazooka,Projectile,,,1,120,150,,,,Uncommon,,,TRUE,,180,1,5,TRUE,TRUE,graphics/loot/loot_box1.swf,LootRocketLauncher,,,Bazooka,location,,20,450,30,enemy+self,,,TRUE,LaunchRocket,,Bazooka Type: 5ty-G3,91,TID_TOOLTIP_CONSUMABLE_BAZOOKA,,Wall Explode,,RocketLauncherLaunch,,,,,,,,500,,,,,,,,,,,,,,,,40,,Burner,,
Bazooka,Projectile,,,7,180,204,16,212,220,Uncommon,TRUE,,,TRUE,100,6,10,,TRUE,graphics/loot/loot_box1.swf,LootRocketLauncher,,,Bazooka,location,,20,450,30,enemy+self,,,TRUE,LaunchRocket,,Bazooka Type: 5ty-G3,92,TID_TOOLTIP_CONSUMABLE_BAZOOKA,,Wall Explode,,RocketLauncherLaunch,,,,,,,,500,,,,,,,,,,,,,,,,90,,Burner,,
Big Bazooka,Projectile,,,11,360,420,,,,Uncommon,,,TRUE,,250,11,15,,TRUE,graphics/loot/loot_box1.swf,LootRocketLauncher,,,Bazooka,location,,20,450,30,enemy+self,,,TRUE,LaunchRocket,,Bazooka Type: 5ty-G3,93,TID_TOOLTIP_CONSUMABLE_BAZOOKA,,Wall Explode,,RocketLauncherLaunch,,,,,,,,500,,,,,,,,,,,,,,,,90,,Burner,,
Great Bazooka,Projectile,,,16,750,270,24,540,560,Uncommon,TRUE,,,TRUE,100,16,20,,TRUE,graphics/loot/loot_box1.swf,LootRocketLauncher,,,Bazooka,location,,20,450,30,enemy+self,,,TRUE,LaunchRocket,,Bazooka Type: 5ty-G3,94,TID_TOOLTIP_CONSUMABLE_BAZOOKA,,Wall Explode,,RocketLauncherLaunch,,,,,,,,500,,,,,,,,,,,,,,,,240,,Burner,,
Greater Bazooka,Projectile,,,21,540,210,,,,Uncommon,,,TRUE,,250,21,25,,TRUE,graphics/loot/loot_box1.swf,LootRocketLauncher,,,Bazooka,location,,20,450,30,enemy+self,,,TRUE,LaunchRocket,,Bazooka Type: 5ty-G3,95,TID_TOOLTIP_CONSUMABLE_BAZOOKA,,Wall Explode,,RocketLauncherLaunch,,,,,,,,500,,,,,,,,,,,,,,,,170,,Burner,,
Super Bazooka,Projectile,,,24,2280,2400,30,960,1000,Uncommon,TRUE,,,TRUE,40,26,30,,TRUE,graphics/loot/loot_box1.swf,LootRocketLauncher,,,Bazooka,location,,20,450,30,enemy+self,,,TRUE,LaunchRocket,,Bazooka Type: 5ty-G3,96,TID_TOOLTIP_CONSUMABLE_BAZOOKA,,Wall Explode,,RocketLauncherLaunch,,,,,,,,500,,,,,,,,,,,,,,,,450,,Burner,,
Minor Air Strike,Special Missile,,,1,400,400,,,,Epic,TRUE,,TRUE,TRUE,200,1,7,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,Nuke,location,,20,450,35,enemy+self,,,TRUE,Use,,,31,TID_TOOLTIP_CONSUMABLE_AIRSTRIKE,,AirStrike,AirStrike,AirStrikeLaunch,,,,,,,,3000,,,,,,,,,,,,,,,,400,,Burner,,
Air Strike,Special Missile,,,8,1500,2000,,,,Epic,TRUE,,TRUE,TRUE,200,8,15,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,Nuke,location,,20,450,35,enemy+self,,,TRUE,Use,,,32,TID_TOOLTIP_CONSUMABLE_AIRSTRIKE,,AirStrike,AirStrike,AirStrikeLaunch,,,,,,,,4000,,,,,,,,,,,,,,,,800,,Burner,,
Major Air Strike,Special Missile,,,16,3000,4000,,,,Epic,TRUE,,TRUE,TRUE,200,16,23,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,Nuke,location,,20,450,40,enemy+self,,,TRUE,Use,,,33,TID_TOOLTIP_CONSUMABLE_AIRSTRIKE,,AirStrike,AirStrike,AirStrikeLaunch,,,,,,,,5000,,,,,,,,,,,,,,,,1600,,Burner,,
Huge Air Strike,Special Missile,,,24,7000,8000,,,,Epic,TRUE,,TRUE,TRUE,200,24,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,Nuke,location,,20,450,45,enemy+self,,,TRUE,Use,,,34,TID_TOOLTIP_CONSUMABLE_AIRSTRIKE,,AirStrike,AirStrike,AirStrikeLaunch,,,,,,,,6000,,,,,,,,,,,,,,,,2000,,Burner,,
Minor Shock Blow,Special Weapon,,,4,80,100,,,,Uncommon,,,TRUE,,180,5,15,,,graphics/loot/loot_box1.swf,LootShuriken,,,,self,,20,450,45,enemy,,,TRUE,Rage,,,68,TID_TOOLTIP_CONSUMABLE_SHOCKBLOW,,ShockBlow,,,,,,,,,,1500,,,TRUE,,,,,,,,,,,,,,,ElectricShock,,
Shock Blow,Special Weapon,,,5,80,100,13,100,120,Uncommon,,,TRUE,,180,8,18,,TRUE,graphics/loot/loot_box1.swf,LootShuriken,,,,self,,20,450,45,enemy,,,TRUE,Rage,,,68,TID_TOOLTIP_CONSUMABLE_SHOCKBLOW,,ShockBlow,,,,,,,,,,2000,,,TRUE,,,,,,,,,,,,,,,ElectricShock,,
Major Shock Blow,Special Weapon,,,14,180,240,,,,Uncommon,,,TRUE,,180,15,25,,,graphics/loot/loot_box1.swf,LootGrenadeShock,,,,self,,20,450,45,enemy,,,TRUE,Rage,,,68,TID_TOOLTIP_CONSUMABLE_SHOCKBLOW,,ShockBlow,,,,,,,,,,3000,,,TRUE,,,,,,,,,,,,,,,ElectricShock,,
Great Shock Blow,Special Weapon,,,15,240,300,23,300,360,Uncommon,,,TRUE,,60,18,28,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,,self,,20,450,45,enemy,,,TRUE,Rage,,,68,TID_TOOLTIP_CONSUMABLE_SHOCKBLOW,,ShockBlow,,,,,,,,,,3500,,,TRUE,,,,,,,,,,,,,,,ElectricShock,,
Greater Shock Blow,Special Weapon,,,24,300,400,,,,Uncommon,,,TRUE,,180,25,28,,,graphics/loot/loot_box1.swf,LootGrenadeShock,,,,self,,20,450,45,enemy,,,TRUE,Rage,,,68,TID_TOOLTIP_CONSUMABLE_SHOCKBLOW,,ShockBlow,,,,,,,,,,4000,,,TRUE,,,,,,,,,,,,,,,ElectricShock,,
Superior Shock Blow,Special Weapon,,,25,600,800,30,800,1000,Uncommon,,,TRUE,TRUE,60,28,30,,TRUE,graphics/loot/loot_box1.swf,LootGrenadeShock,,,,self,,20,450,45,enemy,,,TRUE,Rage,,,68,TID_TOOLTIP_CONSUMABLE_SHOCKBLOW,,ShockBlow,,,,,,,,,,5000,,,TRUE,,,,,,,,,,,,,,,ElectricShock,,
Weak Force Field,Combat Booster,,,1,,,,,,Uncommon,,,TRUE,,180,1,10,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,20,,,,,,,Use,,,67,TID_TOOLTIP_CONSUMABLE_FORCEFIELD,,,,ForceFieldActivate,,,,,,,,40000,,,,,,,,400,,,,,,,,,,ForceField,,
Force Field,Combat Booster,,,11,,,,,,Uncommon,,,TRUE,,180,11,20,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,20,,,,,,,Use,,,67,TID_TOOLTIP_CONSUMABLE_FORCEFIELD,,,,ForceFieldActivate,,,,,,,,40000,,,,,,,,800,,,,,,,,,,ForceField,,
Strong Force Field,Combat Booster,,,21,,,,,,Uncommon,,,TRUE,,180,21,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,20,,,,,,,Use,,,67,TID_TOOLTIP_CONSUMABLE_FORCEFIELD,,,,ForceFieldActivate,,,,,,,,40000,,,,,,,,1600,,,,,,,,,,ForceField,,
Combat Speed Increase,Combat Booster,,,1,,,,,,Uncommon,,TRUE,TRUE,,180,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,,,,,,,,,,,72,TID_TOOLTIP_CONSUMABLE_COMBATSPEEDINCREASE,CombatBoosterActivation,Skill_FX_Focus,,,,,,,,,,40000,,,,,25,,,,,,,,,,,,,,,
Walking Speed Increase,Combat Booster,,,1,,,,,,Uncommon,,,TRUE,,180,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,,,,,,,,,,,86,TID_TOOLTIP_CONSUMABLE_WALKSPEEDINCREASE,CombatBoosterActivation,Skill_FX_Focus,,,,,,,,,,40000,,,,25,,,,,,,,,,,,,,,,
Extended Armor,Stimulant,,,1,,,,,,Rare,,,TRUE,,500,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,90,TID_TOOLTIP_CONSUMABLE_EXTENDEDARMOR,ArmorActivation,Skill_FX_Heavy_Armor,,,,,,,,,,2700000,,,,,,,,,25,,,,,,,,,,,
XP Booster (150%),Stimulant,,,1,,,,,,Rare,,,TRUE,,800,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,88,TID_TOOLTIP_CONSUMABLE_XPBOOSTER01,StimulantActivation3,,,,,,,,,,,2700000,,,,,,,50,,,,,,,,,,,,,90x90_xp_150.png
XP Booster (200%),Stimulant,,,1,,,,,,Epic,TRUE,TRUE,TRUE,TRUE,1500,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,,,,,,,,,89,TID_TOOLTIP_CONSUMABLE_XPBOOSTER02,StimulantActivation3,,,,,,,,,,,2700000,,,,,,,100,,,,,,,,,,,,,
Extended Armor (Group),Stimulant,,,1,,,,,,Rare,,TRUE,TRUE,TRUE,800,1,30,,TRUE,graphics/loot/loot_box1.swf,LootBox,,,,self,,10,,100,self+friendly,,,,,,,84,TID_TOOLTIP_CONSUMABLE_EXTENDEDARMORG,ArmorActivation,Skill_FX_Heavy_Armor,Skill_FX_Heavy_Armor_Target,,,,,,,,,2700000,,,,,,,,,25,,,,,,,,,,,
Small Health Boost,Medikit,,,1,-150,-200,,,,Uncommon,,,TRUE,,200,1,5,,TRUE,graphics/loot/loot_box1.swf,LootMedikit_high,,,,self,,,,,,,,,,,,97,TID_TOOLTIP_CONSUMABLE_MEDIKIT,HealingEffect,,,Medikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
