Name,Tags,Resource,ExportName,BlendMode
light_wall_dots,light prison,graphics/decos/prison/prison_lights.swf,light_wall_dots,screen
light_wall_vertical,light prison,graphics/decos/prison/prison_lights.swf,light_wall_vertical,screen
light_greenglow,light prison,graphics/decos/prison/prison_lights.swf,light_greenglow,screen
videoscreen_front,screen sign,graphics/decos/video_screens/screens.swf,videoscreen_front,
videoscreen_front_intro,screen sign,graphics/decos/harbor/intro_screens_and_decor.swf,videoscreen_front_intro,
pier_bumber1,docks pier RETOUCH,graphics/decos/docks/pier_water_items.swf,pier_bumber1,
screen_1,screen dawnbreak labycore,graphics/decos/signs/signs_dawnbreak.swf,screen_1,
video1,screen video labycore,graphics/decos/video_screens/video1.swf,video1,
spatter_1,blood wall,graphics/ground_decos/ground_patches.swf,spatter_1,overlay
spatter_2,blood wall,graphics/ground_decos/ground_patches.swf,spatter_2,overlay
spatter_3,blood wall,graphics/ground_decos/ground_patches.swf,spatter_3,overlay
pplant_wall_light,powerplant light interior,graphics/decos/interiors_common/interiors_wall_common.swf,pplant_wall_light,
screens_black,interior screen,graphics/decos/interiors_common/interiors_wall_common.swf,screens_black,
screens_white,interior screen,graphics/decos/interiors_common/interiors_wall_common.swf,screens_white,
screen_char_bot_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_char_bot_straight,screen
screen_char_female_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_char_female_straight,screen
screen_char_rogue_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_char_rogue_straight,screen
screen_char_tank_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_char_tank_straight,screen
screen_characters_straight_clip,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_characters_straight_clip,screen
screen_cross1_blink,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_cross1_blink,screen
screen_cross2_fadeinout,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_cross2_fadeinout,screen
screen_dots_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_dots_straight,screen
screen_dots_straight_flow,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_dots_straight_flow,screen
screen_dots_flow,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_dots_flow,screen
screen_grid,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_grid,screen
screen_icon01_straight_rotate,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon01_straight_rotate,screen
screen_icon01_rotate,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon01_rotate,screen
screen_icon02_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon02_straight,screen
screen_icon02_straight_flip,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon02_straight_flip,screen
screen_icon02_flip,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon02_flip,screen
screen_icon03_straight_pulse,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon03_straight_pulse,screen
screen_icon03_pulse,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon03_pulse,screen
screen_icon04_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon04_straight,screen
screen_icon04_fadeinout,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon04_fadeinout,screen
screen_icon05_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon05_straight,screen
screen_icon05_straight_zoomin,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_icon05_straight_zoomin,screen
screen_code_straight_fade,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_code_straight_fade,screen
screen_code_fade,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_code_fade,screen
screen_code_straight_fast,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_code_straight_fast,screen
screen_code_fast,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_code_fast,screen
screen_line_straight,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_line_straight,screen
screen_line_swipe_back,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_line_swipe_back,screen
screen_line_swipe_front,computer interior screen,graphics/decos/high_tech/computers_and_screen_graphics.swf,screen_line_swipe_front,screen
speaker_wall,interior speaker,graphics/decos/interiors_common/interiors_wall_common.swf,speaker_wall,
surveillance_globe_wall,surveillance,graphics/decos/interiors_common/interiors_wall_common.swf,surveillance_globe_wall,
wall_light_circles,interior light,graphics/decos/interiors_common/interiors_wall_common.swf,wall_light_circles,
4screens_black,screen interior,graphics/decos/interiors_common/interiors_wall_common.swf,4screens_black,
4screens_white,screen interior,graphics/decos/interiors_common/interiors_wall_common.swf,4screens_white,
comb_wall_1,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,comb_wall_1,
comb_wall_1_black,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,comb_wall_1_black,
comb_wall_1_orange,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,comb_wall_1_orange,
comb_wall_3,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,comb_wall_3,
comb_wall_3_black,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,comb_wall_3_black,
comb_wall_3_orange,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,comb_wall_3_orange,
honeycomb_wall,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,honeycomb_wall,
honeycomb_wall_single,wall detail,graphics/decos/interiors_common/interiors_wall_common.swf,honeycomb_wall_single,
register_back,vendor shop diner,graphics/decos/interiors_common/interiors_common.swf,register_back,
register_front,vendor shop diner,graphics/decos/interiors_common/interiors_common.swf,register_front,
microwave,diner bar home restaurant,graphics/decos/diner/diner.swf,microwave,
plates,diner bar home restaurant,graphics/decos/diner/diner.swf,plates,
beer_crate_walldeco,BEER BINI KEPPANA restaurant diner bar,graphics/decos/diner/diner.swf,beer_crate_walldeco,
rags1,trash ghetto interior,graphics/decos/interiors_ghetto/interiors_ghetto.swf,ragpile_1,
rags2,trash ghetto interior,graphics/decos/interiors_ghetto/interiors_ghetto.swf,ragpile_2,
rags3,trash ghetto interior,graphics/decos/interiors_ghetto/interiors_ghetto.swf,ragpile_3,
old_tv,ghetto interior,graphics/decos/interiors_ghetto/interiors_ghetto.swf,tv_old,
db_right,dawnbreak sign wall,graphics/decos/signs/signs_generic.swf,db_right,
weapons_wall_right,weapons sign wall,graphics/decos/signs/signs_generic.swf,weapons_wall_right,
pharma_wall_right,pharmacy sign wall,graphics/decos/signs/signs_generic.swf,pharma_wall_right,
eastern_queens_left,gang eastern queens tag,graphics/decos/wall_passables/gang_signs.swf,eastern_queens_left,overlay
eastern_queens_right,gang eastern queens tag,graphics/decos/wall_passables/gang_signs.swf,eastern_queens_right,overlay
eastern_queens_lips_right,gang eastern queens tag,graphics/decos/wall_passables/gang_signs.swf,eastern_queens_lips_right,overlay
eastern_queens_lips_left,gang eastern queens tag,graphics/decos/wall_passables/gang_signs.swf,eastern_queens_lips_left,overlay
mad_dogs_left,gang mad dogs tag UPDATE,graphics/decos/wall_passables/gang_signs.swf,mad_dogs_left,overlay
mad_dogs_right,gang mad dogs tag UPDATE,graphics/decos/wall_passables/gang_signs.swf,mad_dogs_right,overlay
hooligans_left,gang hooligans tag,graphics/decos/wall_passables/gang_signs.swf,hooligans_left,overlay
hooligans_right,gang hooligans tag,graphics/decos/wall_passables/gang_signs.swf,hooligans_right,overlay
hooligans_splat_left,gang hooligans tag,graphics/decos/wall_passables/gang_signs.swf,hooligans_splat_left,overlay
hooligans_splat_right,gang hooligans tag,graphics/decos/wall_passables/gang_signs.swf,hooligans_splat_right,overlay
resistance_symbol_wall_1,resistance tag freedom,graphics/decos/wall_passables/gang_signs.swf,resistance_symbol_wall_1,
resistance_symbol_wall_2,resistance tag freedom,graphics/decos/wall_passables/gang_signs.swf,resistance_symbol_wall_2,
hired_guns_left,gang hired tag,graphics/decos/wall_passables/gang_signs.swf,hired_guns_left,overlay
hired_guns_right,gang hired tag,graphics/decos/wall_passables/gang_signs.swf,hired_guns_right,overlay
door_electric_lock,door,graphics/decos/interiors_walls_doors/interiors_walls_doors.swf,door_electric_lock,
door_metal_heavy,door,graphics/decos/interiors_walls_doors/interiors_walls_doors.swf,door_metal_heavy,
door_metal_seams,door,graphics/decos/interiors_walls_doors/interiors_walls_doors.swf,door_metal_seams,
door_elevator,door,graphics/decos/interiors_walls_doors/interiors_walls_doors.swf,door_elevator,
door_wide_striped,door,graphics/decos/interiors_walls_doors/interiors_walls_doors.swf,door_wide_striped,
door_horizontal_wins,door,graphics/decos/interiors_walls_doors/interiors_walls_doors.swf,door_horizontal_wins,
door_wood_2stripes,door,graphics/decos/interiors_walls_doors/interiors_walls_doors.swf,door_wood_2stripes,
fence_hedge_maze_detail,leafs,graphics/decos/fences/fences.swf,fence_hedge_maze_detail,
weapon_box,weapon,graphics/decos/items/weapons_containers.swf,weapon_box,
weapon_rifle,weapon,graphics/decos/items/weapons_containers.swf,weapon_rifle,
weapon_rifle2,weapon,graphics/decos/items/weapons_containers.swf,weapon_rifle2,
hospital_left,sign hospital,graphics/decos/signs/signs_generic.swf,hospital_left,
hospital_right,sign hospital,graphics/decos/signs/signs_generic.swf,hospital_right,
cafe_window_left,sign,graphics/decos/signs/signs_generic.swf,cafe_window_left,
hotel_left,sign,graphics/decos/signs/signs_generic.swf,hotel_left,
hotel_right,sign,graphics/decos/signs/signs_generic.swf,hotel_right,
kodari_left,sign,graphics/decos/signs/signs_generic.swf,kodari_left,
kodari_right,sign,graphics/decos/signs/signs_generic.swf,kodari_right,
styermann_right,sign,graphics/decos/signs/signs_generic.swf,styermann_right,
piggy_right,sign,graphics/decos/signs/signs_generic.swf,piggy_right,
nikos_left,sign,graphics/decos/signs/signs_generic.swf,nikos_left,
nikos_right,sign,graphics/decos/signs/signs_generic.swf,nikos_right,
nightcub_right,sign,graphics/decos/signs/signs_generic.swf,nightclub_right,
nightclub_left,sign,graphics/decos/signs/signs_generic.swf,nightclub_left,
hotel_roof_left,sign,graphics/decos/signs/signs_generic.swf,hotel_roof_left,
the_pit_left,pvp sign,graphics/decos/signs/signs_generic.swf,the_pit_left,
the_pit_right,pvp sign,graphics/decos/signs/signs_generic.swf,the_pit_right,
wire_wall,tube wire,graphics/decos/wall_passables/wires_tubes.swf,wire_wall,
wire_wall_medium,tube wire,graphics/decos/wall_passables/wires_tubes.swf,wire_wall_medium,
wire_wall_long,tube wire,graphics/decos/wall_passables/wires_tubes.swf,wire_wall_long,
pillar_blanco_top,basement tunnel pillar concrete,graphics/decos/interiors_basement/walls_pillars_grates_pipes.swf,pillar_blanco_top,
pipe_metal_bend_down1,basement tunnel pillar pipe,graphics/decos/interiors_basement/walls_pillars_grates_pipes.swf,pipe_metal_bend_down1,
pipe_metal_bend_down2,basement tunnel pillar pipe,graphics/decos/interiors_basement/walls_pillars_grates_pipes.swf,pipe_metal_bend_down2,
wall_wires,basement tunnel wall wire,graphics/decos/interiors_basement/walls_pillars_grates_pipes.swf,wall_wires,
PistolRack,shop pistol gun,graphics/decos/shop_decorations/shop_decos.swf,PistolRack,
display_ext_wide_right,display advertisement light sign neon,graphics/decos/light_posts_and_displays/light_posts_and_displays.swf,display_ext_wide_right,
helicopter_small_blades1,helicopter blade aircraft,graphics/decos/aircraft/helicopter_small_blades.swf,helicopter_small_blades1,
inside_wall_door,rebel,graphics/decos/rebel_camp/rebel_camp.swf,inside_wall_door,
air_conditioner,,graphics/decos/rebel_camp/rebel_camp.swf,air_conditioner,
wall_lamp,,graphics/decos/rebel_camp/rebel_camp.swf,wall_lamp,
missile1_2,weapon,graphics/decos/items/weapons_containers.swf,missile1_2,
missile2_2,weapon,graphics/decos/items/weapons_containers.swf,missile2_2,
missile_launcher1,weapon,graphics/decos/items/weapons_containers.swf,missile_launcher1,
missile_box1,weapon container,graphics/decos/items/weapons_containers.swf,missile_box1,
missile_box1_2,weapon container,graphics/decos/items/weapons_containers.swf,missile_box1_2,
missile_box2,weapon container,graphics/decos/items/weapons_containers.swf,missile_box2,
display_flat_square,display light sign neon,graphics/decos/light_posts_and_displays/light_posts_and_displays.swf,display_flat_square,
display_flat_square_blue,display light sign neon,graphics/decos/light_posts_and_displays/light_posts_and_displays.swf,display_flat_square_blue,
display_flat_square_blue_b,display light sign neon,graphics/decos/light_posts_and_displays/light_posts_and_displays.swf,display_flat_square_blue_b,
display_flat_square_green_b,display light sign neon,graphics/decos/light_posts_and_displays/light_posts_and_displays.swf,display_flat_square_green_b,
display_flat_square_red,display light sign neon,graphics/decos/light_posts_and_displays/light_posts_and_displays.swf,display_flat_square_red,
display_flat_square_red_b,display light sign neon,graphics/decos/light_posts_and_displays/light_posts_and_displays.swf,display_flat_square_red_b,
balloon_escape_anim1,balloon intro,graphics/decos/harbor/parade_balloons_and_decor.swf,balloon_escape_anim1,
balloon_escape_anim2,balloon intro,graphics/decos/harbor/parade_balloons_and_decor.swf,balloon_escape_anim2,
glass_crack_1,glass crack,graphics/decos/wall_passables/cracks_stains.swf,glass_crack_1,
glass_crack_2,glass crack,graphics/decos/wall_passables/cracks_stains.swf,glass_crack_2,
wall_crack_1,crack,graphics/decos/wall_passables/cracks_stains.swf,wall_crack_1,
wall_crack_3,crack RETOUCH,graphics/decos/wall_passables/cracks_stains.swf,wall_crack_3,
wall_crack_4,crack,graphics/decos/wall_passables/cracks_stains.swf,wall_crack_4,
wall_crack_5,crack,graphics/decos/wall_passables/cracks_stains.swf,wall_crack_5,
wall_stain_1,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_1,
wall_stain_2,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_2,
wall_stain_3,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_3,
wall_stain_4,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_4,
wall_stain_5,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_5,
wall_stain_6,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_6,
wall_stain_7,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_7,
wall_stain_8,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_8,
wall_stain_9,stain,graphics/decos/wall_passables/cracks_stains.swf,wall_stain_9,
wall_notes_1,notes,graphics/decos/interiors_common/interiors_office_decos.swf,wall_notes_1,
wall_notes_2,notes,graphics/decos/interiors_common/interiors_office_decos.swf,wall_notes_2,
book_container_1,book container,graphics/decos/interiors_common/interiors_office_decos.swf,book_container_1,
decorative_plant_1,decorative plant,graphics/decos/interiors_common/interiors_office_decos.swf,decorative_plant_1,
laptop_1,laptop,graphics/decos/interiors_common/interiors_office_decos.swf,laptop_1,
painting_1,painting,graphics/decos/interiors_common/interiors_office_decos.swf,painting_1,
paper_pile_1,paper pile,graphics/decos/interiors_common/interiors_office_decos.swf,paper_pile_1,
paper_pile_2,paper pile,graphics/decos/interiors_common/interiors_office_decos.swf,paper_pile_2,
table_shelf_1,table shelf,graphics/decos/interiors_common/interiors_office_decos.swf,table_shelf_1,
tablet_computer_1,tablet computer,graphics/decos/interiors_common/interiors_office_decos.swf,tablet_computer_1,
drugplant_bale,drug field farm,graphics/decos/plants/drugplant.swf,drugplant_bale,
item_dynamite,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_dynamite,
item_energy,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_energy,
item_grenade,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_grenade,
item_grenade_gas,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_grenade_gas,
item_grenade_mix,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_grenade_mix,
item_medikit,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_medikit,
item_medikits,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_medikits,
item_molotov,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_molotov,
item_shuriken,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_shuriken,
item_box_shuriken,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_box_shuriken,
item_box_explosives,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_box_explosives,
item_box_grenade_mix,street vendor item consumable,graphics/decos/vendor/street_vendors.swf,item_box_grenade_mix,
gun_flamethrower,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_flamethrower,
gun_minigun1,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_minigun1,
gun_minigun2,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_minigun2,
gun_pistol1,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_pistol1,
gun_pistol2,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_pistol2,
gun_pistol3,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_pistol3,
gun_rifle1,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_rifle1,
gun_rifle2,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_rifle2,
gun_shotgun3,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_shotgun3,
gun_sniper,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_sniper,
gun_box_pistols,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_box_pistols,
gun_box_rifles,street vendor gun,graphics/decos/vendor/street_vendors.swf,gun_box_rifles,
melee_box,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_box,
melee_axe,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_axe,
melee_chainsaw1,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_chainsaw1,
melee_chainsaw2_wall,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_chainsaw2_wall,
melee_iron,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_iron,
melee_knife1,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_knife1,
melee_knife2,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_knife2,
melee_knife3,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_knife3,
melee_sword,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_sword,
melee_wrench,street vendor melee,graphics/decos/vendor/street_vendors.swf,melee_wrench,
sign_goods2_2,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_goods2_2,
sign_goods3,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_goods3,
sign_guns2,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_guns2,
sign_guns2_2,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_guns2_2,
sign_guns3,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_guns3,
sign_guns3_2,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_guns3_2,
sign_guns4,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_guns4,
sign_tools2,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_tools2,
sign_tools2_2,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_tools2_2,
sign_tools4,street vendor sign,graphics/decos/vendor/street_vendors.swf,sign_tools4,
DrugsFactory_Package_LooseBags_01,drugs bag,graphics/decos/druglab/drugs_factory_objects_v01.swf,DrugsFactory_Package_LooseBags_01,
