Tank
,Info
,,,ShootRifle2,,,,,,,,,,,,
,,AutoAttackMiniGun,ShootMinigun,,,,,,,,,,,,
,,PushBack,Die1,,,,,,,,,,,,
,,Die,Die1,,,,,,,,,,,,
,,,Die2,,,,,,,,,,,,
,,,Die3,,,,,,,,,,,,
,,,Die4,,,,,,,,,,,,
,,,Die5,,,,,,,,,,,,
,,MegaStrike,Megastrike1,,,,,,,,,,,,
,,,Megastrike2,,,,,,,,,,,,
,,,Megastrike3,,,,,,,,,,,,
,,Taunt,Taunt1,,,,,,,,,,,,
,,,Taunt2,,,,,,,,,,,,
,,Throw,Throw,,,,,,,,,,,,
,,,ThrowSide,,,,,,,,,,,,
,,AutoAttackSpear,SpearA,,,,,,,,,,,,
,,,SpearB,,,,,,,,,,,,
,,,SpearC,,,,,,,,,,,,
,,WalkSpear,Walk 1-handed weapon,,,,,,,,,,,,
,,RunSpear,Run 1-handed weapon,,,,,,,,,,,,
,,AutoAttackChainSaw,ChainSaw_AttackA,,,,,,,,,,,,
,,,ChainSaw_AttackB,,,,,,,,,,,,
,,Cheer,Cheer1,,,,,,,,,,,,
,,,Cheer2,,,,,,,,,,,,
TankKnockedout
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,DontTurnIdle,,,
,,graphics/3d/character/pc_m_tank_knockedout.SUP,graphics/shadow.swf,Shadow,-45,-90,90,115,,Male,20,true,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Knockedout,,true,,,,,,1,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,Idle,Knockedout,,,,,,,,,,,,
,,Stunned,Knockedout,,,,,,,,,,,,
,,Sleep,Knockedout,,,,,,,,,,,,
,,PushBack,Knockedout,,,,,,,,,,,,
,,Die,Knockedout,,,,,,,,,,,,
,,GetUp,Knockedout,,,,,,,,,,,,
,,Walk,Knockedout,,,,,,,,,,,,
Rogue
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,,,,
,,graphics/3d/character/pc_m_rogue.SUP,graphics/shadow.swf,Shadow,-45,-90,90,115,,Male,20,,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,59,,,,,
,,IdleLookaround,,,,,,,,80,,,,,
,,IdleSpearReady,,,,,,,,50,,,,,
,,IdlePistolReady,,,,,,,,68,,,,,
,,IdleRifleReady,,,,,,,,66,,,,,
,,IdleMinigunReady,,,,,,,,66,,,,,
,,Use,true,,true,12,,17,,20,,,,,
,,Stunned,,,,,,,,48,,,,,
,,Sleep,,,,,,,,53,,,,,
,,Yawn,true,,,,,,,73,,,,,
,,Cheer1,true,,,,,,,40,,,,,
,,Cheer2,true,,,,,,,60,,,,,
,,Rage,true,,,,,20,,40,,,,,
,,Walk,true,,,,,1,11,20,,,,,
,,Walk 1-handed weapon,,,,,,1,11,20,,,,,
,,WalkRifle,,,,,,1,11,20,,,,,
,,WalkMinigun,,,,,,1,11,20,,,,,
,,Run,,,,,,0,9,18,,,,,
,,Run 1-handed weapon,,,,,,0,9,18,,,,,
,,RunRifle,,,,,,0,9,18,,,,,
,,RunMinigun,,,,,,1,9,18,,,,,
,,Throw,true,,,9,,13,,24,SkillThrow,,,,
,,ThrowSide,true,,,8,,11,,19,SkillThrow,,,,
,,JawBlow,,,true,4,,6,,16,MeleeSharpSwing,,,,
,,FatalStraight,,,true,6,,9,,16,MeleeSharpSwing,,,,
,,Downgrader,,,true,5,,8,,17,MeleeSharpSwing,,,,
,,RightSwing,,,true,6,,8,,17,MeleeSharpSwing,,,,
,,Melee01,,true,true,11,,14,,25,MeleeSharpSwing,,,,
,,Melee02,,true,true,11,,14,,25,MeleeSharpSwing,,,,
,,Melee03,,true,true,10,,12,,25,MeleeSharpSwing,,,,
,,Melee04,,true,true,11,,14,,25,MeleeSharpSwing,,,,
,,Melee05,,true,true,10,,12,,25,MeleeSharpSwing,,,,
,,ChainSaw_AttackA,,true,true,0,12,13,,25,,,,,
,,ChainSaw_AttackB,,true,true,0,14,15,,25,,,,,
,,SpearA,,true,true,9,,13,,25,MeleeSharpSwing,,,,
,,SpearB,,true,true,3,,18,,25,MeleeSharpSwing,,,,
,,SpearC,,true,true,2,,12,,25,MeleeSharpSwing,,,,
,,ShootPistol1,,true,true,1,6,7,,20,,,,,
,,ShootPistol2,,true,true,2,6,8,,20,,,,,
,,ShootPistol3,,true,true,1,6,8,,20,,,,,
,,ShootPistol4,,true,true,3,7,8,,20,,,,,
,,HealingShot2,,true,true,1,6,28,,40,,,,,
,,PatchingUp,true,,,,,,,50,,,,,
,,ShootRifle1,,true,true,3,7,10,,21,,,,,
,,ShootRifle2,,true,true,5,10,13,,23,,,,,
,,ShootMinigun,,true,true,0,17,18,,30,,,,,
,,GetUp,,,,,,0,,19,,,,,
,,Die1,,,,,,11,,11,,,,,
,,Die2,,,,,,15,,17,,,,,
,,Die3,,,,,,19,,20,,,,,
,,Die4,,,,,,22,,24,,,,,
,,Die5,,,,,,21,,23,,,,,
,,LaunchRocket,,,,0,,19,,32,,,,,
,,FlameThrower,,,,0,,8,,60,,,,,
,,Shoot_SonicGun,,true,true,10,13,16,,30,,,,,
,,Die_RunBurning,,,,0,,8,17,54,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,IdleSelection,Idle,,,,,,,,,,,,
,,AutoAttackUnarmed,JawBlow,,,,,,,,,,,,
,,,FatalStraight,,,,,,,,,,,,
,,,Downgrader,,,,,,,,,,,,
,,,RightSwing,,,,,,,,,,,,
,,AutoAttackHits,Melee01,,,,,,,,,,,,
,,,Melee02,,,,,,,,,,,,
,,,Melee03,,,,,,,,,,,,
,,,Melee04,,,,,,,,,,,,
,,,Melee05,,,,,,,,,,,,
,,AutoAttackPistol,ShootPistol1,,,,,,,,,,,,
,,,ShootPistol2,,,,,,,,,,,,
,,,ShootPistol3,,,,,,,,,,,,
,,,ShootPistol4,,,,,,,,,,,,
,,AutoAttackRifle,ShootRifle1,,,,,,,,,,,,
,,,ShootRifle2,,,,,,,,,,,,
,,AutoAttackHealingGun,ShootPistol3,,,,,,,,,,,,
,,,HealingShot2,,,,,,,,,,,,
,,AutoAttackMiniGun,ShootMinigun,,,,,,,,,,,,
,,PushBack,Die1,,,,,,,,,,,,
,,Die,Die1,,,,,,,,,,,,
,,,Die2,,,,,,,,,,,,
,,,Die3,,,,,,,,,,,,
,,,Die4,,,,,,,,,,,,
,,,Die5,,,,,,,,,,,,
,,Throw,Throw,,,,,,,,,,,,
,,,ThrowSide,,,,,,,,,,,,
,,AutoAttackChainSaw,ChainSaw_AttackA,,,,,,,,,,,,
,,,ChainSaw_AttackB,,,,,,,,,,,,
,,AutoAttackSpear,SpearA,,,,,,,,,,,,
,,,SpearB,,,,,,,,,,,,
,,,SpearC,,,,,,,,,,,,
,,WalkSpear,Walk 1-handed weapon,,,,,,,,,,,,
,,RunSpear,Run 1-handed weapon,,,,,,,,,,,,
,,Cheer,Cheer1,,,,,,,,,,,,
,,,Cheer2,,,,,,,,,,,,
Fatman
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,,,,
,,graphics/3d/character/npc_m_fatman.SUP,graphics/shadow.swf,Shadow,-45,-90,90,115,,Male,20,,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,53,,,,,
,,IdleLookaround,,,,,,,,80,,,,,
,,IdleSpearReady,,,,,,,,50,,,,,
,,IdlePistolReady,,,,,,,,68,,,,,
,,IdleRifleReady,,,,,,,,65,,,,,
,,IdleMinigunReady,,,,,,,,66,,,,,
,,Use,true,,true,12,,17,,20,,,,,
,,Stunned,,,,,,,,48,,,,,
,,Sleep,,,,,,,,53,,,,,
,,Yawn,true,,,,,,,73,,,,,
,,Cheer1,true,,,,,,,40,,,,,
,,Cheer2,true,,,,,,,60,,,,,
,,Taunt1,true,,,,,,,30,,,,,
,,Taunt2,true,,,,,,,30,,,,,
,,Heman,,,,,,,,36,,,,,
,,Rage,true,,,,,20,,40,,,,,
,,Walk,,,,,,1,11,20,,,,,
,,WalkRifle,,,,,,1,11,20,,,,,
,,WalkMinigun,,,,,,1,11,20,,,,,
,,Run,,,,,,1,8,18,,,,,
,,Run 1-handed weapon,,,,,,1,8,17,,,,,
,,RunRifle,,,,,,1,8,17,,,,,
,,RunMinigun,,,,,,1,8,17,,,,,
,,Throw,,,,7,,14,,24,SkillThrow,,,,
,,ThrowSide,,,,8,,11,,19,SkillThrow,,,,
,,JawBlow,,,true,3,,6,,16,MeleeSharpSwing,,,,
,,FatalStraight,,,true,6,,9,,16,MeleeSharpSwing,,,,
,,Downgrader,,,true,3,,7,,17,MeleeSharpSwing,,,,
,,RightSwing,,,true,5,,7,,17,MeleeSharpSwing,,,,
,,Melee01,,true,true,11,,15,,25,MeleeSharpSwing,,,,
,,Melee02,,true,true,11,,15,,25,MeleeSharpSwing,,,,
,,Melee03,,true,true,10,,13,,25,MeleeSharpSwing,,,,
,,Melee04,,true,true,10,,13,,25,MeleeSharpSwing,,,,
,,Melee05,,true,true,11,,13,,25,MeleeSharpSwing,,,,
,,ShootHammerLightning,,true,true,4,,13,,25,,,,,
,,ShootPistol1,,true,true,5,6,7,,20,,,,,
,,ShootPistol2,,true,true,4,6,8,,20,,,,,
,,ShootPistol3,,true,true,5,7,8,,20,,,,,
,,ShootRifle1,,true,true,3,11,12,,22,,,,,
,,ShootRifle2,,true,true,7,10,12,,22,,,,,
,,ShootMinigun,,true,true,0,17,18,,30,,,,,
,,GetUp,,,,,,0,,19,,,,,
,,Twirler,,true,true,10,,11,,23,,,,,
,,Die1,,,,,,10,,11,,,,,
,,Die2,,,,,,15,,15,,,,,
,,Die3,,,,,,20,,20,,,,,
,,Die4,,,,,,23,,24,,,,,
,,Die5,,,,,,22,,23,,,,,
,,Megastrike1,,true,true,18,,23,,39,,,,,
,,Megastrike2,,true,true,18,,23,,39,,,,,
,,Megastrike3,,true,true,15,,23,,39,,,,,
,,Deception,,true,true,13,,18,,32,,,,,
,,Slammer,,true,true,18,,23,,39,Skill_Slammer_Start,,,,
,,ChainSaw_AttackA,,true,true,0,12,13,,25,,,,,
,,ChainSaw_AttackB,,true,true,0,14,15,,25,,,,,
,,SpearA,,true,true,9,,13,,25,MeleeSharpSwing,,,,
,,SpearB,,true,true,3,,18,,25,MeleeSharpSwing,,,,
,,SpearC,,true,true,2,,12,,25,MeleeSharpSwing,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,AutoAttackUnarmed,JawBlow,,,,,,,,,,,,
,,,FatalStraight,,,,,,,,,,,,
,,,Downgrader,,,,,,,,,,,,
,,,RightSwing,,,,,,,,,,,,
,,AutoAttackHits,Melee01,,,,,,,,,,,,
,,,Melee02,,,,,,,,,,,,
,,,Melee03,,,,,,,,,,,,
,,,Melee04,,,,,,,,,,,,
,,,Melee05,,,,,,,,,,,,
,,AutoAttackPistol,ShootPistol1,,,,,,,,,,,,
,,,ShootPistol2,,,,,,,,,,,,
,,,ShootPistol3,,,,,,,,,,,,
,,AutoAttackRifle,ShootRifle1,,,,,,,,,,,,
,,,ShootRifle2,,,,,,,,,,,,
,,AutoAttackMiniGun,ShootMinigun,,,,,,,,,,,,
,,PushBack,Die1,,,,,,,,,,,,
,,Die,Die1,,,,,,,,,,,,
,,,Die2,,,,,,,,,,,,
,,,Die3,,,,,,,,,,,,
,,,Die4,,,,,,,,,,,,
,,,Die5,,,,,,,,,,,,
,,MegaStrike,Megastrike1,,,,,,,,,,,,
,,,Megastrike2,,,,,,,,,,,,
,,,Megastrike3,,,,,,,,,,,,
,,Throw,Throw,,,,,,,,,,,,
,,,ThrowSide,,,,,,,,,,,,
,,Idle,IdleLookaround,,,,,,,,,,,,
,,Walk 1-handed weapon,Walk,,,,,,,,,,,,
,,AutoAttackChainSaw,ChainSaw_AttackA,,,,,,,,,,,,
,,,ChainSaw_AttackB,,,,,,,,,,,,
,,AutoAttackSpear,SpearA,,,,,,,,,,,,
,,,SpearB,,,,,,,,,,,,
,,,SpearC,,,,,,,,,,,,
,,WalkSpear,Walk,,,,,,,,,,,,
,,RunSpear,Run 1-handed weapon,,,,,,,,,,,,
,,Cheer,Cheer1,,,,,,,,,,,,
,,,Cheer2,,,,,,,,,,,,
Junkie
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,,,,
,,graphics/3d/character/npc_m_junkie.SUP,graphics/shadow.swf,Shadow,-45,-90,90,115,,Male,20,,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,48,,,,,
,,Sleep,,,,,,,,53,,,,,
,,Yawn,,,,,,,,73,,,,,
,,Walk,,,,,,9,23,54,,,,,
,,GetUp,,,,,,0,,19,,,,,
,,Die2,,,,0,,15,,17,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,Die,Die2,,,,,,,,,,,,
,,Stunned,Idle,,,,,,,,,,,,
,,Idle,Yawn,,,,,,,,,,,,
,,PushBack,Die2,,,,,,,,,,,,
,,AutoAttackUnarmed,Yawn,,,,,,,,,,,,
Junkie_Sit
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,DontTurnIdle,,,
,,graphics/3d/character/npc_m_junkie_sit.SUP,graphics/shadow.swf,Shadow,-45,-70,90,110,,Male,20,true,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,199,,,,,
,,Drink,,,,,,,,199,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,Idle,Drink,,,,,,,,,,,,
,,Stunned,Idle,,,,,,,,,,,,
,,GetUp,Idle,,,,,,,,,,,,
,,Walk,Idle,,,,,,,,,,,,
,,Die,Idle,,,,,,,,,,,,
Junkie_Sleep
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,DontTurnIdle,,,
,,graphics/3d/character/npc_m_junkie_sleep.SUP,graphics/shadow.swf,Shadow,-45,-60,90,100,,Male,20,true,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,199,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,Stunned,Idle,,,,,,,,,,,,
,,GetUp,Idle,,,,,,,,,,,,
,,Walk,Idle,,,,,,,,,,,,
,,Die,Idle,,,,,,,,,,,,
Junkie_Prisoner
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,DontTurnIdle,,,
,,graphics/3d/character/npc_m_junkie_prisoner.SUP,graphics/shadow.swf,Shadow,-45,-60,90,100,,Male,20,true,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,20,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,Stunned,Idle,,,,,,,,,,,,
,,GetUp,Idle,,,,,,,,,,,,
,,Walk,Idle,,,,,,,,,,,,
,,Die,Idle,,,,,,,,,,,,
TankFemale
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,,,,
,,graphics/3d/character/pc_f_tank.SUP,graphics/shadow.swf,Shadow,-45,-90,90,115,,Female,20,,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,80,,,,,
,,IdleSelection,,,,,,,,80,,,,,
,,IdlePistolReady,,,,,,,,80,,,,,
,,IdleRifleReady,,,,,,,,80,,,,,
,,IdleMinigunReady,,,,,,,,80,,,,,
,,Taunt_Fist,true,,,0,,,,35,,,,,
,,Taunt_Chicken,true,,,0,,,,35,,,,,
,,Taunt_CutThroat,true,,,0,,,,30,,,,,
,,Cheer1,true,,,,,,,40,,,,,
,,Walk,,,,,,,7,19,,,,,
,,WalkPistol,,,,,,,7,19,,,,,
,,WalkRifle,,,,,,,7,19,,,,,
,,WalkMinigun,,,,,,,7,19,,,,,
,,WalkSpear,,,,,,,7,19,,,,,
,,Run,,,,,,,8,17,,,,,
,,RunPistol,,,,,,,8,17,,,,,
,,RunRifle,,,,,,,8,17,,,,,
,,RunMinigun,,,,,,,8,17,,,,,
,,RunSpear,,,,,,,8,17,,,,,
,,ShootMinigun,,true,true,0,18,20,,30,,,,,
,,ChainSaw_AttackA,,true,true,0,12,17,,30,,,,,
,,ChainSaw_AttackB,,true,true,0,7,16,,20,,,,,
,,ShootRifle1,,true,true,0,18,20,,33,,,,,
,,ShootRifle2,,true,true,0,21,23,,37,,,,,
,,ShootRifle3,,true,true,0,19,21,,46,,,,,
,,ShootPistol1,,true,true,0,9,11,,20,,,,,
,,ShootPistol2,,true,true,0,9,11,,20,,,,,
,,ShootPistol3,,true,true,0,9,11,,20,,,,,
,,ShootPistol_Gangsta,,true,true,0,8,10,,20,,,,,
,,Throw,,,,0,5,13,,24,SkillThrow,,,,
,,ThrowSide,,,,0,5,14,,24,SkillThrow,,,,
,,Use,,,true,,6,8,,20,,,,,
,,Melee01,,true,true,12,,14,,25,MeleeSharpSwing,,,,
,,Melee02,,true,true,12,,15,,25,MeleeSharpSwing,,,,
,,Melee03,,true,true,12,,13,,25,MeleeSharpSwing,,,,
,,Melee04,,true,true,11,,13,,25,MeleeSharpSwing,,,,
,,Melee05,,true,true,13,,14,,25,MeleeSharpSwing,,,,
,,Deception,,true,true,19,,27,,35,MeleeSharpSwing,,,,
,,SpearA,,true,true,6,,11,,20,MeleeSharpSwing,,,,
,,SpearB,,true,true,7,,11,,20,MeleeSharpSwing,,,,
,,SpearC,,true,true,7,,11,,20,MeleeSharpSwing,,,,
,,JawBlow,,,true,5,,8,,16,MeleeSharpSwing,,,,
,,FatalStraight,,,true,7,,8,,16,MeleeSharpSwing,,,,
,,Downgrader,,,true,7,,11,,17,MeleeSharpSwing,,,,
,,RightSwing,,,true,8,,11,,17,MeleeSharpSwing,,,,
,,Stunned,,,,0,10,0,,60,,,,,
,,Sleep,,,,,,,,80,,,,,
,,Rage,,,,,,,13,40,,,,,
,,Twirler,,true,true,10,,11,,23,,,,,
,,MegaStrike,,true,true,0,,19,,40,,,,,
,,Die_Pistol,,,,0,,10,,19,,,,,
,,GetUp,,,,0,,9,,20,,,,,
,,Die_Pushback,,,,0,,10,,19,,,,,
,,Die_C,,,,0,,8,,16,,,,,
,,Die_Chainsaw,,,,,,16,,49,,,,,
,,Slammer,,true,true,0,,20,,39,Skill_Slammer_Start,,,,
,,LaunchRocket,,,,0,,18,,32,,,,,
,,FlameThrower,,,,0,,8,,60,,,,,
,,Shoot_SonicGun,,true,true,10,13,16,,30,,,,,
,,Die_RunBurning,,,,0,,8,18,54,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,AutoAttackUnarmed,JawBlow,,,,,,,,,,,,
,,,FatalStraight,,,,,,,,,,,,
,,,Downgrader,,,,,,,,,,,,
,,,RightSwing,,,,,,,,,,,,
,,AutoAttackHits,Melee01,,,,,,,,,,,,
,,,Melee02,,,,,,,,,,,,
,,,Melee03,,,,,,,,,,,,
,,,Melee04,,,,,,,,,,,,
,,,Melee05,,,,,,,,,,,,
,,AutoAttackPistol,ShootPistol1,,,,,,,,,,,,
,,,ShootPistol2,,,,,,,,,,,,
,,,ShootPistol3,,,,,,,,,,,,
,,,ShootPistol_Gangsta,,,,,,,,,,,,
,,AutoAttackRifle,ShootRifle1,,,,,,,,,,,,
,,,ShootRifle2,,,,,,,,,,,,
,,,ShootRifle3,,,,,,,,,,,,
,,AutoAttackMiniGun,ShootMinigun,,,,,,,,,,,,
,,AutoAttackChainSaw,ChainSaw_AttackA,,,,,,,,,,,,
,,,ChainSaw_AttackB,,,,,,,,,,,,
,,AutoAttackSpear,SpearA,,,,,,,,,,,,
,,,SpearB,,,,,,,,,,,,
,,,SpearC,,,,,,,,,,,,
,,Taunt,Taunt_Fist,,,,,,,,,,,,
,,,Taunt_CutThroat,,,,,,,,,,,,
,,,Taunt_Chicken,,,,,,,,,,,,
,,Die,Die_Pistol,,,,,,,,,,,,
,,,Die_Chainsaw,,,,,,,,,,,,
,,,Die_C,,,,,,,,,,,,
,,PushBack,Die_Pushback,,,,,,,,,,,,
,,Cheer,Cheer1,,,,,,,,,,,,
RogueFemale
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,,,,
,,graphics/3d/character/pc_f_rogue.SUP,graphics/shadow.swf,Shadow,-45,-90,90,115,,Female,20,,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,80,,,,,
,,IdleSelection,,,,,,,,80,,,,,
,,IdlePistolReady,,,,,,,,80,,,,,
,,IdleRifleReady,,,,,,,,80,,,,,
,,IdleMinigunReady,,,,,,,,80,,,,,
,,Cheer1,true,,,,,,,40,,,,,
,,Walk,,,,,,,7,19,,,,,
,,WalkPistol,,,,,,,7,19,,,,,
,,WalkRifle,,,,,,,7,19,,,,,
,,WalkMinigun,,,,,,,7,19,,,,,
,,WalkSpear,,,,,,,7,19,,,,,
,,Run,,,,,,,8,17,,,,,
,,RunPistol,,,,,,,8,17,,,,,
,,RunRifle,,,,,,,8,17,,,,,
,,RunMinigun,,,,,,,8,18,,,,,
,,RunSpear,,,,,,,8,17,,,,,
,,ShootMinigun,,true,true,0,18,20,,30,,,,,
,,ShootRifle1,,true,true,0,18,19,,33,,,,,
