Name,EquipmentClass,RequiredLevel,Rarity,Enhancement,Tier,ClothClass,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootDisabled,PostToSocialNetworks,Icon
Lame Hat,Hat,5,Poor,,,Large,,,graphics/3d/hats/hats.SUP,junkie_hat,graphics/3d/hats/female_hats.SUP,junkie_hat,graphics/3d/hats/textures/junkie_hat.png,graphics/3d/hats/textures/junkie_hat.png,TRUE,,
Warped Hat,Hat,5,Poor,,,Large,,,graphics/3d/hats/hats.SUP,junkie_hat,graphics/3d/hats/female_hats.SUP,junkie_hat,graphics/3d/hats/textures/junkie_hat.png,graphics/3d/hats/textures/junkie_hat.png,TRUE,,
Jagged Brimmed Hat,Brimmed Hat,30,Rare,of the Beast,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Radical Brimmed Hat,Brimmed Hat,27,Rare,of Health,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
First-Class Brimmed Hat,Brimmed Hat,30,Rare,of Brightness,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Outstanding Brimmed Hat,Brimmed Hat,27,Rare,of the Troublemaker,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Genuine Brimmed Hat,Brimmed Hat,3,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Special Brimmed Hat,Brimmed Hat,8,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Elegant Brimmed Hat,Brimmed Hat,12,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Great Brimmed Hat,Brimmed Hat,19,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Cool Brimmed Hat,Brimmed Hat,27,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Good Brimmed Hat,Brimmed Hat,30,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Acute Hat,Hat,10,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_jazz_skin.png,graphics/3d/hats/on_skin_textures/hat_jazz_skin_f.png,graphics/3d/hats/hats.SUP,hat_jazz,graphics/3d/hats/female_hats.SUP,hat_jazz,graphics/3d/hats/textures/hat_jazz.png,graphics/3d/hats/textures/hat_jazz.png,TRUE,TRUE,
Genuine Hat,Hat,15,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_jazz_skin.png,graphics/3d/hats/on_skin_textures/hat_jazz_skin_f.png,graphics/3d/hats/hats.SUP,hat_jazz,graphics/3d/hats/female_hats.SUP,hat_jazz,graphics/3d/hats/textures/hat_jazz.png,graphics/3d/hats/textures/hat_jazz.png,TRUE,TRUE,
Special Hat,Hat,20,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_jazz_skin.png,graphics/3d/hats/on_skin_textures/hat_jazz_skin_f.png,graphics/3d/hats/hats.SUP,hat_jazz,graphics/3d/hats/female_hats.SUP,hat_jazz,graphics/3d/hats/textures/hat_jazz.png,graphics/3d/hats/textures/hat_jazz.png,TRUE,TRUE,
Fine Brimmed Hat,Brimmed Hat,3,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Credible Brimmed Hat,Brimmed Hat,8,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Street Wise Brimmed Hat,Brimmed Hat,12,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Worthy Brimmed Hat,Brimmed Hat,19,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Boosted Brimmed Hat,Brimmed Hat,27,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Acute Brimmed Hat,Brimmed Hat,30,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_a_skin.png,graphics/3d/hats/on_skin_textures/hat_western_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_a,graphics/3d/hats/female_hats.SUP,hat_western_a,graphics/3d/hats/textures/hat_western_a.png,graphics/3d/hats/textures/hat_western_a.png,TRUE,TRUE,
Elegant Hat,Hat,10,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_jazz_skin.png,graphics/3d/hats/on_skin_textures/hat_jazz_skin_f.png,graphics/3d/hats/hats.SUP,hat_jazz,graphics/3d/hats/female_hats.SUP,hat_jazz,graphics/3d/hats/textures/hat_jazz.png,graphics/3d/hats/textures/hat_jazz.png,TRUE,TRUE,
Great Hat,Hat,15,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_jazz_skin.png,graphics/3d/hats/on_skin_textures/hat_jazz_skin_f.png,graphics/3d/hats/hats.SUP,hat_jazz,graphics/3d/hats/female_hats.SUP,hat_jazz,graphics/3d/hats/textures/hat_jazz.png,graphics/3d/hats/textures/hat_jazz.png,TRUE,TRUE,
Cool Hat,Hat,20,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_jazz_skin.png,graphics/3d/hats/on_skin_textures/hat_jazz_skin_f.png,graphics/3d/hats/hats.SUP,hat_jazz,graphics/3d/hats/female_hats.SUP,hat_jazz,graphics/3d/hats/textures/hat_jazz.png,graphics/3d/hats/textures/hat_jazz.png,TRUE,TRUE,
Genuine Cowboy Hat,Cowboy Hat,8,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_b_skin.png,graphics/3d/hats/on_skin_textures/hat_western_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_b,graphics/3d/hats/female_hats.SUP,hat_western_b,graphics/3d/hats/textures/hat_western_b.png,graphics/3d/hats/textures/hat_western_b.png,TRUE,,
Special Cowboy Hat,Cowboy Hat,10,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_b_skin.png,graphics/3d/hats/on_skin_textures/hat_western_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_b,graphics/3d/hats/female_hats.SUP,hat_western_b,graphics/3d/hats/textures/hat_western_b.png,graphics/3d/hats/textures/hat_western_b.png,TRUE,,
Elegant Cowboy Hat,Cowboy Hat,13,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_b_skin.png,graphics/3d/hats/on_skin_textures/hat_western_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_b,graphics/3d/hats/female_hats.SUP,hat_western_b,graphics/3d/hats/textures/hat_western_b.png,graphics/3d/hats/textures/hat_western_b.png,TRUE,,
Great Cowboy Hat,Cowboy Hat,15,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_c_skin.png,graphics/3d/hats/on_skin_textures/hat_western_c_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_c,graphics/3d/hats/female_hats.SUP,hat_western_c,graphics/3d/hats/textures/hat_western_c.png,graphics/3d/hats/textures/hat_western_c.png,TRUE,,
Cool Cowboy Hat,Cowboy Hat,18,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_c_skin.png,graphics/3d/hats/on_skin_textures/hat_western_c_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_c,graphics/3d/hats/female_hats.SUP,hat_western_c,graphics/3d/hats/textures/hat_western_c.png,graphics/3d/hats/textures/hat_western_c.png,TRUE,,
Good Cowboy Hat,Cowboy Hat,20,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_c_skin.png,graphics/3d/hats/on_skin_textures/hat_western_c_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_c,graphics/3d/hats/female_hats.SUP,hat_western_c,graphics/3d/hats/textures/hat_western_c.png,graphics/3d/hats/textures/hat_western_c.png,TRUE,,
Fine Cowboy Hat,Cowboy Hat,22,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_western_c_skin.png,graphics/3d/hats/on_skin_textures/hat_western_c_skin_f.png,graphics/3d/hats/hats.SUP,hat_western_c,graphics/3d/hats/female_hats.SUP,hat_western_c,graphics/3d/hats/textures/hat_western_c.png,graphics/3d/hats/textures/hat_western_c.png,TRUE,,
Average Fedora Hat,Fedora Hat,14,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_gangster_skin.png,graphics/3d/hats/on_skin_textures/hat_gangster_skin_f.png,graphics/3d/hats/hats.SUP,hat_gangster,graphics/3d/hats/female_hats.SUP,hat_gangster,graphics/3d/hats/textures/hat_gangster.png,graphics/3d/hats/textures/hat_gangster.png,TRUE,,
Basic Fedora Hat,Fedora Hat,15,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_gangster_skin.png,graphics/3d/hats/on_skin_textures/hat_gangster_skin_f.png,graphics/3d/hats/hats.SUP,hat_gangster,graphics/3d/hats/female_hats.SUP,hat_gangster,graphics/3d/hats/textures/hat_gangster.png,graphics/3d/hats/textures/hat_gangster.png,TRUE,,
Everyday Fedora Hat,Fedora Hat,17,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_gangster_skin.png,graphics/3d/hats/on_skin_textures/hat_gangster_skin_f.png,graphics/3d/hats/hats.SUP,hat_gangster,graphics/3d/hats/female_hats.SUP,hat_gangster,graphics/3d/hats/textures/hat_gangster.png,graphics/3d/hats/textures/hat_gangster.png,TRUE,,
Regular Fedora Hat,Fedora Hat,19,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_gangster_skin.png,graphics/3d/hats/on_skin_textures/hat_gangster_skin_f.png,graphics/3d/hats/hats.SUP,hat_gangster,graphics/3d/hats/female_hats.SUP,hat_gangster,graphics/3d/hats/textures/hat_gangster.png,graphics/3d/hats/textures/hat_gangster.png,TRUE,,
Great Sombrero,Sombrero,6,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_sombrero_skin.png,graphics/3d/hats/on_skin_textures/hat_sombrero_skin_f.png,graphics/3d/hats/hats.SUP,hat_sombrero,graphics/3d/hats/female_hats.SUP,hat_sombrero,graphics/3d/hats/textures/hat_sombrero.png,graphics/3d/hats/textures/hat_sombrero.png,TRUE,,
Cool Sombrero,Sombrero,8,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_sombrero_skin.png,graphics/3d/hats/on_skin_textures/hat_sombrero_skin_f.png,graphics/3d/hats/hats.SUP,hat_sombrero,graphics/3d/hats/female_hats.SUP,hat_sombrero,graphics/3d/hats/textures/hat_sombrero.png,graphics/3d/hats/textures/hat_sombrero.png,TRUE,,
Good Sombrero,Sombrero,10,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_sombrero_skin.png,graphics/3d/hats/on_skin_textures/hat_sombrero_skin_f.png,graphics/3d/hats/hats.SUP,hat_sombrero,graphics/3d/hats/female_hats.SUP,hat_sombrero,graphics/3d/hats/textures/hat_sombrero.png,graphics/3d/hats/textures/hat_sombrero.png,TRUE,,
Fine Sombrero,Sombrero,12,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_sombrero_skin.png,graphics/3d/hats/on_skin_textures/hat_sombrero_skin_f.png,graphics/3d/hats/hats.SUP,hat_sombrero,graphics/3d/hats/female_hats.SUP,hat_sombrero,graphics/3d/hats/textures/hat_sombrero.png,graphics/3d/hats/textures/hat_sombrero.png,TRUE,,
Elegant Felt Hat,Felt Hat,21,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a.png,graphics/3d/hats/textures/hat_brimmed_a.png,TRUE,,
Great Felt Hat,Felt Hat,22,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a.png,graphics/3d/hats/textures/hat_brimmed_a.png,TRUE,,
Cool Felt Hat,Felt Hat,23,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a.png,graphics/3d/hats/textures/hat_brimmed_a.png,TRUE,,
Good Felt Hat,Felt Hat,24,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a.png,graphics/3d/hats/textures/hat_brimmed_a.png,TRUE,,
Good Ivy Cap,Ivy Cap,4,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_a_skin.png,graphics/3d/hats/on_skin_textures/hat_street_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_a,graphics/3d/hats/female_hats.SUP,hat_street_a,graphics/3d/hats/textures/hat_street_a.png,graphics/3d/hats/textures/hat_street_a.png,TRUE,,
Fine Ivy Cap,Ivy Cap,5,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_a_skin.png,graphics/3d/hats/on_skin_textures/hat_street_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_a,graphics/3d/hats/female_hats.SUP,hat_street_a,graphics/3d/hats/textures/hat_street_a.png,graphics/3d/hats/textures/hat_street_a.png,TRUE,,
Credible Ivy Cap,Ivy Cap,6,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_a_skin.png,graphics/3d/hats/on_skin_textures/hat_street_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_a,graphics/3d/hats/female_hats.SUP,hat_street_a,graphics/3d/hats/textures/hat_street_a.png,graphics/3d/hats/textures/hat_street_a.png,TRUE,,
Street Wise Ivy Cap,Ivy Cap,7,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_a_skin.png,graphics/3d/hats/on_skin_textures/hat_street_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_a,graphics/3d/hats/female_hats.SUP,hat_street_a,graphics/3d/hats/textures/hat_street_a.png,graphics/3d/hats/textures/hat_street_a.png,TRUE,,
Cool Reggae Hat,Reggae Hat,20,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_b_skin.png,graphics/3d/hats/on_skin_textures/hat_street_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_b,graphics/3d/hats/female_hats.SUP,hat_street_b,graphics/3d/hats/textures/hat_street_b.png,graphics/3d/hats/textures/hat_street_b.png,TRUE,,16
Good Reggae Hat,Reggae Hat,21,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_b_skin.png,graphics/3d/hats/on_skin_textures/hat_street_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_b,graphics/3d/hats/female_hats.SUP,hat_street_b,graphics/3d/hats/textures/hat_street_b.png,graphics/3d/hats/textures/hat_street_b.png,TRUE,,16
Fine Reggae Hat,Reggae Hat,23,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_b_skin.png,graphics/3d/hats/on_skin_textures/hat_street_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_b,graphics/3d/hats/female_hats.SUP,hat_street_b,graphics/3d/hats/textures/hat_street_b.png,graphics/3d/hats/textures/hat_street_b.png,TRUE,,16
Credible Reggae Hat,Reggae Hat,24,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_street_b_skin.png,graphics/3d/hats/on_skin_textures/hat_street_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_street_b,graphics/3d/hats/female_hats.SUP,hat_street_b,graphics/3d/hats/textures/hat_street_b.png,graphics/3d/hats/textures/hat_street_b.png,TRUE,,16
Boosted Cap,Cap,3,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_b_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b.png,graphics/3d/hats/textures/hat_cap_b.png,TRUE,,16
Acute Cap,Cap,4,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_b_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b.png,graphics/3d/hats/textures/hat_cap_b.png,TRUE,,16
Genuine Cap,Cap,5,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_b_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b.png,graphics/3d/hats/textures/hat_cap_b.png,TRUE,,16
Special Cap,Cap,6,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_b_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_b_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b.png,graphics/3d/hats/textures/hat_cap_b.png,TRUE,,
Elegant Cap,Cap,5,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_c_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_c_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_c,graphics/3d/hats/female_hats.SUP,hat_cap_c,graphics/3d/hats/textures/hat_cap_c.png,graphics/3d/hats/textures/hat_cap_c.png,TRUE,,
Great Cap,Cap,7,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_c_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_c_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_c,graphics/3d/hats/female_hats.SUP,hat_cap_c,graphics/3d/hats/textures/hat_cap_c.png,graphics/3d/hats/textures/hat_cap_c.png,TRUE,,
Cool Cap,Cap,8,Uncommon,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_c_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_c_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_c,graphics/3d/hats/female_hats.SUP,hat_cap_c,graphics/3d/hats/textures/hat_cap_c.png,graphics/3d/hats/textures/hat_cap_c.png,TRUE,,
